Chinese gloss	Pa Hng (Guangxi Wenjie)	Pa Hng (Guizhou Gundong)	Hm Nai (Longhui Huxingshan)	Hm Nai (Tongdao Chuansuo)	Hm Nai (Longhui Xiaoshajiang)	Hm Nai (Xupu)
一	jɦʉ³¹	ji²²	i¹³	je³¹	i³²⁵	
一定	je³¹tĩ³⁵					
一月	l̥a⁵⁵je³¹	l̥a⁵⁵jei²²	tɕa¹³ȵei³¹			
一百零一	jɦʉ³¹pe⁵⁵ta³¹jɦʉ³¹	ji²²pe⁵⁵ta²²ji²²	i¹³pe⁵⁵lɯŋ³¹i¹³			
一起	ɪ̃⁵⁵tɔ⁵⁵	i⁵⁵tai⁵⁵	i¹³tɕhi¹³			
七	tɕɦã⁴⁴	tɕaŋ⁵⁵	tɕa³¹	ȶã³³	tɕia³¹	
七十	tɕɦã⁴⁴kɦʉ³¹	tɕaŋ⁴⁴ku³¹	tɕa³¹khu³¹			
七月	l̥a⁵⁵tɕɦã⁴⁴	l̥a⁵⁵tɕaŋ³¹	ɕi¹³ȵei³¹			
七百	tɕɦã⁴⁴pe⁵⁵	tɕaŋ⁴⁴pe⁵⁵	tɕa³¹pe⁵⁵			
万				wa⁴²		
万（一万）	vɦɛ̃³¹	vɛ²²	wai³¹			
丈夫	a⁴⁴vɪ³¹	lɛ³³vi²²	tɕi³¹nai³³		tɕi³¹nai⁴⁴	tɕi⁴⁴lɛ⁴⁴
三	pɤ³⁵	pou³⁵	pou⁵³	po³³	pou³²⁵	
三十	sɔ̃³⁵kɦʉ³¹	saŋ³⁵ku³¹	saŋ³⁵khu³¹			
三十日	sɔ̃³⁵kɦʉ³¹	saŋ³⁵ku³¹	saŋ³⁵khu³¹			
三月	l̥a⁵⁵pɤ³⁵	l̥a⁵⁵pou³⁵	sai¹³ȵei³¹			
三百	sɔ̃³⁵pe⁵⁵	saŋ³⁵pe⁵⁵	saŋ³⁵pe⁵⁵			
三脚架	tɦɤ³³lʉ³⁵qɦɔ̃³¹	tei³³qaŋ²²	naŋ³⁵qhaŋ³¹			
上				a³¹so³³		
上（山）	ȵtɕo⁵⁵	ȵo⁵⁵	ȵtɕo⁵⁵			
上个月	ȵtɕo⁵⁵l̥a⁵⁵	tɛ³¹tei³³l̥a⁵⁵	tu³³l̥a⁵⁵to³⁵			
上午	qõ³⁵sɔ̃³¹	qa²²n̥ei³⁵vaŋ³³	te⁵⁵ntuŋ³⁵			
上腭	fɔ³⁵la⁵⁵	a³³hɔ³⁵la⁵⁵	tho⁵³hei³⁵			
上衣	ɤ³¹	qɛ⁵³ou²²	qai⁵³au¹³			
上面	so³⁵	a³³vaŋ³³ȵ̥ei⁵³	qai⁵³waŋ³³			
下				a³³tai¹¹		
下（山）	hɔ̃⁵⁵	haŋ⁵⁵	haŋ⁵⁵			
下（看一下）	qɔ³¹	vei³³	sai⁵⁵			
下个月	hɔ̃⁵⁵l̥a⁵⁵	a³³vaŋ²²tei³³l̥a⁵⁵	ti⁵⁵l̥a⁵⁵to³⁵			
下午	kwa⁵⁵sɔ̃³¹	kwa⁵⁵saŋ²²	ŋaŋ³¹ntuŋ³⁵			
下巴	a⁴⁴ŋko³³tɕɦi³¹	a³³ŋou⁴⁴tɕei²²	ha³¹khwa³⁵			
下雨	ntɔ³¹ɔ³⁵mõ⁴⁴	nɔ²²aŋ³⁵moŋ⁴⁴	puŋ³⁵nuŋ³¹			
下雪	ntɔ³¹mɔ̃⁵⁵	nɔ²²maŋ⁵⁵	puŋ³⁵mpaŋ⁵⁵			
下雾	ɔ̃³⁵ho³⁵pɤ⁵⁵pɦẽ⁵⁵	ɔ³⁵	u⁵³ho³⁵			
下霜	nto⁵⁵	lja⁵⁵no⁵⁵	nto⁵⁵			
下面	a³¹qõ³⁵	a³³qoŋ³⁵ȵ̥ei⁵³	kuŋ³⁵le³³			
不	ŋ̩ɦ³³; a³¹	ŋ̩³⁵	a⁵³		a⁵²	
不是	a³¹ȵʉ⁵⁵	ŋ̩²²si⁵³	a⁵³juŋ³¹		a⁵²ȵioŋ³¹	
不知道						ʌ⁴⁴pi²¹³
