No.	Gloss	Proto-Katuic
1	duck	*ʔadaa
2	fish	*ʔakaa
3	aunt	*ʔamaa
4	aunt	*ʔawaa
5	two days ago	*ʔndraa
6	knife (large)	*braa
7	eat	*caa
8	handspan	*cɗaa
9	food	*cnaa
10	paddle	*crwaa
11	friend	*gnaa
12	seed; strain/breed	*hamaa
13	rain	*maa
14	parent-in-law	*kajaa
15	open mouth	*kahaa
16	own(er)	*kalaa
17	tiger	*kalaa
18	road, path	*krnaa
19	direction	*naa
20	cutting edge	*plaa
21	bat	*smaa
22	leaf	*salaa
23	turtle (soft shelled)	*tpaa
24	echo	*-waa
25	thin	*kɗaa[ʔ]
26	vomit (v.)	*ktaa[ʔ]
27	spicy hot	*ʔahaaʔ
28	grandmother	*ʔakaaʔ
29	rash (n.)	*ʔalaaʔ
30	afraid	*klaaʔ
31	bright	*klaaʔ
32	lightning flash	*kmlaaʔ
33	busy	*-maaʔ
34	iron	*taaʔ
35	grasshopper	*ʔaraac
36	subside, get better	*braac
37	already	*jaac
38	scoop/splash (water)	*ksaac, *sɨac
39	fishy smell	*kahaac
40	whisper (v.)	*krhaac
41	lightning flash	*lalaac
42	apart, pull apart	*jaah
43	split (v.)	*paah
44	throw/bail out	*saah
45	split in two	*traah
46	brother	*ʔacaaj
47	ginger	*ʔasaaj
48	almond	*ʔŋkaaj
49	thread	*baraaj
50	white (of animals, people)	*ɓlaaj
51	medicinal	*brlaaj
52	cloth, towel	*cɓaaj
53	far	*cŋaaj
54	use, wear	*ɗaaj, *ɗəəj
55	saliva	*haaj
56	distribute	*ʄaaj
57	behind one's back	*kɗaaj
58	widow(ed)	*kmaaj
59	overflow (v.)	*-laaj
60	unroll, spread out	*laaj
61	chicken louse	*ɟmaaj
62	daughter-in-law	*-maaj
63	who	*ŋaaj
64	watermelon	*pkaaj
65	say, speak	*paaj
66	word, speech	*prnaaj
67	soul, spirit	*rwaaj
68	older brother	*saaj
69	trim, prune	*traaj
70	branch, twig	*ʔŋgaak
71	tongue	*ʔntaak
72	peacock	*braak, *raak
73	water	*ɗaak, *ɗəək
74	cough up phlegm	*kahaak
75	crow	*kaʔaak, *ʔaʔaak
76	hair wash	*-raak
77	rough, coarse (surface)	*hŋkaak
78	husband	*kajaak, *kajɨək
79	shoulder	*lmpaak
80	distribute, share	*paak
81	yellow	*raak
82	shell	*saak
83	toad	*ʔaguut traak
84	palm tree (type of)	*trwaak
85	light weight	*ʔŋhaal, *ʔŋhɨal
86	play (v.)	*ɟrhaal
87	have nothing	*-haal
88	wind	*kajaal, *kajɨal
89	shoulder	*ʔapaal
90	pale (colour)	*saal
91	clear land (v.)	*taal
92	blood	*ʔahaam
93	bamboo fish trap	*ʔaraam
94	rice chaff	*ʔŋkaam
95	chew	*ɓaam, *ɓɨam
96	crab	*ktaam, *ʔataam
97	weep	*ɲaam, *ɲiim
98	sweet	*ŋaam
99	molars	*tŋʔaam
100	draw, write	*craan
101	brave	*kwaan
102	mold, form (v.)	*maan
103	strength	*praan
104	news, rumour (n., v.)	*haaɲ
105	braid, plait	*klaaɲ
106	borrow	*maaɲ
107	weave	*taaɲ
108	skillful	*tmaaɲ
109	bright light, blaze	*ʔaaŋ
110	bone	*ʔŋhaaŋ
111	maggot	*ʔmpaaŋ
112	spleen	*baaŋ
113	sun	*ʔmɓaaŋ
114	shine, morning light	*ɓraaŋ
115	shoulder	*crlaaŋ
116	warm by fire	*haaŋ, *hɛɛŋ
117	spirit	*jaaŋ
118	step across/through	*ʄaaŋ
119	mouth	*kaaŋ
120	bamboo (type of)	*ktaaŋ, *ʔataaŋ
121	spread (limbs) apart	*kdaaŋ
122	hawk	*kalaaŋ
123	water pipe	*kalaaŋ
124	surround, coil	*kawaaŋ
125	pipe water	*klaaŋ
126	sound, noise	*ksaaŋ, *krsaaŋ
127	carry by 2 people with pole	*kraaŋ
128	field (clf.)	*laaŋ
129	lie face up	*-laaŋ, *-lɨaŋ
130	turn over/up	*-laaŋ, *-lɨaŋ
131	bridge	*paraaŋ
132	beam, joist	*praaŋ
133	drying rack	*-raaŋ
134	bee (Apidae)	*staaŋ
135	cockscomb	*-taaŋ
136	jaw	*tɓaaŋ
137	palm, sole	*talaaŋ
138	coffin of plaited bamboo	*taraaŋ
139	palm, sole	*trpaaŋ
140	bad	*ɓaap
141	arrowhead, skewer	*srkaap, *trkaap
142	low	*daap
143	winged termite	*klaap
144	slap	*kdaap, *hndaap
145	accept, receive	*raap, *rap
146	yawn	*sʔaap, *sŋʔaap
147	grip, pinch	*tkaap
148	dry in the sun/air	*ʔaar
149	two	*ɓaar
150	scratch, chisel	*kaar
151	rub together	*ktaar
152	sagging	*jaar, *juar, *jɛɛr
153	rib	*-naar, *-nɨar
154	comb (v.)	*caas
155	harrow, probe with beak	*caraas
156	shave	*kaas
157	cotton plant	*kpaas
158	squirrel (small type)	*kraas
159	tongue, lick	*laas, *lɨas
160	bird trap	*paraas
161	jackfruit	*pnaas
162	rhinoceros	*rmaas
163	become, turn into	*waas
164	spicy hot	*ʔahaat
165	soft, flexible	*-ɓaat, *-ɓɔɔt
166	burn(ing)	*kaat
167	slice (v.)	*-kaat
168	scratch (v.)	*kawaat
169	chew	*kɓaat
170	slice (v.)	*klaat
171	flat	*-paat, *-ɓaat
172	gun	*snaat
173	cock (crossbow)	*waat
174	shirt, clothes	*ʔaaw
175	wash	*ʔaraaw
176	cheer (v.)	*kraaw
177	sugarcane	*ktaaw, *ʔataaw
178	sparrow	*laaw
179	son-in-law	*prsaaw, *səsaaw
180	night	*snɗaaw, *sɗaw
181	walk, step	*snɗaaw, *cɗɨaw
182	ringworm	*ʔalaʔ
183	dirty	*ʔaɟaʔ
184	disgorge, spit out	*laʔ
185	spread out	*laʔ
186	stink	*naʔ, *ʔnnaʔ
187	silver	*praʔ, *prak
188	borrow	*waʔ
189	dip finger to taste	*ɓac, *ɓəc
190	avoid	*hnɗac
191	pick, pluck off	*kac
192	lay eggs	*lac
193	chop, chisel (v.)	*pac, *pəc
194	cut off	*rac
195	flesh	*sac
196	sell	*tac
197	classifier for cloth items	*blah
198	split, chop (with knife)	*blah
199	malevolent spirit	*bnah
200	sky	*brah
201	wash a wound	*cah
202	clear land (v.)	*cah
203	arrow	*carah
204	part, put aside	*cawah
205	slap	*dah, *daah
206	charcoal	*kcah
207	ashamed	*kɗah
208	bite down on	*kɗah
209	no; question marker	*kah
210	divide	*kah
211	split (v.)	*klah
212	split (v.)	*lah
213	if	*lah
214	rim, mouth of container	*ŋah
215	slap	*pah
216	sprout, germinate	*ɗah
217	side	*-rah
218	discard, throw away	*tah
219	field	*tajah
220	hand of bananas	*talah
221	wide	*tawah
