No.	Gloss	Proto-Khasian
1.	and/with	*ba (?)
2.	instrumental marker	*da
3.	locative marker	*ha
4.	she	*ka
5.	I/me (topic/oblique)	*ŋa
6.	you (fem.)	*pʰa
7.	oblique marker	*ta
8.	not	*ta
9.	to touch	*-baː
10.	shoulder blade	*blaː
11.	to hear	*bnaː
12.	cooked rice	*ʤaː
13.	to swim	*ʤmpaː
14.	paddy rice	*kbaː
15.	fish	*kʰaː
16.	tiger	*kʰlaː
17.	earthenware jar	*kʰraː
18.	flying fox	*knlaː
19.	to change (into)	*krlaː
20.	paddy field	*lakʰaː
21.	tail	*lantʰaː
22.	sesame	*lŋaː
23.	uncle	*maː
24.	buffalo	*mntʰnaː
25.	aunt	*ɲaː
26.	father	*paː
27.	to confess	*pʰlaː
28.	plain	*pntʰaː
29.	to fall to pieces	*praː
30.	child-in-law	*prsaː
31.	to feed	*psaː
32.	to wash	*ptaː
33.	worn out	*raː
34.	charcoal	*rŋaː
35.	to eat	*saː
36.	leaf	*slaː
37.	smell bad	*smaː
38.	handspan	*tdaː
39.	grandfather	*tʰaː
40.	war	*tʰmaː
41.	shoulder	*tmpʰaː
42.	to make, build	*ʧnaː
43.	before	*ʧwaː
44.	drunk	*buː-ʔaːc
45.	entirely at once	*kʰaːc
46.	waterfall	*kʧaːc
47.	to wash	*saːc
48.	fat, stout	*sŋaːc
49.	warm, hot	*sɁaːc
50.	to splash	*ʧaːc
51.	distant	*ʤŋaːj
52.	many	*-haːj
53.	to pluck out	*kʰaːj
54.	ditch, trench	*kʰaraːj
55.	rat, mouse	*kʰnaːj
56.	kidney	*kʰnlaːj
57.	to cut, sever	*kʰraːj
58.	to spread	*kraːj
59.	millet	*kraːj
60.	to auger	*krtʰaːj
61.	thread, string	*ksaːj
62.	to go	*la:j~*la:c
63.	three	*laːj
64.	wasp	*lwaːj
65.	to send	*ptʰa:j
66.	bean	*rmbaːj
67.	seed	*smbaːj
68.	waist	*sŋkaːj
69.	clear, bright	*ʧaːj
70.	new	*tʰmaːj
71.	root	*traːj
72.	rope, cord	*trraːj
73.	to give	*ʔaːj
74.	to eat	*baːm
75.	to weep	*jaːm
76.	to step	*kaːm
77.	to bring	*laːm
78.	fame	*naːm
79.	clearing in jungle	*raːm
80.	to distribute	*sa:m
81.	to bore, pierce	*sam
82.	husks	*skaːm
83.	blood	*snaːm
