No.	Form	Language	Gloss (1)	Gloss (2)
N1	*kniiʔ	Proto-Monic	rat, mouse	rat
N1.B	*khni̱iʔ	Proto-Nyah Kur	rat	
N1.A	*[k]hnɒ̱i̯ʔ	Proto-Mon	rat, mouse	
N2	*[c/s]naaʔ	Proto-Monic		a tree-shrew, Tupaia sp; /chənaaʔ nthɔ̤ɔk/ a chipmunk
N2.B	*ɕhna̱aʔ	Proto-Nyah Kur	a tree-shrew, Tupaia sp; /chənaaʔ nthɔ̤ɔk/ a chipmunk	
N3	*klaaʔ	Proto-Monic	tiger, draughtsman	tiger: Panthera tigris corbetti, Mazak
N3.B	*khla̱aʔ	Proto-Nyah Kur	tiger: Panthera tigris corbetti, Mazak	
N3.A	*kla̱ʔ	Proto-Mon	tiger, draughtsman	
N4	*klwaaʔ	Proto-Monic	bat	night-jar, Caprimulgus macrurus
N4.B	*kəwa̱aʔ	Proto-Nyah Kur	night-jar, Caprimulgus macrurus	
N4.A	*kəwa̱ʔ	Proto-Mon	bat	
N5	*phɛɛʔ	Proto-Monic	otter: Lutra nair, F. Cuvier	otter: Lutra perspicillata, Geoffroy
N5.B	*phɛ̱ɛʔ	Proto-Nyah Kur	otter: Lutra perspicillata, Geoffroy	
N5.A	*phɛ̱ʔ	Proto-Mon	otter: Lutra nair, F. Cuvier	
N6	*cliik	Proto-Monic	pig	domestic pig
N6.B	*khli̱ic	Proto-Nyah Kur	domestic pig	
N6.A	*glɤ̱i̯c	Proto-Mon	pig	
N7	*ciiŋ	Proto-Monic	elephant	elephant
N7.B	*ci̱iɲ	Proto-Nyah Kur	elephant	
N7.A	*cɤ̱i̯ɲ	Proto-Mon	elephant	
N8	*kndiiŋ	Proto-Monic	gaur: Bibos gaurus raedei, Lydekker	gaur: Bibos gaurus raedei, Lydekker
N8.B	*kənti̤iɲ	Proto-Nyah Kur	gaur: Bibos gaurus raedei, Lydekker	
N8.A	*kəlɤ̱i̯ɲ	Proto-Mon	gaur: Bibos gaurus raedei, Lydekker	
N9	*tɓuŋ	Proto-Monic	Sambhar deer: Rusa unicolor equinus, Cuvier	Sambhar deer: Rusa unicolor equinus, Cuvier
N9.B	*thbu̱ŋ	Proto-Nyah Kur	Sambhar deer: Rusa unicolor equinus, Cuvier	
N9.A	*ɓɒ̱ɨ̯ŋ	Proto-Mon	Sambhar deer: Rusa unicolor equinus, Cuvier	
N10	*[r]maŋ	Proto-Monic	Brow-antlered deer: Rucervus thamin	Eld's deer: Cervus eldi siamensis, Lydekker
N10.B	*ləma̤ŋ	Proto-Nyah Kur	Eld's deer: Cervus eldi siamensis, Lydekker	
N10.A	*mɛ̤a̯ŋ	Proto-Mon	Brow-antlered deer: Rucervus thamin	
N11	*priəŋ	Proto-Monic	water-buffalo	water-buffalo
N11.B	*pri̱əŋ	Proto-Nyah Kur	water-buffalo	
N11.A	*pri̱ə̯ŋ	Proto-Mon	water-buffalo	
N12	*lmliəŋ	Proto-Monic	porcupine	porcupine: Hystrix hodgsoni, Gray
N12.B	*ləmli̤aŋ	Proto-Nyah Kur	porcupine: Hystrix hodgsoni, Gray	
N12.A	*pəli̤ə̯ŋ	Proto-Mon	porcupine	
N13	*srit	Proto-Monic	rhinoceros	rhinoceros
N13.B	*ɕrɯ̱t	Proto-Nyah Kur	rhinoceros	
N13.A	*si̱t	Proto-Mon	rhinoceros	
N14	*kmu̱m	Proto-Monic	Himalayan black bear: Selenarctos tibetanus, Cuvier	Himalayan black bear: Selenarctos tibetanus, Cuvier
N14.B	*khmu̱m	Proto-Nyah Kur	Himalayan black bear: Selenarctos tibetanus, Cuvier	
N14.A	*[k]hmi̱m	Proto-Mon	Himalayan black bear: Selenarctos tibetanus, Cuvier	
N15	*ɟ()ləw	Proto-Monic	ox	buffalo
N15.B	*khlə̤w	Proto-Nyah Kur	buffalo	
N15.A	*klɛ̤ə̯	Proto-Mon	ox	
N16	*clur	Proto-Monic	dog	dog
N16.B	*[khl/ch]u̱r	Proto-Nyah Kur	dog	
N16.A	*klə	Proto-Mon	dog	
N17	*pas	Proto-Monic	barking deer: Muntiacus muntjak and Muntiacus feae	barking deer: Muntiacus muntjak vaginalis, Lydekker
N17.B	*pa̱j̊	Proto-Nyah Kur	barking deer: Muntiacus muntjak vaginalis, Lydekker	
N17.A	*pɔ̱h	Proto-Mon	barking deer: Muntiacus muntjak and Muntiacus feae	
N18	*knuuj	Proto-Monic	monkey	macaque (general term)
N18.B	*khnu̱uj	Proto-Nyah Kur	macaque (general term)	
N18.A	*[k]hnu̱i̯	Proto-Mon	monkey	
N19	*ksɛh	Proto-Monic	horse	horse
N19.B	*ɕɛ̱h	Proto-Nyah Kur	horse	
N19.A	*khjɛ̱h	Proto-Mon	horse	
N20	*(ʔa)daa	Proto-Monic	duck (domestic)	duck (domestic)
N20.B	*ta̤a	Proto-Nyah Kur	duck (domestic)	
N20.A	*(ʔ/kə)ta̤ɛ̯	Proto-Mon	duck (domestic)	
N21	*klʔaak	Proto-Monic	house-crow: Corvus splender, Vieillot	crow
N21.B	*kəlʔa̱ak	Proto-Nyah Kur	crow	
N21.A	*həɗa̱i̯c	Proto-Mon	house-crow: Corvus splender, Vieillot	
N22	*ʔ[m]blak	Proto-Monic	night-jar	night-jar (Caprimulgus macrurus?)
N22.B	*bla̱k	Proto-Nyah Kur	night-jar (Caprimulgus macrurus?)	
N22.A	*ʔəplɛ̤a̯k	Proto-Mon	night-jar	
N23	*liŋ-liəŋ	Proto-Monic	kite	hawk: Spizaetus sp.
N23.B	*liŋ-li̤aŋ	Proto-Nyah Kur	hawk: Spizaetus sp.	
N23.A	*kəni̤ə̯ŋ	Proto-Mon	kite	
N24	*tjaaŋ	Proto-Monic	domestic fowl: Gallus gallus	domestic fowl: Gallus gallus
N24.B	*chja̱aŋ	Proto-Nyah Kur	domestic fowl: Gallus gallus	
N24.A	*ca̱i̯ɲ	Proto-Mon	domestic fowl: Gallus gallus	
N25	*kreeɲ	Proto-Monic	a parrot: Psittacula eupatria avensis, Kloss	a parrot: Psittacula sp.; P. finschii?
N25.B	*krə̱əɲ	Proto-Nyah Kur	a parrot: Psittacula sp.; P. finschii?	
N25.A	*krʌ̱i̯ɲ	Proto-Mon	a parrot: Psittacula eupatria avensis, Kloss	
N26	*cgɯt	Proto-Monic	quail: Coturnix sp.	quail: Coturnix sp.
N26.B	*cəkɯ̤t	Proto-Nyah Kur	quail: Coturnix sp.	
N26.A	*hək[i̤/ɯ̤]t	Proto-Mon	quail: Coturnix sp.	
N27	*t-[m]-maat	Proto-Monic	vulture: (Pseudogyps bengalensis?)	vulture: (Pseudogyps bengalensis?)
N27.B	*tə(m)ma̱at	Proto-Nyah Kur	vulture: (Pseudogyps bengalensis?)	
N27.A	*[k]əma̱t	Proto-Mon	vulture: (Pseudogyps bengalensis?)	
N28	*mit	Proto-Monic	turmeric plant	an oriole (Oriole chinensis?, literally "turmeric (bird)")
N28.B	*mɯ̤t	Proto-Nyah Kur	an oriole (Oriole chinensis?, literally "turmeric (bird)")	
N28.A	*mi̤t	Proto-Mon	turmeric plant	
N29	*prgum	Proto-Monic		Burmese green pigeon: Crocopus phoenicopterus viridifrons
N29.B	*pərkṳm	Proto-Nyah Kur	Burmese green pigeon: Crocopus phoenicopterus viridifrons	
N29.A	*həkə̤m	Proto-Mon		
N30	*kɲciəm	Proto-Monic	bird, general term	bird, general term
N30.B	*kəɲci̱am	Proto-Nyah Kur	bird, general term	
N30.A	*həce̱m	Proto-Mon	bird, general term	
N31	*t[]wa(a)w	Proto-Monic	koel, black cuckoo	koel, black cuckoo: Eudynamis scolopacea malayana, Cabanic and Meine
N31.B	*t()wa̱w	Proto-Nyah Kur	koel, black cuckoo: Eudynamis scolopacea malayana, Cabanic and Meine	
N31.A	*kəwa̱o̯	Proto-Mon	koel, black cuckoo	
N32	*puur	Proto-Monic	dove	turtle-dove: Streptopelia orientalis, (S. chinensis?)
N32.B	*pu̱ur	Proto-Nyah Kur	turtle-dove: Streptopelia orientalis, (S. chinensis?)	
N32.A	*pɒ̱u̯	Proto-Mon	dove	
N33	*tɲɟuuʔ	Proto-Monic	maggot	worm, caterpillar (general germ)
N33.B	*kəɲcṳuʔ	Proto-Nyah Kur	worm, caterpillar (general germ)	
N33.A	*kəjɒ̱u̯ʔ	Proto-Mon	maggot	
N34	*sdɛɛʔ	Proto-Monic	cockroach	cicada; /chəthɛ̤ɛʔ thṳuŋ/ cockroach, Periplaneta sp.
N34.B	*ɕətɛ̤ɛʔ	Proto-Nyah Kur	cicada; /chəthɛ̤ɛʔ thṳuŋ/ cockroach, Periplaneta sp.	
N34.A	*həte̤ʔ	Proto-Mon	cockroach	
N35	*huŋ	Proto-Monic	hornet	a wasp which nests in trees, (Vespidae)
N35.B	*hu̱ŋ	Proto-Nyah Kur	a wasp which nests in trees, (Vespidae)	
N35.A	*hɒ̱ɨ̯ŋ	Proto-Mon	hornet	
N36	*smɔɔc	Proto-Monic	ant (general term)	ant (general term)
N36.B	*ɕhmu̱ac	Proto-Nyah Kur	ant (general term)	
N36.A	*həmo̱t	Proto-Mon	ant (general term)	
N37	*druuɲ	Proto-Monic	termite (general term)	termite (general term)
N37.B	*thrṳuɲ	Proto-Nyah Kur	termite (general term)	
N37.A	*krṳn	Proto-Mon	termite (general term)	
N38	*cgit	Proto-Monic	bedbug: Cimex sp.	bedbug: Cimex sp.
N38.B	*cəkɯ̤t	Proto-Nyah Kur	bedbug: Cimex sp.	
N38.A	*həki̤t	Proto-Mon	bedbug: Cimex sp.	
N39	*tmrɔɔt	Proto-Monic	kind of bee nesting in hollow tree	honey-bee: Apis indica
N39.B	*təmru̱at	Proto-Nyah Kur	honey-bee: Apis indica	
N39.A	*həro̤t	Proto-Mon	kind of bee nesting in hollow tree	
N40	*kntap	Proto-Monic	grasshopper (Acrididae)	grasshopper (Acrididae)
N40.B	*kənta̱p	Proto-Nyah Kur	grasshopper (Acrididae)	
N40.A	*hətɔ̱p	Proto-Mon	grasshopper (Acrididae)	
N41	*(-)ksaw	Proto-Monic	red ant	red ant
N41.B	*ɕa̱w	Proto-Nyah Kur	red ant	
N41.A	*[k]əcha̱o̯	Proto-Mon	red ant	
N42	*plaar	Proto-Monic	large kind of horsefly	horsefly etc.
N42.B	*phla̱ar	Proto-Nyah Kur	horsefly etc.	
N42.A	*pla̱	Proto-Mon	large kind of horsefly	
N43	*thɔɔr	Proto-Monic	kind of hornet	small yellow wasps, nest in trees, (Vespidae)
N43.B	*thu̱ar	Proto-Nyah Kur	small yellow wasps, nest in trees, (Vespidae)	
N43.A	*tho̱	Proto-Mon	kind of hornet	
N44	*caj	Proto-Monic	louse	parasite (human or animal, head or body); general term
N44.B	*ca̱j	Proto-Nyah Kur	parasite (human or animal, head or body); general term	
N44.A	*cɒ̱ɛ̯	Proto-Mon	louse	
N45	*ruuj	Proto-Monic	housefly	housefly
N45.B	*rṳuj	Proto-Nyah Kur	housefly	
N45.A	*rṳi̯	Proto-Mon	housefly	
N46	*saaj	Proto-Monic	bee	bee: Apis dorsata
N46.B	*ɕa̱aj	Proto-Nyah Kur	bee: Apis dorsata	
N46.A	*sa̱i̯	Proto-Mon	bee	
N47	*kaaʔ	Proto-Monic	fish (general term)	fish (general term)
N47.B	*ka̱aʔ	Proto-Nyah Kur	fish (general term)	
N47.A	*ka̱ʔ	Proto-Mon	fish (general term)	
N48	*dwiiʔ	Proto-Monic	fresh-water turtle	freshwater soft-shelled tortoise: Trionyx cartilageneus
N48.B	*[c/t]həwi̤iʔ	Proto-Nyah Kur	freshwater soft-shelled tortoise: Trionyx cartilageneus	
N48.A	*kwi̤ʔ	Proto-Mon	fresh-water turtle	
N49	*knlooʔ	Proto-Monic	shellfish, shell	snail, shellfish
N49.B	*kənlo̱oʔ	Proto-Nyah Kur	snail, shellfish	
N49.A	*kənɒ̱u̯ʔ	Proto-Mon	shellfish, shell	
N50	*doŋ-nooŋ	Proto-Monic	small variety of eel	a freshwater eel: Fluta alba, Zuiew
N50.B	*kənto̤oŋ ~ *tṳŋ-to̤oŋ	Proto-Nyah Kur	a freshwater eel: Fluta alba, Zuiew	
N50.A	*hələ̤ɨ̯ŋ	Proto-Mon	small variety of eel	
N51	*knlɔɔn	Proto-Monic	immature banded snakehead	snakehead fish: Ophiocephalus striatus
N51.B	*kənlu̱an	Proto-Nyah Kur	snakehead fish: Ophiocephalus striatus	
N51.A	*kəno̤n	Proto-Mon	immature banded snakehead	
N52	*kntaam	Proto-Monic	fresh-water crab	fresh-water crab
N52.B	*kənta̱am	Proto-Nyah Kur	fresh-water crab	
N52.A	*həta̱m	Proto-Mon	fresh-water crab	
N53	*c()jaam	Proto-Monic	crocodile	crocodile
N53.B	*khəja̱am	Proto-Nyah Kur	crocodile	
N53.A	*cja̱m	Proto-Mon	crocodile	
N54	*ŋgaaw	Proto-Monic	frog, toad	small green frog (general term)
N54.B	*ka̤aw	Proto-Nyah Kur	small green frog (general term)	
N54.A	*ŋɛ̤ə̯	Proto-Mon	frog, toad	
N55	*ŋguj	Proto-Monic	prawn, crayfish	freshwater shrimp
N55.B	*kṳj	Proto-Nyah Kur	freshwater shrimp	
N55.A	*ŋṳi̯	Proto-Mon	prawn, crayfish	
N56	*trkɔɔt	Proto-Monic	Varanus	ground monitor: Varanus nebulosus
N56.B	*təku̱at	Proto-Nyah Kur	ground monitor: Varanus nebulosus	
N56.A	*həko̱t	Proto-Mon	Varanus	
N57	*klan	Proto-Monic	python	python
N57.B	*khla̱n	Proto-Nyah Kur	python	
N57.A	*klɔ̱n	Proto-Mon	python	
N58	*ɟroom	Proto-Monic	snake, general term	snake, general term
N58.B	*chro̤om	Proto-Nyah Kur	snake, general term	
N58.A	*sṳm	Proto-Mon	snake, general term	
N59	*klam	Proto-Monic	land leech	land leech
N59.B	*khla̱m	Proto-Nyah Kur	land leech	
N59.A	*klɔ̱m	Proto-Mon	land leech	
N60	*gir-giir	Proto-Monic	red centipede	red centipede
N60.B	*ki̤r-ki̤ir	Proto-Nyah Kur	red centipede	
N60.A	*həki̤	Proto-Mon	red centipede	
N61	*maaʔ	Proto-Monic	seed, kernel, pill, round object (e.g. letters of the Mon alphabet)	seeds kept aside for planting; females of domestic animals kept for reproduction
N61.B	*ma̤aʔ	Proto-Nyah Kur	seeds kept aside for planting; females of domestic animals kept for reproduction	
N61.A	*mɛ̤ə̯ʔ	Proto-Mon	seed, kernel, pill, round object (e.g. letters of the Mon alphabet)	
N62	*ɟrlaaʔ	Proto-Monic	thorn; (occurs in names of thorny plants)	thorn; thorny bamboo: Bambusa arundinacea
N62.B	*chəla̤aʔ	Proto-Nyah Kur	thorn; thorny bamboo: Bambusa arundinacea	
N62.A	*həlɛ̤ə̯ʔ	Proto-Mon	thorn; (occurs in names of thorny plants)	
N63	*slaaʔ	Proto-Monic	leaf, leaf-like object, object with broad flat surface	leaf
N63.B	*ɕhla̱aʔ	Proto-Nyah Kur	leaf	
N63.A	*hla̱ʔ	Proto-Mon	leaf, leaf-like object, object with broad flat surface	
N64	*chuuʔ	Proto-Monic	tree, log, wood, timber	wood, i.e. ligneous substance; stick of wood (used e.g. for guiding cattle); in many compounds
N64.B	*chu̱uʔ	Proto-Nyah Kur	wood, i.e. ligneous substance; stick of wood (used e.g. for guiding cattle); in many compounds	
N64.A	*chu̱ʔ	Proto-Mon	tree, log, wood, timber	
N65	*ɟook	Proto-Monic	string, cord, rope, lashing; creeper; bundle of twenty-four palm leaves tied together	creeper, vine, rope; hundred
N65.B	*co̤ok	Proto-Nyah Kur	creeper, vine, rope; hundred	
N65.A	*cə̤ɨ̯k	Proto-Mon	string, cord, rope, lashing; creeper; bundle of twenty-four palm leaves tied together	
N66	*ksɔk	Proto-Monic	straw, especially rice-straw	straw; harvested part of a cereal, without the grain, e.g. corncob, rice-stalk
N66.B	*ɕɔ̱k	Proto-Nyah Kur	straw; harvested part of a cereal, without the grain, e.g. corncob, rice-stalk	
N66.A	*chɔ̱k	Proto-Mon	straw, especially rice-straw	
N67	*[t/c]ŋkɔɔŋ	Proto-Monic	ear of grain; piece of semi-precious stone, lump of metal, nugget	ear (of rice or millet)
N67.B	*()ŋkɔ̱ɔŋ	Proto-Nyah Kur	ear (of rice or millet)	
N67.A	*həko̱ŋ	Proto-Mon	ear of grain; piece of semi-precious stone, lump of metal, nugget	
N68	*tɓaŋ	Proto-Monic	bamboo-shoot	bamboo-shoot
N68.B	*thba̱ŋ	Proto-Nyah Kur	bamboo-shoot	
N68.A	*ɓa̱ŋ	Proto-Mon	bamboo-shoot	
N69	*sac	Proto-Monic	fruit, nut, berry; areca nut; head, blade of tool	fruit, nut, acorn, pod
N69.B	*ɕɛ̱c	Proto-Nyah Kur	fruit, nut, acorn, pod	
N69.A	*sɔ̱t	Proto-Mon	fruit, nut, berry; areca nut; head, blade of tool	
N70	*duuɲ	Proto-Monic	bamboo, bamboo plant, length of bamboo; can be followed by species name	bamboo; general term, can be followed by species name
N70.B	*tṳuɲ	Proto-Nyah Kur	bamboo; general term, can be followed by species name	
N70.A	*tṳn	Proto-Mon	bamboo, bamboo plant, length of bamboo; can be followed by species name	
N71	*kmbat	Proto-Monic	grass, weeds; can be followed by species name to refer to grass-like plants, some edible or medicinal	grass; any grass-like plant, including sugar cane, elephant-grass, rice, lemon-grass
N71.B	*kəmpa̤t	Proto-Nyah Kur	grass; any grass-like plant, including sugar cane, elephant-grass, rice, lemon-grass	
N71.A	*kəmo̱t	Proto-Mon	grass, weeds; can be followed by species name to refer to grass-like plants, some edible or medicinal	
N72	*grəp	Proto-Monic	forest, jungle; wild (in compounds with names of animals)	secondary forest, with dense bushy undergrowth, even a dog cannot go there to deficate (sic); contrasted with 'primary forest', and 'thinned out forest with grass undergrowth'; in compounds with animal names 'wild'
N72.B	*khrə̤p	Proto-Nyah Kur	secondary forest, with dense bushy undergrowth, even a dog cannot go there to deficate (sic); contrasted with 'primary forest', and 'thinned out forest with grass undergrowth'; in compounds with animal names 'wild'	
N72.A	*krə̤p	Proto-Mon	forest, jungle; wild (in compounds with names of animals)	
N73	*(cŋ)kaam	Proto-Monic	chaff, bran, husks of paddy	husks (of rice, millet) separated from the seed
N73.B	*()ŋka̱am	Proto-Nyah Kur	husks (of rice, millet) separated from the seed	
N73.A	*ka̱m	Proto-Mon	chaff, bran, husks of paddy	
N74	*tam	Proto-Monic	foot of tree; beginning; capital, principal on which interest is paid	tree-base and trunk; solid part of a hair which is planted in a scalp; base of nail, embedded in flesh; individual tree; prefix used before tree names
N74.B	*ta̱m	Proto-Nyah Kur	tree-base and trunk; solid part of a hair which is planted in a scalp; base of nail, embedded in flesh; individual tree; prefix used before tree names	
N74.A	*tɔ̱m	Proto-Mon	foot of tree; beginning; capital, principal on which interest is paid	
N75	*t-n-am	Proto-Monic	prefix used before tree names	
N75.A	*hnɔ̱m	Proto-Mon	prefix used before tree names	
N76	*pkaaw	Proto-Monic	flower	flower; to flower; /ka̱aw kəma̱t/ sparks of fire
N76.B	*ka̱aw	Proto-Nyah Kur	flower; to flower; /ka̱aw kəma̱t/ sparks of fire	
N76.A	*ka̱o̯	Proto-Mon	flower	
N77	*cŋkɔɔr	Proto-Monic	bark of tree, fibrous outer husk of coconuts	exterior envelope of vegetals, e.g. rice-husk (when not removed from grain), outer skin of coconuts (but not the fiber beneath), tree-bark, fruit-peel
N77.B	*cəŋku̱ar	Proto-Nyah Kur	exterior envelope of vegetals, e.g. rice-husk (when not removed from grain), outer skin of coconuts (but not the fiber beneath), tree-bark, fruit-peel	
N77.A	*həko̱	Proto-Mon	bark of tree, fibrous outer husk of coconuts	
N78	*lmɓar	Proto-Monic	young sapling, shoot, emerging leaf	main shoot, e.g. of coconut tree, rattans, palms, usually edible
N78.B	*()mba̱r	Proto-Nyah Kur	main shoot, e.g. of coconut tree, rattans, palms, usually edible	
N78.A	*[k]əmo̱	Proto-Mon	young sapling, shoot, emerging leaf	
N79	*t[l]gəl	Proto-Monic	stump (of tree, of tooth)	stump (of tree, of branch, of mushroom); stub (of rice-plant, of unshaven beard or monk's hair)
N79.B	*təkə̤l	Proto-Nyah Kur	stump (of tree, of branch, of mushroom); stub (of rice-plant, of unshaven beard or monk's hair)	
N79.A	*həkə̤	Proto-Mon	stump (of tree, of tooth)	
N80	*ptis	Proto-Monic	mushroom, mildew	mushroom (all kinds: growing on earth, on trees, on logs); mildew
N80.B	*pəti̱h	Proto-Nyah Kur	mushroom (all kinds: growing on earth, on trees, on logs); mildew	
N80.A	*pətɒ̱ɨ̯h	Proto-Mon	mushroom, mildew	
N81	*ris	Proto-Monic	root	root (including mushroom 'roots', hair-roots; excluding aerial roots of banyan trees)
N81.B	*ri̤h	Proto-Nyah Kur	root (including mushroom 'roots', hair-roots; excluding aerial roots of banyan trees)	
N81.A	*rə̤h	Proto-Mon	root	
N82	*ksɔɔj	Proto-Monic	grass, weed, hay	useless fiber, e.g. bamboo shavings, fibrous base of palm-fronds, hay, loose pieces of thread, shredded rags, dead hair caught in a comb
N82.B	*ɕuaj	Proto-Nyah Kur	useless fiber, e.g. bamboo shavings, fibrous base of palm-fronds, hay, loose pieces of thread, shredded rags, dead hair caught in a comb	
N82.A	*chu̱ə̯	Proto-Mon	grass, weed, hay	
N83	*kɟiiʔ	Proto-Monic	Upas tree; Antiaris toxicaria, Leschenault; poison; pain	arrow-poison, from the sap of a tree called /yaaŋ nɔ̂ɔŋ/ in /thai
N83.B	*kəci̤iʔ	Proto-Nyah Kur	arrow-poison, from the sap of a tree called /yaaŋ nɔ̂ɔŋ/ in /thai	
N83.A	*kji̤ʔ	Proto-Mon	Upas tree; Antiaris toxicaria, Leschenault; poison; pain	
N84	*cwooʔ	Proto-Monic	thatching grass	thatching grass: Imperata cylindrica, Beauv.
N84.B	*chwo̱oʔ	Proto-Nyah Kur	thatching grass: Imperata cylindrica, Beauv.	
N84.A	*khwɒ̱ɨ̯ʔ	Proto-Mon	thatching grass	
N85	*ɟnlɛɛʔ	Proto-Monic	creeper with large disk-shaped seeds: Entada scandens, Bentham; Entada seed, or wooden or bone counter; used in a game in which seeds set upright in a row are knocked down with others variously projected; /mɛ̤ʔ- -ɓɔ̱ŋ/ kneecap etc.	Entada bean, St. Thomas's bean: Entada pursathea, DC; seeds of Entada bean; a game played with these seeds; /-kbɔ̱ŋ/ kneecap etc.
N85.B	*khənlɛ̤ɛʔ	Proto-Nyah Kur	Entada bean, St. Thomas's bean: Entada pursathea, DC; seeds of Entada bean; a game played with these seeds; /-kbɔ̱ŋ/ kneecap etc.	
N85.A	*həne̤ʔ	Proto-Mon	creeper with large disk-shaped seeds: Entada scandens, Bentham; Entada seed, or wooden or bone counter; used in a game in which seeds set upright in a row are knocked down with others variously projected; /mɛ̤ʔ- -ɓɔ̱ŋ/ kneecap etc.	
N86	*srooʔ	Proto-Monic	paddy, standing crop of paddy, unhusked grain of rice plant	rice-plant: Oryza sativa, Linn.
N86.B	*ɕro̱oʔ	Proto-Nyah Kur	rice-plant: Oryza sativa, Linn.	
N86.A	*sɒ̱ɨ̯ʔ	Proto-Mon	paddy, standing crop of paddy, unhusked grain of rice plant	
N87	*[s]a-bluuʔ	Proto-Monic	betel leaf; areca nut wrappen in leaf of Piper betle for chewing	betel vine: Piper betle, Linn.; betel leaf
N87.B	*ʔa-phlṳʔ	Proto-Nyah Kur	betel vine: Piper betle, Linn.; betel leaf	
N87.A	*həplṳʔ	Proto-Mon	betel leaf; areca nut wrappen in leaf of Piper betle for chewing	
N88	*mbaak	Proto-Monic	Job's tears: Coix lacryma-jobi, Linn.	Job's tears: Coix lacryma-jobi, Linn.
N88.B	*pa̤ak	Proto-Nyah Kur	Job's tears: Coix lacryma-jobi, Linn.	
N88.A	*ma̤i̯c	Proto-Mon	Job's tears: Coix lacryma-jobi, Linn.	
N89	*trook	Proto-Monic	mango: Mangifera indica, Linn.	mango: Mangifera indica, Linn.
N89.B	*tro̱ok	Proto-Nyah Kur	mango: Mangifera indica, Linn.	
N89.A	*krʌ̱ɨ̯k	Proto-Mon	mango: Mangifera indica, Linn.	
N90	*trʔɔɔŋ	Proto-Monic	egg-plant: Solanum melongena, Linn.	egg-plant, general term for Solanum spp.
N90.B	*tərʔɔ̱ɔŋ	Proto-Nyah Kur	egg-plant, general term for Solanum spp.	
N90.A	*həɗɔ̱ŋ	Proto-Mon	egg-plant: Solanum melongena, Linn.	
N91	*lwaaŋ	Proto-Monic	mint: Ocimum villosum, Roxburgh	Basil, general term used for several aromatic herbs used in cooking and cultivated around the house
N91.B	*ləwa̤aŋ	Proto-Nyah Kur	Basil, general term used for several aromatic herbs used in cooking and cultivated around the house	
N91.A	*wa̤i̯ɲ	Proto-Mon	mint: Ocimum villosum, Roxburgh	
