No.	Gloss	Proto-Munda	Gorum	Sora	Remo	Gutob	Kharia	Juang	Gtaʔ	Santali	Mundari	Ho	Korwa	Korku
1	water	*daˀk	ɖaʔ	daːʔ	dak'	ɖaʔ	ɖaʔ	ɖag	ndiaʔ	dak'	daː	daʔ	daːʔ	ɖa
2	bone	*ɟaŋ	za̰ŋ	əɟaːŋ	siʔsaŋ	sisaŋ	jaŋ	ɟaŋ	ncia	jaŋ	jaːŋ	jaŋ	jaːŋ	
3	tongue	*laŋ	laŋ	əlaːŋ	leaŋ	laʔŋ	laŋ	elaŋ	nlia	alaŋ	aːlaːŋ	(leʔ)	aːlaːŋ	laŋ
4	tiger	*kᵊla	kulaʔ	ˈkinaː	ŋku	gikil	kiɽoʔ	kiɭog	nku	kul	kulaː	kula	kuːl	kula
5	weave (v)	*taɲ	taɲ	taɲ	taNy	taɲ	taɲ		tæ	teɲ	teŋ	teɲ		
6	climb (v)	*daˀc	ɖaˀɟ	daɟ	ɖaĭ	ɖaj		ɖaɲ	ɖæʔ	de̠c'	dej'	deʔ	deʔ	(cuɖe)
7	horn	*dəraŋ	ɖeraŋ	ˈdeˑraŋ	deruŋ		ɖereŋ		ɖiraŋ	dereɲ	diriŋ	diriɲ	dereŋ	
8	hand	*tiiˀ	siʔ	siːʔ	titi	titi	tiʔ	iti	nti	ti	ti	tiː	tiʔiː	ʈi
9	louse	*siiˀ	(aŋiˀd)	iʔi	gisi	gisi	seʔ	ɛsɛ	gsi	se	siku	siku	guhiː	siku
10	foot	*ɟv₇ŋ	zḭŋ	ɟeːˀŋ	suŋ	suŋ	juŋ	iɟiŋ	nco	jaŋga	jaŋga			(naŋga)
11	head	*bok₂oˀp	baˀb	boːˀb	bob	bob	bokoˀb	bokob	bhaʔ	bo̠ho̠k'	bo	boːʔ	boʔ	
12	eye	*məˀt	maˀd	moːˀd/mad	moʔ	moʔ	moˀɖ	ɛmɔɖ	muaʔ	mẽ̠t'	med'	meɖ	meɖ	med
13	cut (v)	*gəˀt	gaˀd	gad	goʔ	goɖ	gaˀɖ		gwaʔ	ge̠t'	ged'	geɖ	geɖ	geʈ
14	thatch	*v₉laŋ/ᵊlaŋ	alaŋ	əlaŋ	lɔŋ	uloŋ	oloŋ	oloŋ	nlo					
15	eat (v)	*ɟv₁₀m	zum	ɟom	sum	som	jom	ɟim	coŋ	jo̠m	jom	jom	jom	jom
16	drunk	*bul	bṵl	buʔul	bu	bil	bul	buli	busaʔ	bul	bul	bul	bubul	bubul
17	thigh	*buluuˀ	bulu	buluː	buli/bili	bili	bhulu	bulu	bulu	bulu	bulu	bulu	buːl	bulu
