No.	Proto-Nicobarese	Gloss
1	*ɹaː	abandon
2	*samaː	jaw
3	*saː	to eat
4	*ʔaː	two
5	*kaᵈraːc	knead
6	*ŋaːc	oil
7	*faːj	cloud
8	*litaːk	tongue
9	*ᵈraːk	water
10	*ŋaːl	ripe
11	*mahaːm	blood
12	*kaːn	female, wife
13	*taːɲ	weave
14	*kalaːŋ	eagle
15	*ʔoal-faːŋ	mouth
16	*ʔaːŋ	open
17	*jaːŋ	to hear
18	*haːŋ	to hear
19	*hiŋʔaːp	yawn
20	*caːt	jump
21	*ʔuɹaːʋ	coconut
22	*kaːʔ	fish
23	*taʋ (?)	wasp
24	*ʋac	miss target
25	*ɹac	wash
26	*ʔac	feces
27	*kapah	die
28	*ʔakah	to know
29	*ʔah	live
30	*ʔah	swell
31	*fana/ɔh	broom
32	*fa/ɔh	sweep
33	*tanaj	five
34	*taj	hand
35	*pahaj	sated
36	*ᵈrak	break, split
37	*tak	to drip
38	*sak	to spear
39	*kaʋal	throw away
40	*ʔam	dog
41	*hilam	leech
42	*ᵈram	night
43	*panam	place, village, country
44	*kɹam	rim, edge
45	*katam	roe
46	*tam	to spear
47	*ʋan	coil
48	*laŋan	heavy
49	*tulan	python
50	*taɲ	hot
51	*canaŋ	Clf. for trees, posts, hair, etc.
52	*faŋ	cut
53	*naŋ	ear
54	*pintaŋ	gall
55	*haŋ	hot, spicy
56	*hʋaŋ	perspiration
57	*taŋ	to fence
58	*sap	answer
59	*kap	bite
60	*tap	parasite
61	*kanap	tooth
62	*cap	pick up
63	*kap	turtle
64	*ɹat	cut (with knife)
65	*mat	eyeball
66	*sat	seven
67	*haɹat	sour
68	*ciɹaʋ	deep
69	*pacaʋ	sour
70	*-ʋaʋ	vomit
71	*ɲia	child
72	*ɹiah	root
73	*ʔitiak	sleep
74	*kial	brinjal
75	*ʋial	turn
76	*kanial	tusk
77	*sian	cooked
78	*hiaŋ	one
79	*ʋiaŋ	stomach
80	*liap	can, able
81	*kaʔiap	centipede
82	*ʔiat	squeak
83	*miaʋ	cat
84	*ciaʔ	tree
85	*ci(h)	who?
86	*ᵈriːᵈri	all, whole
87	*ɲiː	house
88	*kaɹiː	road, path
89	*ʋiː(ʔ)	make, do
90	*lic	to peel
91	*sih	blow nose
92	*ŋih	clam
93	*(ʔ)jih	come, arrive
94	*ɲih	to sell
95	*ʔicih	to stitch
96	*ʔin	in (prep.)
97	*-ʔiŋ	bone
98	*ɹiŋ	hard
99	*caliŋ	long
100	*ʔamis	rain
101	*kiɹit	grind
102	*ᵈrit	tail
103	*cikeaŋ	elbow
104	*me(h)	you
105	*ɹaheʔ	vein, nerve
106	*hej	fibre
107	*sej	lice
108	*ɹeh	begin
109	*ʋet	duck
110	*ɹeʋ	crocodile
111	*kahɛː	moon
112	*ᵈrɛː	reflexive
113	*kamalɛː	sea
114	*pumpɛː	to roll
115	*ŋɛː	voice
116	*fɛː	you
117	*pɛːc	snake
118	*kahɛːm	younger brother
119	*ɹikɛj	thin
120	*ᵈrɛh	first
121	*ʔɛ̃h	this (near)
122	*hɛh	to fly
123	*katəː/ɯa	stay, dwell
124	*ʔijɯam	breathe
125	*ᵈrɯan	to perch
126	*cɯap	to wear (skirt)
127	*ʔupɯaʔ	to carry on back
128	*sajɯh	year
129	*ʔɯj	smell
130	*hɯt	sniff
131	*ɹəːc	sparrow
132	*səːc	wash
133	*fəːj	wind
134	*kamləːk	worm
135	*hatəːm	night
136	*ɲəːp	wink, blink
137	*ɹəːh	dry
138	*taləh	fall, slip
139	*təh	float
140	*ᵈrəh	near
141	*təː	level
142	*fəː	swell/abscess
143	*fəː	to blow
144	*haᵈrək	hiccup
145	*cək	pain
146	*sək	stand up
147	*kintəl	heel
148	*kəl	to break
149	*səm	ten
150	*ᵈrəm	to hammer
151	*fəɲ	crossbow
152	*təŋ	arrive
153	*ᵈrəŋ	play instrument
154	*ᵈrəp	cover
155	*ha-kəp	to fit, fix
156	*ʔət	not
157	*kət	to cut
158	*ʔinfua	dream
159	*tuac	to husk coconut
160	*kinsuah	nail, claw
161	*fuah	open, uncover
162	*kuah	to shave
163	*ᵈruaj	beckon
164	*huaj	between
165	*ŋuak	snore
166	*cuak	step
167	*ɲuak	suck
168	*kaᵈruak	to knock
169	*ɹuaŋ	fruit
170	*kanuaŋ	knee
171	*foaŋ	window
172	*tuap	grasp with tongs
173	*kajuaʔ	birth
174	*ɹoac	overflow
175	*toah	breast
176	*moah	nose
177	*ʔoah	to cough
178	*koal	arm
179	*ʔoal	in, inside
180	*foan	four
181	*pahoaʔ	fear, afraid
182	*ʔaluː	bat
183	*ʋuː	current, flow
184	*ŋuː(ʔ)	green/blue
185	*luːc	to shed
186	*r̰uːc/*r̰əc	melt, dissolve
187	*ɹuːj	fly
188	*luːj	three
189	*ʔuːj	warm
190	*muːk	appear
191	*ɹuːk	load
192	*cuːk	place, location
193	*tuːk	pull, draw
194	*muːl	gather, collect
195	*tuːl	prop, support
196	*tafuːl	six
197	*ʔuːl	to dig
198	*kuːn	child
199	*manuːɲ	lip
200	*ʔuːɲ	twist
201	*ᵈr̰uːŋ	ladder/bridge
202	*kuːp	door
203	*tuːs-a	cotton
204	*fuːs	smoke
205	*kanuːt	a comb
206	*muːt	hide, conceal
207	*kuːt	to comb
208	*luːt	to swallow
209	*ɹuh	continue
210	*cuh	go, return
211	*paɹuh	person
212	*luh	untie
213	*kuj	head
214	*tuj	next
215	*ʔuk	back/skin
216	*-tul	carry on head/shoulder
217	*tum	bunch
218	*kiɲum	child
219	*fun	navel
220	*tuɲ	fern
221	*puŋ	group, collection
222	*ᵈruŋ	hill
223	*ᵈrup	cover
224	*put	pull
225	*sut (?)	to kick
226	*poː	suckle
227	*foː	thatch grass
228	*hVjoːj	drunk
229	*soːk	to point
230	*kiɲoːm	child
231	*soːn	to bend
232	*koːɲ	male
233	*loːŋ	to hole
234	*loːŋ	to sink
235	*puloːʔ	thigh
236	*ʔoh	broken
237	*ŋoh	chest
238	*foh	to strike
239	*ɲok	jerk, pull up
240	*pok	tie, bind
241	*hol	friend
242	*poŋ	cucumber
243	*kinpoŋ	kidney
244	*cɔ(ː)ŋ	high
245	*ɹɔː(k)	word, speech
246	*ʔinmɔː	snot
247	*kulɔːc	penis
248	*jɔːk	hair
249	*ʋɔːk	hook
250	*sɔːk	pick the teeth
251	*ʔuhɔːm	breathe
252	*ᵈrɔːn	bend
253	*mɔːn	pimple
254	*ᵈrɔːŋ	mountain
255	*ʔuŋ-lɔːŋ	neck
256	*kapɔːt	wrestle
257	*kɔh	beat, kill
258	*-ʋɔh	fell, slash
259	*ʔɔh	firewood
260	*tɔk	break (as rope)
261	*lɔk	pierce/prick
262	*ʔɔk	to drink
263	*ᵈrVːj	leaf
264	*lVːŋ	good
265	*kVnVŋ	crab
266	*kiː	all
