No.	Gloss	Proto-Pakanic	Pre-Pakanic	Bolyu	Bugan (Nala)	Bugan (Manlong)
1	hand	*ti		tjɔ3ti3; ti3	tie⁵⁵	tje⁴⁴
2	left	*ɕit	< *cit	ɕit7	pə⁰ɕi̱⁵⁵	pɯ⁵⁵ɕi̱⁵⁵
3	right	*cam		tɕəm3	pə⁰ɕa⁵⁵	pɯ⁵⁵ɕa⁵⁵
4	foot	*ʑoŋʔ	< *ɟoŋʔ	ʑɔŋ3	ʑuŋ³¹	ʑo̱ŋ⁵⁵
5	walk, to	*ɲaʔ		ɲe6	ɲa̱⁵⁵	ɲa̱³¹
6	skin	*ɓuŋ	< *ɓur	mbuŋ3	buŋ⁵⁵/³¹	mboŋ⁵⁵
7	belly	*puŋʔ		puŋ4ɕi5		ɕe⁴⁴po̱ŋ²⁴
8	bone	*ʑaʔ	< *ɟaʔ	pau4ʑe3	ɕa³⁵	ʑa̱²⁴
9	intestines	*ɕɛ	< *cɛ	laːi6ɕi5	ŋguaŋ¹³ɕɛ¹³	ŋguaŋ²⁴ɕe²⁴
10	liver	*ɓuːŋ		mbuːŋ3	bou³¹	mbou³¹
11	breast	*ɲinʔ		ɲin5	nɛ³⁵	nɛ̱⁵⁵ 'milk'
12	fear, to	*ʑu	< *ju	ʑu6	ɕɔ³³	ɕo⁴⁴
13	blood	*saːm		saːm5	sɑ³³	sa⁴⁴
14	head	*ɓuʔ		mbu3	pə⁵⁵bop³¹	mbo̱u³¹
15	hair (of head)	*suk		suk7mbu3	sa̱ŋ⁵⁵	sa̱ŋ³¹mbo̱u³¹
16	feather	*suk		suk7	sa̱ŋ³⁵	sa̱ŋ³¹
17	nose	*maŋʔ		lɔŋ2mi6	pə⁵⁵mã̱³¹	pɯ⁵⁵maŋ³¹
18	smell, to (detect odor)	*tseŋʔ	< *ceŋʔ	tsan5	tsa̱n³⁵	tse̱ŋ²⁴
19	mouth	*tɔk		lɔŋ2tɔk7	tũ̱i⁵⁵	to̱ŋ³¹
20	tongue	*lim		lɔ6lim4	pə⁵⁵lai³³	pu⁵⁵lei⁴⁴
21	laugh, to	*mjoʔ		mi1	mi̱o³¹	mjo̱³¹
22	weep, to	*ʑaːm	< *jaːm	ʑaːm4	ʑɑ³³	ʑa⁴⁴
23	vomit, to	*ʔuːk		ʔu:k7	a̱u⁵⁵	a̱u³¹
24	spit, to	*ɓjoʔ	< ɓroʔ	mbjɔ3	mde̱¹³	bdei²⁴
