No.	Gloss	Proto-Palaungic
1.	we (dual)	*ʔaːj
2.	crow	*kə(l)ʔaːk
3.	bow, crossbow	*ʔaːk
4.	crow	*ʔaːk
5.	molar	*ʔaːm
6.	wasp	*kəʔaːɲ
7.	sky	*-ʔaːŋ
8.	open (mouth)	*ʔaːŋ
9.	bone	*cəʔaːŋ
10.	bone	*cənʔaːŋ
11.	stone	*rəʔaːŋ
12.	two	*ləʔaːr
13.	sour	*səʔaːr
14.	speak	*rəʔah
15.	he, she, it	*ʔan
16.	be	*ʔan
17.	dark	*ʔap
18.	swell	*ʔas
19.	poison	*ʔɔ/ɤm
20.	cough	*kənʔɔ/ok
21.	three	*ləʔɔːj
22.	thorn	*pəʔɔːk
23.	pungent	*ʔɔːm
24.	hornet	*ʔɔːŋ
25.	lead	*ʔɔːr
26.	swell	*ʔɔːs
27.	wipe	*ʔɔːt
28.	I, me	*ʔɔːʔ
29.	we (pl. incl.)	*ʔɛʔ
30.	give, take	*ʔe(ː)h
31.	all, out of	*ʔɤc
32.	cloud	*pəʔɤːm
33.	he, she, it	*ʔɤːn
34.	rotten	*ʔɤm
35.	warm	*cəʔɤm
36.	warm	*cəʔɤ/uːr
37.	stop, refrain	*ʔɤt
38.	hiccough	*-ʔɤʔ
39.	armpit	*ʔiək
40.	chicken	*ʔiɛr
41.	alive, raw	*ʔiːm
42.	centipede	*-ʔiːp
43.	person, other(s)	*ʔiːʔ
44.	water	*ʔoːm
45.	tears	*ʔoːm-ŋaːj
46.	chest	*cəʔoːŋ
47.	crow	*rəʔoːʔ
48.	stink	*ʔu/oːj
49.	place, put	*ʔuːn
50.	loud noise	*ʔuːs
51.	smell (receive and emit)	*ʔuːs
52.	cloud, vapor	*ʔuːt
53.	one person	*ʔuːʔ
54.	hornet	*-ʔɔːr
55.	ride	*ba/ɔk
56.	tray, dish	*baːn
57.	goat	*bɛʔ
58.	slap	*bah
59.	time	*bɤn
60.	chew	*ɓaːm
61.	paddy rice	*ɓaːʔ
62.	small	*ɓac
63.	bamboo shoots	*ɓaŋ
64.	flying ant	*ɓa/ɤr
65.	grass	*ɓat
66.	carry on back	*ɓɔːʔ
67.	spider	*ɓeːŋ
68.	clothes	*-ɓeʔ
69.	millet, Job's tears	*səɓeʔ
70.	spit	*ɓəc
71.	get, obtain	*ɓɤːn
72.	thick	*kəɓɤl
73.	hole, cavity	*ɓɤŋ
74.	lip	*-ɓɤr
75.	carry on head/back	*ɓɤs
76.	tear apart	*ɓiɛk
77.	suck in mouth	*ɓiɛt
78.	faint	*ɓil
79.	forget	*ɓiːl
80.	sticky	*ɓiːt
81.	stop up	*ɓiːt
82.	person	*ɓiːʔ
83.	ash, dust	*-ɓoːh
84.	dipper, ladle	*ɓoːj
85.	pierce	*ɓoːk
86.	evening	*ɓoːr
87.	younger sibling	*ɓoːʔ
88.	friend	*ɓoːʔ
89.	lick, suck	*ɓuːc
90.	fenced garden	*-ɓuːm
91.	hold in mouth	*ɓuːm
92.	foam, scum	*ɓuːs
93.	breast	*ɓuːʔ
94.	spirit, soul	*ɓuːʔ
95.	bubble, foam	*ɓVːj
96.	bean	*rəɓaːj
97.	bore, chisel	*caːc
98.	sated	*caːk
99.	elephant	*caːŋ
100.	handspan	*caːr
101.	grasshopper	*caːr
102.	comb	*caːt
103.	morning (time to eat)	*caːʔ
104.	cut up	*cɛt
105.	below, outside	*cɛh
106.	door	*-caŋ
107.	joint	*-caŋ
108.	shut	*caŋ
109.	civet	*car
110.	red ant	*cɔːʔ
111.	salt	*cɔːk
112.	flow swiftly	*cɔːr
113.	dog	*cɔːʔ
114.	gore, chisel	*cɔk
115.	night	*cɤːm
116.	wake	*-cɤh
117.	plant	*cɤ/am
118.	pick up, collect	*cɤt
119.	chop, split	*ciɛk
120.	insert, place between	*ciɛp
121.	bird	*ciːm
122.	cooked, ripe	*ciːn
123.	head louse	*ciːʔ
124.	pour	*cuːr
125.	grandchild	*cuːʔ
126.	sick, pain	*cuːʔ
127.	sickle	*kənɟaːn
128.	comb	*ɟaːs
129.	heavy	*kəɟan
130.	leak; sap	*ɟar
131.	tasteless	*ɟat
132.	basket	*ɟɔːr
133.	fall, drop	*ɟɔːt
134.	poison (of snakes)	*-ɟɔːɁ
135.	bewitch	*ɟɔːʔ
136.	tip, point	*ɟɔk
137.	follow	*ɟɔm
138.	soft	*ɟəːm
139.	light weight	*ɟɤːl
140.	foot, leg	*ɟɤːŋ
141.	distant	*ɟɤh
142.	buy	*ɟɤh/s
143.	sleepy	*ɟ/ʄɤk
144.	low	*ɟɤm
145.	stand	*ɟɤŋ
146.	shiver, shake	*ɟɤs
147.	cultivate	*ɟiɛk
148.	do, make	*ɟiːʔ
149.	sew	*ɟiŋ
150.	bad	*ɟoːɁ
151.	perch, stay	*ɟuh
152.	spit	*ɟuh
153.	rain	*ɟuŋ
154.	descend	*ɟuːr
155.	wipe	*ɟuːt
156.	send, lead	*ɟVn
157.	seed, kernel	*ʄak
158.	shoulder	*ʄak-paʔ
159.	straight	*kəʄaŋ
160.	sneeze	*-ʄa/əs
161.	chisel, pierce	*ʄɔ/oːh
162.	tear	*ʄiɛs
163.	kick	*-ʄoːh
164.	outer ear	*ʄoːr
165.	put on, wear	*ʄup
166.	ashamed	*kəce/ɛʔ
167.	lightning	*kərcaːs
168.	knife	*təcɔːs
169.	bitter	*ʦaŋ
170.	charcoal	*kəʦas
171.	clench fist, handful	*ʦɔp
172.	astringent	*ʦik
173.	hand span	*ʦoːp
174.	grass	*da(ː)k
175.	palm, sole	*-daːk
176.	large	*daːŋ
177.	duck	*daːʔ
178.	cross, ford	*daŋ
179.	copper/bronze	*dɔːŋ
180.	short, low	*diɛm
181.	middle	*-diːʔ
182.	all gone	*doːc
183.	long	*doːŋ
184.	lips	*doːr
185.	armpit	*kəldoːʔ
186.	incubate	*duːm
187.	silk	*cədu(ː)ʔ
188.	pus	*ɗ/luːm
189.	near	*ɗa/eʔ
190.	fry	*ɗaːk
191.	wilderness	*ɗaːk
192.	covering	*-nɗa(ː)p
193.	span (thumb to little finger)	*-ɗaːʔ
194.	shallow	*ɗɛ/ɤl
195.	give	*ɗɛh
196.	arrow	*ɗɛj
197.	forehead	*kəɗah
198.	lodge	*ɗam
199.	cover	*ɗap
200.	dam	*dap
201.	pass (through)	*ɗat
202.	alcohol	*kəɗaw
203.	gourd bottle	*tərɗɔŋ
204.	cluck, cackle	*kəɗɔt
205.	road, way	*-ɗeːŋ
206.	uncle	*ɗeːŋ
207.	cook	*ɗɤŋ
208.	nose	*kəɗɤːʔ
209.	belly	*kəɗɤl
210.	hill	*ɗɤr
211.	small	*ɗiɛt
212.	bamboo container	*ɗi(ː)ŋ
213.	big	*ɗiːŋ
214.	navel	*kərɗi(ː)ŋ
215.	one, alone	*diːʔ
216.	self; reflexive	*ɗiːʔ
217.	burst	*pəɗoːh
218.	corner	*-ɗoːk
219.	heel	*kənɗoːl
220.	end, finish	*ɗoːt
221.	plantain, banana	*kəɗoːʔ
222.	fall down	*-ɗo/uh
223.	run away	*ɗu/ɔːʔ
224.	cover	*ɗuː/ɔp
225.	take, bring	*ɗuːj
226.	ripe	*kɗuːm
227.	cut up/out	*ga/ip
228.	break	*gaːc
229.	house	*gaːŋ
230.	clamp	*gaːp
231.	wrap	*gaː(r)
232.	they (two)	*gaːr
233.	thin (animate)	*rəgaːʔ
234.	hatch, be born	*gɛh
235.	they (two)	*gɛʔ
236.	bite	*gak
237.	cook, boil	*gaŋ
238.	burn	*gat
239.	slow	*gɔːj
240.	mountain	*gɔːŋ
241.	stalk	*gɔːŋ
242.	friend; relative	*gɔːʔ
243.	grub, worm	*gɔŋ
244.	ridge (of nose)	*gɔŋ
245.	help	*gɔr
246.	ear (of grain)	*-gɔr
247.	old	*gɔt
248.	pine (tree)	*-geʔ
249.	wear (clothes)	*gɤp
250.	pick, pinch	*gɤ/ɔt
251.	pillow	*-gɤːŋ
252.	coals	*rəŋgɤːʔ
253.	enough	*gɤp
254.	tickle	*gɔːk-giɛk
255.	hold, clasp	*giɛm
256.	grip	*giɛp
257.	bite, scratch	*giɛt
258.	they	*giːʔ
259.	hornbill	*goːk
260.	above	*goːl
261.	blaze	*guh
262.	burn (tr.)	*guːc
263.	finger	*-guːl
264.	point	*cəguːl
265.	winnow	*guːm
266.	enter; push in	*guːt
267.	all, finished	*haːc
268.	time	*phaːn
269.	yawn	*haːp
270.	climb	*haːw
271.	stuck (in throat)	*hak
272.	grow, become long	*han
273.	finished	*hɔːc
274.	whistle	*hɔːc
275.	marrow	*hɔːkc(ən)ʔaːŋ
276.	flow	*hɔːr
277.	take out, reveal	*hɤj
278.	go	*hɤl
279.	climb	*hoːk
280.	skin, hide	*huːr
281.	moon, month	*kheʔ
282.	wash	*khoːc
283.	lungs	*mhoːk
284.	brave, to dare	*jaːk
285.	weep	*jaːm
286.	female	*-jaːŋ
287.	we (two)	*jaːr
288.	destroy	*jah
289.	die	*jam
290.	kill	*pjam
291.	grandmother	*jaʔ
292.	woman	*kəm/njaʔ
293.	carry, lift	*jɔ/oːŋ
294.	good	*jɔːŋ
295.	see	*jɔːt
296.	afraid	*jɔːʔ
297.	moderate, easy	*jɔːʔ
298.	do	*jɤ/ɔh
299.	light weight	*jɤːŋ
300.	see	*jɤːʔ
301.	raise, lift	*jɤk
302.	meat	*jɤŋ
303.	wave, beckon	*jɤp
304.	extinguish	*jɤt
305.	slice	*cjɛt
306.	yawn	*ʰjaːp
307.	ear	*ʰjoːk
308.	extinguish (causative)	*pjɤt
309.	hundred	*prjah
310.	rainbow	*brjɔ(ː)ŋ
311.	sambhur deer	*tjaːk
312.	we (pl. excl.)	*ˀjɛ/eːʔ
313.	sleep	*ˀjɛt
314.	excrement	*ˀjaŋ
315.	drunk	*ˀjɤc
316.	village	*ˀjɤːŋ
317.	wink, blink	*(kən)ˀjiɛp
318.	female	*ka/ɤn
319.	cooked rice	*kaːj
320.	branch	*kaːk
321.	chaff, bran	*səkaːm
322.	chin, jaw	*kaːp
323.	untie	*kah
324.	measure	*kal
325.	enough	*kap
326.	time, occasion	*kap
327.	tortoise	*kap-kap
328.	cold	*kat
329.	sick, feverish	*kat
330.	fish	*kaʔ
331.	hot	*kɔc
332.	millet	*səkɔːj
333.	choke	*k(ʔ)ɔːk⁵¹
334.	call, crow	*kɔːk
335.	grasp	*kɔːm
336.	child	*kɔːn
337.	neck	*kɔːŋ
338.	elbow	*kɔːŋ
339.	carry on shoulder	*kɔːt
340.	neck	*kɔːʔ
341.	handle of tool	*kɔk
342.	carry	*kɔk
343.	together	*kɔm
344.	hold	*kɔŋ
345.	cover	*kɔp
346.	strong	*kɔr
347.	thorn	*kɤ/at
348.	ten	*kɤːl
349.	dig	*kɤːŋ
350.	porcupine	*-ŋkɤːs
351.	wake, get up	*kɤh
352.	muddy	*cəkɤl
353.	fell (trees)	*kɤl
354.	vulva	*kiɛl
355.	cucumber	*təkiɛl
356.	finger	*-kiɛn
357.	snip	*kiɛp
358.	moon	*kiɛr
359.	mountain goat	*kiɛs
360.	head	*kiŋ
361.	throat	*koː/ɔk
362.	cut off	*koːh
363.	lizard	*-koːj
364.	peacock	*koːŋ
365.	husked rice	*rəŋkoːʔ
366.	settled area	*kuːŋ
367.	bend	*kuːn
368.	father	*kuːɲ
369.	wind, air	*kuːr
370.	body	*kuːʔ
371.	pigeon, dove	*-kuːʔ
372.	sleep, to laze	*laːc
373.	each, other	*-laːj
374.	squirrel	*-laj
375.	fruit-bat	*-laːk
376.	go (on foot)	*lan
377.	planet	*kərlaːŋ
378.	burn (tr.)	*laːs
379.	slice	*lah
380.	trade	*laj
381.	good	*lak
382.	hoe, hammer	*lak
383.	sharp	*lam
