Vietnamese gloss	English gloss	Quảng Lâm	Page number
đầu	head	k'lác	437
mắt	eye	ngai	437
tóc	hair	đoỏng k'lai	437
răng	tooth	s'rưng	437
lưỡi	tongue	sản tác	437
cổ	neck	nor	437
gáy	nape of neck	sẩm oóc	437
cằm	chin	dạng guông	437
vú	breast	bo	437
lưng	back	kẳn đút	437
ruột	intestine	s'rêng	437
gan	liver	k'lơm	437
mặt	face	sẳn	437
xương	bone	ch'ưng	437
da	skin	tail nu	437
lông	feather	đoong	437
tay	hand	ti	437
máu	blood	s'nưm	437
nước	water	rợ om	437
mặt trời	sun	ngay	437
ngôi sao	star	sặng mêng	437
mặt trăng	moon	ch'rêng	437
mưa	rain	k'li	437
sông	river	rợ om	438
rừng	forest	lẩm bắt	438
lá	leaf	s'lãng	438
hoa	flower	bar	438
quả	fruit	p'lê	438
gạo	rice (unhusked grain)	ma	438
chim	bird	k'chiêm	438
trứng	egg	đoong	438
cánh	wing	s'nẳng	438
sừng	horn	ngoi	438
mỡ	fat, grease	l'mưi	438
sữa	milk	ỏm bô	438
chó	dog	chu	438
gà	chicken	điar	438
trâu	buffalo	t'rác	438
mèo	cat	meo	438
hổ	tiger	r'vai	438
nai	deer	chác	438
khỉ	monkey	soa	438
ong	bee	r'li	438
rắn	snake	mar	438
vắt	to squeeze	p'lơm	438
đỏ	red	xỏ	438
trắng	white	búc	438
nhiều	many	lẹ đín	438
ít	few	cẩn đết	438
chua	sour	ba	438
đắng	bitter	chăng	439
ngọt	sweet	sê	439
chín	nine	đinh êm	439
tốt	good	an	439
xa	far	dứ	439
hẹp	narrow	hăng kép	439
mỏng	thin	th'lang	439
sắc	sharp	lấp	439
mới	new	tol mê	439
lớn	big	đĩnh	439
bé	baby	cẳn đét	439
rét	cold	ăng	439
dài	long	dao	439
ngắn	short	dêt	439
bẩn	dirty	dã	439
nổi	well	pul	439
no	full (not hungry)	p'si	439
sợ	fear	ơl	439
nói	said	hậu	439
khóc	cry, weep	nham	439
ăn	eat	tu	439
cắn	bite	ác	439
cho	give	ê	439
chết	to die; dead	ngát	439
để	to put, place	onr	439
bú	to suck	tênh bo	439
ốm	sick	chô	439
chôn	bury	tớp	440
con má	ghost	m'ngặt	440
hỗn	to mix; mixed	sậl mal	440
khăn	towel	p'kăn	440
mũ	hat	môóc	440
nhà	house	nha	440
cột	pillar (of house)	răng	440
củi	firewood	xi	440
khói	smoke	tơ	440
nướng	to grill, bake	kóp	440
thuyền	boat	nôl	440
nỏ	bow (weapon)	s'na	440
đàn bà	woman	quẩy m'căn	440
chúng tôi	we (excl.)	do	440
ngồi	to sit	nhỗ	440
bay	to fly	pơnr	440
bò	cow	k'rpưng	440
trói	to tie, bind	tóc	440
đập	to beat	táp	440
bắn	to shoot	pênh	440
kéo	to pull	lác	440
kẹp	to clip	đép	440
chém	to cut, hack	mác	440
con	child	kôn	440
cháu	grandchild	chau	440
tháng	months	trợ rêng	440
bán	to sell	tol	440
mũi	nose	mots	441
môi	lips	chẩm bếp	441
má	cheek	bom	441
tai	ear	tarô	441
mắt	eye	ràng mang	441
thịt	meat	xáp	441
chân	foot	đing	441
trời	sky	ngơ ó	441
đất	land	đơlr	441
sấm	thunder	sẩm đơl	441
đá	stone	lưng	441
lúa	rice (plant)	ma	441
gạo	rice (grain)	d'du	441
rượu	alcohol	cô	441
cá	fish	dách	441
lợn	pig	k'lếch	441
ruồi	fly (insect)	ngờ roi	441
muỗi	mosquito	dầng đóts	441
xanh	green	pêl	441
vàng	yellow	or	441
đen	black	uếch	441
mặn	salty	chăng	441
cay	spicy	vĭ	441
dày	thick	cẩm bưl	441
cùn	dull, blunt	đim	441
cũ	old (of object)	sít	442
già	old (of person)	ni rá	442
trẻ	young	sợ ol	442
khô	dry	k'ró	442
trớt	slippery	kô	442
ấm	warm	só	442
tối	night, evening	dơl	442
sạch	clean	ngam	442
nặng	heavy	k'lêng	442
nhẹ	light (adj.)	s'chơl	442
mòn	very small, tiny	k'loách	442
đúng	correct, true	kọ	442
biết	to know	băn	442
đói	hungry	po	442
yêu	to love	ngar đe	442
cười	to laugh	nghét xơ	442
uống	to drink	tênh	442
sống	to live	đi	442
rửa	to wash	kản giả	442
ngủ	to sleep	ê	442
có	to have	le	442
váy	skirt	s'niar	442
mái nhà	roof	pợi nha	442
con dao	knife	kơl nư	442
cung	temple	k'r'tốc	442
tên	name	căm	442
đàn ông	man (male)	ngảy m'ru	442
chúng mày	you (pl.)	mi	442
đực	male (of animal)	ảy m'ru	442
cái	the	ảy m'căn	443
ho	or	sảng căy	443
đi	to go	nhăng	443
đến	to arrive	rot'	443
về	to return	uých	443
dừng	to stop	tưng	443
ngã	to fall down	àrợ rung	443
rụng	to fall (of leaves)	tổng li	443
chạy	to run	teo	443
nhảy	to jump	m'rao	443
mặc	to wear (clothes)	tóc	443
đeo	to wear (hat, earring)	ch'loa	443
giết	to kill	pát	443
cúi	to bow, stoop	nưm	443
nắm	to hold, grasp	nháp	443
mài	to grind	bát	443
làm	to do, make	teng	443
lửa	fire	xi	443
con chuột	mouse, rat	p'răng, ha, tot	443
ruột	intestine	s'rêng	431
máu	blood	s'nưm	431
nước	water	rợ om	431
mặt trăng	moon	ch'rêng	431
chim	bird	k'chiêm	431
người	person, human	p'xinh	432
bắt	to catch, seize	k'rưp	432
ngày	day	m'ni	432
phổi	lung	chà sô	432
da	leather	tal nu	432
bụng	belly, abdomen	kelung	432
ngực	chest	đo	432
cành	wing	đến	432
rễ	root	rơt's	432
cây	tree	dông	432
cái quần	trousers	chụng	432
cái ào	shirt	lóp	432
cái chài	net	rứp	432
đào	to dig	pức	432
chẻ	to split	lơr	432
trèo	to climb	bỏ	432
quay	to turn	k'líc	432
hút	to suck, inhale	tênh	432
cao	high	xung	432
thấp	low	tắm	432
tròn	round	mŏn	432
hạt	grain, seed	ken	432
củ	tuber, bulb	bẳn	432
gần	near	chăm	432
cái cửa	door	t'tu	432
nghe	to hear, listen	pắng	432
người Quảng Lâm	Quang Lam people	Brển Quảng Lâm	430
người Khơ Mú	Khmu people	Brển Kỷ Lậu	430
người Côống	Coong people	Brển Côống Venh	430
