Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
天	qo⁰⁵ŋɢwaŋ³¹	ʔə⁰²ŋɢwɑŋ³¹	nto³¹	ŋqə̃⁵⁵	ntoŋ⁵³	ndɦu³⁵	tɑ³⁵pʐɑ³⁵n̥e³⁵	pja⁵³vei³¹	vɛ⁵⁵	qa³³ʑi²²	kwan¹³ŋo³¹	vei⁵⁵	ʔa⁰³waŋ³³	la⁰³waŋ³³	tɕi³¹ŋkoŋ¹³	koŋ⁴²	ŋkuŋ⁵⁵	la⁰⁴gwaŋ³¹³	ŋo¹³	kwaŋ³¹	ŋkwaŋ³³	luŋ³¹	guŋ³³	luə³¹	vaŋ⁵³
太阳	qo⁰⁵na³¹	ʔə⁰²n̥ɑ³¹	n̥o⁴³	n̥ə̃²⁴	noŋ²²	n̥u⁵⁵	n̥e³⁵	qʰa³⁵n̥ei⁵³	n̥ɛ³³	qʰaŋ³³nei²⁴	n̥o¹³	pɔ¹¹nei⁴⁴	qʰoŋ³¹ʔaŋ³⁵n̥ei³⁵	la⁰³n̥e³⁵	n̥əŋ³³	noŋ³³	ma⁴²n̥aŋ³³	la⁰⁴ni¹³	ha³³no⁴⁴	nɔ²²kɔ⁵⁵	ntuŋ¹¹	pu³¹n̥oːi³³	pe⁵¹noːi¹¹	n̥i²¹tau³¹	ʔa⁵³nai⁴⁴
月亮	ʔa⁰²ɬa²⁴	ʔə⁰²ɬɑ³⁵	ɬi⁴⁴	qə⁰²ɬa⁴²	li³⁵	ɬi³³	qe³⁵ɬɑ⁵³	ye³¹ljaŋ³¹	ɬʰa⁴⁴	la⁴⁴la⁴⁴	ɬei⁴⁴	pɔ¹¹la³³	ʔa⁰³ɬa⁵⁵	la⁰³ɬa⁵⁵	ɬo⁴²	lu¹³	ɬo⁴⁴	la⁰⁴la³⁵	kwan¹³la⁵⁴	ne³³	ɬe³⁵	ɬa²⁴	la³¹	la⁵³gwaŋ³³	lo⁴²
星星	taŋ³¹qaŋ³¹	tɑŋ³¹qɑŋ³¹	n̥o⁴³qo⁴³	tə⁰²qə̃²⁴	hoŋ³²	n̥u⁵⁵qu⁵⁵	te³⁵te³⁵qe³⁵ɬɑ⁵³	tʰjan⁵³ɕin⁵³tsi¹³	tɛ³³qɛ³³	qei²⁴qei²⁴	to³¹qo¹³	tei⁴⁴qei⁴⁴	qa⁰³qaŋ³⁵	la⁰³qaŋ³⁵	tə³¹koŋ³³	ʔləu³³li¹³	kuŋ³³	sen¹³tsai⁰⁴	ɬiŋ⁴⁴tai⁵⁴	ne³³taŋ²²	ka³³nteŋ⁴⁴	ɬei²⁴	tiːŋ³⁵	ɕɛ³³tsaŋ³⁵	hut⁴⁴neŋ⁴⁴
云	ʔa⁰²tuŋ⁵⁵	ʔə⁰²toŋ⁵⁵	tɬaŋ⁴³ʔoŋ⁴⁴	tə⁰²ʔõ⁴²	ʔaŋ⁵⁵	haɯ⁵⁵po¹¹	cɑ⁴⁴tu⁵³	yn³¹təɯ⁵³	ten⁴⁴ʔen⁴⁴	ʔeu²⁴ʑin²²	hau¹³	ʔuŋ³³vei⁵⁵	qa⁰³toŋ⁵⁵	ho³⁵	ʔa⁰²hu⁴²	vɯa³⁵	ʔou⁵³	yn³¹³	hɒ⁴⁴	fu²²	tjaŋ³⁵	məu²¹	ban⁵⁵	xwan²⁴	von⁵³
虹	juŋ³¹xo³³ʔuŋ³¹	ʔə⁰²joŋ³¹xo³¹ʔoŋ³¹	ʐaŋ³¹hou³³tɬe³³	ʐã⁵⁵hə⁴²ʔõ²⁴	ʐaŋ⁵³tɕua⁴⁴tɕɔ⁴⁴	zɦaɯ³⁵	tɑ³⁵ʐoŋ³¹hu⁴⁴ʔu³⁵	ma³⁵ʑe⁵³luŋ³¹	ɣoŋ⁵⁵hə⁵³ʔə³³	vuŋ²²heu³⁵ʔeu²⁴	ɣam³¹heu³⁵ʔu¹³		joŋ³³hɔ⁵³ʔaŋ³⁵	ʑuŋ³³hau⁵³ʔaŋ³⁵	ɣəŋ¹³			tɬa⁴⁴ho⁵⁵ʔŋ¹³	ljaŋ¹³ho²¹ʔŋ⁴⁴	vu³¹hɔ³⁵ʔɔŋ²²	ŋkjəŋ³³	tɕuŋ³³	kuŋ⁵⁵kaŋ⁵⁵	klə³³	kau⁴⁴
雷	tə⁰²su³¹	ʔə⁰²su³¹	so⁴³	sʰə²⁴	so²²	so⁵⁵	tɑ³⁵so³⁵	səɯ⁵³	ho³³	hou²⁴	pu⁴⁴fu¹³	heɯ⁴⁴	mo³⁵	ʑe⁵⁵mpo³⁵	ʔa⁰²pʰɔ³³	pʰo³³	pʰo³³	fu¹³	ku⁵⁵kwaŋ⁴⁴	pje⁵⁵fu²²kʰɔ³⁵	hu⁴⁴jak⁵⁵	pu³¹ʔoːŋ³³	pa³³gaːŋ³⁵	lui³¹	bja⁴⁴kuŋ⁴⁴
闪	lje³³	le³¹	lai²⁴so⁴³	sʰə²⁴le⁵⁵	so²²ɭe²¹	so⁵⁵pi¹¹lɦai¹¹ndɦaɯ³⁵	ljɑ²²so³⁵	ho⁵⁵san¹³	lji³¹ho³³	ho³³ɕen³³	lja²⁴fu¹³	lje⁵³	je⁴²	ɕe³¹mpo³⁵	ntsa³¹məŋ⁴²pʰɔ³³	zoŋ²²miat⁴⁴	tsei⁵⁵	ljen⁵³fu¹³	jo²¹y²¹	sjet³⁵	hu⁴⁴kli⁴⁴ŋklai⁵⁵	pu³¹liŋ³¹	ʔtəu⁴²tʃəp⁴²	ɕat²¹	ʑap²²
风	ʔa⁰²tɕi²⁴	tɕi³⁵	tɕua⁴⁴	tɕa⁴²	paŋ⁵⁵	tɕa³³	ci⁵³	tɕi³³	tɕin⁴⁴	tɕin⁴⁴	tɕi⁴⁴	tɕi³³	ʔaŋ³⁵tɕi⁵⁵	ʔaŋ³⁵tɕi⁵⁵	ʔa⁰²tɕi⁴²	zəm⁴²	tɕi⁴⁴	tɕi³⁵	kji⁵⁴	ki³³	tʃi³⁵	dzjau²⁴	tʃaːu⁵⁵	ɕa²⁴	ʑau⁴²
雨	ʔʑo³³	no³⁵	naŋ¹³	nã²²	nəŋ¹³¹	naɯ⁵³	noŋ⁴²	naŋ¹³	noŋ¹³	nuŋ⁵³	nam²²	nuŋ²²	ʔaŋ³⁵moŋ⁵⁵	ʔa⁰³nuŋ³¹	ʔa⁰²nəŋ²²	nɔŋ²²	naŋ³¹	nuŋ²²	lə³²ŋa³²	nuŋ⁵⁵	nəŋ¹¹	buŋ²¹	buŋ⁴²	blə⁴²	biŋ²²
雪	qo⁰⁵mpaŋ²⁴	ʔə⁰²mpɑŋ³⁵	mpo⁴⁴	qə⁰²mpə̃⁴²	mpoŋ⁵⁵	mpu³³	mpe⁵³	bi¹³ljaŋ¹³	pɛ⁴⁴	keu³⁵	po⁴⁴	pei³³	maŋ⁵⁵	mpaŋ⁵⁵	ʔa⁰²mpoŋ⁴²	ko¹¹nei³³	mpeŋ⁴⁴	bon³⁵	mo⁵⁴	paŋ³³	mpaŋ³⁵	bun²⁴	toːŋ¹¹	bin²⁴	ban⁴²
