Gloss	Proto-Hmong-Mien	Proto-Hmongic	Proto-Mienic
1SG (I/me)		*wɛŋB; *kɛŋB	*ʔjaA
1PL (we/us)	*N-pɔu		
2SG (you)	*mu̯ei	*gʉA	
2PL (you all)	*mi̯əu		
3SG (he/she/it)	*ni̯æn(X)		
able		*dzowA	
air		*poŋC	
alive		*ɟinA	
Allium		*ɢləŋB	*ɟiuB
animal fat/oil		*grəŋA	*ʰmejA
answer	*tau		
ant		*mpʰæB; *mbrɔD	*ɟʰi̯əuB
armpit		*tsjoC/D	
artemisia		*ʰrɛŋB	
ashamed		*dzauA	
ashes	*tsʰju̯əiX		
ask		*nɛŋC	*nu̯aiC
ask for			*[n/l]oŋC
ask for/want		*ʔjuB	
asleep			*ŋgjɔmA
attic		*ntʰaŋA	
axe		*tu̯eiC	*pouB
back (of body)		*ɢuwD	*danB
back (vs. front)	*N-Kaŋ		
bad/spoiled		*bu̯aB	
bag			*diC
bake/toast		*ciC	
balance	*ntʰju̯əŋH		
bamboo	*ʰləwX	*drowD	
bamboo bowl			*kʰɔkD
bamboo hat		*kuwD	*rəpD
bamboo pipes		*ɢænA	
bamboo shoot/orphan	*mbrəjH		
bamboo strip	*ɲcəuk		
bark, to			*cuŋC
barn/granary	*rɛmX		
bat (animal)			*ʔbujA
be		*jəŋC	*djejB
be at/live		*ʔɲəŋA	*ʔjəmA
bean	*dup		
bean curd		*hʉB	
bear	*qrep		
bear fruit		*pjiC	
beard		*ɲaŋC	*su̯amA
beat (someone)		*ntuwD	
beautiful			*dzejC
bed/place	*cʰouH		
bedbug	*pji		
bee			*mu̯eiB
beeswax	*N-ci̯æŋ		
bellows		*tʰoŋB	*louA
belly		*cʰu̯eiA	
big	*ʰljo		
billhook		*tsæC	
bird	*m-nɔk		
bite	*dəp		
bitter	*ʔim		
black		*qrɛŋA	*qri̯ɛkD
bland/tasteless		*dzjæC	*tsamB
blind			*ʔblɔuB
blood	*ntsʰjamX		
blow, to		*pʰruA	
boat/ship		*ŋgjəŋA	*ʔdzaŋB
body/trunk		*cæwB	
boil (intr.)	*mpuæiH		
boil (tr.)		*tʰoA; *hu̯eiC	*tjouB
bone	*tsʰuŋX		
borrow	*KaX		
bowl		*deB	*ʔwənB
bracelet		*bɔC	*gjəmA
braid/a braid	*mbjinX		
break		*ʔloB	*ʔnəuB
breast/chest		*ntrəŋA	
breed/propagate		*ɕaŋC	
bridge	*ɟow	*ʰlæA	
bright/light		*ɢʷaŋA	*ʔgʷi̯əŋA
brother			*mɔuB
bucket	*tʰɔŋ(X)		
buckwheat	*ɟæu		
burn			*pɔuB; *dji̯ɛkD
burn (mountain)		*ʰljowB	
burn (tr.)		*pʰjæwB; *kru̯eiB	
burn/be alight		*ɟiC	
bury		*ljəŋB	*plopD
butt (of bulls)		*ntruwC	
butterfly	*mpleuH		
buy	*mɛjX		
carry in two hands		*pʰu̯ɛŋB	
carry on back			*ʰɲaC
carry on shoulder	*ntam	*cæwC	
carrying pole			*mu̯əŋB
cattle pen	*ŋgluə		
catty	*kʷjan		
center/middle	*ntroŋ		
centipede		*kʰluwD	*səpD
chaff/husk	*mpʰi̯ɛk	*S-pʰjæC	
charcoal	*tʰanH		
cheek/face		*pʰl-C	
cherry		*ʔwaA	
chew		*cu̯aC	
chicken	*Kəi		
child			*kʷjeiB
chin/lower jaw		*dzjeD	
chisel	*dzəuk		
choke	*ntsjeŋH		
chop	*ntəwX		
chopsticks	*drouH		
clap		*mbæA	*bʰækD
claw/talon			*ʔɲauB
clay pot/earthen jar		*hɛŋA	
clean		*ntsʰɨA	*ndzəŋC
clear	*ntsʰji̯əŋ		
CLF-birds			*tsi̯ɛkD
CLF-bowls/houses		*ʔlɛŋA	*ʔnɛɔmA
CLF-fields			*ʔli̯əuC
CLF-horses		*dɛŋB	
CLF-mouthfuls		*ʔloC	
CLF-people	*lan		
CLF-quilts	*pʰəan		
CLF-rooms		*cʰoŋB	
CLF-sentences			*kjouC
CLF-tools		*traŋA	*truŋA
climb		*ɲcæwC	
cloth	*ntei		
clothes			*ʔrujA
cloud/haze		*ʔɔŋC	
cogon grass	*NKan		
cold	*ʔnu̯ɔmH		
cold (day)			*kju̯ɛŋB
comb		*ræC	
come	*daj		
come back	*ləwX		
conceal		*ʔreD	
cooked/ripe		*sjenB	*dju̯okD
cooking pot/pan		*wjinB	
cooking smoke	*ɲcʰi̯ouH		
cool (water)		*dzinB	
copper	*dɔŋ		
cough	*ʰnɔp		
cover (with tile)			*hi̯əmB/C
cover self		*ʔwoB	
cover, to		*mboC	*komB
cow/ox		*joB	
craftsman	*dzi̯ɔŋH		
crawl		*ŋgjoŋC	*ʔɲɛɔŋA
crazy		*mbljɔŋA	
crest/comb	*ʔwi̯æn		
crooked		*ŋkʰuwD	
crop (of bird)/gizzard		*pjinB	*ciŋB
crops		*qɔŋA	
cross (river)	*KʷajH		
crossbow		*ʰnænB	*ʰnəkD
crow (bird)		*ʔuA	
crow, to	*KajH		
cuckoo		*ɢʉB	
cucumber	*Kʷa		
cut	*klæp		*katD
cut open	*pʰajH		
dark		*pruwD	
daughter/girl		*mpʰjeD	*ɕi̯ɛkD
daughter-in-law/bride			*mbu̯ɛŋB
deaf		*loŋA	*ʔduŋA
deep	*N-tu̯o		
deer			*cuŋA
descend		*ɴɢaB	*ɣaC
dew		*lʉC	
die	*dəjH		
dig			*ʔwetD
diligent	*ɴɢəjH		
dislike			*ɣi̯emA
disperse			*dzʰanC
dissolve			*jəukD
dissolve/melt		*jaŋA	*juŋA
ditch		*koŋA	
do/work	*ʔəjH		
dog	*qluwX		
door/gate	*gru̯eŋ		
dragon	*-roŋ		*kljuŋA
dream	*mpeiH		
drink/smoke	*hup		
drip		*ŋgroC	*ʔdjɛpD
drive in (nail)		*ntsjinC	
drum	*ndruX		
dry (clothes)			*tsekD
dry (rice) in sun		*ʔrinA	
dry/thirsty	*NKʰæj		
dry/withered	*KʰæwX		
duck	*ʔap	*ɢu̯aC	
dye, to			*ɲumC
eagle/hawk	*qlaŋX		
ear	*mbræu		
early	*ntsi̯ouX		
earth	*N-təu		
earthworm	*N-cuŋ		
eat		*nuŋA	*ɲənC
egg		*qæwC	*kləuC
eggplant	*ɟa		
eight	*jat		
elder brother	*da		
elder sister/wife	*ʔəuX		
elephant		*ntsʰʉC	*ɣji̯ɔŋB
embrace	*bu̯əH		
enter	*bju̯ɛk		
erect, to			*ri̯ɛpD
escape		*ɢʷaD	
excrement	*N-KəjX		
explode	*douH		
eye	*mu̯ɛjH		
face		*bowB	*ʰmi̯enA
fall		*pʉŋA	
fall (of rain)			*dujB
fall (over)		*ɢu̯eiC	
fan	*mbljæp		
far	*qʷuw		
fat, to be	*grəunH		
father/male	*pjaX		
fear/be afraid	*ntsʰjeH		
feed		*pɛŋA	
female		*minD	
female/woman		*boA	
fern		*-ʰruA	*kʷjətD
few/lack	*dzjok		
field	*ljiŋ		
fine (flour)	*mənX/H		
finger		*ntaB	*ʔdokD
finger ring		*mpʰleA	
finish		*ɟɔŋB	
fire	*douX		
firewood			*dzaŋA
firm/durable		*druA	
first day of month	*seŋ		
fish	*mbrəuX		
five	*pra		
flea	*ʰmiəŋ		
flip with finger	*ntik		
float		*ntaŋA	*mbi̯əuA
flour		*plu̯eiB	
flow		*ɴɢlʉB	*ri̯əuC
flower	*bi̯aŋ		
flute/tube		*droŋA	
fly (n.)	*məuŋX		
fly, to		*ʔjaŋC	*ʔdəiC
fog			*mowC
fog/cloud		*huA	
fool/humor (children)	*glje(X)		
foot		*towC	
footprint/track	*ʰmjænX		
forehead	*bl-A	*ʰɲenA	
forest		*-ʔrɔŋB	
forget		*ʰnuŋB	*ʰɲouB
four	*plei		
fragrant	*ntaŋ		
frog	*KæŋX		
front surface		*ɴɢlinA	
frost		*tæwC	
fruit	*pji̯əuX		
fry	*kleu		*cʰauB
full	*pu̯ɛŋX		
gall bladder	*tsji̯əu		
garden		*waŋA	*ʰwunA
garlic		*ɢaA	
get up	*gʷjaX		
get/gain	*təuk		
ginger		*qʰinB	*kʰjuŋA
glutinous/sticky	*mblut		
gnaw		*kowD	
go	*n-mʉŋ(X)		
gold	*kjeəm		
good	*-ʔrɔŋH		
good/tasty			*kʰuB
gourd		*tuwA	
grain head/bag	*ʰnɔn		
grape		*qinB	
grasp		*ʔmu̯ɛA	
grass			*ʰmjaB
grasshopper	*klup	*gʉŋA	
grave/tomb		*ntsaŋC	*tsouB
green/blue		*mpruA	*ʔmeŋA
grey			*ʔbɔuB
grind (grain)		*roD	
groan/moan		*mbraŋA	
grow	*n-tju̯ɛŋH		
grow (tr.)		*ɟiB	
guest	*Kʰæk		
hair	*pljei		
half		*pʰjeC	
half (of day)	*N-dam(X)		
half kilometer	*ljɨX		
hand/arm	*-bɔuX		
hard/solid			*ŋjeŋC
hatch	*bu̯əH		
have	*n-mɛj		
have a gap	*NKʷet		
have food with rice		*mbljæC	
head	*S-pʰreiX		
hear	*ʰnəumX		
heart		*pljowB	*simA
heavy	*ʰnjeinX		
hide oneself			*piŋC
high/tall	*-ʰri̯əŋ		
hit target		*drɔC	
Hmong		*ʰmʉŋA	
hold in mouth		*mpæB	*ʔgjɔmA
hold with two hands			*bouA
hold/grasp hand		*tæB	
hole		*qʰəŋB	*kʰotD
honey		*ʔraA	
hoof	*dej		
hoof/claw/nail		*tru̯eiC	
hook		*ɴqæwC	
hoop		*tʰɨC	
horn	*klɛɔŋ		
horse		*mjænB	
hot (water)	*k(ʰ)lɛɔm		
house	*prəuX		
Houttuynia cordata		*truwD	
hundred	*pæk		
hungry	*tsʰje		
husband	*N-poX		
husk/pound rice	*tuX		
ice		*qru̯eiD	
ignite/light		*towD	
illness/pain	*ʔmun		
in front			*ndaŋC
indigo	*ŋglam		
insect/worm	*klæŋ		
insert	*tʰrep		
interior		*ndrəŋC	
intestines	*ʰɲeuŋX		*ɢljaŋA
iron		*ʰluwC	*ʰrɛkD
itch(y)/scratch(y)	*kʰju̯ɛt		
join		*tsæD	
kill	*təjH		
knee	*ɟu̯əiH		
know	*pei		
know/recognize			*tsi̯ɛkD
lacquer	*tʰjet		
ladle, to		*heD	*ʔdəmB
land, non-irrigated			*dejC
late		*liC	*djæiA
laugh	*krət		
launder	*ntsʰuH		
lay eggs	*ndəuH		
lazy		*ŋglænB	*lu̯eiC
lead, to		*coŋA	*kʰi̯enA
leaf		*mblɔŋA	*nɔmA
lean (on stick)		*ŋgraC	
leg/branch		*ɟæwB	
let go		*tsjəŋB	*puŋC
level		*dinA	*beŋA
lick	*-jep		
lift	*kjeŋ		*ʰnɨŋC
light(weight)	*-sji̯eu		
lightning flash		*ljeD	*ljəpD
liquid/soup	*klæwX		
liquor		*cowB	*tiuB
