No.	Chinese gloss	English gloss	Proto-Miao-Yao
1	天	day	*ɴɢwəŋ A
2	太阳	sun	*ʰnɐi A
3	月亮	moon	*ɬa C
4	星	star	*qɛŋ A
5	雷	thunder	*ʍjo A
6	闪电	lightning	*rap D
7	闪电	lightning	*ljak D
8	风	wind	*kjɑu C
9	雨	rain	*mluŋ C
10	雪	snow	*mpɛn C
11	霜	frost	*tlau C
12	雾	fog	*hu A
13	地	ground, earth	*tau A
14	岭	mountain range	*ram A
15	石头	stone	*ʔrau A
16	洞	hole, cave	*qʰɔŋ B
17	水	water	*ʔwum A
18	河	river	*ɢle A
19	金	gold	*kjɛm A
20	膝	knee	*dzjɔi C
21	毛	feather, body hair	*pljei A
22	髓	bone marrow	*ɬoi A
23	胡须	beard	*ŋjaŋ C
24	辫子	braid	*mbjin B
25	皮	skin	*təp D
26	骨	bone	*tʰluŋ B
27	肉	meat, flesh	*ɴɢəi A
28	筋	rib	*srei B
29	血	blood	*ntsʰram B
30	肺	lung	*mprit D
31	心肝	liver, heart, organs	*ʰrau A
32	胆	gallbladder	*tsrou A
33	肠子	intestines	*ʰŋjɛu B
34	脓	pus	*bɔi C
35	屎	excrement	*qai B
36	尿	urine	*wrɛ B
37	污垢	dirt, pollution	*ŋkjeu B
38	脚印	footprint	*ʰmjæn B
39	名字	name	*mpe C
40	苍蝇	fly (insect)	*mɔŋ B
41	蚊子	mosquito	*ʔjɑŋ B
42	蚂蚁	ant	*mpʰjou B
43	蚯蚓	earthworm	*kjuŋ A
44	螺蛳	snail	*ɢroi A
45	蝴蝶	butterfly	*mpjæ C
46	树	tree	*ntɑŋ C
47	杉树	fir	*kjin A
48	根	root	*gjuŋ A
49	叶子	leaf	*mblem A
50	花	flower	*bjaŋ A
51	果子	fruit	*pjou B
52	桃	peach	*ɢlɑu A
53	梨	pear	*rai A
54	竹子	bamboo	*ɬɔ B
55	竹子	bamboo	*pli A
56	笋	bamboo shoot	*mbrai C
57	稻	rice (plant)	*mblau A
58	秧	seedling	*ʔjɛŋ A
59	穗	ear	*ʰnraŋ A
60	饭	rice (cooked)	*ʰnɔŋ C
61	酒	liquor	*tsjiu B
62	茶	tea	*gji B
63	粑粑	rice cake	*ŋkjeu B
64	糠	bran, husk, chaff	*ʍjɑu C
65	毒	poison	*duk D
66	药	medicine	*ŋkjai A
67	灶	stove, hearth	*tsəu C
68	锅	pot	*win B
69	甑	caldron	*tsrɛŋ C
70	臼	mortar	*dzjɛu B
