English gloss	Chinese gloss	Proto-Miao
a (bowl)	一個碗	*ʔlon A
a (flower)	一朶花	*ʈae B
a (hoe)	一把鋤頭	*ʈeŋ A
a (horse)	一匹馬	*don B
a (quilt)	一牀被子	*phɔn A
a (meal)	一頓飯	*bl B
a (room)	一間房	*tɕhoŋ B
a (stick)	一根棍子	*ʈeŋ A
a (tree)	棵	*fɔu A
to be afraid of	怕	*ɳtʂhei C
air	空氣	*poŋ C
alive	活	*dʑin A
and	和	*ɳɖo C
to answer	答	*tæ A
ant	螞蟻	*mbdʐɔ D
arm spread	庹	*ɢɭeŋ A
armpit	腋下	*tʂo C
artemisia	蒿子	*fʂon B
to ask	問	*non C
to ask for (money)	要錢	*ʔʑɔu B
attic	閣樓	*ntheŋ A
ax	斧頭	*tou C
baby	嬰兒	*ŋ D
back	後面	*qeŋ A
back	脊背	*ɢə D
to bake (the cake)	烤粑粑	*tɕi C
bamboo	竹子	*ɖeu D
bamboo hat	斗笠	*kə D
bamboo shoot	筍	*mbdʐɑu C
barley	大麥	*mɔŋ C
barn	倉	*vʐon B
bashful	害羞	*dzeŋ A
to be	是	*ʑɔn C
beak	喙	*ȵdʑə A
bean	豆子	*də D
bear	熊	*qlei D
to bear (fruit)	結果子	*ptsi C
beard	鬍鬚	*ȵeŋ C
to beat	打	*ntə D
bed	牀鋪	*tɕheu C
bellows	風箱	*thoŋ B
belly	腹部	*tɕhoi A
belt	帶子	*ɭ̥eŋ A
bench	板凳	*ɖuŋ A
to bind	綑	*qhei A
bird	鳥	*nuŋ C
to bite	蚊子咬	*do D
to bite	老虎咬	*do D
bitter	苦	*ʔin A
black	黑	*qlon A
block of stone or wood	墩子	*ɖuŋ A
blood	血	*ɳtʂheŋ B
to blow	吹火	*phtʂhɔu A
boat	船	*ɳɟɔn A
body	身體	*tɕæ B
book	書	*nteu B
to boil	沸	*mpou C
to boil	煮開水	*ho C
bone	骨頭	*tshoŋ B
to borrow (the cow) from	借牛	*qa B
to borrow (the money) from	借錢	*tsei D
bosom	胸膛	*ɳʈɔn A
bottom	底	*qeŋ A
bowl	碗	*dei B
boy	男孩	*dʑeŋ C
bracelet	鐲子	*bɔ C
to braid	編辮子	*mbdzin B
brake (fern)	蕨菜	*fʂɔu A
bran	糠	*fsɑ C
branch	樹枝	*dʑæ B
to break	扁擔斷	*ʔlo B
breast	胸膛	*ɳʈɔn A
bride	新娘	*ʔȵeŋ A
bridge	橋	*l̥ɑ A
bright	太陽亮	*ɢlweŋ A
bristle	鬃	*tsəŋ A
bucket	桶	*thuŋ A
buckwheat	蕎麥	*dʑæ A
buffalo	水牛	*ȵən A
to burn	燃	*dʑi C
to burn (firewood)	燒柴	*tɭ̥ou B
to burn (a house)	燒房子	*phtshæ B
to burn (the grass on the mountain)	燒山	*ɭ̥eu B
to bury	埋人	*ɭɔn B
butterfly	蝴蝶	*mptse C
to buy	買	*mai B
cake	粑粑	*ɳcɔu B
can (sing songs)	會唱歌	*dzeu A
to carry (water) on the shoulder with a pole	挑水	*tɕæ C
to cast	鑄	*ʔɭou A
to catch (birds) by means of setting net	設網套捉鳥	*tɕɔu A
cattle	黃牛	*ȵən A
cattle	黃牛	*ʑo B
cave	洞	*qhɔn B
centipede	蜈蚣	*kh D
chaff	糠	*fsɑ C
chair	椅子	*ɖuŋ A
charcoal	木炭	*then C
cherry	櫻桃	*ʔva A
to chew (one’s food)	嚼飯	*tɕɑu C
chicken	鷄	*qe A
chin	下巴	*dʐei D
Chinese toon	香椿	*ʑon A
chisel	鑿子	*dzɔ C
to chop	劈	*phɑu C
to chop	劈	*phtshe A
chopsticks	筷子	*ɖeu C
cinder	灰燼	*tʂhoi B
to clap	拍手	*mbɑ A
claw	爪	*ʈoi B
clean	乾淨	*ntshe A
clear	水清	*ɳtʂhin A
