Lect	Abbreviation	Chinese name	Autonym	County	Village name
Mien, Northern	YS	Pan Yao 盘瑶	Iu Mien	Yangshuo	Longwei 龙尾
Mien, Eastern	LP	Pan Yao 盘瑶	Iu Mien	Lipu	Xinan 新安
Mien, Eastern	LP	Pan Yao 盘瑶	Iu Mien	Lipu	Nadui 纳兑
Mien, Eastern	JX	Pan Yao 盘瑶	Iu Mien	Jinxiu	Sibajia
Mien, Eastern	JX	Pan Yao 盘瑶	Iu Mien	Jinxiu	Jingui'ao 金龟坳
Mien, Eastern	JX	Pan Yao 盘瑶	Iu Mien	Jinxiu	Fenzhan 奋战
Mien, Western	BS	Pan Yao 盘瑶	Iu Mien	Baise	Gunhuai
Mien, Western	TH	Pan Yao 盘瑶	Iu Mien	(Thailand)	(Thailand)
Muen	JX	Ao Yao 坳瑶	Bjao Muen	Jinxiu	Hengcun 横村
Muen	JX	Ao Yao 坳瑶	Bjao Muen	Jinxiu	Liucang
Muen	JX	Ao Yao 坳瑶	Bjao Muen	Jinxiu	Luoxiang 罗香
Mun, Eastern	JX	Shanzi Yao 山子瑶	Kimdi Mun	Jinxiu	Guzhan 古占瑶寨
Mun, Eastern	JX	Shanzi Yao 山子瑶	Kimdi Mun	Jinxiu	Wangluan
Mun, Western	BS	Landian Yao 蓝靛瑶	Ciəmdi Mun	Baise	Naxin
Mun, Western	BS	Landian Yao 蓝靛瑶	Ciəmdi Mun	Baise	Pingli
