English gloss	Proto-Mjuenic	Pre-Mjuenic
angle, corner	*klɔŋ A1	*klɔŋ A
ant	*dzʰiəu B1	*dzʰiəu B
arrive	*tʰau C1	*tʰəu C
arrow	*fɔŋ A1	*fɔŋ A
ascend	*faːu C1	*fau C
ashes	*swaːi B1	*swai B
ask	*naːi C2	*nai C
axe	*pou B1	*pou B
bag	*buəʔ D2	*mbuək D
bag	*ti C2	*di C
bamboo	*hlau B1	*hləu B
bamboo tube	*doŋ A2	*ndoŋ A
banana	*ts̪iu A1	*ts̪iu A
bangle	*tɕjam A2	*dʑjəm A
bark (v.)	*dʑuŋ C1	*ʔdʑuŋ C
bark, husk, shell	*kʰuʔ D1	*kʰuk D
barn	*ɣam B2	*rəm B
beans, peas	*top D2	*dop D
bear (animal)	*kliəp D1	*kliəp D
beat	*bɔʔ D1	*ʔbɔk D
bee	*muəi B2	*muəi B
beeswax	*dʐiŋ A1	*ʔdʐiŋ A
bent, crooked	*ŋau A1	*ʔŋəu A
big, large	*hlo A1	*hlo A
bird	*nɔʔ D2	*nɔk D
bitter	*ʔim A1	*ʔim A
black	*klaʔ D1	*klək D
blanket	*ɕwɔŋ C1	*ɕwɔŋ C
blood	*dzʰjaːm B1	*dzʰjam B
blow	*plɔm B1	*plɔm B
blow (of the wind)	*pwan C2	*bwən C
board	*pen B1	*pen B
boat	*dʐʰaːŋ B1	*dʐʰaŋ B
body	*sin A1	*sin A
boil, cook	*tsou B1	*tsou B
boiling	*bwei C1	*ʔbwei C
bone	*sbuŋ B1	*sʔbuŋ B
book	*sou A1	*sou A
borrow	*kaː B1	*ka B
bow	*hnaː B1	*hna B
bowl (for porridge)	*wjan B1	*ʔwjən B
box	*hlwap D1	*hlwəp D
branch	*gwaː A2	*ŋgwa A
break	*ʔaːu B1	*ʔau B
breast, milk	*nju C1/B1	*nʔju C/B
burn	*puə B1	*puə B
bury, extinguish (a fire)	*plop D1	*plop D
buy	*maːi B2	*mai B
cage	*loŋ A2	*loŋ A
carry	*pou A2	*bou A
carry (on shoulder)	*daːm A1	*ʔdam A
centipede	*ɕwap D1	*ɕwəp D
chair	*ʔei B1	*ʔei B
chicken	*kjai A1	*kjəi A
child	*tɕwei B1	*tɕwei B
choose	*kjen B1	*kjen B
clear	*dʐʰaŋ A1	*dʐʰəŋ A
close	*maʔ D2	*mək D
cloth	*diə A1	*ʔdiə A
cloud	*buən C1	*ʔbuən C
cold	*tɕwaŋ B1	*tɕwəŋ B
comb	*tsaʔ D1	*tsək D
come	*taːi A2	*da A
cool	*nam C1	*ʔnəm C
core	*fim A1	*fim A
cough	*-haː A1	*-ha A
cover	*gom B1	*ʔgom B
cry, weep	*ŋiəm B1	*ʔŋiəm B
cut (with scissors)	*klap D1	*kləp D
cut down (a tree)	*kɔi C1	*kɔi C
day, sun	*hnɔi A1	*hnɔi A
deer (animal)	*kjuŋ A1	*kjuŋ A
deep	*do A1	*ʔdo A
defeated	*ɕwei A1	*ɕwei A
delicious	*kʰu B1	*kʰu B
descend	*dʑjaː C2	*ndʑja C
die	*tai C2	*dəi C
dig	*wet D1	*ʔwet D
dog	*klo B1	*klo B
door	*klɛŋ A2	*glɛŋ A
dove	*go A1	*ʔgo A
dream	*bei C1	*ʔbei C
drink	*hop D1	*hop D
drug	*diə A1	*ʔdiə A
dry (v.)	*pʰwaːi A1	*pʰwai A
duck	*ʔaːp D1	*ʔap D
dung, excrement	*-ai B1	*-əi B
dye	*ɲom C2	*ɲom C
ear	*-nɔm A2	*-nɔm A
earth	*hniə A1	*hniə A
eat	*ŋjan C2	*ŋjən C
egg	*klau C1	*kləu C
eight	*-jat D2	*-jət D
enter	*pjaʔ D2	*bjək D
evening	*ɣuŋ A2 giəm C1	*ruŋ A ʔgiəm C
exit	*tɕʰwat D1	*tɕʰwət D
eye	*muəi C2	*muəi C
face	*hmiən A1	*hmiən A
fall	*tui A2	*dui A
far	*ko A1	*ko A
fat	*klun C2	*glun C
fat, lard	*hmei A1	*hmei A
fear, frightened	*-dzjaː B2	*-ndzja B
fertilizer	*pwan C1	*pwən C
finger, toe	*-doʔ D1	*-ʔdok D
fire	*tou B2	*dou B
firewood	*tʂaːŋ A2	*dʐaŋ A
fish	*blau B2	*mbləu B
five	*plaː A1	*pla A
flesh, meat	*ʔwaː B1	*ʔwa B
float	*biəu A2	*mbiəu A
flower	*pjwaŋ A2	*pjwəŋ A
fly (v.)	*dʰai C1	*dʰəi C
fly (housefly)	*mwoŋ B2	*mwoŋ B
forehead	*plɔŋ A2	*blɔŋ A
forest	*klem A2	*glem A
forget	*-kʰwoʔ D1	*-kʰwok D
four	*plei A1	*plei A
frog	*kjɛŋ B1	*kjɛŋ B
frost	*ɕɔŋ A1	*ɕɔŋ A
fruit	*piəu B1	*piəu B
full	*pwɔŋ B1	*pwɔŋ B
garment (upper)	*ɣui A1	*ʔrui A
get stuck (in the throat)	*kaː B2	*ga B
get up	*kwiə B2	*gwiə B
ghost, spirit	*mjwan B1	*mʔjwən B
ginger	*ɕuŋ A1	*ɕuŋ A
girl	*sjaʔ D1	*sjək D
give	*pwun A1	*pwun A
go	*mniŋ A2	*mniŋ A
goat, sheep	*juŋ A2	*juŋ A
gold	*tɕjam A1	*tɕjəm A
good	*ɣwɔŋ C1	*ʔrwɔŋ C
goose	*ŋjaː A2	*ŋja A
grandchild	*fun A1	*fun A
grass	*mʰjwaː B1	*mʰjwa B
green	*mɛŋ A1	*ʔmɛŋ A
gun	*tsʰwɔŋ D2	*tsʰwɔŋ D
hail	*plɔʔ A1	*blɔk A
hair (body)	*plei B2	*plei B
hand	*puə B2	*buə B
handle	*pɛŋ C1	*pɛŋ C
hard	*ŋɛŋ C2	*ŋɛŋ C
have	*mnaːi A2	*mnai A
he, she	*njan A2	*njən A
head	*plei B1	*plei B
heavy	*hniə B1	*hniə B
high, tall	*hɣaŋ A1	*hrəŋ A
hole	*kʰwot D1	*kʰwot D
horn	*klɔŋ A1	*klɔŋ A
horse	*maː B2	*ma B
hot (taste)	*bjaːt D2	*mbjat D
hot, warm	*klɔm A1	*klɔm A
house	*plau B1	*pləu B
