Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
树	tree	djaŋ²⁴	djaŋ³⁵	gjaŋ⁴⁴	gjaŋ³³⁵	djaŋ³⁵	djaŋ³⁵	a⁴⁴djaŋ⁴²	djaŋ²⁴	tjaŋ⁴⁴	djaŋ⁴⁴
树林	forest	djaŋ²⁴lom¹³	djaŋ³⁵kəŋ³¹	gjaŋ⁴⁴gjɛŋ³³	kiːm³³ku³³⁵	djaŋ³⁵kjəm³¹	djaŋ³⁵kem³¹	djaŋ⁴²kan⁴⁴	djaŋ²⁴m̥ɔ⁴²	tjaŋ⁴⁴kʰlæ³³	djaŋ⁴⁴kɣɔŋ⁵³
竹子	bamboo	ɬau⁵²	ɬau⁵³	lau⁴³	lɔu⁴²	lau⁵³	l̥au⁵³	a⁴⁴lau²⁴	ɬau³⁵	lau³⁵	lau³⁵
竹笋	bamboo shoot	bjai¹³	bai¹¹	bjai²²	bjai³²	blai²²	bje¹¹	bɛi²²	blai⁴²	plai¹³	pɣai³¹
苎麻	ramie (Boehmeria nivea)	du¹³	du¹¹	do²²mun³³	du³²	du²²	do¹¹	ma⁵³	du⁴²	tu¹³ŋi³¹	tu³¹
菌子	mushroom	tɕou³³	tɕəu³³	sou³⁵	ɕɔu³⁵kjɔːŋ³⁵	kjəu³³	tɕeu³³	a⁴⁴ku⁴⁴	ȶau³³	tɕɔu³³	kjəu³³
禾苗	sprout, young plant	bjau³¹miu³¹	bau³¹	blau³³mjou³³	blau²²mjɛu³³	blau³¹miu³¹	blau²¹miu³¹	bu⁴⁴miu⁵³	blau³¹	plou⁵⁵mjaŋ⁵⁵	pɣau⁵³
秧	seedling	jaːŋ³³	wjaŋ³³	jaŋ³⁵	jaːŋ³⁵	wjaŋ³³	wjaŋ³³	a⁴⁴bjau⁵³	jɔ³³	plɔu⁵⁵	ɕɔ⁴⁴
稻谷	paddy	tsʰu⁵⁵	tsʰəu⁵⁴	blau³³	blau²²ȶʰu¹²	su⁵⁴	ɕu⁴³	siu⁴⁴	ȶhu⁵³	ɕɔ³³	tsʰu⁵⁵
穗儿	ear (of grain)	bjau³¹to⁵²	ȵwei²³²	blau³³ȵun⁵⁴⁵	blau²²nɔːn³⁵	swən³⁵	blau³¹ɕwən³³	a⁴⁴tsɔu²⁴	nan³³	noŋ³⁵	ȵwai³⁵
谷粒	grain	tsʰu⁵⁵	tsʰəu⁵⁴	blau³³nɔm³⁵	ȶʰu¹²	su⁵⁴noːm³³	ɕu⁴³nɔm³³	siu⁴⁴lɛp²²	ȶʰu⁵³	ɕɔ³³	tsʰu⁵⁵
稗子	barnyard millet, weed	paːi¹³	ba¹¹	hou⁴³waŋ⁵⁴⁵	ȶʰu¹²kɔŋ³⁵	vaŋ⁵³	pai¹¹	a⁴⁴pui²²	pai⁴²	ba⁵⁵pai¹³	pai⁵³
禾草	true grass	gaːu⁵²	bau³¹ga⁵³	blau³³gau⁵⁴⁵	blau³³gaːu⁵³	bə³¹kau⁵³	blau³¹kaːu⁵³	bu⁵³kɔu²⁴	blau³¹kɔ³⁵	plau⁵⁵kɔ³⁵	pɣau⁵³kɔ³⁵
种子	seed	ȵiːm³³	ȵaŋ³³	ȵim³¹	ȵim¹³	ȵim³³	ȵem³³	a⁴⁴num⁴⁴	n̥jɛn³³	tɕɔŋ³⁵	nje³³
花	flower	pjaŋ³¹	pjaŋ³¹	faŋ³³	faŋ³³	pwaŋ³¹	pwaŋ³¹	pjaŋ⁵³	pjaŋ³¹	buŋ⁵⁵	pjaŋ⁵³
草	grass	mje⁵²	mje⁵³	ma⁴³	ma⁴²	mwa⁵³	m̥wa⁵³	a⁴⁴mjɛ²⁴	m̥ja³⁵	mu³⁵	mja⁵³
茅草	cogon grass (Imperata cylindrica)	gaːn³³	gaŋ³³	gaːn³⁵	gaːn¹³	gaːn³³	gaːn³³	a⁴⁴gɔn⁴⁴	gwan³³	meu⁵⁵klœ³³	kan³³tsʰiŋ³³mja⁵³
蓝靛草	indigo	dʑaːm³¹	gaŋ³¹	gaːm³³mɛŋ³⁵	gaːm³³ʔtin³¹	gjam³¹tin²²mwa⁵³	gaːm³¹	tjɛn²²mjɛ²⁴	tjɛn⁴²	dœn⁵⁵klan⁵⁵mu³⁵	kɣan⁵³tin³¹mja⁵³
棉花	cotton	min³¹	pei¹¹	bui⁴⁴	buːi³³⁵faŋ³³	bui³⁵	bui³⁵	a⁴⁴mjɛn²²	m̥ɔ³¹min³¹	bwei⁴⁴	pwei⁴⁴
剌儿	thorn	dʑim⁵²	dʑiŋ⁵³	ȡim⁵⁴⁵	ȡim⁵⁵	gim⁵³	jim⁵³	hɛp⁴⁴	dʑin³⁵	siŋ⁴⁴	kjin³⁵
藤子	rattan	m̥ei³³	mei²³²	mei³¹	mɛi¹³	ȵai¹²¹	ȵei²¹³	mɛi⁴⁴	m̥əi³³	mi³³	mi³³
艾子	mugwort (Artemisia argyi)	ŋoːi¹³	ŋwa¹¹		nɔːi³²	ŋwai²²	ŋɔi¹¹	a⁴⁴ŋɛi²²	li⁵³ɬan³⁵	tɔn³³u⁴⁴ŋai³⁵	
粪肥	manure	pwan²⁴	pwəŋ³⁵	fan⁴⁴	fɔːn³³⁵	pon³⁵kjun²²	pwən³⁵	bun⁴²	hwəi³³	bwei⁵⁵klyn¹³	pwən⁴⁴
米	rice (grain)	m̥ei⁵²	m̥ei⁵³	mei⁴³	mɛi⁴²	mai⁵³	m̥ei⁵³	a⁴⁴mɛi²⁴	m̥i³⁵	mi³⁵	mi³⁵
糯米	rice, glutinous	bjau³¹bjut¹²m̥ei⁵²	bau³¹bu²¹m̥ei⁵³	mei⁴³blɔt²¹	mɛi⁴²blɔt³²	blau³¹blwət²¹mai⁵³	blau³¹blut³²m̥ei⁵³	but²²mɛi²⁴	m̥i³⁵blan⁴²	plɛ²²mi³⁵	mi³⁵pʰɣɯ⁵³
粳米	rice, non-glutinous	bjau³¹tsi⁵⁵m̥ei⁵²	bau³¹tsiŋ³³m̥ei⁵³	mei⁴³tθi³⁵	mɛi⁴²θi³⁵	blau³¹tsim³³mai⁵³	blau³¹tɕim³³m̥ei⁵³	dzɛu⁵³tsjɛm⁴⁴mɛi²⁴	m̥i³⁵tsi⁵³	tɕen³³mi³⁵	
小米	millet	muːi³¹tsai³³	n̩³⁵tsai³³m̥ei⁵³	blau³³ȶei³⁵	bu³³ȶʰaːi³⁵	tsai³³mai⁵³	tɕai³³	mɛi²⁴tɛi⁴⁴vjaŋ⁵³	ȶai³³	tɕen³³tsai³³mi³⁵	tɕai³³
玉米	maize	tɕu³¹mɛ¹²	faŋ³³tsai³³	mai³²	ʔpjɔu⁵⁵mɛi³¹	kə³¹loːn¹²¹	bu³¹	ba⁴⁴bɔu²²	i²⁴mi⁵³	ŋɔŋ⁵⁵tsai³³	mi⁵³ku³⁵
荞麦	buckwheat	tɕou³¹mɛ¹²	tɕəu³¹mɛ²¹		θam³⁵kaːk³⁵mɛ³²	θam³¹ko⁵³mje²¹	taːm³¹kɔŋ³³mɛ³²	san²²kɔu⁴⁴ma²²	ȶɔ⁴²m̥e⁴²	bɔu³³kloŋ³³ma⁵⁵	
高粱	sorghum	ku³¹laːŋ³¹	ku³¹lwaŋ³¹	ku³³ljaŋ³³	mɛi³²	kə³¹ljaŋ³¹	gai³¹tau³⁵	ma⁴²mɛi²⁴	tuŋ⁴²kla³¹	mɔ³¹tsjɔ³⁵	
糠	bran	bje⁵⁵	bje⁵⁴	va³¹min³³	ba¹²	bwa²¹	bwa³²	a⁴⁴bjɛ⁴⁴	bja⁵³	bɔu³³	pja³³
