Chinese gloss	Language (location)	Word	Page no.
一	Pa Hng (Guangxi Wenjie)	jɦʉ³¹	
一	Pa Hng (Guizhou Gundong)	ji²²	
一	Hm Nai (Longhui Huxingshan)	i¹³	
一	Hm Nai (Tongdao Chuansuo)	je³¹	237
一	Hm Nai (Longhui Xiaoshajiang)	i³²⁵	560
一定	Pa Hng (Guangxi Wenjie)	je³¹tĩ³⁵	
一定	Pa Hng (Guizhou Gundong)		
一定	Hm Nai (Longhui Huxingshan)		
一月	Pa Hng (Guangxi Wenjie)	l̥a⁵⁵je³¹	
一月	Pa Hng (Guizhou Gundong)	l̥a⁵⁵jei²²	
一月	Hm Nai (Longhui Huxingshan)	tɕa¹³ȵei³¹	
一百零一	Pa Hng (Guangxi Wenjie)	jɦʉ³¹pe⁵⁵ta³¹jɦʉ³¹	
一百零一	Pa Hng (Guizhou Gundong)	ji²²pe⁵⁵ta²²ji²²	
一百零一	Hm Nai (Longhui Huxingshan)	i¹³pe⁵⁵lɯŋ³¹i¹³	
一起	Pa Hng (Guangxi Wenjie)	ɪ̃⁵⁵tɔ⁵⁵	
一起	Pa Hng (Guizhou Gundong)	i⁵⁵tai⁵⁵	
一起	Hm Nai (Longhui Huxingshan)	i¹³tɕhi¹³	
七	Pa Hng (Guangxi Wenjie)	tɕɦã⁴⁴	
七	Pa Hng (Guizhou Gundong)	tɕaŋ⁵⁵	
七	Hm Nai (Longhui Huxingshan)	tɕa³¹	
七	Hm Nai (Tongdao Chuansuo)	ȶã³³	237
七	Hm Nai (Longhui Xiaoshajiang)	tɕia³¹	560
七十	Pa Hng (Guangxi Wenjie)	tɕɦã⁴⁴kɦʉ³¹	
七十	Pa Hng (Guizhou Gundong)	tɕaŋ⁴⁴ku³¹	
七十	Hm Nai (Longhui Huxingshan)	tɕa³¹khu³¹	
七月	Pa Hng (Guangxi Wenjie)	l̥a⁵⁵tɕɦã⁴⁴	
七月	Pa Hng (Guizhou Gundong)	l̥a⁵⁵tɕaŋ³¹	
七月	Hm Nai (Longhui Huxingshan)	ɕi¹³ȵei³¹	
七百	Pa Hng (Guangxi Wenjie)	tɕɦã⁴⁴pe⁵⁵	
七百	Pa Hng (Guizhou Gundong)	tɕaŋ⁴⁴pe⁵⁵	
七百	Hm Nai (Longhui Huxingshan)	tɕa³¹pe⁵⁵	
万	Hm Nai (Tongdao Chuansuo)	wa⁴²	237
万（一万）	Pa Hng (Guangxi Wenjie)	vɦɛ̃³¹	
万（一万）	Pa Hng (Guizhou Gundong)	vɛ²²	
万（一万）	Hm Nai (Longhui Huxingshan)	wai³¹	
