Gloss	Pa Hng (Tân Trịnh) [tone values]	Pa Hng (Tân Trịnh) [tone categories]	Page no.
accompany, to	sɔ̃⁵⁵	sɔ̃5	11
acid	sɯ³³	sɯ1	11
alcohol	tɕɤʔ³¹	tɕɤʔ3	11
ancestors	po⁵⁵kʷɤ³³	po5kʷɤ1	11
armpit	ʔa³³kũ³³tɕa⁵⁵	ʔa1kũ2tɕa5	11
ashes	kaʔ³¹siʔ³¹	kaʔ3siʔ3	11
assiduous	ŋge²⁴	ŋge6	11
bald, (head)	kʷɛʔ³¹pjih³¹	kʷɛʔ3pjih3	11
bamboo shoots	po³³mbje²⁴	po1/2mbje6	11
bean (豆)	tɯh³¹	tɯh8	11
bear fruits, to	pje⁵⁵	pje5	11
bear	kʷɔ̃²⁴	kʷɔ̃6	11
beard	tɤ³³ȵih²⁴	tɤ1ȵih6	11
beat, to (2)	ȵdʑɤ³³	ȵdʑɤ1/2	11
bee, queen	mẽ⁵⁵vɔ̃h³³	mẽ5vɔ̃h2	11
bend, to (one’s head)	kʰʷɤʔ³¹	kʰʷɤʔ3	11
big	lʰjo³³	lʰjo1	11
bird	ta³³mũh²⁴	ta1mũh6	11
birth, to give	kʷi²⁴	kʷi6	11
bit, a little	tẽ³³tẽ²⁴	tẽ1tẽ6	11
bite, to (a dog)	tɦa³¹	tɦa8	11
bitter	ʝĩ³³	ʝĩ1	11
black	kʷɔ̃²⁴	kʷɔ̃6	11
blow, to	pʰjo³³	pʰjo1	11
boil, to	mbi⁵⁵	mbi5	11
bran	kaʔ³¹pʰe⁵⁵	kaʔ3pʰe5	11
branch of a tree	ʔa³³koh³¹pah³³	ʔa1koh4/8pah2	11
branch of a tree	kaʔ³¹ko³¹pa³³	kaʔ3ko4/8pa1	11
bridge	tɤ³³tɕɤ³³	tɤ1tɕɤ1/2	11
bristle, feather	pi³³	pi1	11
bronze (铜)	tɔ̃h²²	tɔ̃h2	11
bucket, pail, a	tʰũʔ⁵²	tʰũʔ7	11
buy, to	ʝaʔ³¹	ʝaʔ3	11
carry, to (with a pole)	ŋgɤ⁵⁵	ŋgɤ5	11
castrate, to	pʰi⁵⁵	pʰi5	11
catch, to (a louse)	ŋgʷɤ³³nɔ̃ʔ³¹	ŋgʷɤ1/2nɔ̃ʔ3	11
charcoal (炭)	kaʔ³¹tʰɛ̃⁵⁵	kaʔ3tʰɛ̃5	11
chicken	ta³³kɛ³³	ta1kɛ1	11
Chinese	kʰe⁵⁵kʷɤ³³	kʰe5kʷɤ2	11
chopsticks	tɤ³³tɕɔh²⁴	tɤ1tɕɔh6	12
civet	li³³	li1/2	12
classifier, animals	ʔŋʔ³¹	ʔŋʔ3	12
classifier, general	lɔ̃³³	lɔ̃1	12
classifier, person	lɛ̃h³³	lɛ̃h2	12
clear (清)	nʰĩ³³	nʰĩ1	12
climb, to	ȵdʑo⁵⁵	ȵdʑo5	12
climb, to	mbɤ²⁴	mbɤ6	12
close, to (mouth)	mɔ⁵⁵la⁵⁵	mɔ5la5	12
cold	tɕĩh³¹	tɕĩh4	12
comb	ʔa³³vih²⁴	ʔa1vih6	12
cow	ŋh³³	ŋh2	12
crab	kaʔ³¹ȵdʑi³³	kaʔ3ȵdʑi1/2	12
crooked (fact of being)	(taʔ³¹)ŋgɔh³³	(taʔ3)ŋgɔh2	12
crossbow	pa³³n̥ẽʔ³¹	pa1n̥ẽʔ3	12
cry, weep, to	ŋga⁵⁵	ŋga5	12
cucumber (瓜)	kʷa³³	kʷa1	12
cut, to	pʰa⁵⁵	pʰa5	12
daughter of daughter	ta³³mah³³ȵũ⁵⁵	ta1mah2ȵũ5	12
deep	to³³	to1	12
dew (露)	(ʔɔ̃³³)lɯh²⁴	(ʔɔ̃1)lɯh6	12
die, to	te²⁴	te6	12
dike (in rice field)	kʰʷɛ̃⁵⁵lĩ³³	kʰʷɛ̃5lĩ2	12
divorce, to	tʰɔ⁵⁵	tʰɔ5	12
do, to	ʔĩ⁵⁵	ʔĩ5	12
dragon	ʝɔ̃³³	ʝɔ̃2	12
dream	mbi⁵⁵	mbi5	12
drink, to (water)	ʔɔ⁵⁵ʔɔ̃³³	ʔɔ5ʔɔ̃1	12
drop (water)	ŋgo³³	ŋgo1/2	12
dry	kʰeʔ³¹	kʰeʔ3	12
duck	ʔa⁵²	ʔa7	12
early	ȵdʑɔʔ³¹	ȵdʑɔʔ3	12
earth	kaʔ³¹leh³³	kaʔ3leh2	12
eat, to	nɔ̃h³³	nɔ̃h2	12
egg	ʔa³³ko⁵⁵	ʔa1ko5	12
eight	ʝĩh³¹	ʝĩh8	12
enter, to	pɯh²⁴	pɯh6	12
excrement	kaʔ³¹	kaʔ3	12
expensive	kʷi⁵⁵	kʷi5	12
eye	ʔa³³kʰũʔ³¹mẽh²⁴	ʔa1kʰũʔ3mẽh6	12
fall, to, rain; oneself	ndɔʔ³¹	ndɔʔ3	12
fat (person)	tɕũ²⁴	tɕũ6	12
fat, oil	kaʔ³¹m̥ĩ³³	kaʔ3m̥ĩ1	12
house	ʔa³³pjɤʔ³¹	ʔa1pjɤʔ3	13
hundred	pɛ⁵⁵	pɛ5	13
I	vɔ̃h³¹	vɔ̃h4	13
ill	ma³³	ma1	13
indigo	ŋgɤh³³	ŋgɤh3	13
insect	ta³³kɤ³³	ta1kɤ1	13
iron	lʰɯ⁵⁵	lʰɯ5	13
jacket	ʔɤʔ³¹	ʔɤʔ3	13
kill, to	ta⁵⁵	ta5	13
kite	ta³³kʷɤʔ³¹	ta1kʷɤʔ3	13
know, to	pi³³	pi1	13
lamp, light (灯)	tẽ⁵⁵	tẽ1	13
large	kʷɤʔ³¹	kʷɤʔ3	13
laugh, to	tɕaʔ⁵²	tɕaʔ7	13
