Chinese gloss (汉文）	English gloss (英文)	Pana (巴那语)	Page number
天空	sky	gwõ2	86
太阳	sun	ni1	86
月亮	moon	la3 la5	86
风	wind	tsji5	86
雨	rain	noŋ6	86
霜	frost	tla5	86
雪	snow	bõ5	86
雷	thunder	fu1	86
石头	stone	pei5	86
山	hill	pa4	86
水	water	qŋ1	86
河	river	qŋ1	86
铁	iron	lo5	86
火	fire	to4	86
角	horn	kjõ1	86
老虎	tiger	la6 tsju3	86
猴子	monkey	la6 tõ1 le1	86
老鼠	mouse	la6 naŋ4	86
鸟	bird	la6 nu6	86
飞	to fly	jiŋ5	86
翅膀	wing	dla7	86
蛋	egg	kja5	86
水牛	buffalo	ŋ2 sji3	86
猪	pig	baj5	86
马	horse	ma8	86
狗	dog	la6 tla3	86
公鸡	cock	pa3 ke1	86
蚂蚁	ant	be3	86
蛇	snake	la6 gaŋ1	87
臭虫	bedbug	pi1	87
虱子	louse	tõ3	87
跳蚤	flea	ŋ1	87
虫	worm	kiŋ1	87
鱼	fish	bja4	87
种子	seed	niw1 niw1	87
树	tree	fa1	87
叶子	leaf	dljũ2 dljũ2	87
花	flower	fa1	87
果子	fruit	pi3	87
豆子	bean	to8	87
竹	bamboo	tli1	87
竹笋	bamboo-shoot	bja6	87
草	grass	tsʰo5	87
稻	growing rice	pei4	87
大米	hulled rice	sõ3	87
糯米	glutinous rice	sõ3 dlo8	87
麻	flax	daw6	87
蔬菜	vegetables	jo1	87
田	field	lĩ2	87
木柴	firewood	tsʰjiŋ2	87
织布	to weave	daw7 do1	87
洗衣服	to wash (clothes)	dzaw5 aw3	87
衣服	clothes	aw3	87
穿	to wear	naŋ4	87
脱	to undress	tlʰo3	88
房子	house	la3 pja3	88
住	to dwell	njoŋ1	88
坟	grave	tsaw3	88
墙	outer wall	sjõ2	88
门	door	kŋ2	88
路	road	la6 kja3	88
鬼	ghost, spirit	tliŋ1	88
毛	body hair	pjo1 pjo1	88
皮	skin	tlju5 tlju5	88
骨	bone	tlʰoŋ3 tlʰoŋ3	88
肉	flesh	ge2	88
血	blood	biŋ3	88
头	head	fo3	88
脸	face	ŋ6	88
眼睛	eyes	ke2	88
耳朵	ears	ka1 bja2	88
鼻子	nose	kʰoŋ3 bei6	88
