Chinese gloss	Bana (巴那语)	Page number
天	la⁴⁴gwaŋ³¹³	76
太阳	la⁴⁴ni¹³	76
月亮	la⁴⁴la³⁵	76
雷	fu¹³	76
闪电	ljen⁵³fu¹³	76
风	tɕi³⁵	76
虹	tɬa⁴⁴ho⁵⁵ʔŋ¹³	76
雨	nuŋ²²	76
雪	bon³⁵	76
霜	tɬa³⁵	76
地	ti⁵³	76
山	pa³¹	76
河	ʔŋ¹³	76
水	ʔŋ¹³	76
洞	khuŋ⁴⁴	76
路	kja⁴⁴	76
田	lin³¹³	76
石头	pei³⁵	76
沙子	ɕa¹³	76
泥巴	ta¹³	76
树林	fa¹³	76
竹林	tɬi³⁵	76
金子	tɕin¹³tsai⁴⁴	76
银子	ȵin³¹³tsai⁴⁴	76
铜	tuŋ³¹³	76
铁	lo³⁵	76
盐	dʑa⁴⁴	76
灰烬	pjho⁴⁴	76
炭	thin³⁵	76
村子	tja⁵³	76
桥	lai¹³	76
坟	tsau⁴⁴	76
人	na³¹³	76
汉族	khai³⁵	77
苗族	pa⁵³na³¹³	77
男人	ton¹³na³¹³	77
女人	va⁴⁴na³¹³	77
头人	tu³¹³na³¹³	77
巫师	kŋ⁵⁵tuŋ³¹³	77
贼	tshau²²	77
皇帝	fŋ³¹³ti⁵⁵	77
跛子	la⁵⁵tu³⁵	77
斜眼	tsjha⁵⁵ke³¹³	77
豁嘴	pja³⁵lau³⁵	77
哑巴	na³¹³gwa³⁵	77
奶奶	ʔa⁴⁴pa³¹³	77
爷爷	ʔa⁴⁴kŋ¹³	77
父亲	ʔa⁴⁴ʑa¹³	77
母亲	ʔa⁴⁴ȵa³¹³	77
儿子	ton¹³	77
女儿	ta¹³pjhe⁵⁵	77
女婿	ton¹³vo⁴⁴	77
哥哥	ʔa⁴⁴tje³¹	77
姐姐	ʔa³¹ʔa⁴⁴	77
弟弟	ʔa⁴⁴kau⁵⁵	77
妹妹	ʔa⁴⁴mai³⁵	77
兄弟	tɕi⁴⁴ta³¹³	77
姐妹	tɕi⁴⁴ʔa⁴⁴	77
嫂子	ʔa⁴⁴sau⁴⁴	77
外公	ʔa⁴⁴ʑu⁵⁵	77
外婆	ʔa⁴⁴tje⁵⁵	77
舅父	ʔa⁴⁴ni³¹	77
舅妈	ʔa⁴⁴muŋ²²	77
丈夫	tɕon⁵³fu¹³	77
妻子	le¹³va⁴⁴	77
身体	la⁴⁴diŋ¹³	77
头	la⁴⁴fo⁴⁴	77
头发	fo⁴⁴pjo¹³	77
额头	fo⁴⁴ȵiŋ¹³	77
眉毛	pjo¹³ke³¹³	77
眼睛	pi⁴⁴ke³¹³	77
鼻孔	khuŋ⁴⁴bei²²	77
耳朵	ka¹³bja³¹³	77
脸	la⁴⁴ŋ²²	77
嘴	lau³⁵	77
胡子	ȵeŋ²²	77
下巴	kaŋ¹³lau³⁵	77
脖子	ka¹³tɬaŋ¹³	77
背	tɬo³⁵tɬaŋ¹³	77
胸脯	dai²²bo²²	77
乳房	la⁴⁴me³⁵	77
肚子	la⁴⁴tɕho¹³	77
肚脐	pi⁴⁴du⁵⁵	77
屁股	pi⁵⁵kaŋ¹³	77
大腿	ka¹³pai¹³	77
膝盖	fo⁴⁴tɕu²²	77
脚	la⁴⁴tu³⁵	77
手	la⁴⁴kwa³¹	77
胳膊	ka¹³ɕi¹³	77
手指	ton¹³da⁴⁴	77
指甲	ko³⁵da⁴⁴	77
男阴	la⁴⁴tɕhi¹³	77
女阴	la⁴⁴fa⁵⁵	77
疮	dzaŋ¹³	77
血	biŋ⁴⁴	77
脑髓	lje¹³	77
骨头	tɬhuŋ⁴⁴tɬhuŋ⁴⁴	77
牙齿	muŋ⁴⁴	77
舌头	la⁴⁴dli⁵³	77
小舌	ton¹³dli⁵³	77
喉咙	ka¹³tɬaŋ¹³	77
肺	la⁴⁴mau⁵⁵	77
肝	ɕi¹³	77
胆	la⁴⁴tɕi¹³	77
屎	ka⁴⁴	77
尿	va³¹	77
汗	njeu⁵⁵	77
眼泪	ʔŋ¹³ke³¹³	77
脓	pu²²	77
污垢	dʑo²²dʑo²²	77
牛	ŋ³¹³	77
黄牛	ŋ³¹³kuŋ³¹³	77
水牛	ŋ³¹³ɕi⁴⁴	77
牛犊	ton¹³ŋ³¹³	77
公牛	pa⁴⁴ɕa¹³	77
母牛	mi⁵⁵ŋ³¹³	77
牛角	kjon¹³ŋ³¹³	77
牛皮	tɬjeu³⁵ŋ³¹³	77
尾巴	la⁴⁴tje⁴⁴	77
马	ma³¹	77
马鬃	ma³¹tsuŋ¹³	77
羊	ʑon³¹³	77
猪	bai³⁵	77
狗	tɬa⁴⁴	77
猎狗	tɬa⁴⁴tjo⁵³ge³¹³	77
猫	ȵau⁴⁴	77
鸡	ke¹³	77
鸡冠	vje¹³ke¹³	77
翅膀	dla⁵⁵	77
鸭子	ʔai⁵⁵	77
鹅	ŋo³¹³	77
老虎	la⁴⁴tɕu⁴⁴	77
爪子	la⁴⁴tu³⁵	77
猴子	la⁴⁴lje¹³	77
野猪	tɬa¹³	77
穿山甲	liŋ³¹³ka⁴⁴	77
老鼠	naŋ³¹	77
狼	muŋ³⁵	77
鸟	nu²²	77
鸟窝	ʑa³¹nu²²	77
老鹰	la⁴⁴tɬaŋ⁴⁴	77
燕子	ʔa⁴⁴tɬjon⁴⁴	77
乌鸦	ʔi¹³ʔo¹³	77
斑鸠	ko⁵³gau¹³	78
蛇	gaŋ¹³	78
青蛙	kaŋ⁴⁴bu¹³	78
鱼	bja³¹	78
泥鳅	bja³¹tɬhi⁵⁵	78
虫	keŋ¹³	78
臭虫	pi¹³	78
跳蚤	ŋ⁴⁴	78
虱子	ton⁴⁴	78
头虱	bjo⁴⁴	78
蚊子	bjuŋ⁴⁴	78
蜘蛛	ʑa³¹sai¹³	78
蚯蚓	gaŋ¹³ʑuŋ¹³	78
蛔虫	gaŋ¹³ʑuŋ¹³	78
蚂蚁	bje⁴⁴	78
蜻蜓	liŋ³¹tshe¹³	78
蝴蝶	bi¹³ha¹³	78
螃蟹	keŋ¹³kje⁵⁵	78
