Chinese gloss	Language	Word	Source	Page no.
（年龄比父亲大的）岳父、公公、舅舅	Dong (Duolong)	ljon³³	Suining County Gazetteer (1997)	670
（年龄比父亲小的）岳父、公公、舅舅	Dong (Duolong)	ȶu¹¹	Suining County Gazetteer (1997)	670
一	Yao (Lianmin)	ik³³	Suining County Gazetteer (1997)	676
一	Dong (Duolong)	jit⁴⁵	Suining County Gazetteer (1997)	672
一	Yao (Naxi)	ji²¹³ (ji1)	Long (1984)	251
七	Yao (Lianmin)	tsʰi³³	Suining County Gazetteer (1997)	676
七	Dong (Duolong)	tet³⁵	Suining County Gazetteer (1997)	672
七	Yao (Naxi)	tsʰi²¹³ (tsʰi1)	Long (1984)	246
万	Dong (Duolong)	wen³³	Suining County Gazetteer (1997)	672
万	Yao (Naxi)	we³ (we³)	Long (1984)	245
万	Yao (Naxi)	we³³ (we6)	Long (1984)	250
丈夫	Yao (Lianmin)	paːn³³	Suining County Gazetteer (1997)	675
丈夫	Dong (Duolong)	saːu³¹	Suining County Gazetteer (1997)	671
三	Yao (Lianmin)	sã³³	Suining County Gazetteer (1997)	676
三	Dong (Duolong)	saːm⁴⁵	Suining County Gazetteer (1997)	672
上	Dong (Duolong)	ȶa⁴⁵³	Suining County Gazetteer (1997)	672
下	Dong (Duolong)	lui³³	Suining County Gazetteer (1997)	672
东	Yao (Lianmin)	toŋ⁵⁵	Suining County Gazetteer (1997)	675
丢失	Yao (Naxi)	ljeu³¹ (ljeu4)	Long (1984)	247
丢失	Yao (Naxi)	ljeu³¹ (ljeu4)	Long (1984)	252
两	Yao (Lianmin)	io³¹	Suining County Gazetteer (1997)	676
两（两个）	Yao (Naxi)	jɑ¹¹ (jɑ2)	Long (1984)	246
个	Dong (Duolong)	lən³¹	Suining County Gazetteer (1997)	672
个(人)	Cao Miao (Tanghua)	pu⁵⁵	Shi (2012)	
个(人)	Cao Miao (Tanghua)	muŋ³¹	Shi (2012)	
中午	Yao (Lianmin)	paŋ⁴²⁵ȵin⁵³	Suining County Gazetteer (1997)	675
中国	Cao Miao (Tongdao)	tsoŋ³³kʷe¹¹	Tongdao Ethnic Gazetteer	232
九	Yao (Lianmin)	tɕiao⁵²	Suining County Gazetteer (1997)	676
九	Dong (Duolong)	ȶou³³	Suining County Gazetteer (1997)	672
书	Yao (Lianmin)	lai³¹	Suining County Gazetteer (1997)	675
书	Yao (Naxi)	ke¹¹ (ke2)	Long (1984)	246
乳房	Yao (Naxi)	mei⁵³ (mei3)	Long (1984)	247
争	Yao (Naxi)	tɕʰeŋ²¹³ (tɕʰeŋ1)	Long (1984)	252
二	Yao (Lianmin)	ȵi²⁵	Suining County Gazetteer (1997)	676
二	Dong (Duolong)	ja¹¹	Suining County Gazetteer (1997)	672
二	Yao (Naxi)	õ³³ (õ6)	Long (1984)	248
二月	Dong (Duolong)	ȵi³³ŋwei⁴⁵	Suining County Gazetteer (1997)	671
云	Yao (Lianmin)	mõ²¹³	Suining County Gazetteer (1997)	675
云	Dong (Duolong)	ma³³	Suining County Gazetteer (1997)	670
五	Yao (Lianmin)	ŋou³¹	Suining County Gazetteer (1997)	676
五	Dong (Duolong)	ŋo³¹	Suining County Gazetteer (1997)	672
五	Yao (Naxi)	ŋõu³¹ (ŋõu4)	Long (1984)	246
五	Yao (Naxi)	ŋõu³¹ (ŋõu4)	Long (1984)	248
五	Yao (Naxi)	ŋõu³¹ (ŋõu4)	Long (1984)	252
五把斧头	Yao (Naxi)	ŋõu³¹ pø⁵³ kʷe²¹³ (ŋõu4 pø3 kʷe1)	Long (1984)	253
井	Yao (Lianmin)	nen³³tsen⁵²	Suining County Gazetteer (1997)	675
亭子	Yao (Naxi)	ljɑŋ¹¹tiŋ¹¹ (ljɑŋ2tiŋ2)	Long (1984)	247
人	Cao Miao (Tanghua)	qən²	Shi (2012)	
人	Yao (Lianmin)	veŋ²¹³	Suining County Gazetteer (1997)	675
人	Dong (Duolong)	ȵən⁴⁴	Suining County Gazetteer (1997)	670
人	Yao (Naxi)	wõn¹¹ (wõn2)	Long (1984)	248
人	Yao (Naxi)	wɐn¹¹ (wɐn2)	Long (1984)	251
什么	Yao (Lianmin)	la⁵⁵mo²⁵	Suining County Gazetteer (1997)	676
什么	Dong (Duolong)	maːŋ¹¹	Suining County Gazetteer (1997)	673
什么	Yao (Naxi)	mɑn¹¹ (mɑn2)	Long (1984)	244
今（今年）	Yao (Naxi)	nɑi³³ (nɑi6)	Long (1984)	252
今天	Yao (Lianmin)	pen³³te³³	Suining County Gazetteer (1997)	675
今天	Dong (Duolong)	man⁴⁵nai³³	Suining County Gazetteer (1997)	672
今年	Yao (Lianmin)	ȵin²¹³te³³	Suining County Gazetteer (1997)	675
今年	Dong (Duolong)	ȵin¹¹ȵai³³	Suining County Gazetteer (1997)	672
从前	Yao (Lianmin)	ɕin³¹tao³¹	Suining County Gazetteer (1997)	675
他	Yao (Lianmin)	nen³¹	Suining County Gazetteer (1997)	676
他	Dong (Duolong)	mau³³	Suining County Gazetteer (1997)	673
他们	Yao (Lianmin)	tɕao³³	Suining County Gazetteer (1997)	676
他们	Dong (Duolong)	e⁴⁵	Suining County Gazetteer (1997)	673
件（一件）	Yao (Naxi)	mõu³¹ (mõu4)	Long (1984)	244
低	Yao (Lianmin)	tʰen⁴²⁵	Suining County Gazetteer (1997)	676
低	Dong (Duolong)	tam⁴⁵³	Suining County Gazetteer (1997)	672
住	Yao (Lianmin)	tɔ⁵⁵tɕu⁵⁵	Suining County Gazetteer (1997)	676
你	Yao (Lianmin)	ȵia³¹	Suining County Gazetteer (1997)	676
你	Dong (Duolong)	ȵa¹¹	Suining County Gazetteer (1997)	672
你	Yao (Naxi)	ȵɑ¹¹ (ȵɑ2)	Long (1984)	248
你	Yao (Naxi)	ȵɑ¹¹ (ȵɑ2)	Long (1984)	252
你们	Yao (Lianmin)	sao³³	Suining County Gazetteer (1997)	676
你们	Dong (Duolong)	au⁴⁵	Suining County Gazetteer (1997)	672
你们	Yao (Naxi)	lɑ²¹³ (lɑ1)	Long (1984)	245
侄儿	Yao (Lianmin)	lo⁵⁵kʰie³³	Suining County Gazetteer (1997)	675
借	Dong (Duolong)	jaːm⁴⁵	Suining County Gazetteer (1997)	672
借	Dong (Duolong)	jaːm⁴⁵	Suining County Gazetteer (1997)	672
做事	Yao (Lianmin)	kuen²⁵maŋ⁵⁵	Suining County Gazetteer (1997)	676
偷	Dong (Duolong)	ljək¹¹	Suining County Gazetteer (1997)	672
偷	Yao (Naxi)	lji¹¹ (lji2)	Long (1984)	247
儿媳	Yao (Lianmin)	lo³³kʰie³³mia²⁵	Suining County Gazetteer (1997)	675
儿子	Yao (Lianmin)	lo³³ŋao²⁵	Suining County Gazetteer (1997)	675
儿子	Dong (Duolong)	laːk³¹	Suining County Gazetteer (1997)	671
儿子	Yao (Naxi)	lɑ³¹ (lɑ4)	Long (1984)	245
先、前	Yao (Naxi)	koŋ³⁵ (koŋ5)	Long (1984)	246
先前	Yao (Naxi)	koŋ³⁵ (koŋ5)	Long (1984)	248
先洗脸	Yao (Naxi)	ɕi⁵³ nɑu⁵³ koŋ³⁵ (ɕi3 nɑu3 koŋ5)	Long (1984)	253
八	Yao (Lianmin)	pai⁵²	Suining County Gazetteer (1997)	676
八	Dong (Duolong)	pet³³	Suining County Gazetteer (1997)	672
八	Yao (Naxi)	pɑi³¹ (pɑi4)	Long (1984)	244
八	Yao (Naxi)	pɑi⁵³ (pɑi3)	Long (1984)	252
六	Yao (Lianmin)	lik³³	Suining County Gazetteer (1997)	676
六	Dong (Duolong)	ljok¹¹	Suining County Gazetteer (1997)	672
六	Yao (Naxi)	lji³¹ (lji4)	Long (1984)	247
冰	Yao (Naxi)	kwɑn³⁵ (kwɑn5)	Long (1984)	247
冰	Yao (Naxi)	kwɑn³⁵ (kwɑn5)	Long (1984)	252
冷	Dong (Duolong)	ljaːk⁴⁵	Suining County Gazetteer (1997)	672
凉快	Dong (Duolong)	jim⁴⁵³	Suining County Gazetteer (1997)	672
凳子	Yao (Lianmin)	taŋ⁴²⁵	Suining County Gazetteer (1997)	675
出	Yao (Naxi)	wu³¹ (wu4)	Long (1984)	251
刀	Dong (Duolong)	mja³¹	Suining County Gazetteer (1997)	672
刀	Yao (Naxi)	mjo³¹ (mjo4)	Long (1984)	252
初	Dong (Duolong)	ɕou⁴⁵	Suining County Gazetteer (1997)	672
初一	Yao (Lianmin)	tsʰou³³i²¹³	Suining County Gazetteer (1997)	676
到	Yao (Naxi)	mjɑ³¹ (mjɑ4)	Long (1984)	248
刺	Dong (Duolong)	sun⁴⁵	Suining County Gazetteer (1997)	671
