Chinese gloss	English gloss	Jiamao	Page no.
天空	sky	vɔːn¹vuəi¹	79
太阳	sun	tou¹vɔːn¹	79
月亮	moon	nuən¹	79
星星	star	tsap⁸tsin⁵	79
云	cloud	pou¹	79
雾	fog	kɔːu⁴	79
雷	thunder	hu¹vuəi¹	79
风	wind	kɯ²vɯat⁷	79
雨	rain	pɔŋ¹	79
火	fire	paːi¹	79
火烟	smoke (of fire)	en⁴tso¹	79
山	mountain	tsou¹	79
山洞	cave	sua¹tsou¹	79
河	river	naːm¹	79
海	sea	laːŋ¹	79
湖/塘(深)	lake, pond (deep)	tʰa²	79
湖/塘(浅)	lake, pond (shallow)	jɔŋ⁵	79
水沟	ditch	vaːi²naːm¹	79
路	road	kɯ²tin¹	79
水田	paddy field	tou⁴	79
旱田	dry	tou⁴kʰa¹	79
石头	stone	siːn¹	79
沙子	sand	kɯ²dei¹	79
灰	dust	huəi¹	79
土	earth	kɯ²len⁴	79
水	water	naːm¹	79
金	gold	kiəm³	79
银	silver	kuən⁴	79
铜	copper, bronze	daːŋ⁴	79
铁	iron	kui¹	79
盐	salt	nɔːu⁴	79
火灰	ashes	nɯa²paːi¹	79
村	village	fuən¹	79
家	family	tʰɯ⁵	79
棍子	stick	tʰok⁸sai¹	79
绳子	rope	tɯi¹	79
人	person, human	tʰai¹	79
名字	first name	pʰe¹	79
小孩	child	tʰiək⁸	79
男人	man, male	pʰɯ¹tsə⁴	79
女人	woman, female	mɯ²taːu¹	79
小伙	young man	mɯ²ȵau¹	79
姑娘	young woman, virgin	kɯ²u¹	79
祖父	grandfather	pəːu⁴	79
祖母	grandmother	tsa²	79
父亲	father	po⁵	79
母亲	mother	maːi⁵	79
丈夫	husband	tʰa⁴	79
妻子	wife	naːu⁵	79
姐姐	elder sister	u¹	79
儿子	son	tʰiək⁸	79
女儿	daughter	tʰiək⁸u¹	79
孙子	grandson	tʰiək⁸kɯ²pəːu⁴	79
哥哥	elder brother	eːn¹	79
弟弟	younger brother	nuəi⁵	79
妹妹	younger sister	u¹nuəi⁵	79
身体	body	huən⁴	79
头	head	kiːu¹	79
头发	hair	tiəm¹kiːu¹	79
额头	forehead	kɯ²tu¹	79
眼睛	eye	kɯ²tou¹	79
鼻子	nose	kɯ²hɔːt⁹	79
耳朵	ear	kɯ²kɔ¹	79
脸	face	pʰan¹	79
嘴巴	mouth	kɯ²mɯəŋ⁴	79
胡子	moustache	mum²	79
脖子(后)	neck (front)	kɯ²tsaŋ²	79
脖子(前)	neck (back)	kɯ²au⁵	79
