Gloss	Jiamao language	Proto-Hlai
1sg	kaw¹	*ɦu:
1pl excl	ʔaw¹	*fʰəw
1pl incl	tej¹	*hrəw
2sg	məj¹	*C-mɯ:
2pl	tsʰaw¹	*sʰəw
3sg	nej⁵	*C-na:
3pl	mow⁵	*ɾu:ɦ
that (distal)	mɔ:⁵	*C-ma:ɦ
this (proximal)	nɛ:⁵	*C-ni:ɦ
that (medial)	kɛ:⁴	*ɦəɰɦ
one	kɯ:²	*tçʰɯ:
two	ɬiaw⁴	*hlu:ʔ
three	ta:w¹	*Cuʈʂhuʔ
four	tiəw¹	*ʈʂhəwʔ
five	pu:⁴	*hma:
six	nəm⁴	*hnom
seven	ɗaw¹	*tʰu:
eight	ku:¹	*hru:
nine	fə:¹	*C-wɯ:ʔ
ten	puət⁹	*fʰu:t
hundred	kɯ:n¹	*Cuhra:n
ancestor	pə:w⁴ tuən⁴	*pʰut pʰu:ʔ
woman	mɯ² ta:w¹	*hmi:ʔ kʰəwɦ
man	pʰɯ¹ tsə:⁴	*pʰa:ʔ C-ma:n
wife	na:w⁵	*kʰəwɦ
father’s younger sister	fi:⁴	*fʰɯ:ʔ
child	ɬiək⁸ lat⁷	*hlɯ:k C-lik
younger sibling	nuəj⁵	*hru:ŋ
face	pʰan¹	*ɗəŋ
ear	kɔ:¹	*hljəj
shoulder	vet¹⁰	*ʋa:ɦ
arm	tɯ:n¹	*kʰi:n
sweat	ʔɯat⁷	*Cuʔən
chin	tsʰɔ:ŋ¹	*ɦa:ŋ
throat	lɔ:k⁸	*kʰə:k
breast	ɲen⁵	*tçi:ɦ
lung	vuəŋ⁴	*kəwɦ
urine	tsem⁵	*ɗu:
horse	pə:⁵	*hŋa:ʔ
cat	ɲa:w⁵	*C-mi:wɦ
pangolin	tsa:⁴	*C-mɯnʔ
squirrel	lə:n⁵	*C-ɲa:t
crab	tsʰa:k⁹	*ɓu:ɦ
bird	nɔ:k⁹	*sʰəc
pig	pəj⁴	*hməw
monkey	nɔ:k⁹ tsʰa:ŋ¹	*C-nok
porcupine	lu:⁴ low²	*tçʰinʔ
bat	tʰiək⁷	*Cuhrɯ:k
shrimp	ʔɔ:⁵	*Cuɾa:ŋ
snake	ɓuət⁷	*hlja:ɦ
gadfly	nɯa⁵	*hlja:k
mosquito	tsʰak⁷	*C-ɲu:ŋ
beetle	pa:p⁸	*ɾa:p
bee	tej¹	*kə:j
moth	tsi:w⁴	*tʰəmʔ
bedbug	ɗɔ:p⁹	*kɯp
bamboo	ɓa:¹	*C-la:w
white sesame hemp	ven⁴	*kʰa:n
muskmelon	haŋ¹	*ʔəj
mushroom	tsʰaŋ¹	*ɗit
cotton	ɓɔk⁷ hɔ:w⁴	*ɦa:wʔ
pit (fruit)	hɯət⁷	*ʔu:k
sesame	tiaw⁴	*hŋɯ:
white rattan (small)	lej¹	*kəc
mat grass	lə:p⁷	*hrji:wʔ
coconut	pɔ:⁵ tsʰuək⁷	*Ciʔunɦ
flower	ŋɯa¹	*ʈʂha:ŋ
fruit	mɯat⁷	*ʈʂhə:m
chaff	vu:⁴ vit⁸	*hli:p
sky	vuəj¹	*fʰa:ʔ
hail	tsʰa:⁵	*sʰinɦ
wasteland	fa:²	*hmu:ŋ
mountain	tsow¹	*Cuɦəwʔ
ash	fa:¹	*sʰu:ʔ
star	tsap⁷tsin⁵	*ɾa:w
frost	nɔ:w⁴ vuəj¹	*hljin
forest	ŋuən⁵	*hrəŋ
typhoon	pʰa:ŋ¹	*hwənɦ
sand	ɗej¹	*pʰu:ɦ
house	ɬɯ:²	*hrɯ:n
animal pen	ŋat⁷	*sʰu:nɦ
bench	ŋuən¹	*tʰimɦ
cradle	ʔə:j¹	*ʔu:
bamboo hat	kuən³ lɔ:j⁵	*hla:ŋʔ
shoes	ləm⁵	*kə:mʔ
net (small)	piw¹	*hrə:jʔ
fan	pʰaŋ⁵	*hwoŋʔ
jar	lej⁵	*kəj
dagger	ɬiək⁸ kʰua¹	*hljiwʔ
child’s house	ɗɔ:¹	*kujʔ
trough	tɔ:ŋ¹	*[ʈʂ]hu:
mat	tsiək⁸	*tʰɯ:k
road	tin¹	*ku:n
earring	tsʰiaw¹	*hwi:ŋɦ
arrow	pe:¹	*sʰi:p
fish basket	ɓa:w¹	*C-li:k
vine basket	ɓi:n¹ lɔ:¹	*tçʰəwɦ
bowl/basin	la:k⁹	*Cuʔa:w
a handle (knife)	ɓuən¹	*fʰi:nʔ
black	tsʰej¹	*ɗəmʔ
yellow	tsaj⁴	*hlja:ŋ
salty	taŋ²	*Cuɦa:nʔ
good	maŋ¹	*hlin
old (thing)	ʔjɔ:t⁹	*ka:wʔ
early	puət⁸	*ka:wʔ
fast	tsʰiaŋ⁵	*hjinʔ
wide	vi:⁴	*ɓa:ŋ
hard	lə:w⁴	*tçʰə:nʔ
dense	ni:t⁹	*tʰi:t
live, fresh	ɬuət⁸	*Cuɾi:p
horizontal	ləŋ⁴	*ɾinɦ
blind	kʰiw¹	*m-la:w
beautiful	nɔk⁷	*hlin C-mɯ:n
hot	ʔjuŋ¹	*Cuʈʂhəwʔ
afraid	ɬɔ:⁴	*ɗa:ʔ
dry	kʰa:¹	*ɾa:nɦ
round	la:w¹	*Cuhrom
empty	kʰaŋ¹	*Cuɾajɦ
fine	ɲə:p⁸	*ʔu:t
grey	pʰu:¹	*hma:wɦ
indigo	ta:¹	*tçʰi:ŋ
spicy	kəŋ⁵	*hrit
bad	ʔaj¹	*ɾja:k
