No.	English gloss	Chinese gloss	Jizhao
1	I	我	ŋau³¹; ŋo³³
2	you (singular)	你	mi²¹
3	he	他	man³¹
4	we	我们	ŋau³¹leˀ³³; ŋo³³leˀ³³
5	you (plural)	你们	mo³³leˀ³³
6	they	他们	man³¹leˀ³³
7	this	这	ni³³
8	that	那	nun³³
9	here	这里	ɬan²¹ni³³
10	there	那里	ɬan²¹nun³³
11	who	谁	tʰo²¹ly³¹
12	what	什么	mak⁵⁵kou³³; mat⁵⁵jøŋ³³
13	where	哪里	a⁵⁵ʦʰy²¹
14	when	何时	ki⁵⁵ɬi³¹
15	how	如何	ky⁵⁵ly³¹
16	not	不	mi⁵⁵
16(b)	not yet	未	leŋ³¹
17	all	所有	tsʰyn²¹ɓu³¹
18	many	多	laːi²¹
19	some	一些	ɗik⁵⁵ke²¹
20	few	少	ɬiu⁵⁵
21	other	其他	kʰi³³tʰa²¹
22	one	一	jat⁵⁵; ka³³
23	two	二	ȵi³³; man⁵⁵
24	three	三	ɬaːm²¹
25	four	四	ɬi⁵⁵
26	five	五	ŋa⁵⁵; ŋo³¹
27	big	大	ȵou⁵⁵
28	long	长	lui²¹
29	wide	宽	vut³³
30	thick	厚	na²¹
31	heavy	重	kʰoŋ²¹; kon²¹
32	small	小	nak⁵⁵
32(b)	juvenile	幼	un⁵⁵
33	short	短	ɗan⁵⁵
34	narrow	窄	ʦaˀ³³
35	thin	薄	ɓøŋ²¹
36	woman	女	mai³³pʰa²¹lou³¹vun²¹
37	man (adult male)	男	ja³¹lou³¹vun²¹
38	man (human being)	人	lou³¹vun²¹; ja³¹
39	child	孩	ki⁵⁵ke²¹
40	wife	妻	mai³³pʰa²¹
41	husband	夫	lou³³oŋ²¹
42	mother	母	am⁵⁵ma⁵⁵
43	father	父	kuŋ⁵⁵ma⁵⁵
44	animal	动物	-
45	fish	鱼	ɓa²¹
46	bird	鸟	nok⁵⁵
47	dog	狗	ma²¹
48	louse	虱	mat²¹
49	snake	蛇	ȵø²¹
50	worm	虫	miŋ³¹
51	tree	树	mai³³
52	forest	林	pʰeŋ²¹; lam²¹
53	stick	棍	kuan³³; kuŋ³³
54	fruit	果	maˀ²¹
55	seed	种子	ɓoŋ⁵⁵
56	leaf	叶	ɓou³¹
57	root	根	koŋ²¹
58	bark (of a tree)	树皮	mai³³naŋ²¹
59	flower	花	va²¹
60	grass	草	ɓat⁵⁵
60(b)	straw	稻草	muŋ³³
61	rope	绳	ȵaŋ²¹
62	skin	肤	naŋ²¹
63	meat	肉	me³³
64	blood	血	vit³¹
65	bone	骨	lek⁵⁵
66	fat (noun)	脂	-
67	egg	蛋	ȵum²¹
68	horn	角	kaˀ⁵⁵
69	tail	尾	ɓaːi²¹
70	feather	羽毛	vun³¹
71	hair	头发	ɬou⁵⁵
72	head	头	laːu³³
73	ear	耳	la³¹
74	eye	眼	ɗa²¹
75	nose	鼻	lou³³naŋ²¹
76	mouth	口	ɓaˀ³³
77	tooth	牙	tsan³³
78	tongue (organ)	舌	li³³
79	fingernail	指甲	maːu³¹kaːp⁵⁵
80	foot	脚	koˀ⁵⁵
81	leg	腿	koˀ⁵⁵va³¹
82	knee	膝	koˀ⁵⁵laːu³³tʰu²¹
83	hand	手	maːu³¹
84	wing	翅	ɓik⁵⁵
85	belly	腹	tʰoŋ³³
86	guts	肠	li³³
87	neck	颈	liŋ²¹ko³¹
88	back	背	ɓui⁵⁵
89	breast	乳	nen³³
90	heart	心	ɬum²¹
91	liver	肝	ɗap⁵⁵
92	to drink	喝	haˀ⁵⁵
93	to eat	吃	ky²¹
94	to bite	咬	kap²¹
95	to suck	吸	lan⁵⁵
96	to spit	吐	pʰei⁵⁵
96(b)	to spit out	吐奶	lok³³
97	to vomit	呕	tʰou³³; tʰo⁵⁵
98	to blow	吹	tsʰui²¹
99	to breathe	呼吸	hu³³kʰap⁵⁵
100	to laugh	笑	liu³¹
101	to see	看	haːn⁵⁵
102	to hear	听	tʰiŋ⁵⁵
103	to know	知	tʰiu³³hou³³; ʦak³¹
104	to think	想	ɬøŋ³³
105	to smell	嗅	ȵiŋ⁵⁵
106	to fear	怕	kiŋ²¹
107	to sleep	睡	ŋaːp²¹
108	to live	活	naːi²¹
109	to die	死	ɗaːi²¹
110	to kill	杀	ka⁵⁵
111	to fight	斗	tʰy³¹
112	to hunt	猎	lit³³
113	to hit	击	tʰy³¹
114	to cut	切	ʦʰit³³
115	to split	分	van²¹
116	to stab	刺	kiˀ⁵⁵
117	to scratch	挠	ȵaːu²¹
118	to dig	挖	kʰok²¹
119	to swim	游	ju²¹
120	to fly	飞	moŋ²¹
121	to walk	走	ɓaːi²¹
122	to come	来	ma²¹
123	to lie (as in a bed)	躺	ŋaːp²¹
124	to sit	坐	naŋ³³
125	to stand	站	jan⁵⁵
126	to turn (intransitive)	转	tsyn⁵⁵
127	to fall	落	ɗoˀ⁵⁵
128	to give	给	van²¹
129	to hold	拿	ou²¹; ŋop⁵⁵
130	to squeeze	挤	ɗe³¹
131	to rub	磨	ɓan²¹
132	to wash	洗	ʦuk⁵⁵
133	to wipe	擦	ʦʰaˀ⁵⁵
134	to pull	拉	tʰa²¹; ɓeŋ²¹
135	to push	推	tʰoi²¹
136	to throw	扔	tʰap²¹
137	to tie	系	kat²¹
138	to sew	缝	ʦam²¹
139	to count	计	ɬyn⁵⁵
140	to say	说	lum²¹
141	to sing	唱	ʦʰøŋ⁵⁵
142	to play	玩	van³³
143	to float	浮	vou³¹
144	to flow	流	lu²¹
145	frozen	冻	ɗoˀ⁵⁵
146	to swell	肿	ɓoŋ³¹
147	sun	日	lou³³vun²¹
148	moon	月	ʦaːi²¹ɗe⁵⁵
149	star	星	ɬiŋ²¹
150	water	水	nam³³
151	rain	雨	ŋoŋ²¹
152	river	河	mai³³nam³³
153	lake	湖	-
154	sea	海	koŋ⁵⁵
155	salt	盐	ȵiu⁵⁵
156	stone	石	lin³¹
157	sand	沙	tsaːŋ³¹
158	dust	尘	tsʰaŋ²¹
159	earth	地	mat²¹
160	cloud	云	van²¹va⁵⁵
161	fog	雾	mo⁵⁵
162	sky	天	tʰin²¹
163	wind	风	tsan³³
164	snow	雪	ɬyt⁵⁵
165	ice	冰	ɓiŋ²¹
166	smoke	烟	in²¹
167	fire	火	vi³¹
168	ash	灰	lou³³
169	to burn	烧	ʦou²¹
170	road	路	ɬan²¹
171	mountain	山	tsaŋ²¹
172	red	红	hoŋ²¹
173	green	绿	lo²¹
174	yellow	黄	laːŋ²¹
175	white	白	pʰøk³³
176	black	黑	lam²¹
177	night	夜	kʰyn²¹
178	day	白天	pʰøk³³van²¹
179	year	年	vui²¹
180	warm	暖	nyn³¹
181	cold	冷	ɗoˀ⁵⁵
182	full	满	ɗik⁵⁵
183	new	新	tsoŋ²¹
184	old	旧	kau⁵⁵
185	good	好	hou⁵⁵
186	bad	坏	vaːi³³
187	rotten	腐烂	laːi³¹
188	dirty	脏	ŋan³³
189	straight	直	lak²¹
190	round	圆	vin³¹
191	sharp (as a knife)	尖	tsim⁵⁵
192	dull (as a knife)	钝	lyt⁵⁵
193	smooth	滑	vaːt³³; va³³
194	wet	湿	ʦat²¹
195	dry	干	løŋ⁵⁵
196	correct	对	ɗoi⁵⁵
197	near	近	lau⁵⁵
198	far	远	lui²¹
199	right	右	ju²¹
200	left	左	tso⁵⁵
201	at	在	u⁵⁵
202	in	里	lau²¹
203	with	与	kʰuŋ³³
204	and	和	kʰuŋ³³
205	if	若	ȵi²¹ko⁵⁵
206	because	因为	-
207	name	名	na⁵⁵naːi²¹
