No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
1	矮	short	*tʰɯːʔ	*tɯːʔ		tʰaː¹
2	愛	love			GHl *ʔəːp	[taːk⁹tsiː¹]
3	安裝	set up	*C-ŋəp	*C-ŋəp		[kaːp⁷]
4	安	press	*C-məc	*C-məc		
5	安	press			Qi *kom	kəm⁵
6	安	press			Run *[ʈʂ/tç]həmɦ	
7	熬	decoct	*C-ŋaːwɦ	*C-ŋaːwɦ		kəm⁵
8	八	eight	*hruː	*ruː		kuː¹
9	扒	dig up	*Cuɦɯːnɦ	*Cuɣɯːnɦ		
10	扒	dig up			GHl *sʰinʔ	
11	扒	dig up	*ɦɯːt	*C-ɣɯːt		kɯat⁷
12	扒	dig up			NECHl *kʰɯːt	
13	芭蕉	banana	*hwaːk	*waːk		vɯa⁵
14	拔(草)	pull up (grass)	*ʔɯt	*ʔɯt		[kɔŋ⁵]
15	拔(釘)	pull out (nail)	*kʰəc	*[k/x]əc		[mak⁷]
16	拔(土)	pull up (earth)	*kɯːm	*Cəʔgɯːm		[mak⁷]
17	拔(土)	pull up (earth)			NCHl *kʰop	
18	把(刀)	knife clf.	*pʰiːnɦ	*piːnɦ		[tet⁷]
19	把(刀)	knife clf.			NCHl *hw[a]ːŋʔ	
20	把	tool clf.	*C-lɯːŋʔ	*C-lɯːŋʔ		[tet⁷]
21	把	tool clf.			Run *ʔw[a]ːk	
22	耙	rake	*hrjik	*Cirik		[pʰəː¹]
23	耙	rake			Run *ɾ[a]ːŋ	
24	白	white	*kʰaːw	*[k/x]aːw		kʰow¹
25	白麻	white hemp (Apocynum pictum)	*kʰaːn	*[k/x]aːn		[ven⁴]
26	白藤	white rattan (Calamus tetradactylus)	*kəc	*Cəʔgəc		[lej¹]
27	白天	daytime	*hmiːʔ	*miːʔ		[kɯ²]
28	白天	daytime	*hŋwən	*ŋwən		[ɗuən⁵]
29	白頭髮	white hair	*hŋuːk	*ŋuːk		kua²
30	白蟻	termite	*m-luːk	*m-luːk		lua⁵
31	百	hundred	*Cuhraːn	*Curaːn		kɯːn¹
32	拜	worship	*pʰuc	*puc		pʰut⁷
33	擺手	wave (hand)	*ʔu[ː]j	*ʔu[ː]j		
34	擺手	wave (hand)			CHl *hwin	[fit⁷]
35	斑鳩	dove	*kʰuː	*[k/x]uː		[tsaw⁴]
36	搬	move (object)	*[ɾ/hr]j[e]ːŋʔ	*Ci[d/r][ɛ]ːŋʔ		
37	搬	move (object)			Run *hj[e]ːŋʔ	
38	搬運	transport	*hŋwəːjʔ	*ŋwəːjʔ		
39	半	half (of object)			GHl *tʰəːn	
40	半	half (of number)			CHl *tʰom	
41	半	half (of number)			CHl *fʰin	
42	半	half (of number)			Run *fʰunɦ	
43	綁	tie			GHl *fʰəːt	[kʰɔːp⁹]
44	綁	tie			GHl *sʰən	
45	綁	tie			NWCHl *C-ŋəːnʔ	
46	蚌	mussel	*tçʰiː	*[c/ç]iː		tsʰaj¹
47	蚌	mussel			GHl *[ʈʂ/tç]həːŋʔ	[kʰɔːp⁷]
48	蚌	mussel			Run *hwaːʔ	
49	包	wrap	*tʰuːk	*tuːk		tʰuːʔ⁹
50	剝	skin (a cow)	*ɗaːŋʔ	*Cəʔdaːŋʔ		tʰak⁷
51	剝	skin (a cow)			Qi *tʰək	
52	剝	peel (bark)	*sʰiːnɦ	*siːnɦ		[ɲiːt⁹]
53	剝	peel (bark)			CHl *ɗiːnʔ	
54	薄	thin	*hrɯː	*rɯː		kaj¹
55	飽	sated	*kʰɯːm	*[k/x]ɯːm		kʰɔm¹
56	抱/背	carry			GHl *ʔop	ʔup⁷
57	抱	carry (a child)	*ʔuːnʔ	*ʔuːnʔ		ʔun⁵
58	抱	carry (firewood)	*ʔomʔ	*ʔomʔ		
