English gloss	Proto-Hlai
arm	*kiːnA
armpit	*ŋaiA
back	*ʔduːnC[1]
beard	*(ə)mɨːmC
blood	*alaːc
body	*ukuːnA
bone	*urɨːk
brain	*aluːk
chest	*apanC
ear	*ilaiA
elbow	*ikuːŋB
excrement	*akaːiC
eye	*ataA
fart	*(ʔ)tuːt
fat	*aRuːiC
finger	*iliːŋB
fingernail	*liːp
flesh, meat	*aRamC
foot	*kuk
forehead	*daːuA
fist	*ugap / *uRap
gall bladder	*daiA
hair	*ukunA
hand	*mɨA
head	*uRəuC
heart	*alaːuC
intestine	*araːiC
knee	*aruA
liver	*ŋaːnA
lung	*gɨuB
mouth	*amamC
navel	*urɨA
neck	*iluŋC
nose	*kat
nose, face	*(ʔ)daŋA[2]
pus	*uRiuC
saliva	*aləːiA
shoulder	*aʋaB
skin	*nəŋA
skin layer	*alɨt
stomach	*amuk
tongue	*aliːnC
tooth	*ipanA
urine	*(ʔ)duA
waist	*ikauA
waist	*ikaB
wart	*suːC
ant	*amuc
ant (red)	*ukalC
ape	*uriA
bear	*muiA
bedbug	*gɨp
bird	*saC
boar	*laC
cat	*miːuB
centipede	*ariːp
chicken	*kaiA
cicada	*iRəːiA
clam, snail	*ciA
cow	*naːuA
crab	*(ʔ)bɨuB
crocodile	*gaiC
crow, n.	*ʔaːk
dog	*amaA
egg	*ajɨːmA
fish	*alaA
flea	*amət
fly, n.	*awaːŋC
frog (small)	*galB
frog (large)	*gaːt
gadfly	*ilaːk
gills	*ŋaːk
hom	*akauA
horse	*aŋaC
insect, worm	*ikanB
leech (land)	*ʔtaːk
leech (water)	*iliŋA
louse (body)	*tanA
louse (head)	*utuA
louse (chicken)	*ajəuC
louse (dog)	*cip
maggot	*aŋuiA
monkey	*nuk
mosquito	*ɲuːŋA
moth	*ukuA
moths	*(ʔ)tamC
muntjac	*ləːiA
nest	*aruːk
otter	*(ə)naːk
pheasant	*upaA
pig	*amauA
pig, porcupine	*daiA
pigeon, dove	*kuA
porcupine	*mɨnC
rat	*aniuA
scale (fish)	*ləp
shell, skin	*apaːk
shrimp	*uraːŋA
snake	*ilaB
sparrow	*ʔpac
sparrowhawk	*aginB
spur	*ikut
tail	*cuc
termite	*pəluːk
turtle	*ʔtɨuB
turtle (soft-shelled)	*ʔtɨːp
wasp (small)	*tinA
wasp (big)	*pəluA
wing	*piːk
worm (small)	*awiːuB
bamboo	*ʔdumA
bamboo	*pəlɨːiB
bamboo shoot	*nɨːŋA
banana	*awaːk
bark	*apaːk
beans, peas	*ikauA
branch	*kaA
branch	*ŋaːmB
chaff	*iRumA
coconut	*iʔunB
cotton	*(ʔ)buːiC
field, paddy	*anaB
flower	*ataːŋA
fruit	*atəmA
fruit (flesh)	*maːk
ginger	*khɨːŋA
gourd	*agaːiB
grain (blighted)	*aliːp
grass	*aŋanC
hemp (wild)	*amiːnA
hemp	*(ʔ)kaːnA
leaf	*bɨA
ashes	*sauC
breach	*awaːŋB
cloud, sky	*apaC
dam	*thəmC
dew, frost	*aləŋC
dew	*aŋaːuC
dike (field)	*ikənA
dirt, dust	*uranA
drought	*araːnB
fire	*apiA
fog	*ukənA
fog, shadow	*aŋaːuC
forest, hill	*daːuC
forest	*aRaŋA
forest	*kəŋA
frost	*ilinA
grove	*aguŋC
hole, cave	*cuːŋC
light (dawn)	*ʔdinC
millet	*apaːŋC
musk melon	*ʔaiA
pineapple	*araC
reed	*apaːuA
rice (cooked)	*taB
rice (polished)	*agiA / *aRiA
rice, food	*urap
rice, paddy	*muc
rice, paddy	*muːnC
rice, paddy	*amuk
seed	*(i)panA
seedlings	*awiuA
sprout, n.	*ataA / *caA
straw	*ŋwiŋC
sugarcane	*maːiC
thatch grass	*ikaA
thorn	*ukɨnC
twig end	*ikənC
vine	*gac
wood	*caːk
yam	*manA
yam	*muːŋA
lightning	*alip
moon	*ɲaːnA
mountain	*tɨːnA
mountain	*ukəuC
mud	*pəlaːk
pith	*ukaC
rain	*apunA
road, path	*guːnA
star	*araːuA
stone	*ciːnA
thunder, noise	*arəŋA
trough (pig)	*atuA
typhoon	*awanB
water	*namC
well, pond	*awaːŋA
wilderness	*iliːuA
wind	*awiuA
wind	*awət
arrow	*ŋət
basket (winnowing)	*duŋC
boat	*uraA
bow	*aʋaC
bowl	*uʔaːuA
bowstring	*aguA
cloth	*dap
comb	*saːŋA
cover, n.	*aŋət
dregs	*daːk
drum	*laŋA
earring	*awiːŋB
firewood	*aŋunC
flute (nose)	*iluːnB
gift	*agiːmC
handle	*ukəuB
hat (bamboo)	*alaːŋC
house	*arɨːnA
house	*pəluŋC
iron	*aRəːiC
jacket	*aʋaːŋC
knife (pointed)	*iliuC
knife, sword	*gaC
ladder	*ʔpɨA
ladle (gourd)	*ukiA
mat	*tɨːk
medicine	*ajaA
mortar	*arauA
needle	*aŋuC
net	*aRəːiC
pestle	*caːk
pillow	*ŋaːnA
pole (shoulder)	*apiːk
pot	*gaiA
pot	*ʔtauA
quilt	*apaiC
reins	*amanA
rope, hemp	*dəːiA
salt	*ɲaːuC
shelter	*ŋauA
shoes	*gəmC
shovel	*ilaːuB
sieve, n.	*irauA
skirt	*ariːnC
trap (rat)	*ikəp
trap (fish)	*liːk
village	*upaːnA
village	*(ʔ)bauC[3]
wall	*ŋat
whetstone	*araA
wine	*ʔbiːŋB
yeast	*ukumA
aunt	*(ə)miA
child	*alɨːk
female, mother	*amaiC
female	*(ʔ)kəuB
generation	*(ʔ)puːnA
ghost, spirit	*awət
grandfather	*pauC[4]
grandmother	*jalC
great grandfather	*(ʔ)put
great grandmother	*jɨt
Han	*məːiA
husband	*alɨA
I	*akuA
life, birth	*aluA
male (person)	*maːnA
male, father	*paC
big	*luŋA
bitter	*akəmA
black	*(ʔ)damC
blind	*pəlaːuA
clear	*alɨːŋC
cold	*kaːiB
daily	*aRəmA
deaf	*alək
deep	*alək
disgusting	*ʔaːiC
dredge	*awaːnC
drown	*alumA
drunk	*amuiA
dry	*kalB
dry	*(ʔ)daːuA
dull, stupid	*aməːiA
dumb, mute	*ŋumA
early	*(ʔ)dumA
early	*gaːuC
expensive	*ʔbaːŋA
far	*laiA
male-in-law	*ajuA
man, others	*ʔaːuA
master	*aʋaːŋA
name	*paːŋA
omen	*awiːnA
person	*(ʔ)kunA
people	*alaiA
shadow	*ikəuC / *ɨu
sibling (younger)	*aRuːŋA
soul	*ukɨA
taboo	*ukəuB
they, others	*arauB
thief	*(ʔ)buiA
we	*aRauA
widow	*aməːiC
you	*mɨA
new	*alaːuC
new	*amaːnA
new	*nəuC
numb	*ananB
old	*kauB
