Gloss	Proto-Kam-Sui
angry	*hwaːt⁷
angry	*hnaːn⁵
to answer	*taːp⁷
ant	*mwit⁸
arm	*laːk⁸
arm	*k-xiːn¹
armpit	*khjaːk⁷
arrive, reach	*taŋ¹
ascend	*cha⁵
ashes	*phwuːk⁷
ashes	*phlaːu⁵
aunt	*pa³
back(bone)	*hlaːi¹
back, behind	*lun²
bad, cruel	*hwaːi⁶
bamboo strip	*thruk⁷
bamboo	*xwan¹
bank, shore	*pwaŋ⁵
to bark	*khrau⁵
basket, winnowing	*ɗuŋ³
bathe	*ʔaːp⁷
bear	*ʔmuːi¹
beard	*m-luːt⁸
bedbug	*hȵiŋ¹
bee	*mit⁸
bee	*daːŋ²
bee, wasp	*ʔdlu¹
below	*te³
bird	*mluk⁸
bite; chew	*krip⁷
bitter	*kam¹
black	*ʔnam¹
blind	*ɓuːt⁷
blood	*phlaːt⁷
blow (wind)	*hwaːt⁷
to blow	*dzup⁸
body	*thrun¹
bone	*tlaːk⁷
bow, bend	*cam³
bowl, cup	*duːi⁴
branch	*ʔŋa⁵
branch	*ciŋ⁵
break, tear	*praːk⁷
bright	**kraːŋ¹
brother, older	*ɣwaːi⁴
to bundle	*dzuːk⁸
bury	*hmuk⁷
to buy	*trai³
cabbage	*kaːt⁷
candle	*laːp⁸
carry on back	*ʔma⁵
catch, grasp	*kjap⁷
cave	*kaːm¹
centipede	*khryap⁷
chest (body)	*tak⁷
to chew	*hmaːk⁷
to chew	*hnaːi⁵
chicken	*kaːi⁵
young chicken	*hŋlaːŋ⁵
to chop	*hmaːk⁷
to chop	*pram³
close (eyes)	*khlap⁷
cloud	*m-xwa³
cold	*hnu¹
collapse	*paŋ¹
come; return	*hma¹
to connect	*kjaːp⁷'
copper	*duŋ²
count	*ȵai⁶'
a cover	*hraːŋ⁵
cowry (money), shell(fish)	*khruːi¹
to crawl	*hlaːi⁵
cross, pass	*da⁶
a crow	*ka¹
to cut	*kat⁷
to cut	*kaːt⁷
day	*hŋwan¹
deaf	*ɗak⁷
deep	*ʔyam¹
descend	*hluːi⁵
devil, ghost	*laːi⁴
to die	*pjai¹
dirt, earth	*di⁶
disgusted	*ɓja⁵
dog	*k-hma¹
door	*tu¹
dove	*gwau²
draw water	*tak⁷
draw water	*te³
dream	*pwjan¹
to drink	*trwap⁷
drop, fall	*tuk⁷
drop, fall	*tuk⁷
dull	*dip⁸
ear of grain	*mpraːŋ¹
ear	*khra¹
early	*khjam¹
eat	*caːn¹
egg	*krai⁵
eight	*pjaːt⁷
end, tip	*phe¹
evening	*ʔȵam⁵
exchange	*hlik⁷
excrement	*ke⁴
expensive	*mpiŋ¹
extinguish	*ɗap⁷
eye	*thla¹
face, in front	*ʔna³
to fall	*lai⁴
far	*klaːi¹
fart	*tut⁷
feed, raise	*gjaːŋ⁴
dry field	*traːi⁵
paddy field	*ʔra⁵
fingernail	*ʔdlyap⁷ (?)
fire	*pwai¹
first	*kuːn⁵
fish (loach)	*mlit⁸
fish	*mprai³
fish	*pa¹
fish	*mum⁶
five	*ŋu⁴
flea	*k-hmat⁷
flesh, meat	*naːn⁴
flower	*nuk⁷
fog	*muk⁸
forehead	*praːk⁷
forest	*ɗuŋ¹
to forget	*laːm²
field frog	*kup⁷
small frog	*k-wai³
full	*tiːk⁷
to get, gain	*ɗai³
gills	*ʔȵaːk⁷
to give	*khjaːi¹
to go out, out	*ʔuːk⁷
to go, walk	*paːi¹
god, ghost	*mwaːŋ¹
good	*ɗaːi¹
granary	*gju⁴
grandchild	*khlaːn¹
grasshopper	*thrak⁷
hair, head	*pram¹
hand	*k-mja¹
hard	**kra³
to hatch	*pram¹
to have	*ʔnaŋ¹
to have	*me²
head	*kru³
to hit	*dai²
to hold in mouth	*ʔŋam¹
hold (child)	*ʔuːm³
to hold	*ȵam¹
to hold	*hŋuːm³
horn	*m-kwaːu¹
horse	*ma⁴
house	*hraːn¹
hungry	*ɓjaːk⁷
husband	*ʔre¹
insane	*mpaːk⁷
to insert	*ȵak⁸
to insert	*tshaːp⁷
intestine	*khjaːi³
iron	*khlit⁷
to kick	*daːp⁸
to kneel	*gruk⁸
knife	*miːt⁸
knife, sword	*mbra⁴
late	*khwe¹
to laugh	*kru¹
lazy	*khlut⁷
lazy	*laːn⁴
leaf	*pwa⁵
to lean	*ʔniŋ³
leech	*mpliŋ¹
left over	*kla¹
leg	*kwa¹
leg, foot	*tiːn¹
lick	*lja² (?)
lick	*ljaːm⁵ (?)
light, to float	*ɓau¹
lightning	*ʔdlaːp⁷
to like	*maŋ⁴
liver	*tap⁷
long	*ʔraːi³
loom	*kraːk⁷
to lose, misplace	*tuk⁷
louse	*nan¹
louse, chicken	*mprai¹
to love (child)	*mprum¹
low	*thram⁵
maggot	**ʔnuːn¹
male (person)	*mpaːn¹
mark	*ʔme¹
mark	*hle¹
mat (straw)	*mpraːŋ¹
meal, early	*ŋe²
meal, late	*mbrau²
medicine, to cure	*gja²
middle	*ta⁵
monkey	*muːn⁶
moon, month	*nüaːn¹
morning	*hjit⁷
mouth	*paːk⁷
mucus	*muːk⁸
mud, dirt	*khlum⁵
mud, dirt	*naːm⁵
mushroom	*hŋla¹
to nail	*taːk⁷
navel	*ɓlwa¹
near	*phlai⁵
net (to cast)	*ke¹
new	*hmai⁵
nose, face	*ʔnaŋ¹
oil	*man²
old (things)	*kaːu⁵
old (vegetables)	*ke⁵
otter, beaver	*ɓjaːn³
otter, beaver	*chaːt⁷
outside	*ʔŋluːk⁷
palm (hand)	*phwa³
pangolin	*lin⁶
person, child	*laːk⁸
pestle	*kjaːk⁷
to pick up	*cup⁷
to pick (flowers)	*ɓit⁷
to pick, select	*laːi⁶
pig	*k-hmu⁵
wild pig	*ʔdlaːi⁵
to pile	*dap⁸
pillar	*ʔlaːu¹
pipe, water	*liːn²
to plant	*ljum²
to plant	*mpra¹
to transplant	*ʔdram¹
pod, sheath	*pwak⁷
shoulder pole	*hŋlaːn¹
porcupine, wild pig	*ʔmiːn³
to pull	*ʔdlaːk⁷
pus	*zuk⁸
to put	*kat⁷
raft, bamboo	*naːŋ¹
to rain	*xwin¹
rat, mouse	*hnu³
raw, live	*ɗip⁷
to read	*duk⁸
right side	*hwa¹
ripe, cooked	*zuk⁸
to rise (river)	*hma³
river	*ʔnja¹
rock, cliff	*pra¹
root	*kjaːŋ¹
rope	*ʔlaːk⁷
to rot	*laːn⁶
rotten	*naːu⁶
scales	**krin⁵
to scare	*khjaːn⁵
to scoop	*tak⁷
to see	*ʔlun¹
to see	*ɗai³
seed	*pwan¹
rice seedling	*kla³
to sell	*kwe¹
sesame	*ʔŋra¹
shadow	*tau¹
to shake	*ŋaːu²
shallow	*m-hliːn⁵ (?)
be sharp	*hraːi⁵
to sharpen	*gwan²
sharpened, pointed	*khjam¹
