Gloss	Proto-Kra
armpit (1)	*tai C
armpit (2)	*lje A
beard	*mum C
belly	*hmok D
blood (1)	*plat D
blood (2)	*kɣa C
boil (n.)	*plaɯ C
bone	*dək D
cheek/face	*m-la B
chest	*tək D
chin	*kaŋ C
ear	*k-ra A
excrement (1)	*kai C
excrement (2)	*ʔik D
eye	*m-ʈa A
fart	*C-tot D
fingernail	*ʈ-lep D
foot	*kok D
forehead	*C-dəŋ A
gall bladder	*m-di A
hair	*mot D
hair (head)	*m-səm A
hand	*mja A
head	*krai B
heart	*hlul C
intestine	*C-si C
knee	*C-ku B
leg	*C-ka A
liver	*təp D
meat	*ʔaɯ C
mouth (1)	*ŋuŋ A
mouth (2)	*mul B
navel	*m-ɖaɯ A
neck	*C-jo A
nose (1)	*hŋət D
nose (2)	*teŋ C
pus	*hŋwu B
saliva	*t-ru B
shoulder	*m-ba B
skin (1)	*kwau B
skin (2)	*ta A
skin (3)	*boŋ A
stomach	*hloŋ A
tear (n.)	*ʒa C
tendon (1)	*ɣwjən A
tendon (2)	*ŋen A
throat (1)	*t-roŋ A
throat (2)	*kɣe A
tongue	*l-ma A
tooth (1)	*l-pən A
tooth (2)	*C-tʃuŋ A
waist	*t-lu C
ant	*mot D
bear	*C-me A
bee	*re A
bird	*ɳok D
buffalo	*kwai A
cat (wild)	*ku C
chicken	*ki A
cow	*ni A
crab	*d-rat D
crow (n.)	*ʔak D
deer	*dit D
dog	*x-ma A
duck (1)	*blaɯ A
duck (2)	*kap D
egg	*ʈəm A
fish	*p-la A
flea	*x-mət D
goat	*me C
hawk	*d-laŋ C
horn	*C-ku A
horse	*ŋja C
louse (head)	*C-ʈu A
louse (body)	*m-drəl A
maggot	*kʒət D
monkey (1)	*tai C
monkey (2)	*krok D
monkey (gibbon)	*m-lu A
mosquito	*dʒaŋ A
pig	*x-mu A
rat	*hlai C
shellfish	*tʃui A
tail	*C-tʃot D
snake	*ŋa A
tiger	*(k-)di A
wing	*gwja A
banana	*tok D
beans	*m-te C
bran	*m-pwa B
cogon grass	*ka A
cucumber	*m-tiŋ A
ear of grain	*C-kən A
flower (1)	*hŋa C
flower (2)	*bal A
fruit	*C-mak D
garlic (1)	*C-sui B
garlic (2)	*kɣa A
ginger	*kɣiŋ A
grass/tobacco	*t-laɯ A
leaf	*ɖiŋ A
mushroom	*l-ka A
paddy (grain)	*ca A
peach	*m-pləŋ A
rice (cooked)	*mla(ɯ) C
rice (husked)	*sal A
rice	*kʒaŋ A
root	*tsaŋ A
seed	*pe A
sesame	*l-ŋa A
sorghum	*ʒaŋ A
taro (1)	*p-ɣak D
taro (2)	*rwau C
thorn	*ŋjan C
tree	*ti A
vegetable (1)	*ɖ-loŋ A
vegetable (2)	*ʔop D
yam	*məl A
ash	*m-tu B1
coal	*la B
cloud/fog	*muk D
earth	*lu B
earth (soil/mud)	*ʔut D
field (wet)	*na A
field (dry)	*za C
fire	*pui A
firewood	*sui A
frost	*l-me A
hail	*tsep D
iron	*kjəl C
moon (1)	*m-ɖjan A
moon (2)	*(C-)tjan A
mountain	*dʐu A
rain	*mon A
rain	*jəl A
road	*kron A
rock (1)	*t-la B
rock (2)	*ʔuŋ A
rock (3)	*p-ra A
sand	*hŋai A
silver (1)	*praɯ B
silver (2)	*ŋjən A
smoke	*m-kwən A
snow	*ɳui A
star	*d-luŋ A
sunlight	*t-laŋ A
sun	*(l-)wən A
water	*ʔuŋ C
wind	*gwjən A
ax	*kwan A
boat	*da A
chopsticks	*dzaɯ B/C
comb	*C-ʃe A
den/nest	*trau C
door	*x-ŋo A
drum	*d-luŋ A
hat (bamboo)	*t-lop D
house	*kran A
ladder (1)	*kwli A
ladder (2)	*kɣuŋ A
liquor (1)	*plu A
liquor (2)	*C-ka C
medicine	*t-laɯ A
mortar	*dru A
needle	*ŋlot D
pestle	*tsak D
pillar	*m-tʂu A
pillow	*hɲe A
rope	*C-ʃak D
salt	*ɲo A
sieve	*gwaŋ A
skirt	*ʔen C
thread	*ʒun B
