Gloss	Proto-Lakkia
alive	*ɲeu A
ant	*mot D
arrow	*tiːn B
ashes	*bleu C
aunt	*ʔaː C
awaken	*mblen A
axe	*guən A
bamboo	*fan A
bamboo shoot	*sNaːŋ A
beans, peas	*dou B
bear	*kNui A
bee	*mlet D
belly	*bɔːŋ A
bird	*ʔmlok D
bitter	*gom A
black	*ʔlam A
blood	*liət D
bow	*koŋ A
brain	*nui A
branch	*tsʰNɛː B
breast, milk	*ʔnɛːn C
breezy	*tsʰoi A
broken	*pʰeːk D
cat	*meu C
chicken	*kai B
child	*jeː C
classifier for animals	*duː A
cloud	*hwaː C
cold	*kʰlNiːt D
copper	*doŋ A
crow	*kaː A
curved, crooked	*kNau C
dark, to extinguish	*hlap D
day	*wan A
difficult	*naːn A
dog	*kʰNuə A
door	*tɔː A
drum	*kluŋ A
dry field	*diː B
duck	*pet D
ear	*jaː A
egg	*lɔːm B
egg	*lɔːm B
eight	*paːt D
elephant	*dzaːŋ C
excrement	*gwei C
eye	*plaː A
face	*klNɛː C
face	*klNɛː C
far	*baː A
fat	*bui A
fear	*heː A
finger, toe	*klaŋ A
fingernail	*pliːp D
fire	*pui A
fish	*pʰlaː A
five	*ŋɔː C
flea	*kʰNuət D
foot	*puk D
forehead	*plaːk D
fruit	*ʔnam B
full	*mot D
gall bladder	*ʔblai A
good	*ʔlai A
grandchild	*kʰlaːn A
grass	*kʰlaːk D
grinding stone	*muə B
hair	*kleːŋ A
hand	*miə A
head	*kleu A
head hair	*glom A
heavy	*tsak D
high	*kʰlaːŋ A
horn	*gou A
horse	*maː C
hot	*kʰlaːn C
house	*liək D
human being	*ɲun A
hundred	*pɛːk D
insect	*klaː A
intestine	*klaːi C
iron	*kʰlNak D
iron	*kʰlNak D
itchy	*juət D
joint, node	*gun B
kind of big bear	*waːi A
land leech	*laːk D
leaf	*ʔwaː A
left side	*klei C
lightweight	*kliə C
liquor	*kʰlaːu C
liver	*tap D
long	*rai A
maggot	*klNuːn A
meat	*mɔm B
medicine	*ʔjeː A
monkey	*liŋ A
month	*ʔbiən A
mortar	*toi B
mountain	*laŋ A
mountain frog	*kop D
moustache	*bluːt D
mouth	*tei C
much, many	*hloŋ A
mushroom	*tsʰNuːn C
name	*ʔjaːn A
narrow	*jeːp D
navel	*ʔmiə A
near	*dzɛn C
neck	*ʔŋɛn A
needle	*tʰem A
needle	*tʰem A
new	*wNai B
night	*mblau A
nine	*tseu C
nose	*ʔnaŋ A
oil	*kaːu A
old (thing)	*kaːu B
one	*ʔŋin C
paddy field	*jaː B
paddy field frog	*ʔɲai/aːi C
painful	*tseːt D
palm (hand)	*baːn A
parent's elder brother	*loŋ B
penis	*klai B
pig	*kʰNuː A
plate	*tseːn C
rain	*fen A
rat, mouse	*kliu C
red	*kɔːŋ B
red	*kɔːŋ B
rice	*kou C
right	*duk D
right hand	*waː A
ripe, cooked	*dzok D
river	*tsNiə A
road	*tsaːŋ A
root	*kan A
round	*klon A
saliva	*lei A
saliva	*lei A
salt	*kliə A
seven	*tʰet D
shade	*ʔŋɛm A
shallow	*tʰiːn C
sharp	*rei B
silver	*ɲɛn A
six	*lɔk D
skin	*bei A
sky	*ʔbən A
sky	*ʔbən A
smoke	*ʔɲiːn A
snake	*ɲiə A
soft	*ŋwak D
son-in-law	*laːŋ A
sour	*kʰlom C
spirit, ghost	*siəŋ A
star	*ʔblet D
steep	*seːŋ C
stick	*ʔmiː C
stone	*faŋ A
stool	*taŋ B
sweet	*kʰwaːn A
swollen	*wok D
tail	*kliəŋ A
tendon	*tsen A
tendon	*dzep D
thick	*tsNaː A
thin	*kʰuən C
thin	*ʔwaːŋ A
thorn	*tsiə C
thunder	*plaː B
tick	*ʔŋwan A
tired	*hlaːt D
to ascend	*blaː A
to ask	*gaːm A
to bite	*kat D
to blow	*pʰuː B
to buy	*wlei C
to cook	*tɔː C
to cough	*tsʰuːn C
to crow	*klɛn A
to cut	*klam B
to descend	*lei C
to die	*plei A
to dig	*ʔweːt D
to divide	*teːŋ B
to drink	*hɔːp D
to drive away	*klom A
to eat	*tsen A
to escape	*plɛː B
to fear	*hɛː A
to fly	*pən B
to forge iron	*dap D
to forget	*pʰlem A
to give	*pən A
to go	*pai A
to go out	*ʔuk D
to hide	*tsʰeu A
to hinder	*weːŋ A
to join, to connect	*tɔː C
to keep	*klep D
to laugh	*heːm C
to let go	*laːŋ B
to light (lamp)	*tum A
to light, to make (fire)	*diu C
to make, to do	*bok D
to open	*haːi A
to poke	*tʰiːm B
to put	*tiɛk D
to retreat	*tʰoi C
to scatter	*waːn B
to scratch	*ʔjau A
to see	*ʔwei B
to sell	*plɛː A
to sit	*ʔniŋ B
to sleep	*hep D
to spin	*pan B
to spit	*pʰui A
to spread out	*pʰuː A
to squeeze	*glan C
to stand	*ʔjuːn A
to steal	*glak D
to take (wife)	*ʔau A
to take off	*tʰuət D
to tear	*tsʰeːk D
to tie	*fat D
to vomit	*ʔjok D
to wash (clothes)	*wlak D
to wash (clothes)	*wlak D
to wash (thing)	*wluk D
to weave (cloth)	*tam C
tongue	*ŋwaː A
tooth	*wan A
two	*hou C
uncle-in-law	*naː C
urine	*klNiu B
vegetable	*wok D
village	*ʔbaːn C
water	*num C
water leech	*mbliŋ A
weep	*piə A
well grown, big	*ʔbok D
white	*biək D
wind	*jom A
wing	*wiət D
wood, tree	*tsei B
year	*pei A
you	*maː A
young female person	*klNaːu C
younger person	*nouŋ C
