English gloss	Chinese gloss	Proto-Ong-Be	Changliu (長流)	Yongxing (永興)	Longtang (龍塘)	Qiaotou (橋頭)	Huangtong (皇桐)	Xinying (新盈)
a type of bamboo	某種竹子	*kuan A2	kuan²	maj⁴ kuan²	kuan²	--	kuan²	kuan²
bamboo shoots	竹筍	*naːŋ A2	naŋ² hɔn⁴	naŋ²	naŋ²	naŋ²	naŋ²	naŋ²
banana	香蕉	*mum A2	mak⁸ mun²	mak⁸ mɔn²	mɐk⁸ mɔn²	mak⁸ mun²	mun²	mun²
chaff	米糠	*vəː BC2	ɓe⁴	vɔ⁴	vɔ⁴	vo⁴	vɔ⁴	vɔ⁴
coconut	椰子	*zia A2	mɑk⁸ zia²	mak⁸ zia²	mɐk⁸ zia²	mak⁸ ʑia²	ma² ʑia²	ma² ʑia²
ear of rice	稻穗	*ʑəːŋ A1	zəŋ¹ ŋaw⁴	ziŋ¹ ŋaw⁴	ziŋ¹	ʑən¹	lən¹ ŋaw⁴	lən¹
flower	花	*hua A1	hua¹	hua¹	hua¹	hua¹	(h)ua¹	hua¹
foxtail millet	小米	*pʰaːŋ BC1	ɓaŋ⁴ laŋ¹	vaŋ⁴ -t	vaŋ⁴ -t	faŋ³	faŋ³	pʰaŋ³
fruit	果實	*maːk D2	mak⁸	mak⁸	mak⁸	mak⁸	mak⁸	mak⁸
garlic	蒜頭	*tuan BC1	hɑw³ mɑk⁸ tuan³	haw³ mak⁸ tuan³	haw³ mɐk⁸ tuan³	haw³ tuan³	tuan³	tuan³
ginger	薑	*kiaŋ A1	kiaŋ¹	kiaŋ¹	kiaŋ¹ʼ	kiaŋ¹	kiaŋ¹	kiaŋ¹
glutinous rice	糯米	*naw A1	zɑp⁸ naw¹	zap⁸ naw¹	zɐp⁸ʼ nɐw¹ʼ	ʑɔp⁸ naw¹	ʑɔp⁸ naw¹	lɔp⁸ naw¹
grass	草	*ɓat D1	ɓɑt⁷	ɓat⁷ʼ	ɓat⁷ʼ	ɓɔt⁷	ɓɔt⁷	ɓɔt⁷
green onions	蔥	*suːŋ A1	mɑk⁸ suŋ¹	mak⁸ soŋ¹	mɐk⁸ suŋ¹ʼ	suŋ¹	suŋ¹	suŋ¹
husked rice	米	*zəp D2	zɑp⁸	zap⁸	zɐp⁸ʼ	ʑɔp⁸	ʑɔp⁸	lɔp⁸
indigo	藍靛草	*tsam A2	tsam² ‘Indigofera suffruticosaʼ	--	tsam² (L&Z)	--	tsam² (LC)	--
jackfruit	波羅蜜	*miat D2	mak⁸ miat⁸	mak⁸ miat⁸	mɐk⁸ miat⁸	mak⁸ miat⁸	ma² miat⁸	ma² miat⁸
leaf	葉	*ɓəː A2	ɓe²	ɓɔ²	ɓɔ²	ɓo²	ɓɔ²	ɓɔ²
longan	龍眼	*pʰən BC2	mɑk⁸ huan¹ pʰen⁴	mak⁸ pʰun⁴ -v	mɐk⁸ pʰɔn⁴	mak⁸ fɔn⁴ -v	ma⁸ fɔn⁴	ma⁸ pʰɔ⁴
lychee	荔枝	*huan A1	mɑk⁸ huan¹	mak⁸ huan¹	mɐk⁸ kʰuan¹ʼ	mak⁸ (h)uan¹	ma² uan¹	ma² huan¹
mulberry leaf	桑葉	*ɓuːn A2	ɓe² ɓun²	ɓɔ² ɓun²	ɓɔ² ɓun²	ɓo² ɓun²	ɓɔ² ɓun²	--
mushroom	蘑菇	*hit D2	lɔt⁸; hɔt⁸ (Xin)	hɔt⁸ han³	hat⁸ʼ hɔn³	hət⁸	hit⁸	hit⁸
pandanus fruit	林投果	*zaː BC2	mɑk⁸ za⁴	mai⁴ za⁴	mai⁴ za⁴; mɐk⁸ za⁴	mak⁸ ʑa⁴	la⁴	mak⁸ la⁴
papaya	木瓜	*ʑia A2	zia² pʰan¹	--	kia² pʰan¹; ŋia² pʰan¹	mak⁸ ʑia² fan¹	ʑia² fan¹	ʑia² pʰan¹
pomelo	柚子	*ŋuk D2	mak⁸ ŋuak⁸	mak⁸ ŋok⁸	mɐk⁸ ŋok⁸	mak⁸ ŋok⁸	mak² ŋok⁸ (Maniao)	ma² ŋok⁸
rattan	白藤	*saʔ D1	sɑʔ⁷	saʔ⁷ʼ	saʔ⁷ʼ	saʔ⁷	saʔ⁷	saʔ⁷
rice in the field	稻	*ŋaːw BC2	ŋaw⁴	ŋaw⁴	ŋaw⁴	ŋaw⁴	ŋaw⁴	ŋaw⁴
rice seedling	稻秧	*laː BC1	la³	la³	la³	la³	la³	la³
root	樹根	*ziak D2	--	ziak⁸	ziak⁸	maj⁴ ʑiak⁸ ‘Ficus microcarpaʼ	ma² liak⁸ ‘Ficus microcarpaʼ	ma² liak⁸ ‘Ficus microcarpaʼ
seed	種子	*vən A2	hɑw³ ɓen²	vən²	vɔn²	von²	vɔn²	vɔn²
sesame	芝麻	*vəŋ A2	mɑk⁸ ɓɔŋ²	mak⁸ vɔŋ²	mɐk⁸ vɔŋ²	mak⁸ vɔŋ²	ma² vɔŋ²	ma² vɔŋ²
sprout	芽	*ŋuːk D2	ŋuk⁸	ŋuk⁸	ŋuk⁸	--	--	--
starfruit	楊桃	*viaŋ A1	mɑk⁸ ɓiaŋ¹	mak⁸ ɓiaŋ¹	mɐk⁸ ɓiaŋ¹ʼ	mak⁸ viaŋ¹	ma² viaŋ¹	ma² viaŋ¹
straw	稻草	*muːŋ A2	muŋ⁴	muŋ⁴	muŋ⁴	muŋ⁴	muŋ⁴	muŋ⁴
sugarcane	甘蔗	*maj BC1	mɑi³	mai³	mai³	mai³	mai³	mai³
tea	茶	*saː A2	sa²	sa²	sa²	sa²	sa²	sa²
thatch	茅草	*tia A2	ɓɑt⁷ tia²	ɓat⁷ʼ tia²	ɓat⁷ʼ tia²	tia²	tia²	tia²
tree	樹	*ɗun BC1	ɗɔn³	ɗɔn³	ɗɔn³	ɗun³	ɗun³	ɗun³
winter melon	冬瓜	*kuːp D1	mɑk⁸ kup⁷	mak⁸ kup⁷ʼ	mɐk⁸ʼ kup⁷ʼ	kua¹ kup⁷	kua¹ kup⁷	--
ant	螞蟻	*muːʔ D2	maj⁴ muʔ⁸	maj⁴ muʔ⁸	maj⁴ moʔ⁸ʼ	muʔ⁸	muʔ⁸	muʔ⁸
aquatic leech	水蛭	*ɓiːŋ A1	maj⁴ ɓiŋ¹	maj⁴ ɓiŋ¹	maj⁴ ɓiŋ¹ʼ	ɓiŋ¹	ɓiŋ¹	ɓiŋ¹
bee	蜜蜂	*saːŋ BC1	saŋ³	saŋ³	saŋ³	saŋ³	saŋ³	saŋ³
big frog	大青蛙、田雞	*kup D2	kɔp⁸	kɔp⁸	kɐp⁸ʼ	ʔop⁸	ʔop⁸	ʔop⁸
bird	鳥	*nuk D2	nuak⁸	nok⁸	nok⁸	nok⁸	nok⁸	nok⁸
bug; worm	蟲	*miŋ A2	miŋ²	miŋ²	mɛŋ²	miŋ²	miŋ²	miŋ²
centipede	蜈蚣	*zip D2	zɔp⁸	maj⁴ zɔp⁸	maj⁴ zɐp⁸ʼ	ʑəp⁸	ʑip⁸	lip⁸
chicken	雞	*kaj A1	kɑj¹	kɛj¹	kɐj¹ʼ	kaj¹	kaj¹	kaj¹
chicken louse	雞蝨	*ziːn A2	zen²	kaj¹ zin²; maj⁴ zin²	maj⁴ zin²	ʑin²	--	--
cockroach	蟑螂	*laːp D1	kʰa³ lap⁷	miŋ² kʰi³ lap⁷	mɛŋ² (ku²) ɗa⁵⁵ zap⁷	tsi² ʑap⁷	tsia² lap⁷	tsia² lap⁷
cockscomb	雞冠	*tiːw BC1	tiw³ kɑj¹	tiw³	tiw³; tiw³ kɐj¹ʼ	tiw³; tiw³ kaj¹	tiw³ (kaj¹)	tiw³ kaj¹
cocoon	繭	*luːk D1	luk⁷	luk⁷ʼ niaŋ²	luk⁷ʼ niaŋ²	--	luk⁷ (L&Z)	--
crab	蟹	*kʰum A2	kʰɔm²	kʰɔm²	kʰɔm²	xum²	xum²	kʰum²
crow	烏鴉	*ʔaːk D1	nuak⁸ ʔak⁸	nok⁸ ʔak⁸	nok⁸ maj⁴ ʔak⁸	maj⁴ ʔak⁸	maj⁴ ʔak⁸	maj⁴ ʔak⁸
deer	鹿	*tsuk D2	tsuak⁸	tsok⁸	tsok⁸	tsok⁸	tsok⁸	tsok⁸
dog	狗	*maː A1	ma¹	ma¹	ma¹	ma¹	ma¹	ma¹
duck	鴨子	*ɓit D1	ɓɑt⁷	ɓɔt⁷ʼ	ɓɔt⁷ʼ	ɓət⁷	ɓit⁷	ɓit⁷
earthworm	蚯蚓	*nəw A2	tsɛn⁴ new²	sɔn¹ nɔw²	sɐn¹ʼ nɔw²	nɔw²	nɔw²	nɔw²
egg	蛋	*ȵum A1	nɔm¹	nam¹	nɐm¹ʼ	num¹	ȵum¹	ʑum¹
elephant	象	*siaŋ BC2	siaŋ⁴	siaŋ⁴	siaŋ⁴	--	siaŋ⁴	siaŋ⁴
fish	魚	*ɓaː A1	ɓa¹	ɓa¹	ɓa¹	ɓa¹	ɓa¹	ɓa¹
fish scales	魚鱗	*liʔ D1	lɯʔ⁷ ɓa¹	liʔ⁷ʼ ɓa¹	liʔ⁷ʼ ɓa¹	liʔ⁸ -t ɓa¹	liʔ⁷	liʔ⁷ ɓa¹
fly	蒼蠅	*vaːŋ BC2	miŋ² -i maŋ⁴	miŋ² vaŋ⁴	mɛŋ² vaŋ⁴	miŋ² vaŋ⁴	miŋ² vaŋ⁴	miŋ² vaŋ⁴
fur; feather	毛	*vun A2	ɓɑn²	vɔn²	vɔn²	vun²	vun²	vun²
goose	鵝	*pʰuːn BC2; ɓuːn BC2	ɓən⁴; ɓun⁴	pʰun⁴	pʰun⁴; ɓun⁴	fun⁴	fun⁴	pʰun⁴
head louse	頭蝨	*kat D2	kɑt⁷	kat⁷ʼ	kat⁷ʼ	kat⁷	kat⁷	kat⁷
horn	角	*vaw BC2	ɓɑw²	vaw²	vaw²	vaw²	vaw²	vaw²
