No.	Gloss	Proto-Tai
1	head (1)	*kraw C
2	head (2)	*truə A
3	hair, head	*prɤm A
4	knot, hair	*klaw C
5	hair, body; feather	*q.pɯl A
6	gray-haired	*ʰŋwuːk D
7	forehead	*praːk D
8	nose	*ɗaŋ A
9	mucus of the nose	*muːk D
10	face	*ʰnaː C
11	eye	*p.taː A
12	mouth	*paːk D
13	tongue	*liːn C
14	tooth	*wan A
15	gum; gill	*ʰŋɯək D
16	saliva	*laːj A
17	cheek	*keːm C
18	ear	*krwɯː A
19	fang	*χeːw C
20	chin, jaw	*ɢaːŋ A
21	beard	*mom B
22	neck	*ɣoː A
23	goiter	*ʰniəŋ A
24	shoulder	*C̥.baː B
25	arm	*qeːn A
26	elbow	*C̬.swoːk D
27	hand	*mwɯː A
28	finger, toe	*niːw C
29	fingernail, toenail	*C̬.lep D
30	joint	*χoː C
31	leg	*p.qaː A
32	knee	*χow B
33	shin, lower leg	*ɣeːŋ B
34	foot	*tiːn A
35	heel	*sɤn C
36	chest	*ʔɤk D
37	back	*ʰlaŋ A
38	waist (1)	*ˀjeːw A
39	waist (2)	*C̥.wɯǝt D
40	stomach, belly	*dwuːŋ C
41	navel (1)	*ɗwɯː A
42	navel (2)	*ɓliː C
43	buttock	*kon C
44	hair, pubic	*ʰmwuːj A
45	vagina	*hiː A
46	penis	*ɣwaj A
47	testicles	*tram
48	pubic mound	*ʰnaw B
49	urine	*niəw B
50	excrement	*C̬.qɯj C
51	fart	*k.tɤt D
52	bone	*C̥.duk D
53	marrow, bone	*ʔwuːk D
54	tendon	*ˀjen A
55	side, ribs	*k.raːŋ C
56	blood	*lɯət D
57	meat, flesh	*n.mɤː C
58	skin	*ʰnaŋ A
59	sweat	*r.tɯə B
60	pus	*ʰnoːŋ A
61	impetigo	*krit D
62	wound	*ɓaːt D
63	scurf	*ɣɯj A
64	brain	*ʔeːk D
65	heart, breath	*cɤɰ A
66	lung	*pwɤt D
67	intestine	*saj C
68	liver	*tap D
69	spleen	*maːm C
70	gall bladder, bile	*ɓliː A
71	illness, fever	*k.raj
72	cold (n.)	*q.wat D
73	epidemic	*raː B
74	kidney-stones	*ʰniːw C
75	dog	*ʰmaː A
76	pig	*ʰmuː A
77	mouse, rat	*ʰnuː A
78	water buffalo	*ɣwaːj A
79	horse	*maː C
80	bear	*ʰmwɯj A
81	jackal	*nwaj A
82	elephant	*ɟaːŋ C
83	deer	*kwɯəŋ A
84	antelope	*waːl A
85	monkey	*liːŋ A
86	ape	*kaŋ A
87	flying squirrel	*baːŋ B
88	squirrel	*roːk D
89	porcupine	*ʰmen C
90	civet cat	*ʰɲel A
91	otter	*naːk D
92	pangolin	*lil B
93	chicken	*kaj B
94	hen, young	*C̬.qɤːŋ B
95	duck	*pit D
96	goose	*haːn B
97	bird	*C̬.nok D
98	crow	*kaː A
99	swallow (n.)	*ʔeːn B
100	owl	*gaw C
101	hawk	*lam B
102	fish	*plaː A
103	catfish	*C̥.dok D
104	shellfish	*hoːj A
105	crab	*pɯw A
106	shrimp	*kuŋ B/C
107	shrimp, small	*ŋiəw A
108	frog	*kɤp D
109	frog, small	*krweː C
110	frog, tree	*paːt D
111	turtle	*taw B
112	tortoise, water	*ʰwɯə A
113	snake	*ŋwɯː A
114	crocodile	*ŋɯək D
115	leech, land	*daːk D
116	leech, aquatic	*pliːŋ A
117	bedbug	*C̬.rɯət D
118	grasshopper	*p.tak D
119	mosquito	*ɲuŋ A
120	wasp	*b.twiːl A
121	bee	*toː B
122	insect	*m.leːŋ A
123	ant	*mɤc D
124	termite	*moːt D
125	worm	*ʰnoːl A
126	earthworm	*t.nɯəl A
127	gadfly	*ʰlɯək D
128	louse, head	*traw A
129	tick	*trep D
130	flea	*ʰmat D
131	louse, body	*m.lel A
132	louse, chicken	*rwɤj A
133	spider	*krwaːw A
134	coconut grub	*ɗuəŋ C
135	stink bug	*geːŋ1
136	caterpillar	*C̥.boŋ C
137	silkworm	*moːn C
138	butterfly	*ɓɤːj
139	centipede	*q.sip D
140	cockroach	*saːp D
141	horn	*qaw A
142	tusk, ivory	*ŋaː A
143	wing (1)	*wɯət D
144	wing (2)	*piːk D
145	tail	*trwɤːŋ A
146	scales, fish	*klec C
147	fishbone	*kaːŋ C
148	egg	*qraj
149	gizzard	*p.taɰ A
150	cockscomb	*hoːn A
151	cockspur	*t.nɤːj A
152	hump of an ox	*ʰnoːk D
153	stinger (of a bee)	*laj A
154	tree, wood	*mwaj C
155	leaf	*ɓaɰ A
156	leaf for wrapping (big)	*k.toːŋ A
157	flower	*ɓloːk D
158	banana blossom	*pliː A
159	stem	*kaːn C
160	peel, bark	*plɯək D
161	husk	*kaːp D
162	thorn	*ʰnaːm A
163	fruit	*ʰmaːk D
164	sheath, pod	*q.wak D
165	grain	*m.lec D
166	stump	*toː A
167	root	*C̬.raːk D
168	clump (as of bamboo)	*koː A
169	sprout, shoot	*ʰnoː B
170	bamboo shoot	*r.naːŋ A
171	ear (of rice)	*rwɯːŋ A
172	rice	*C̬.qaw C
173	seedling, rice	*klaː C
174	rice, husked	*saːl A
175	millet	*ʰwɯǝŋ C
176	resin	*ˀjaːŋ A
177	banana	*kluəj C
178	sugarcane	*ʔoːj C
179	bamboo	*praj B
180	cucumber, melon	*p.rweːŋ A
181	ashgourd	*wak D
182	wild olive	*koːk D
183	starfruit	*ɢwɯəŋ A
184	plum	*man C
185	pomelo	*buːk D
186	acacia	*geː A
187	banyan	*raj A
188	vegetable	*prak D
189	morning glory	*ɓuŋ C
190	mustard green	*kaːt D
191	yam	*man A
192	taro	*prɯək D
193	ginger	*χiːŋ A
194	galangal	*xaː B
195	sesame	*r.ŋaː A
196	tea	*ɟaː A
197	raisin	*ʔit D
198	rattan	*C̥.waːj A
199	reed	*ʔoː C
200	grass	*ʰɲɯə C
201	grass, thatch	*ɣaː A
202	mushroom	*ʰrwet D
203	fern	*kuːt D
204	duckweed	*ʰneː A
205	moss, aquatic	*daw A
206	water	*C̬.nam C
207	fire	*wɤj A
208	flame	*pleːw A
209	smoke	*ɣwan A
210	soot	*ʰmiː C
211	firewood, hard	*wɯːl A
212	firewood, bamboo	*ʰlɯəw A
213	ashes, leaf	*braw B
214	ashes (wood)	*daw B
215	iron (1)	*ʰlek D
216	iron (2)	*mwaː A
217	salt	*klwɯə A
218	lye	*ɗaŋ B
219	grease, fat	*man A
220	soil	*tɯm A
221	earth	*ɗin
222	sand	*zwɯəj A
223	stone	*triːl A
224	dry land	*ɓok D
225	wild	*C̬.tɯən B
226	forest	*ɗoŋ A
227	grove, wood	*paː B
228	place, ground	*diː B
229	mountain	*C̥.doːj A
230	mountain, stone	*praː A
231	cave	*cram C
232	hole	*ruː A
233	hole, crack	*ɟoːŋ B
234	pit	*C̬.kum A
235	well, spring	*ɓoː B
236	stream, mountain	*qrwɤj C
237	creek	*roːŋ B
238	river	*daː B
239	bank, river	*ʰwaŋ B
240	beach, sandbar	*haːt D
241	mud	*lɤm B
242	moon, month	*ɓlɯən A
243	star (general)	*t.naːw A
244	star (in the sky)	*ɗiː B
245	moonlight	*ʰŋaːj A
246	sunshine	*C̥.dwiːt D
247	cloud	*ʰwɯə C
248	fog	*ʰmoːk D
249	wind	*C̬.lɯm A
250	sky, heaven	*ɓɯn A
251	sky, weather	*vaː C
252	rain	*C̥.wɯn A
253	gust (of rain)	*kraː B
254	lightning	*m.leːp D
255	thunder	*praː C
256	hoarfrost	*ʰmɯǝj A
257	dew, mist	*C̬.nwaːj A
258	hail	*trep D
259	steam, vapor	*s.ʔwɤːj A
260	shade	*rɤm B
261	shadow, reflection	*ŋaw A
262	dry season	*C̬.leːŋ C
263	father, man	*boː B
264	mother; woman	*meː B
265	sibling, older	*biː B
266	sibling, younger	*nwoːŋ C
267	grandfather, paternal	*pɯw B
268	grandfather, maternal	*taː A
269	grandmother, maternal	*naːj A
270	child (offspring)	*lɯːk D
271	great-grandparent	*ɟɯə C
272	nephew, niece, or grandchild	*ʰlaːn A
273	great-grandchild	*ʰlen C
274	parent's older brother	*luŋ A
275	parent's older sister	*paː C
276	father's younger sister	*ʔaː A
277	mother's younger sibling	*naː C
278	father's younger brother	*ʔaːw A
279	wife of man's younger brother	*lɯǝw A
280	wife	*miə A
281	son-in-law	*C̬.kɯəj A
282	daughter-in-law	*baɰ C
283	person, human being	*ɢwɯn A
284	child (young person)	*ɗek D
285	man, male	*ʑaːj A
286	unmarried man	*ɓaːw B
287	unmarried woman	*saːw A
288	girl	*ɓɯːk D
289	lady	*naːŋ A
290	related by marriage	*t.noːŋ A
291	widowed	*ʰmaːj C
292	orphan	*gm̩.raː C
293	name	*ɟɤː B
294	master, owner	*ɕɤw C
295	slave (1)	*χɔːj B
296	slave (2)	*kraː C
297	Vietnamese	*keːw A
298	shaman	*ʰmoː A
299	spirit (1)	*priː A
300	spirit (2)	*mwaːŋ A
301	soul; whorl in the hair	*qwan A
302	village	*ɓaːn C
303	township	*mɯəŋ A
304	debt	*ʰniː C
305	liquor	*ʰlaw C
306	medicine	*ˀjɯə A
307	vinegar	*ʰmiː B
308	flour	*ɓɯə A
309	house	*rɤːn A
310	granary	*ˀjɯǝw C
311	stake	*ʰlak D
312	eaves	*ʑaːj A
313	door	*tuː A
314	stairs, ladder	*ɗrwaj A
315	pillar	*saw A
316	partition, lid	*hwaː A
317	split bamboo flooring	*waːk D
318	window	*taːŋ B
319	stool	*taŋ B
320	tripod	*giǝŋ A
321	board	*peːn C
322	thing	*χɔːŋ A
323	knife	*mit D
324	machete, big knife	*ɟm̩.raː C
325	chopping board	*χiəŋ A
326	spear	*kroːk D
327	crossbow	*ʰnwɯə C
328	axe	*xwaːn A
329	chisel	*siəw B
330	hook	*xɔː A
331	pliers, thongs	*giːm A
332	handle (of a knife)	*ɗaːm C
333	handle, rod	*gal A
334	carrying pole (1)	*traːp D
335	carrying pole (2)	*ɢaːn A
336	rope, cord	*ɟɤːk
337	top for spinning	*k.raːŋ B
338	basin	*ʔaːŋ B
339	jug	*kraj A
340	pot	*ʰmoː C
341	tube, bamboo	*baŋ B/C
342	bag	*croŋ A
343	cane for walking	*daw C
344	comb	*ʰrwɯːj A
345	writing, book	*sɯː A
346	broom	*ɲuː A
347	thread (1)	*C̥.daːj C
348	thread (2)	*ʰmaj A
349	hemp	*paːn B
350	loom	*truk D
351	shuttle of loom	*p.raw B
352	spool	*ʰlwuːt D
353	indigo (1)	*g.raːm A
354	indigo (2)	*krom C
355	bamboo strip for tying or weaving	*b.twuːk D
356	needle	*qem A
357	strand (of rope)	*kliəw A
358	lacquer	*rak D
359	bamboo hat	*klɤp D
360	puppet, marionette	*hun B
361	marking, patterns	*C̬.laːj A
362	field, paddy	*naː A
363	field, dry	*rɤj B
364	field, open	*doŋ B
365	garden	*swɯːn A
366	ditch	*ʰmɯəŋ A
367	dike between rice fields	*ɣal A
368	dam	*hwaːj A
369	water pipe	*lin A
370	plough	*crwaj A
371	yoke	*ʔeːk D
372	yoke, part of	*ʔoːŋ C
373	mortar (1)	*grok D
374	mortar (2)	*ʰrum A
375	pestle	*saːk D
376	winnowing basket	*ɗoŋ C
377	bran	*ram A
378	straw, stubble	*wɯǝŋ A
379	fish hook	*ɓet D
380	fish net	*kreː A
381	fish trap	*zaj A
382	snare	*reːw C
383	gutter, trough	*rwɯəŋ A
384	cooked in bamboo tube	*ʰlaːm A
385	boat	*C̬.rwɯə A
386	raft	*beː A
387	road	*ʰrwɤn A
388	track	*rwuːj A
389	saddle	*ʔaːn A
390	drum	*kloːŋ A
391	red	*C̥.dwiːŋ A
392	black	*C̥.dam A
393	white	*xaːw A
394	green	*xiəw A
395	yellow	*ʰlɯəŋ A
396	dark (red)	*klam B
397	gray	*ʰmoːŋ A
398	white-spotted	*ɓlaːŋ B
399	clear, clean	*saɰ A
400	dark	*mɯːt D
401	bright, light (n.)	*roŋ B
402	thin (not fat)	*proːm A
403	fat	*bwiː A
404	long	*rɯj A
405	short (not long)	*tin B
406	big (1)	*ʰluəŋ A
