No.	Gloss	Hussainabad	Murtazabad	Haiderabad	Ganish	Nazimabad	Uyum Nagar	Hoper	Yasin Bala	Thui
1	body (1st singular m.)	i'ɖim	i'ɖim	i'ɖim	i'ɖim	i'ɖim	i'ɖim	i'ɖim	kɑ'lip	dʒi'igɑndi
2	head	jɑʈɪs	jɑʈɪs	jɑʈɪs	jɑʈɪs	jɑʈis	jʌʈɪs	jʌʈɪs	jʌʈis	jʌʈɪs
3	hair	gujʌŋ	i'ɣujʌŋ	ʁujʌŋ	ʁujʌn	ʁujʌŋ	ʁujʌŋ	ʁujʌŋ	ɣojʌŋ	ɣujeŋ
4	face	'ɪskil	'ɪskil	'iskil	'ɪskil	'iskil	'ɪʃkil	'ɪʃkil	'ɪskil	'ɪskil
5	eye	'ɪltʃɪn	'ɪltʃin	'ɪltʃin	'ɪltʃin	'ɪltʃin	'ɪltʃin	'ɪltʃin	'ɪɬtʃɪn	'ɪɬtʃɪn
6	ear	ɪl'tumɑl	ɪl'tumɑl	ɪl'tumɑl	ɪl'tumɑl	ɪl'tumɑl	ɪl'tumʌl	ɪl'tumʌl	'tumɑl	guɬ'tumʌl
7	nose	i'mupuʂ	i'mupuʂ	i'mupuʂ	i'mupuʂ	i'mupuʂ	i'mupuʂ	i'mupuʂ	muʂ	muʂ
8	mouth	ʌ'kʰʌt	i'xʌt	i'qʰʌt	i'qʰɑt	ʌ'qʰʌt	i'qʰʌt	ɪ'qʰʌt	xʌt	i'xʌt
9	tooth	i'mɛ	i'mɛ	i'mɛ	i'mɛ	i'mɛ	i'mɛ	i'mɛ	mɛ	—
10	tongue	ju'umus	ju'umus	ju'umus	ju'umus	ju'umus	ju'umus	ju'umus	ju'uŋus	ju'umus
11	chest	ɪn'dɪl	ɪn'dɪl	ɪn'dɪl	ɪn'dɪl	ɪn'dɪl	ɪn'dɪl	ɪn'dɪl	'dɪliŋ	i'diliŋ
12	belly	ju'ul	ju'ul	ju'ul	ju'ul	ju'ul	ju'ul	ju'ul	ju'ul	ju'ul
13	arm	i'ʃɑk	i'ʃɑk	i'ʃʌk	e'ʃɑk	i'ʃʌk	i'ʃʌk	i'ʃʌk	ʃʌk	ʃɛk
14	elbow	i'susun	i'susun	i'susun	i'susun	i'susun	i'susun	i'susun	'sɛsɛn	'sɛsɛn
15	palm of hand	i'tɑtɑs	i'tʌtʌs	i'tʌtʌs	i'tʌtʌs	i'tʌtʌs	i'tʌtʌs	i'tʌtʌs	'tʌtʌs	'tʌtʌs
16	finger	'ɛmiʂ	'ɛmiʂ	'ɛmiʂ	'ɛmiɛntʃ	'ɛmiʂ	'ɛmɪʂ	'ɛmɪʂ	'ɛmɛʂ	'ɛmɛʂ
17	fingernail	ju'uri	ju'uri	ju'uri	ju'uli	ju'uri	ju'uri	ju'uro	u'uro	u'uro
18	leg	'bʌtsin	—	—	'bʌtsin	'bʌtsin	'bʌtsin	'bʌtsʰɪn	tʌns	tʌns
19	skin	bʌt	bʌt	bʌt	bʌt	bʌt	bʌt	bʌt	bʌt	bʌt
20	bone	tin	tin	tin	tin	tin	tin	tin	tɛn	tɛn
21	heart	—	ɛs	—	ɛs	ɛs	ɛs	ɛs	ʔɛs	ɛs
22	blood	mul'tʌn	mul'tʌn	mul'tʌn	mul'tʌn	mul'tʌn	mul'tʌn	mul'tʌn	mul'tʌn	mul'tʌn
23	urine	hɑ'rʌʂ	hɑ'rʌʂ	hɑ'rʌʂ	hɑ'rʌʂ	hɑ'rɑʂ	hɑ'rʌʂ	hɑ'rʌʂ	hɑ'rɛʂ	hɑ'rɛʂ
24	feces	ʁu'rʌʂ	ujum hɑ'rʌʂ	ʁu'rʌʂ	ʁu'rʌʂ	ʁu'rɑʂ / ujum hɑ'rʌʂ	ʁu'rʌʂ	ʁu'rʌʂ	ɣor'jɛʂ	ɣur'jʌʂ
25	village	gɑũ	gɪ'rʌm	gɪ'rʌm	gi'rʌm	gi'rʌm	gɪ'rʌm	gi'rʌm	dɛ	dɛ
26	house	hɑ	hɑ	hɑ	hɑ	hɑ	hɑh	hɑh	hɑ	hɑ
27	roof	tɛʃ	'tɛʃi	'tɛʃi	'tɛʃi	'tɛʃi	tɛʃ	tɛʃ	ʃoɬt	ʃoɬt
28	door	hiŋ	hin	hɪŋ	hin	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ
29	firewood	gʌ'ʃɪl	gʌ'ʃɪl	gʌ'ʃɪl	gʌ'ʃɪl	gʌ'ʃɪl	ɛsqulʌs tʃuuni	ɛsqulʌs tʃuuni	huɳ	hun
30	broom	'pʰopus	'pʰopus	'pʰopus	'pʰopus	'pʰopus	'pʰopʊs	'pʰopus	'pɸopus	'pɸopus
31	mortar (bowl)	tʌ'nus	—	—	—	tʌ'nus	—	—	tʌ'nʊs	—
32	pestle	jʌtkus	—	—	—	jɑtkus	—	—	ɪs	ɪs
33	hammer	'ɖwɑqo	hɑto'rɑ	hɑto'rɑ	'ɖwɑqo	'ɖwɑqo	pɸʌ'tiil	hɑto'rʌ	hɑtu'rʌ	hɑtu'rʌ
34	knife	tʂhur	tʂhur	tʂhur	tʂhur	tʂhur	tʂhur	tʂhur	tɛʂk	tɛʂk
34b	pocketknife	tʃɑ'qu	tʃɑ'qu	tʃɑ'qu	tʃɑ'qu	tʃɑ'qu	tʃɑ'qu	tʃɑ'qu	tʃɑ'qu	tɛʂk
35	axe	'gʌŋi	'gʌŋi	'gʌŋi	gjʌni	'gʌŋi	'gʌŋi	gʌjŋ	gjɛŋgi	gjɛŋgi
36	rope	gʌʃk	—	gʌʃk	gʌʃk	gʌʃk	gʌʃk	gʌʃk	ʈɛ'ʈɛ	ʈɛ'ʈɛ
37	thread	sʌr	sʌr	sʌr	sʌr	sʌr	sɑr	sɑr	sʌr	sʌr
38	needle	sɛl	sɛl	sɛl	sɛl	sɛl	sɛl	sɪl	sɪl	sɪl
39	cloth	'pʌtʃi	'pʌtʃi	'pʌtʃi	'pʌtʃi	'pʌtʃi	sɑw'dʌ	sɑw'dʌ	kʌʈoɣʌr	kɑʈ'wɑr
40	ring	bʊ'rondo	bʊ'rondo	bʊ'rondo	—	bʊ'rondo	bʊ'rondo	bʊ'rondo	bʊ'rondo	bʊ'rʊndo
41	sun	sʌ	sʌ	sʌ	sɑ	sɑ	sɑ	sɑ	sɑ	sɑ
42	moon	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnz	hɑ'lʌnts
43	sky	ʌs'mɑɑn	ʌs'mɑɑn / ɑ'jʌʃ	ʌs'mɑɑn / ɑ'jɛʃ	ɑs'mɑɑn	ɑs'mɑɑn / ɑ'jʌʃ	ɑs'mɑɑn / ɑ'jʌʃ	ɑs'mɑɑn	ɑ'jʌʃ / ɑs'mɑɑn	ɑ'jʌʃ / ɑs'mɑɑn
44	star	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑ'suumun	ɑ'suumun
45	rain	hɑ'rɑlt	hɑ'rɑlt	hɑ'rɑlt	hɑ'rʌlt	hɑ'rʌlt	hɑ'rʌlt	hɑ'rʌlt	di'jɑɑrtʃ	di'jɑɑrtʃum
46	water	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰʌl	tsʰɪl
47	river	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sʌnde	'sɪndʌ
48	cloud	qurontʂ	qu'rontʂ	qu'rontʂ	qu'rontʂ	qu'rontʂ	qʰʌ'rontʂ	qʰo'roŋ	hɑ'rʌɬt	hu'rontʂ
49	lightning	lʌm	lʌm	lʌlʌm	lʌm	lʌm	—	lʌlʌm	tʌm	lɑpflɑpf
