gloss	Proto-Ongan	Jarawa	Onge
1sg possessive/subject prefix	*m-	m-	m-
2pl possessive pronoun; yours (pl.)	*na	na	na
2sg possessive prefix; your (sg.)	*ŋ-	ŋ-	ŋ-
2sg subject pronoun; you (sg.)	*ŋi	ŋi	ŋi
3pl subject prefix	*ekw-	eh-, əh-	ekw-
4th person prefix; indefinite personal	*ən-	ən-, on-	ən-
adze	*doy	dow	doyi
all		mala-awde	-lotalota
arrow	*partu	parto, partu	barto
ashes		hwiyə, omoha (A)	toŋkute
bad, not good	*biti, *piti?	biti, piti	-ibiti
bark (of tree)	*-aŋwi	nodəhe (A)	-aŋwi ‘skin, bark’
base, root (of tree), calf (of leg)	*-ici	-ici-	-ici-
bat	*lətə	yətə	ləte
be full			-ejebute
big	*uma ‘big’	hutu, uma-me [ms:86]	dalu, ue, ume
bird	*nuk	noha	tuge
bite (vb.)			-ibaga-
black	*kiru	hiru	i-kiu
blood	*-aceŋ, *ceŋ	ceŋ, -aceŋ	-aceŋe
blue, green	*-ele	-ele-, -elə, elu	-i/ela
bone	*daŋ, *-idaŋ	-idəŋ	-idaŋe, -ireŋe
bow	*aw	aw	aʔ
boy; son	*day	daw, daa	daye
breast	*-akak	-akag	-agage, -agake
burn (vb.)		tuhəb-le-yame	
buttocks	*-eɲjapo	-eɲjapo	-enabo
cane mat or platform	*kam	ham	kame
cane; cane basket	*dakweg	daaig	dakwage
carry on back	*-apa	-apa	-aba
child	*ale	-ale	ale, -aye
child (cf. *ale)	*ecele	əcələ, icele	ecele
clay, earth	*wed	wed	we
coconut tree, coconut	*dag	dag	dage
cold	*jom	əemeyn (A)	-ajomo, -jome; -ugite-
come (toward speaker) (vb.)	*alema	alema	-alema-, -ayo-
cough	*udu	udu	uru-ge
crab	*kaka	haka	kaga
creek, stream	*kwai	hwaw	kwai
die (vb.)	*peca-me	pecame	became, bencame
dog	*weme, *wem?	wəm(e), wə-wəm	wəmə, weme
drink (vb.)	*-iɲco	-iɲco	-iɲjo, -ijo-
ear	*-ikwag	-ikwa, -ikwagu	-ikwage
