Gloss	Nihali	Etymology	Page
all of a sudden	acaːnak	Hindi	
end (of a cloth worn by ladies)	acaːr		
to sneeze	acchi-	Dr./IA?	
to dig	acci-be		
all of a sudden	aḍawḍi		
to burn (intr.)	aḍek		
to kindle (tr.)	aḍek-kamaː-be		
thick (e.g. cloth)	addo		
exchange	adla-badli	Hindi	
train	aggari	Hindi	
sweat	agin (a ‘half long’)		
to perspire	agin-be		
going – while	agor-agor		
to close (door)	agri-be		
to catch (animal, etc.)	agur		
these days	ahun		
husband’s younger sister	aji		
python	ajigaːr	Hindi	
to vomit	ajini		
to bow/hold (leg)	ajli-be		
just now, soon	aju		
also	ajyu		
a kind of tree	akaw aːḍḍo		*
to hang something	akha-be		
finger	akhanḍa		
Pora festival	akkhaːji		
hook	akoṛa		
eleven	akra	Marathi	
to thin a bamboo	alago		
new moon	amso	Hindi	
to select	anci-be		
hello (to call attention of someone)	ane		
shirt	angaːrako	IA	
to bathe	angluj-be	Marathi, Korku?	
to yawn	angub-be	Korku	
to bend	anuj		
to make to cry	aːpakamaː-be		
to wash (clothes: vigorously)	apharaːṭini-be		
to fly	aphir-	Korku	
to make to fly	aphirkam-be	Korku	
two and half	araːy	Hindi	
to see, search	ara-be		
stale food (left over food)	arangaːji		
to remove some water from the pot, for carrying	arej-be		*
to weave (cloth)	arku-be		
to leave (behind something)	arn		
support (n.)	asra	Hindi	
swing (n.)	asuṛ		
to swing	asuṛ-be		
person swinging	asuṛ-re		
to turn sides (a loaf)	asur-ki		
good (quality)	awal-ka	Hindi	
good	ayin		
gently	ayinkiben		
mirror	ayna	Hindi	
to break	ayomkam-be		
habit	aːdat	Hindi	
tree	aːḍḍo		
tree trunk	aːḍḍo bunḍi		
feel lazy	aːdmoskini		
to fill (belly)	aːgaːn		
sky	aːgaso	IA	
to sweat	aːgin-	Korku	*
below, underneath	aːhi		
axle	aːkhu	Korku	
quickly in fear	aːlabaːla-ki		
potato	aːlu	Hindi	
story, tale	aːna	Korku	
bad	aːnḍa		
a root like potato	aːnḍij		
husband staying with his in-laws	aːnḍin		
for, because	aːnṭi (t)		
to weep, cry (intr.)	aːpa-be		
to fly (some thing)	aːphir kamaː-be		
firewood	aːpho, aːpo, aːpa		
