no.	gloss	Akha Chicho	Akha Buli
1	body hair	kʰɯ⁵⁵tɕa²¹tɕa²¹xm³³	tɕa²¹xm³³
2	skin	ba³³xo³³, ɕa²¹xo³³	ba̰³³xo̰²¹
3	bone	ɕa²¹jø²¹	ɕa²¹jø²¹
4	blood	ɕi²¹	ɕi²¹
5	tears	mja̰²¹bḭ³³	mja̰²¹bi³³
6	sweat	kʰu³³pʰju⁵⁵	kʰu²¹pʰju⁵⁵
7	pus	ɕa²¹tɕʰi²¹	ma̰³³lo̰³³
8	saliva	du²¹xa²¹	do²¹xa²¹
9	phlegm	u²¹tsʰu³³tsʰu²¹pɛ̰³³	do²¹xa²¹ʨa̰³³pɛ̰³³
10	head	u²¹du²¹	u²¹du²¹
11	forehead	na⁵⁵xɔ⁵⁵	na⁵⁵xɔ⁵⁵
12	hair	u²¹du²¹tsʰɛ⁵⁵kʰɤŋ⁵⁵	u²¹du²¹tsʰɛ⁵⁵kʰɤŋ⁵⁵
13	comb	u²¹du²¹ka̰³³	u²¹ka̰³³
14	face	ȵa̰³³pʰjɔ²¹	mja̰³³pʰjo²¹
15	eyebrow	mja̰³³nɤ̰³³mja̰³³xɤŋ⁵⁵	mja̰³³xɤŋ³³mja̰³³ɕɛ̰³³
16	eyes	mja̰³³nɤ̰³³	mja̰³³nɤ̰ŋ³³
17	ears	na̰³³pa̰³³	na̰²¹pa̰²¹
18	nose	na̰³³bɤŋ²¹	na̰³³bɤŋ²¹
19	mouth	xa²¹mɛ̰³³	xa²¹mɛ̰³³
20	tongue	mɛ²¹la⁵⁵	mɛ²¹la⁵⁵
21	teeth	sɤ²¹	sɤ²¹
22	beard/mustache	mɛ²¹mɤŋ²¹	(xa²¹mɛ̰³³) mɛ²¹mɤŋ²¹
23	neck	kʰɤŋ²¹lɤŋ⁵⁵	kʰɤŋ²¹lɤŋ⁵⁵
24	throat	kʰɤŋ²¹bjɤŋ²¹	kʰɤŋ²¹bjɤŋ²¹
25	shoulder	ba²¹pʰu³³	ba̰²¹pʰu³³
26	hand	a̰³³la̰³³	a̰²¹la̰²¹
27	right-hand	la̰²¹ma⁵⁵	a⁵⁵ma⁵⁵
28	left-hand	la̰²¹tɕʰa⁵⁵	a⁵⁵ʨʰa⁵⁵
29	arm	la̰²¹dṵ³³	la̰²¹du³³
30	elbow	la̰²¹tsɯ̰²¹	la̰²¹tsɯ̰²¹
31	palm	la̰²¹xɔ̰³³	la̰²¹ɣa̰²¹a²¹o³³pʰo³³
32	finger	la̰²¹nø³³	la̰²¹nø⁵⁵
33	fingernail	la̰²¹sɤŋ²¹	la̰²¹sɤŋ²¹
34	breast	nuŋ³³xɤŋ²¹	nɤ³³xɤŋ²¹
35	nipple	a²¹tɕʰø⁵⁵	a̰²¹ʨʰy⁵⁵(ʨʰy⁵⁵)si²¹
36	waist	dɔ⁵⁵tsɯ̰²¹	dʑo̰²¹
37	belly	u²¹ma̰³³	m²¹ma̰³³
38	navel	bø³³lø³³tɕa³³tʰɤŋ²¹	bø̰³³lø̰³³
39	buttocks	dɔ²¹xm²¹	dɔ²¹xm²¹
40	feces	dɔ²¹kʰe²¹	ʨʰe²¹
41	to defecate	dɔ²¹kʰe²¹	dɔ²¹kʰe²¹ kʰe²¹
42	urine	y⁵⁵ɕy³³	a̰³³ɕy²¹ɕy²¹
43	to urinate	y⁵⁵ɕy³³ɕy³³	a̰³³ɕy²¹ɕy²¹
44	to expel intestinal gas	u²¹xa²¹pʰɛ²¹	u²¹xa²¹ pʰɛ²¹
45	to have a fever	tsɛ²¹tʰɤŋ⁵⁵tʰɤŋ⁵⁵pʰja²¹pʰja²¹	tsɛ̰²¹tʰɤŋ³³tʰɤŋ³³
46	to give birth	ja²¹pʰu²¹	za²¹bo̰³³
47	leg	a²¹kʰɯ⁵⁵	a̰²¹kʰɯ⁵⁵
48	foot	a²¹kʰɯ⁵⁵pʰja²¹ɣa²¹	a̰²¹kʰɯ⁵⁵pʰɛ²¹ɣa²¹
49	thigh	ɕa²¹pʰja²¹	ɕa²¹pʰja²¹
50	knee	pʰɔ²¹tsɯ̰²¹	a̰²¹kʰɯ⁵⁵pʰɔ²¹tsɯ̰²¹
51	tendon	ɕa²¹gu²¹	ɕa²¹gṵ²¹
52	back	ɣɔ⁵⁵mɔ⁵⁵	ɣɔ³³mɔ³³
53	to see, to look	mɔ⁵⁵la⁵⁵, xɔ³³	xɔ³³, xɔ³³mɔ⁵⁵
54	to seek	dʑa⁵⁵tɕʰɔ³³	dʑa⁵⁵ʨʰɔ³³
55	to hear, to listen	ga²¹la⁵⁵mi⁵⁵ȵa²¹la²¹, na⁵⁵xa²¹	ga²¹ma³³, na⁵⁵xa²¹
56	to smell	bɛ̰²¹la̰³³	bɛ̰²¹la̰²¹
57	to eat	dza²¹	dza²¹
58	to drink	dɔ⁵⁵	dɔ⁵⁵
59	to bite	kɔ̰²¹	kɔ̰²¹
60	to hold with the hand	ȵi²¹tʰɛ²¹	ȵi²¹tʰɛ²¹, tsu²¹tʰɛ²¹
61	to put, to place in/on	o³³tʰa²¹	ɔ³³tʰa²¹
62	to push	tʰɤŋ²¹, dɛ²¹dzɛ̰³³	tʰɤŋ²¹i⁵⁵, dɛ²¹i⁵⁵
63	to pull	ɣɤ³³	ɣɤ³¹a̰²¹, ɣɤ³³le²¹, ɣɤ³³i³³le²¹
64	to throw	dzɛ³³di⁵⁵	dzɛ³³di⁵⁵
65	to pick up	o̰³³	o³³ma³³dɛ²¹, ju³³ma³³dɛ²¹
66	to ladle	tɔ̰³³	kɔ̰²¹
67	to walk	tɕʰɤŋ³³	ʨʰɤŋ³³
