Gloss	Thami (Babre)	Thami (Lapilang)	Thami (Suspa Kshamavati)	Thami (Daduwa)	Thami (Chokati)	Baram	body	head	hair	face	eye	ear	nose	mouth	teeth	tongue	breast	belly	arm/hand	elbow	palm	finger	fingernail	leg	skin	bone	heart	blood	urine	feces	village	house	roof	door	firewood	broom	mortar	pestle	hammer	knife	axe	rope	thread	needle	cloth	ring	sun	moon	sky	star	rain	water	river	cloud	lightning	rainbow	wind	stone	path	sand	fire	smoke	ash	mud	dust	gold	tree	leaf	root	thorn	flower	fruit	mango	banana	wheat (husked)	barley	rice (husked)	potato	eggplant	groundnut	chili	turmeric	garlic	onion	cauliflower	tomato	cabbage	oil	salt	meat	fat (of meat)	fish	chicken	egg	cow	buffalo	milk	horns	tail	goat	dog	snake	monkey	mosquito	ant	spider	name	man	woman	child	father	mother	older brother	younger brother	older sister	younger sister	son	daughter	husband	wife	boy	girl	day	night	morning	noon	evening	yesterday	today	tomorrow	week	month	year	old	new	good	bad	wet	dry	long	short	hot	cold	right	left	near	far	big	small	heavy	light	above	below	white	black	red	one	two	three	four	five	six	seven	eight	nine	ten	eleven	twelve	twenty	one hundred	who	what	where	when	how many	which	this	that	these	those	same	different	whole	broken	few	many	all	eat	bite	hungry	drink	thirsty	sleep	lie (down)	sit	give	burn	die	kill	fly (v.)	walk	run	go	come	speak	hear/listen	look	I	you (informal)	you (formal)	he	she	we (inclusive)	we (exclusive)	you (plural)	they
mɑŋ	mɑŋ	mɑŋ	mɑŋ	jiu	aŋ (IA loan)
kɑpu	kɑpu	kɑpu	kɑpu	kɑpu	kəpu
cimyɑŋ	cimeŋ	cimeŋ	mus	mus	sjam
kʰen	kʰen	kʰen	kʰen	kʰen	mik
mese	mese	mesek	mese	mese	mik
kulnɑ	kulnɑ	kulnɑ	kulnɑ	kulŋɑ	kuna
ciŋɑ	ciŋyɑ	ciŋɑ	cĩyɑ̃	ciyɑ̃	cina
uɡo	uɡo	uɡo	ogo	ogo	anam
suwɑ	suwɑ	suwɑ	suwɑ	suwɑ	swa
cile	cile	cile	cile	cile	ce le
cucu	cyucyu	cucu	nunu	cucu	nənu
bɑŋkɑl	bɑŋkɑl	bɑŋkɑl	bʌŋɡʌl	bʌŋɡɑl	ujaŋ
lɑʔ	lɑʔ	lɑk	lɑ	lɑ	hit
uru	ɽuŋ	uru	uru	kuino	kuina (IA loan)
oilyɑ	lɑʔ	lɑk	pɑti	lɑ	lapʈa
cʰumpi	cʰumpi	cumpi	cyukuri	cukuri	əŋla (IA loan)
pin	pin	pin	pin	pin	luŋdziŋ
konʈe	konʈe	konʈe	konʈe	lɑi	undzik
ʃebi	ʃebi	ʃebi	ʃebi	ʃebi	chala (IA loan)
koʃɑ	koʃɑ	koʃɑ	koʃyɑ	koʃyɑ	haɖ (IA loan)
loŋse	loŋse	loŋsek	loŋse	loŋse	muʈu (IA loan)
cɑi	cɑi	cɑi	cʌi	cʌi	cihui
uʃi	uʃi	uʃi	uʃi	uʃi	ci
kuɽi	kuɽi	kiɽi	kuɽi	kili	ku
rɑɽe	dese	dese	dese	dese	hannuŋ (IA loan)
nem	nem	nem	nem	nem	nam
cʰɑnɑ	cʰɑnɑ	pɑli	pɑli	cʰɑnɑ	chano
kʰɑɽoŋ	kʰɑɽuŋ	kʰɑɽo	kʰʌɽu	kʰɑɽu	ɖhoka (IA loan)
seŋ	seŋ	seŋ	seŋ	seŋ	siŋ
tʰope	tʰope	tʰope	tʰope	tʰope	astuŋ
yɑmbɑʔ	lokmɑŋ	lokmɑŋ	ʈim	luŋ	siləuʈo (IA loan)
ulum	lok	ulum	ulum	loɦoro	lohoro
ʈʰokʈʰokyɑ	ʈʰokʈʰokyɑ	ʈʰokʈʰoke	ʈʰukʈʰukiɑ	ʈʰokʈʰokyɑ	hətəuɖo (IA loan)
ɑikucɑ	ɑikucɑ	ɑikucɑ	kɑrdɑ	cʌkku	ukhmen
rɑpɑ	rɑpɑ	rɑpɑ	rɑʔpɑ	rɑpɑ	kəm
ʃɑkpɑ	ʃɑkpɑ	ʃɑkpɑ	ʃyɑpɑ	ɖɑmlɑ	ɖori (IA loan)
dʰɑɡo	sɑle	benɑ	ʃyɑpɑ	dʰɑgo	ləkthun
ɦili	ɦili	yuli	yuli	ɦuli	pənuŋ
myuŋ	miŋmyɑŋ	myuŋ	myũ	myuŋ	mu
sɑimundro	sɑimundro	sɑimundro	ʌŋɡuliŋ	ʌũʈʰi	əŋʈhi (IA loan)
uni	uni	uni	uni	uni	uni
cʌlʌuni	cʌlʌuni	cʌlʌuni	cʌlɑʔuni	cʌlɑuni	cəlauni
sʌrɡyɑ	sʌrɡyɑ	sʌrɡe	sʌrɡe	ʌkɑs	akas (IA loan)
ucʰi	ucʰi	ucʰi	ucʰi	ucʰi	tara (IA loan)
pɑŋku	pɑŋkuyusɑ	jʰʌriuɑn	ʃyɑrde	jʰɑri	aŋmət
pɑŋku	pɑŋku	pɑŋku	pʌŋku	pɑŋku	awa
ʃoŋ	ʃoŋ	ʃoŋ	ʃoŋ	ʃoŋ	gudul
dʰummɑ	kʰɑʃu	kʰɑsu	dʰummɑ	dʰumpɑ	a mu
mirlisidu	sʌrɡyɑtowɑn	mirliksɑ	miklik	gʌɽɑŋguɽuŋtʰɑ	-
indreni	indreni	indreni	lʌrkuni	indreni	indreni (IA loan)
pʰɑʃɑ	pʰɑʃɑ	pʰɑʃɑ	pʰɑʃyɑ	pʰɑʃyɑ	asi
ɽiŋ	ɽiŋ	liŋ	ɽiŋ	lyuŋ	kumba
ulɑm	ulɑm	ulɑm	ulɑm	ulɑm	uŋma
pʰɑʃeɽiŋ	kʰreʔduɽiŋ	jɑŋkʰɑ	syɑŋɖo	bʌluwɑ	balwa (IA loan)
me	me	me	me	me	mui
