Gahri	Part of speech	English gloss
kador	n.	bowl, basin
kadʑu	n.	tooled capital of a pillar
kaj	adj.	difficult
kak-	v. tr.	to stop, to block
kakatsi	n.	lamb
kal-	v. tr.	to load
kalak	n.	(1) dough; (2) plaster for re-coating
kaldʑor	n.	cup
kali	n.	sitting carpet (Indo-Aryan)
kaltɕorpa	n.	woman carrying the tɕʰaŋ at the gotsi festival
kaltsi	n.	window
kamkam	n.	gap (small)
kan-	v. tr.	to watch
kan-	v. tr.	to show
kanɲan	n.	imagination
kanɲanmej	adv.	very much, very many, extremely
kanʈi	n.	necklace
kaŋ	n.	leg
kaŋ-	v. tr.	to add
kaŋliŋ	n.	ceremonial thigh-bone trumpet
kapula	n.	traditional shoes made of grass
kaput	n.	hinge
kar-	v. tr.	to smash, to hammer, to thrash
kar	n.	sheep (male, castrated)
kara	n.	donkey
kari	n.	crossbeam (big)
karipa	n.	ritual dancers at the gotsi festival
karma	n.	star
kartak	n.	silver plate
kartsi	n.	male sheep (castrated, young)
kat-	v. intr.	to blow (wind), to turn, to whirl
kat-	v. intr.	to call (for a meeting)
kat	n.	language, voice, noise
katɕa	n.	story (about real events)
katɕʰa	n.	underwear
katɕaŋ	adj.	near, close
katsi	n.	walnut
katsi	n.	wooden ladle used to ladle soup
kaʈi	n.	(1) jaws; (2) scissors
kekir	n.	flat bread
keks	n.	gift, present
keks	n.	wooden stick
kela	n.	banana
kelobotbot	n.	fir tree
kelt-	v. intr.	to carry on one’s person
kem	n.	hon. barley beer, liquor
ken	n.	(1) breakfast; (2) type of porridge consisting of tsampa mixed with water
ken	n.	birth of animals
kendus	n.	forenoon
kenkjatsi	n.	little finger
kent-	v. intr.	to give birth (of animals)
keŋkebotsi	n.	little finger
keŋs	n.	shame
keska	n.	lie
ketdzi	adj.	alone
ketpa	n.	waist
kewa	n.	rebirth
kewa sarasire	n.	early morning
ki-	v. tr.	to wash (dishes, floor)
kil	n.	center, middle
kil-	v. tr.	to dam up water
kilbotsi	n.	middle finger
kin	n.	ibex
kin-	v. tr.	to give birth
kin-	v. mid.	to give birth, to be born
kirka	n.	(1) iron rings used to cover the opening of the oven; (2) wreath made of willow twigs
kirna	adj.	round (of flat things)
kirti	n.	basket (worn on back)
kit	n.	dirt
kitpo	adj.	prosperous
kja-	v. intr.	to become, to become ready
