No.	Gloss	Lhokpu	Dhimal	Toto	Comments
1	head	puhlum	puriŋ	parɔ́	
2	hair (on head)	puhsam	pusiŋ	puriŋ	
3	hair (body)	mul	muisa	musa	
4	face	doːŋ [< Dz. dong]	rhai	ŋuaŋ ‘mouth, face’	loanword in Lhokpu
5	forehead	cewa [(?) < Dz. pcäu]	kapal [< IA]	tiŋŋuaŋ	loanwords
6	chin	kato ~ katoŋ	kato	–	
7	cheek	jamlaŋ	galbhuŋ	yuwai	cf. ‘jaw’
8	jaw	dunsui, kagam	jambai	–	cf. ‘cheek’
9	mouth	noi	nui	ŋuaŋ ‘mouth, face’	
10	lip	ŋulsa ‘upper lip’, wesa ‘lower lip’	dirbe	–	
11	tongue	l̥ésa	detoŋ	lɛbɛ́	
12	tooth	sui, kahmã ‘molar’	tasi	satáŋ	
13	gums	–	sitiri	–	accidental gap
14	uvula	–	–	bɔŋröi	accidental gap
15	nose	n̥áʰ	nhapu ‘nose, reputation, honour’	naböi	
16	ear	natok	nhatoŋ	nanuŋ	
17	eye	mikto ~ mik	mi	mico	
18	eyebrow	miktsik	mimui ‘eyebrow, eyelash’	migrɔ́	
19	eyelash	mikmul	mimui ‘eyebrow, eyelash’	migröi	
20	neck	õyhto ‘back of neck’	nirgai ‘throat, neck’ [< IA]	ŋɛtɔ́ŋ	loanword in Dhimal
21	throat	haltiŋ, sahtel ‘wind pipe’	totai, nirgai ‘throat, neck’ [< IA], ghoghoroŋ ‘throat, gullet’	–	
22	Adam's apple	chupu [(?) < Dz.]	–	–	accidental gap
23	body	zu [< Dz. zû]	sarir, jiu [< IA]	jupa	loanwords
24	shoulder	puŋ̊a, kaŋtam ‘shoulder blade’, toklap ‘shoulder blade’	kambe ‘shoulder, river bank’, kandhe [< IA]	bɔcɔŋ	
25	arm	kur ‘hand, arm’, lak ~ laŋ ‘hand, arm’	khur ‘hand, arm’	–	cf. ‘hand’
26	elbow	koito ~ goito	khuiju	lɛŋtosé ‘ankle, elbow, joint’	cf. ‘ankle’
27	hand	kur ‘hand, arm’, lak ~ laŋ ‘hand, arm’	khur ‘hand, arm’	kuü ~ kui	cf. ‘arm’
28	finger	buŋr̥át ‘finger (except thumb and little finger)’, getsa ‘little finger’, tepaː ‘thumb’	khursiŋ ‘fingernail, finger’, aŋguli [< IA]	kɔré, kɔpu ‘thumb, big toe’	cf. ‘toe’, ‘river’
29	palm	kurlak ‘palm of hand’, doŋlak ‘sole of foot’	–	taŋpa ‘sole of the foot’	accidental gap
30	leg	doŋ ‘leg, foot’	khokoi ‘leg, foot’	–	cf. ‘palm’, ‘foot’, ‘calf’
31	thigh	lḁ́teŋ	tiro [< IA]	waibé	loanword in Dhimal
32	knee	tsikpuç giro ‘joint’ [< IA], khokoiko	giro	turü	loanword in Dhimal
33	calf	pintak, kiŋkuŋ ‘shin’, ŋadoŋ ‘lower leg’	–	kɔköi ‘leg below the knee’	accidental gap
34	foot	doŋ ‘leg, foot’	khokoi ‘leg, foot’	–	‘cf. leg’, ‘calf’
35	toe	doŋr̥át	–	kɔpu ‘thumb, big toe’	accidental gap, cf. ‘finger’, ‘river’
36	heel	tiŋpa [< Dz. tim]	gudini	–	loanword in Lhokpu
37	ankle	tetleŋ	–	lɛŋtosé ‘ankle, elbow, joint’	accidental gap
38	nail	siŋ ~ sin	siŋ, khursiŋ ‘finger, fingernail’	kusiŋ ‘fingernail, toenail’	
39	breast	nun	dudu [< IA], tumta ‘chest, breast’	tuŋsiŋ ‘breast, chest’	cf. ‘chest’
40	chest	taŋtuk, r̥íŋpiŋ ‘rips’, kehriŋ ‘short rips’	tumta ‘chest, breast’	tuŋsiŋ ‘breast, chest’	cf. ‘breast’
41	belly	lémá ~ lém̥á	hamu ~ ham ~ himu ‘stomach, belly’	pemá ‘belly, abdomen’	
42	abdomen	yíːmpu ‘abdomen’	–	pemá ‘belly, abdomen’	accidental gap
43	navel	diŋboi	bodhi	böidí	
44	back	jap ‘backside, back’ [< Dz. jap], tseŋr̥ui ‘spinal column’	gandi	kenü ‘spine, backbone’, morü ‘backbone’	
45	penis	net, leŋ ‘erected penis’	tau, tatui	löisiŋ	cf. ‘testicles’
46	vagina	tu	cucu	lüsiŋ	
47	clitoris	dziklap	lisinti	–	
48	testicles	lḁ́ːu ~ láːu	seʔguli, tauseʔ ‘lit. penis-fruit’	–	cf. ‘penis’
49	anus	ebur	burli ‘to spit out liquid’	piso	cf. also Lhokpu tsibur ‘urethra’
50	skin	cap [(?) < Dz. cap ‘protect’]	dhale ‘skin, bark, outer covering’	–	
51	vein	dzilɖi	jhire	–	
52	bone	ruç	hara [< IA]	ruto, -rü	loanword in Dhimal
53	intestines	leriŋ, mariŋ ‘big intestines’, tsanriŋ ‘small intestines’	tereŋ ‘small intestines’, bhuti ‘large intestines’	yɔŋbé	
54	stomach	poçtil	hamu ~ ham ~ himu ‘stomach, belly’	buibé ‘stomach’	
55	heart	tuymu	kondaŋ, mən ~ mon ‘feeling, heart, mind’ [< IA]	–	
56	lung	yosa	sukulu	suru	
57	brain	núi	pundhui	–	
58	liver	ínsa	tumsiŋ	lampu	
59	blood	gi, gitiː	hiti	yutí ‘blood, milk’	
60	spittle	katiː	thoʔsi, dhuiti	totí	
61	faeces	eː	lisi, emli ‘to press, massage’	em- ‘to shit’	
62	urine	tsiko	soʔsoʔ ~ soʔcoʔ	cici	
63	sperm	tsanl̥íː, pojaka l̥íː, daːti [< Dz. dâchu]	kheʔti [(?) < kheʔli ‘to stick to something, to catch on something’]	–	
64	milk	omáŋˀ [(?) < Dz. ’ôm]	dudhe [< IA]	yutí ‘blood, milk’	loanwords
65	tear	miktiː	miti	mití	
66	sweat	oŋtiː, oŋ- ‘to sweat’	bhemti ‘sweat (lit. heat-water)’	–	cf. ‘to char, roast, toast’
67	vomit	rotiː	oʔti	–	
68	marrow	dzam ~ zam ‘reddish marrow of arm bones, leg bones, etc.’, tseŋnui ‘spinal cord (lit. “back-brain”)’	dum ~ duŋ	–	
69	water	tiː, tiyo, cho [(?) < Dz. chu]	ci	ti	
70	cloud	muku ‘cloud, fog’	baˈdel [< IA]	–	loanword in Dhimal
71	rain	waç	wai	wɛtí ~ wâtí	
72	wind	birmaʰ ~ pirmaʰ	bherma	–	
73	lightning	tarma ‘lightning and thunder’	–	–	accidental gap
74	thunder	cutar ‘rumbling thunder’, metar ‘crashing thunder’, tarma ‘lightning and thunder’, m̥úk ŋil- ‘to thunder [m̥úk = “dragon”]’	doŋ, gaˈraŋguˈruŋ [< IA]	–	
75	sky	tirbaŋ	–	diŋba	
76	sun	yan̥í	bela [< IA]	–	loanword in Dhimal
77	moon	tal̥íʰ ‘moon’	tali ‘moon’	tarí	
78	star	ʈóŋ	phuru	püma	
79	day	n̥íː ~ n̥í	ni	hani ‘today’	
80	night	lip ‘night/to fall (night)’	nhisiŋ	lisuŋ ‘nighttime’, lip- ‘to fall (night)’	
81	year	lo [< Dz. lo], -nim (as classifier)	baʔsar ~ baʔhar [< IA]	–	loanword in Dhimal
82	mountain	koŋ	paˈhar [< IA]	–	loanword in Dhimal
83	stone	luŋˀ	-loŋ ‘class’	luŋtü	
84	earth	bo ‘dry earth’, dam ‘mud’ [< Dz. <ḥdam> dam]	bhonoi ‘earth, soil’	ladiŋ ‘mud’	
85	forest	tsak, diːŋ	jhar [< IA], jəŋgəl [< IA], cakiya ‘red jungle fowl (Gallus gallus)’	–	
86	river	tiluː	jhoraɁ [(?) < jholi ‘fo float away’]	–	cf. ‘finger’, ‘toe’
87	road	lam	dama	naŋtɛ́	
88	animal	sa ‘meat, animal’, semceːn [< Dz. semce]	jinis ‘creature, thing’ [< IA], maini ‘female animal’, daŋkha ‘male animal’	zānuyār, zinisi [(?) < IA], dambê ‘male animal’	
89	dog	dze	khiya	kiya	
90	pig	pak	paya	paká	
91	horse	taːpa [(?) < Dz. tapa ‘rider’]	õya	kota	loanword in Lhokpu
92	cow	piːk	piya	piká	
93	goat	r̥áː [(?) < Dz. ra]	meɁsa	–	loanword in Lhokpu
94	chicken	keːk-	kiya	kɛká	
95	rat, mouse	cu	juhã	jüwɔ́	
96	otter	dzimu	kuŋraŋ uda [< IA]	–	loanword in Dhimal
97	monkey	ti, cagaː ‘langur’ [< Dz. pcaka ‘langur (lit. “white monkey”)’]	nhõya, dudhe nhõya ‘langur (lit. “milk-monkey”)’	ŋɔká	
98	bird	ca	jihã	jiya	
99	raptor	lḁ́ŋ ‘eagle’	sigun ‘vulture’	–	
100	fish	n̥á ~ hã	haya	ŋaya	
101	snake	dzalma, riːpu ‘big constrictor’, l̥íkpulḁ́kpu ‘green tree snake’	pũya	pǘyɔ	
102	frog	lḁ́ː ~ lḁ́ːto, rukma ‘toad’, l̥ón̥á ‘jumping frog’	comphe	–	
103	insect	pet ~ bet	peɁsa	petá	
104	worm	dorbet	doriya ‘earthworm’	–	
105	spider	tatal̥ík	makarai [< IA]	–	loanword in Dhimal
106	louse	sir	sira ‘head louse’, tinha ‘pubic louse’	–	
107	fly	jaŋnak, tsohẙáːu ‘mosquito’, tsilma ‘little mosquito’, mutum ‘mosquito’	jahã ‘mosquito’, tuirham ~ tuirhaŋ	jaŋa, tüwa	
108	horsefly	toma, raçma ‘hornet’, riçma ‘wasp’, n̥uyma ‘black, dangerous wasp with red head’	–	–	accidental gap
109	bee	sirma ~ shirma, sohma ‘big bee’, bũːlu ‘bumblebee’	bãya	–	
110	ant	dziŋrip	kokoriŋka ~ kokoriko ‘small, white ant’	–	
111	leech	l̥íːm, kaŋpu ‘red leech’, bedeːleŋ ‘tiger stripes leech’	limiya	–	
112	leopard	cadzik [(?) < Dz. zi]	lokara, guŋgi ‘leopard cat’	–	loanword in Lhokpu
113	tiger	kuŋ	khuwãhã	kuŋwa	
114	bear	n̥ái(sa)	naibiri ‘(sloth) bear’	nayá	
115	elephant	n̥ár	nariya	hâti [< IA]	
116	male	-pa, po-, -ra	wa- ~ -wa	-wa	
117	female	-ma, met- ~ -met, me	be- ~ -be	-mé	
118	young	-tsan, -piŋ ‘animal that has not yet given birth’	-can	ceŋ ‘offspring’	
119	horn	ʈaŋ	daŋ ‘horn, pincer, antler’	daŋ	
120	wing	baː	bakoi	bagreŋ	
121	thorn	tsuç	cui ‘thorn, fishbone’	–	
122	tail	meʔeː	methoŋ	–	
123	hoof	toŋsiŋ	–	–	accidental gap
124	tree, wood	siŋ	siŋ	siŋɛ́	
125	leaf	lap	lhaʔpha	loŋ	
126	branch	gel	daleŋ [< IA]	–	loanword in Dhimal
127	root	ra	jari [< IA]	–	loanword in Dhimal
128	bark	siŋka toŋ ‘tree bark’	siŋko dhale ‘tree bark’	–	
129	bamboo	pasiŋ, nitsiŋ, tosiŋ, konsiŋ, patsiŋ, l̥ísiŋ	pasim	daŋtiŋ, pasiŋ, wɔtɛŋ	
130	flower	punti, pun	lheʔ	maibe, sɛ ‘bloom, flower, blossom, bud’	
131	fruit	se, bup	bhar ‘fruit, blossom’, seli ‘to bear fruit’, -se ‘fruit (used in compounds)’	-se ‘fruit (used in compounds)’	
132	grass	tsiː	ghase [< IA]	daŋtiŋ ‘type of grass/bamboo’	loanword in Dhimal
133	mushroom	sham̥ú [< Dz. <śamu> shamu]	musar	–	loanword in Lhokpu
134	liquor	arak, yúː	jãɖ ‘rice beer’ [< IA], gora ‘rice liquor/alcohol’	yu ‘beer’	
135	rice (paddy)	rat	m	maʔoŋ	
136	rice (uncooked)	marku, amku ‘uncooked grain of any cereal’	mun ‘beaten rice’, uŋkhu ‘uncooked rice’	aŋku	
137	rice (cooked)	marto [< Dz. to ‘food, rice’]	m	ama	
138	millet	ja ‘finger millet’, tsak ‘foxtail millet’, lóŋ, moi	–	membe [< Dz. membja]	accidental gap
139	flour	biː	tole	–	
140	salt	di	dese	ni	
141	chili	mur, murih	marci	–	
142	fat, grease	–	sau	–	accidental gap
143	meat	sa	biha	biyá	
144	egg	tui	tui	köitü	
145	poison	n̥íŋ	–	–	accidental gap
146	person	ŋan, laː ‘person, friend’	dyaŋ	–	
147	name	miŋ	miŋ ‘name, reputation, self’	miŋ	
148	father	payo	aba	apa	
149	mother	mayo	amai	ayu	
150	brother	pu [e], tsa [y]	me [e], dada [e, < IA], one [y]	duwa [e], e [y]	
151	sister	na [e], tsa [y]	bai [e], one [y]	ana [e], yiŋ [y]	
152	father’s brother	paŋ	kaka [y, < IA]	jitɔ [e], paŋ [y]	loanword in Dhimal
153	father’s sister	niː	peusai [y, < IA]	pisé	loanword in Dhimal
154	mother’s brother	ku, ajaŋ [< Dz. ’azha ‘uncle’]	mamai [y, < IA]	kuku	loanword in Dhimal
155	mother’s sister	yuː	mausi [y, < IA]	möisé	loanword in Dhimal
156	grandfather	ta	aju	âtâ	
157	grandmother	ya	ajai	aja	
158	son	ratsan	can, wacan ‘young man, boy’	ceŋwa	
159	daughter	mettsan	camindi	ceŋmé	
160	brother’s son	tsanɖa	bhagina [< IA]	cerewa [e’s], jituwa [y’s]	loanword in Dhimal
161	brother’s daughter	tsanm̥ét	bhagini [< IA]	ceremé [e’s], jitumé [y’s]	loanword in Dhimal
162	sister’s son	l̥íra	bhagina [< IA]	da	loanword in Dhimal
163	sister’s daughter	l̥ímet	bhagini [< IA]	damé	loanword in Dhimal
164	grandson	tsu(ra)	cu	cuwa	
165	granddaughter	tsu(met)	cu	cumé	
166	son-in-law	makpa [< Tib. magpa]	mhawa	mawa	loanword in Lhokpu
167	daughter-in-law	nama	nama	nama	
168	house	kim	saɁ	sa	
169	village	yüi [< Dz. ’ü]	dera	löi	loanword in Lhokpu
170	field (irrigated)	–	–	–	accidental gap
171	field (dry)	diŋ	miliŋ, liŋ ‘field, cultivated land’	–	
172	fire	me	me	me	
173	ashes	buː	buʔsuri	–	
174	embers	–	mekhon aiti	–	accidental gap, cf. ‘smoke’
175	smoke	meku	duhã [< IA], jagulai	–	loanword in Dhimal, cf. ‘embers’
176	arrow	ker	tir [< IA]	–	loanword in Dhimal
177	bow	l̥íʔ ~ líʔ	–	–	accidental gap
178	needle	–	sui	–	accidental gap
179	mortar	raŋtak ‘grinding stone’	thasim ‘large mortar’, jhosim ‘small mortar’	–	
180	stick	–	–	dö	accidental gap
181	rope	ɖiː	diˈham ‘rope, twin’	–	
182	one	it-	eʔ-	*it- (i ~ iccɔ ~ ippu ~ icce)	
183	two	nih-	nheʔ-	*nis- (ni ~ nisɔ ~ nipu ~ nise)	
184	three	sum-	sum-	*suN- (suŋ ~ sumcɔ ~ suŋpu ~ suŋse)	
185	four	liː-	dya-	di-	
186	five	ha- ~ hã-	na-	ŋa-	
187	six	ʈuk-	tu-	*tuk- (tu ~ tukcɔ ~ tukpu ~ tuse)	
188	seven	n̥ít-	nhiʔ-	ni- ~ ní-cɔ ~ nípu ~ ní-se	
189	eight	get-	yeʔ-	yâ-	
190	nine	ku-	koha-	ku-	
191	ten	teh-	te-	tâ	
192	twenty, score	(it)kal, nisu [< Dz. nyishu]	na-ganda	ikai	
193	hundred	hãkal ‘five score’, sho	itpu eʔ-sai [< IA]	ŋakai ‘five score’	loanword in Dhimal
194	white	loŋ- ‘be white’	jeːli ‘be white, be fair-skinned’	–	
195	black	nak- ‘be black’	daːli ‘be black’, kiculhoʔli ‘be pitch black’	–	
196	red	ek- ‘be red’	iːli ‘be red’	–	
197	yellow	seːpu [< Dz. sêp]	yauli ‘be yellow’	–	loanword in Lhokpu
198	blue	liŋ- ‘be blue/green’, naktsik- ‘be dark blue’	nelpa [< IA]	–	loanword in Dhimal
199	green	liŋ- ‘be blue/green’	siŋka ‘green, uncooked, not ripe, fresh’	–	
200	hear	hin-	hiŋli ~ hinli	–	
201	see	tiŋ-	tiŋli	ne-	
202	look	hut-	khaŋli	kaŋ-	
