No.	Gloss	Dura
1	father	bāu
2	mother	maikʰu, āmā (Indo-Aryan)
3	grandfather	ākʰe, bātʰe, bāje (Indo-Aryan)
4	grandmother	ākʰe-syo, matʰe, omo
5	son	hre, rasari
6	daughter	mehre ~ mrehe ~ mere
7	eldest, first born son (Nepali जेठो)	kātʰe, ʈʰāku
8	youngest, last born son (Nepali कान्छा)	kāncʰā (Indo-Aryan)
9	husband	kāu
10	wife (also ‘woman’ in general)	misā
11	father-in-law (Nepali ससु रा)	hāepo
12	mother-in-law (Nepali सासु)	hāemo
13	grandson	ko ~ kā
14	granddaughter	komo
15	younger brother	sij̃ ā, bʰāī (Indo-Aryan)
16	elder brother	moce, dāī (Indo-Aryan)
17	younger sister	liusā, bahinī (Indo-Aryan)
18	elder sister	kʰāpā, didi (Indo-Aryan)
19	elder sister’s husband (Nepali भि नाजु)	ācyo
20	elder brother of one’s husband (Nepali जेटाजु)	ācyo
21	sister-in-law, elder brother’s wife (Nepali भाउज्यू)	kāgre, kāure
22	son-in-law, brother-in-law (Nepali ज्वाइँ)	gomo
23	daughter-in-law, sister-in-law (Nepali बुहारी)	tapʰre
24	paternal side (father’s) younger brother (Nepali कान्छा बा)	matʰe
25	younger brother (Nepali काका)	ba-cʰire
26	younger brother’s wife (Nepali कान्छी आमा)	ŋiso
27	younger brother’s wife (Nepali काकी)	a-cʰire
28	sister (Nepali फुपु)	pʰupū (Indo-Aryan)
29	sister’s husband (Nepali फुपा जु)	pusāĩ
30	maternal side (mother’s) younger sister (Nepali सा नी आमा)	musī
31	younger brother’s wife (Nepali सा नी आमा)	musī
32	brother’s wife (Nepali माइजु)	āŋi, gumā
33	brother’s child (Nepali मामाको छोरा/छोरी)	samdī
34	niece (also ‘elder/younger sister’)	ŋolso < *ŋolo-syo
35	reciprocal term used by fathers of married couple	samdī
36	male cross cousin (Nepali सो ल्टी)	ŋolo
37	child, baby	wasyā ~ basyā (Indo-Aryan)
38	children	disāno ~ disāro
39	boy	ālre ~ allāre, ʈʰiʈā (Indo-Aryan)
40	girl	ʈʰiʈī (Indo-Aryan), jʰanā, pāpārā, hālimerī, aie ~ aire (Nagila 2008)
41	baby girl	busī
42	pregnant woman	busi-hāro-ni (lit. ‘baby-bearer’)
43	friend	āgyo
44	concubine, mistress	misā-wāmu
45	female family members	hālimero
46	relatives of married woman’s parents	ālero
47	alcohol	cʰāpā (also ‘sweat’)
48	banana	mujā, nāc
49	barley beer	makʰe (also ‘rice beer’)
50	black lentils	kulu
51	bread	kẽ
52	buckwheat	gyāwrā ~ gawrā
53	cooked rice	bʰākā, kʰodārī, cyāno ~ cyānu
54	egg	odi ~ oni
55	food (in general)	cune, conisapa
56	fruit	pokimuni
57	garlic	pʰĩ
58	ghee (clarified butter)	rāmā, dumā
59	greens	rāyo
60	gruel or porridge (from millet or corn)	kiubʰākā
61	gundruk	pāte
62	juice broth	golo
63	lemon	ŋyāpo
64	light meal	mibru ~ maypuru
65	maize, corn	māsi, sitarān
66	mango	āwo
67	medicine	mhoi ~ mhay
68	milk	nājo, nāmlo (also ‘breasts’)
69	millet	nāre, nārevārī, kiu, kĩtro
70	unhusked rice	sāli
71	pickles	cʰopā
72	potato	yoŋ
73	rice beer	muni, makʰe
74	salt	cʰõ
75	soup, gravy	kʰuku
76	soupy vegetable preparation (Nepali ति हुन)	gai ~ gi
77	sesame	cikyā
78	vinegar	kʰlyāu (also ‘sour’)
79	timur pepper	pramu
80	uncooked rice	jo, siī
81	uncooked, usually soaked, whole rice grains offered in worship or religious ceremonies	kārtʰo
82	yogurt, curds	gʰisa
83	preparation of water boiled with sugar, clarified butter and spices (Nepali कांढा)	kājyū
84	animals (also ‘cattle’)	kʰeto
