Gloss	Form	Language
a bamboo for carrying corpse on the shoulders of two persons	tʰaŋ⁴tiaŋ⁵ ဌဉ္ဌိယာ	Gong (Uthai Thani)
a basket for	tɔŋ³တောင်	Gong (Uthai Thani)
a basket made of rattan strips with a long handle for picking fruits from a tree	joʔ¹kʰa²koŋ¹ဂျောခါကောင်	Gong (Uthai Thani)
a big, long banana	dok¹kɔŋ⁴ʔɛ³ ဒေါက်ကောင်အယ်	Gong (Uthai Thani)
a cast-off skin	ကက်ဘာ kəʔ¹ba²	Gong (Uthai Thani)
a closely woven bamboo basket, clf. for 15 kilos of rice	baŋ³ ဘင်	Gong (Uthai Thani)
a comb of cock	wωʔ¹ɲɔʔ¹la² ဝါဝ်ငေါက်လာ	Gong (Uthai Thani)
a cylinder of water	ti³dɔŋ² တီဒေါင်	Gong (Uthai Thani)
a fish look like serpent-head but its head is bigger	luŋ⁴tʰoŋ³လုင်ဌောင်	Gong (Uthai Thani)
a fly	maŋ cʰe ~ maŋ se မင်ချေ ~ မင်ဆေ	Gong (Suphanburi) - older generation
a fly	maŋ se မင်ဆေ	Gong (Suphanburi) - younger generation
a fruit of rattan	wiŋ¹ʔɛ² ဝိင်အယ်	Gong (Uthai Thani)
a kind of animal raps, a kind of wasp	giɛŋ³ ဂိအယ်င်	Gong (Uthai Thani)
a kind of ants	giɛ³blɔŋ² ဂိအယ်င်ဘ္လောင်	Gong (Uthai Thani)
a kind of bamboo	pʰɔʔ¹pi¹ ဖောက်ပိ	Gong (Uthai Thani)
a kind of bamboo	boŋ¹pi²ဘောင်ပိ	Gong (Uthai Thani)
a kind of bark of tree used for eating with areca nut	cʰɛk¹ ချဲ့က်	Gong (Uthai Thani)
a kind of big tree	kɨŋ⁴cʰiŋ⁵ ကိင်ချိင်	Gong (Uthai Thani)
a kind of bird	ma²cəŋ³hɔʔ² မာကင်ဟောက်	Gong (Uthai Thani)
a kind of bird	tuŋ⁴duk¹kʰu³ တုင်ဒုက်ခူ	Gong (Uthai Thani)
a kind of bird	cʰɨ³ ချိ	Gong (Uthai Thani)
a kind of bird	kaŋ⁴ku² ကင်ကု	Gong (Uthai Thani)
a kind of bird	hɔʔ¹ti¹ ဟောက်တိ	Gong (Uthai Thani)
a kind of bird	ʔɛŋ²klɛi⁵	Gong (Uthai Thani)
a kind of birds	ku³lɔŋ⁵	Gong (Uthai Thani)
a kind of black ant	cʰaŋ¹kʰo³	Gong (Uthai Thani)
a kind of black birds	bɯ³baŋ²	Gong (Uthai Thani)
a kind of Caladium	laŋ³tʰaŋ²	Gong (Uthai Thani)
a kind of eggplant	ʔa²kʰa³cʰeŋ³	Gong (Uthai Thani)
a kind of fish trap	buŋ⁵	Gong (Uthai Thani)
a kind of fish trap	cu¹	Gong (Uthai Thani)
a kind of fish trap	klɛŋ⁴buŋ⁵	Gong (Uthai Thani)
a kind of green insect	leŋ⁴tʰeŋ³	Gong (Uthai Thani)
a kind of green insect	ʔɔ⁴lɔ¹	Gong (Uthai Thani)
a kind of grub	lɔŋ³lɯk¹	Gong (Uthai Thani)
a kind of leaf	bi³ca²	Gong (Uthai Thani)
a kind of monitor lizard	cʰə³	Gong (Uthai Thani)
a kind of monkey	wuŋ³ɲok²	Gong (Uthai Thani)
a kind of mushroom	mu³cʰe²	Gong (Uthai Thani)
a kind of mushroom	kωŋ³mω⁵	Gong (Uthai Thani)
a kind of mushrooms	ka²bak²mω⁵	Gong (Uthai Thani)
a kind of muskmelon	tʰaŋ³tʰoŋ²	Gong (Uthai Thani)
a kind of onion plant	ku⁴ca³	Gong (Uthai Thani)
a kind of plants that has pointed leaves	kuŋ²juŋ⁵	Gong (Uthai Thani)
a kind of red flower	wiŋ⁴piaʔ¹	Gong (Uthai Thani)
a kind of rice	cʰu³maŋ²	Gong (Uthai Thani)
a kind of shell	pu²kəʔ¹	Gong (Uthai Thani)
a kind of snake	tʰɔŋ³juʔ¹cʰɛi¹	Gong (Uthai Thani)
a kind of snake	ʔɛŋ³ʔe³pɯŋ³	Gong (Uthai Thani)
a kind of tree with red fruit	ma²pʰla²cʰiŋ³	Gong (Uthai Thani)
a kind of tuberous plant (which has green rounded leaves and fragrant smell)	di⁴hiŋ⁵	Gong (Uthai Thani)
a kind of vegetable	li³ca²	Gong (Uthai Thani)
a kind of vegetables	mok¹kʰɔŋ¹	Gong (Uthai Thani)
a kind of wasp	ɲɔʔ¹mω³	Gong (Uthai Thani)
a kind of wood	luŋ³cʰiŋ²	Gong (Uthai Thani)
a leaf of coconut	kωʔ²ʔɛ³lɔʔ¹	Gong (Uthai Thani)
a long-handled knife	ta²meŋ¹	Gong (Uthai Thani)
a rod of cogon grass used for roofing	cʰì	Gong (Suphanburi)
a rod of cogon grass used for roofing	cʰi²tiaŋ⁵	Gong (Uthai Thani)
a section of bamboo stem, about a foot long, with one joint at the bottom	dɔŋ¹	Gong (Uthai Thani)
a sheath of knife	ta²meŋ⁴jiŋ⁵	Gong (Uthai Thani)
a small basket for putting glutinous rice	ʔɛʔ¹tʰək²	Gong (Uthai Thani)
a small brown frog	kʰɔʔ¹ba¹	Gong (Uthai Thani)
a small cup	cɔʔ¹peʔ²	Gong (Uthai Thani)
a small mouth jar	cu⁴pɛʔ¹	Gong (Uthai Thani)
a small, broken [piece] of milled rice	cʰe³kɯŋ²	Gong (Uthai Thani)
a spoutless kettle with holes in the bottom for steaming food	puŋ⁴koŋ¹	Gong (Uthai Thani)
a spoutless kettle with holes in the bottom for steaming food	puŋ⁴ʔa¹	Gong (Uthai Thani)
a trap of ground lizard	dɔŋ²luʔ¹	Gong (Uthai Thani)
abdomen	bɔŋpʰɔ	Gong (Suphanburi) - older generation
abdomen	bɔŋpʰɔ	Gong (Suphanburi) - younger generation
able to, get, obtain	pʰo	Gong (Suphanburi)
