Chinese gloss	English gloss	Language	Word	Source	Page no.
一	one	Caijia	ji³³	Bo (2004)	81
一	one	Longjia	i⁵⁵	Guizhou (1984)	
七	seven	Caijia	tɕhi⁵⁵	Bo (2004)	81
万	ten thousand	Caijia	wan³³	Bo (2004)	81
万	ten thousand	Longjia	vaŋ⁵⁵	Guizhou (1984)	
丈夫	husband	Caijia	muo³³	Bo (2004)	79
丈夫	husband	Longjia (Dafang)	a⁵⁵ʑe⁵⁵	Guizhou (1982)	29
丈夫	husband	Longjia	ʑe⁵⁵	Guizhou (1984)	
三	three	Caijia	sa³³	Bo (2004)	81
三	three	Longjia	sa⁵⁵	Guizhou (1984)	
上	up	Caijia	dza³¹	Bo (2004)	80
上面	above	Caijia	du⁵⁵mi³¹	Bo (2004)	77
上面	above	Longjia	a³³tuŋ⁵⁵	Guizhou (1984)	
下	down	Caijia	die³¹	Bo (2004)	80
下雨	to rain (verb)	Waxianghua (Guzhang)	tɕiəɯ⁴¹va²⁵	Wu & Shen (2010)	
下雨	to rain (verb)	Waxianghua (Yuanling)	dzu⁵³ua⁵³	Yang (1999)	
下面	below	Caijia	tie⁵⁵mi³¹	Bo (2004)	77
不	not	Caijia	pu³³	Bo (2004)	81
不	not	Longjia	a⁵⁵	Guizhou (1984)	
东西	item, thing	Caijia	ȵa³¹ȵa³¹	Bo (2004)	79
丢	to throw	Longjia (Dafang)	a³³ti⁵⁵	Guizhou (1982)	29
丢失	lose	Caijia	pie⁵⁵	Bo (2004)	80
个	classifier (general)	Longjia	ku³³	Guizhou (1984)	
中间	middle, in between	Caijia	ta³³	Bo (2004)	77
中饭	lunch	Luren	tsho³³	Guizhou (1984)	51
中饭	lunch	Waxianghua (Yuanling)	soŋ⁵³	Yang (1999)	
中饭	lunch	Longjia	pɛ²¹	Guizhou (1984)	
串（量）	string (classifier)	Longjia	lan⁵⁵	Guizhou (1984)	
乌鸦	crow, raven	Longjia	la³³ɣo³³	Guizhou (1984)	
乖	disciplined, well-behaved	Longjia	nkua³³	Guizhou (1984)	
九	nine	Caijia	kuo⁵⁵	Bo (2004)	81
九	nine	Longjia	kau²¹	Guizhou (1984)	
乞丐	beggar	Longjia	nuŋ⁵⁵kɛ³³	Guizhou (1984)	
也	also	Caijia	la³³	Bo (2004)	81
书	book	Longjia	so⁵⁵	Guizhou (1984)	
买	buy	Caijia	man³¹	Bo (2004)	80
乱	disorderly, messy	Waxianghua (Guzhang)	dzɤŋ¹³	Wu & Shen (2010)	
乳房	breast	Caijia	mi⁵⁵	Bo (2004)	78
乳房	breast	Waxianghua (Guzhang)	ma⁵⁵(pau⁵⁵)	Wu & Shen (2010)	
乳房	breast	Waxianghua (Yuanling)	mi⁵⁵paɔ⁵⁵	Yang (1999)	
事	affair	Longjia	ɕa³³	Guizhou (1984)	
事情	affair	Caijia	tɯ³³	Bo (2004)	79
二	two	Caijia	ta⁵⁵	Bo (2004)	81
二	two	Luren	ta²¹	Guizhou (1984)	50
二	two	Longjia (Anshun)	to³³	Caiguan Gazetteer (2004)	496
二	two	Longjia (Dafang)	ta²¹	Guizhou (1982)	26
二	two	Longjia	ta²¹	Guizhou (1984)	
二、两	two	Waxianghua (Guzhang)	tso²⁵	Wu & Shen (2010)	
二、两	two	Waxianghua (Yuanling)	tso⁵³	Yang (1999)	
二十	twenty	Caijia	ȵin³¹tɕie³³	Bo (2004)	81
二十	twenty	Waxianghua (Guzhang)	ɤŋ³³tshɪ⁵⁵	Wu & Shen (2010)	
二十	twenty	Waxianghua (Yuanling)	ŋ̩²²tshɿ⁵⁵	Yang (1999)	
五	five	Caijia	ɣuŋ³³	Bo (2004)	81
五	five	Longjia (Anshun)	atseu¹³	Caiguan Gazetteer (2004)	495
五	five	Longjia	ŋo²¹	Guizhou (1984)	
五十	fifty	Caijia	ɣuŋ³³dzɿ³³	Bo (2004)	81
井	well (water)	Longjia (Dafang)	ɕi²¹khu⁵⁵	Guizhou (1982)	23
亮	bright	Caijia	tsuo³¹	Bo (2004)	81
人	person, human being	Caijia	ɣuo³³tshuo³³	Bo (2004)	79
人	person, human being	Longjia (Anshun)	tshun⁴²	Caiguan Gazetteer (2004)	495
人	person, human being	Caijia (Shuicheng)	窝搓 wocuo	Liupanshui Gazetteer (2003)	184
人	person, human being	Waxianghua (Guzhang)	ɤŋ⁵⁵	Wu & Shen (2010)	
人	person, human being	Waxianghua (Yuanling)	ŋ̩⁵⁵	Yang (1999)	
人	person, human being	Longjia	tshuŋ⁵⁵	Guizhou (1984)	
人	person, human being	Longjia	po³³tshaŋ³³	Guizhou (1984)	
人中	people	Caijia	mia³¹ku³³	Bo (2004)	78
什么地方	which place, where	Waxianghua (Guzhang)	o¹³ɳi³³	Wu & Shen (2010)	
他	3s., he/she	Caijia	je³³	Bo (2004)	81
他	3s., he/she	Waxianghua (Guzhang)	zɤ¹³	Wu & Shen (2010)	
他们	3p., they	Waxianghua (Guzhang)	zaŋ⁴¹; zaŋ⁴¹xaŋ	Wu & Shen (2010)	
他是一个	He is a...	Caijia (Shuicheng)	椰是一郭 yeshi yiguo	Liupanshui Gazetteer (2003)	185
休息	rest	Longjia	sɯ⁵⁵	Guizhou (1984)	
会	able to, can	Caijia	ti³³	Bo (2004)	80
会	to be able	Longjia (Dafang)	ti⁵⁵	Guizhou (1982)	26
会（绣花）	to assemble (to embroider)	Longjia (Dafang)	ti⁵⁵	Guizhou (1982)	23
伞	umbrella	Longjia	sa²¹	Guizhou (1984)	
低	bottom	Longjia	ti³³	Guizhou (1984)	
低头	to lower (head)	Caijia	kuŋ³¹	Bo (2004)	80
住	to live	Caijia	tɯ³¹	Bo (2004)	80
住	to live	Longjia	kau⁵⁵	Guizhou (1984)	
何时	when	Longjia	tɯ⁵⁵sɯ²⁴	Guizhou (1984)	
你	2s., you (sg.)	Caijia	nɯ³³	Bo (2004)	81
你	2s., you (sg.)	Longjia (Anshun)	no⁴²	Caiguan Gazetteer (2004)	495
你	2s., you (sg.)	Waxianghua (Guzhang)	ɳi²⁵	Wu & Shen (2010)	
你	2s., you (sg.)	Longjia	nɯ²¹	Guizhou (1984)	
你	2s., you (sg.)	Longjia	ɕi²¹	Guizhou (1984)	
你们	2p., you (pl.)	Waxianghua (Guzhang)	ɳiɛ¹³	Wu & Shen (2010)	
修	to fix	Longjia	khei⁵⁵	Guizhou (1984)	
倒塌	to collapse	Caijia	ti³³, len⁵⁵	Bo (2004)	79
借	borrow	Caijia	tsa³³	Bo (2004)	80
做	to do	Caijia	tɕe⁵⁵, ku³³	Bo (2004)	80
做	to do	Longjia	tso⁵⁵	Guizhou (1984)	
做饭	prepare rice/dishes	Waxianghua (Guzhang)	lau¹³moŋ⁵⁵	Wu & Shen (2010)	
偷	to steal	Caijia	dau³¹	Bo (2004)	80
儿子	son	Caijia	tsɿ⁵⁵	Bo (2004)	79
