Gloss	Idu	Taraon	Milang	Koro	Proto-Siangic	Proto-Tani
ant	pa-si	paː-chai	paŋ-kər	pa-su	*paŋ	*ruk
arrow	i-pe	pɨ	a-ppa	pa		*a-puk
ascend	a-tiu	tu	caa			
axe	e-pa	pa	ra-pu	rak-pa	*rak-pu	*əgɨŋ
bamboo	a bra li	hui	ahu	fu	*fu	*ɦə(ŋ)
beard	ero-mo	thram-um	kjaŋ-ma	caa-mi		*nap-mɨt
bedbug	a-ba	xa-ba	da-ba			*ba/bə
bee	awa	tawa	tau			*ŋut
bird	pra	pja	ta-pju	po-le		*pa-taŋ
bitter	ka	kaː	a-ka(a)	a-ka		*kaa
black	ma	ma	je-gjaŋ	ma	*ma	
bladder	ateate-poŋ	a-thiɨ	tɛɛ-pɨm			*sur
blood	i-ju	xa-ruai	a-jji	i-vi		*a-vii
blow	mu	mɨŋ	mut			*mut
boil		su	hap			
bow	i-li	ala-i	aj-ji	le		*rji
boy	me	me	ma-lu	ma-le		*meŋ
brain	a-nu	pi-nim	pa-ɲi			*pVk-ni
branch	ha ro	xa-ra	aak			*ɦak
breast	ɲo	ɲi	a-ɲun			*njun
breath	si-hala	shig	ŋa/sak			*sak, *ŋa
call/cry/shout	gra	gr	gjok			*grok
carry (back)	bu	a-bu	bɨ			*bak
child	ʔa	a	uu			*ɦo
cloud	amu	aːm	a-muk	mug-ba		*muk
cooked	u	oŋ	ɲa			*nu
count	tshi	tsai	san			*kr
crow	pra kra ra	piaːkla	piak			*ak
cucumber	tɕi-kua	tɕi-kua	pimjɛr			*kuŋ
cut (wood)	pi	pi	pi	pi		*pa
cut		tje	cat			
day	i-ni	kɨ-n	a-nə	me-ne	*nə	*lo
die	ɕi	ɕi	si			*si
dog	i-ku	ku-aɨ	a-kə	eki-le		*kii; *kwiː; *a-kwi
dream	e-mo, i-mu	ja-mo	im-ma, ɨm-ma			*jup-maŋ
drink	tioŋ	tɨŋ, tim	caŋ			*tɨŋ
dry	ɕaŋ	ɕoŋ	saa			*san
ear	akru-na, ako-na	kru-naŋ	ra-ɲu	rã	*raɲ(u?)	*ɲa(-ruŋ), *ɲo
eat	ha	tha	tu	to		*do
egg	meto cu	a(ː)-tei	cici	cuci	*cu-ci	*pɨ
eight	i-lioŋ	liɨm	ra-jɛŋ	rãla	*ra-ljaŋ	*pri-ɲi
enemy	me-re	br	mi-ru			*rol
excrement	khri	klai	ii			*eː
extinguished	mut	xa-mɨn	mat			*mit
fall	a-du	blai-du	du			*ho
fat	so	ta-so	a-hu	fõ, u-fu	*fo	*fu
father	na-ba	na-ba	a-bə			*bo
fear	rji	rai	a-rɛ			*bV-so; PV-so
fire	ma-mru	na-mɨn	a-mi	mi-la		*amə
fish	a-ŋa	ta-ŋaŋ	a-ŋu	ŋo-la		*ŋo
five	ma-ŋa	ma-ŋa	pa-ŋu			*ŋo
flow	bɨ-po	blum	bɨt			*bɨt
forehead	ma-plaŋ	ma-plaŋ	paŋ			*tukta
four	ka-prɨi	ka-prai	pə	ko-ple		*pri
fowl/chicken	me-to	tiu	a-cu	co-le	*co	*rok
fruit	ruŋ-ɕi	ta-ɕi	a-si			*ze; *pɨ
full	broŋ, b(r?)a	blɨŋ	baŋ			*brɨŋ
ghost	kʰinu	khɨ-ɲɨm	ta-kuŋ			*rom
give	haŋ	haŋ	ram	rã	*ram	*bi
goat	kɨtɕi	maa-bi	aa-bi	so-ben		*ɕa-ben
goiter	ka-pu	tɨ-ba	laŋ-bə			*pu
good	pra	pra	pju	pla		*pro?
grandfather	na-tia	a-tia	a-cu			*to
grandmother	na-ja	a-ja	a-ju			*jo
green	tiŋ	tiɨŋ	je-caŋ			
grow		a-sɨŋ	haŋ			
hail	a-the	a-thiai	pa-ttə			tapɨ (Eastern Tani)
hair	ma-bu	um	a-ma			*mɨt
hair (body)	ma-bu	um	du-ma, a-ma	ma-bu		*dum-mɨt
head	kuru-pom	eko-ra	dum-po	zu-p(a)ra		*dum
horn	ru	rau	a-rəə			*rəŋ
house	oŋ	aŋ	a-ɲuk	ŋɨn	*Noŋ	*kum
hundred	ma-loŋ	ma-lɨn	lɨŋ-ko	pa-la		*lɨŋ
I	ŋa	xaŋ	ŋa			*ŋo
imbibe/drink	tioŋ	tɨŋ	caŋ	ca		*tɨŋ
insect	a-pu toŋ-po	ta-pɨm	ta-pɨm			*pum
itch		so	haak			
know	ka-sa	ka-sa	hu	fu	*fu	*ken
last night	e-be-ja	bi-ja	ba-ju			*məjum, *məjo
leaf	naŋ	naŋ	tan-nom			*nə
leech	ka-pi	ka-pe	ta-pat			*pat
lightweight	aŋ	ãã	oo			*ətsaŋ
liquor	ju	i-ju	a-ju			*poŋ
listen	ahũga	tha	cu			
man	me	me	mi/ma			*mi
mithun	sa	a(ː)-shja(ː)	a-su, acu	s`u		*aɕo, *so
moon	e-la	xa-lo	poo-lu	a-la		*po-lo
morning	a-nama	a-naŋ	a-nap			*ro
mortar	e-loŋ	loŋ	laa-juŋ			*par
mouth	tʰɨ-ram-bram, eko-be	tʰɨ-rɨm-bram, thɨ-rɨn	caŋ-ci	sa-pu	*caŋ	*gam (*nap)
name	a-mu	a-mɨŋ	ra-man			*mɨn
neck	sem-bra	paa-haŋ	alaŋ	lã-ra		*a-lɨŋ
net (fishing)	sja	shja(ː)	sap-puŋ	sã		*ɕap, *sap
