English gloss	Part of speech	Guiqiong	Chinese loanword
ablative case marker		-ni	
able	adj.	kɔ	
bad people	n.	kɔ’wu	
able to see	v.	dʐidʐuɐŋkɔ	
about the time	adv.	gɔtsɛi	
above	adv.	kʰutsigəu	
above	adv. pos.	g’u	
abstinence from meat	n.	nyŋbuz’əzɐi; z’əzɐi	
abuse each other	vpr.	dʐɔdʐɔbɛi	
acceptable	adj.	dʐuɐŋ	
accumulate	v.	’mɛitsʰu	
accustom	v.	lu	
achievement	n. pron.	dɐn	
acne	n.	dzɛituŋ	
acquaintances	n.	ʐɔpu	
acupuncturist	n.	kʰədi’wu	
Adam’s apple	n.	wutʰɔ	
add	v.	tʂʰuɐŋ	cf. Chinese Zhuāng 装
addiction	n.	ŋɐnɬə; ʑɐnɬə	
address	v.	didziʥiɔ	
adjust the backpack	v.	ʥiɔkʰujitsu	
adjust to look better	pder.	jigɛku	
adjust to make an object stand erect	v.	tsu	
adobe making	n.	topɐɳyɐŋ	
advanced in age	adj.	lobɐ	
affair	n. pron.	dɐn	
afraid of height, acrophobia, dizzy, vertigo	adj.	’lə’liŋkʰumu	
again	adv.	ɐŋ35	
age	n.	lo	
aggressive	n:qual. adj.	dʐuɐdɐ	
agree	v.	dʐi’wutsi; dʐitsi	
aim at	v.	sɐŋ	
alcohol	n.	ɐʐɐ; ɐlhɐ (by some Guìqióng speakers living in Jīntāng)	
a mouthful of alcohol	npr.	ɐʐɐmu	
alike	adj.	dɐʐɐŋ	
alive	v.	susu	
alive	v.	wuŋɐnjɐn	
all	n. pron.	gɐŋtʂi’wu; dʐɐmu’wu	
all	pron.	gɐŋtʂi	
all right	adj. adv.	ʨyɐnmɛ̃	
all through the night	adv.	mɐŋsɐŋsɐŋ	
allow	v.	ku	
almost, more than a half	adv.	dɐwuχui	
alone	adv.	dɛpɛitsɛi	
also	adv.	ɐsi; χɐʂi	
alternate (of day and night)	vpr.	nisisɐ	
altogether	adv.	gɐlhɐ	
aluminum	n.	tʰi; tʂʰɛi	
America	n.	ɐ’məʐikə	
an appointed date	n.	ʐɐ	
an envoy	n.	gɛitsʰə	
an idol statue	n.	ɬədɐʨʰyo	
an overfilled plate	n.	ʨyəʨyədəʨiə	
and	conj.	lə; lɛ	
ankle	n.	tsʰitɔ	
animals	n.	βəmuɕiɐnsɔ	
answer	n. vpinfl. v.	dɐɕiɛ	
ant	n.	βuχɐ	
antique	n.	ŋɐnbuŋɐn’nɐ	
anus	n.	bɔbɔkuti; nɐŋbɔ’ji	
anxious	adj.	ʑɔsi	
ape	n.	migui	
appearance	n.	ʑilu	
apple	n.	lɛisi	
apply (cream, drugs, gilding, etc.) on the surface	v.	si	
apply dressing	v.	jilulu	
apprentice	n.	so’mə	
approach	v.	tɛ̃	
appropriating such things as come within one’s reach, as one goes about one’s way, pilfering	n.	kʰəɕilhɐɕi	
apricot	n.	sĩʨiɛ	
wild apricot, plum	n.	nɐsĩʨiɛ	
apricot blossom	npr.	sĩʨiɛmintɔ	
April	n.	ʐibu	
apron	n.	ɲiɐntʂi	
aqueduct	n.	tʂiφu	
Arctonyx collaris (hog badger)	n.	dʐuɐŋbu	
area	n.	niɛ; pɔtɔ	
argali	n.	’lo’wu	
arm	n.	kʰɐpʰɐ	cf. Chinese Gēbó 胳膊
arm span	n.	ʁ’ɐŋguɐŋ	
an arm span	n.	dɐʁ’ɐŋ	
army	n.	’mɐmi	
arrange	v.	ɐntʰɐ	
arrive	v.	dʐui	
arrow	n.	ɖə	
artisan	n.	lɐto	
ash	n.	dʐ’i	
ask for payment of debt	v.	dʐĩdʐĩʨʰiɐ	
ask	v.	minkʰɐŋ	
ask repeatedly	v.	minkʰɐŋʂuminkʰɐŋbɔbɛi	
askew	adv.	wujujutsɛi	
assemble	v.	min’mɐŋtsʰɔ	
assistant to an official	n.	ʐitʂʰi	
associate with	v.	ʐɛ̃	
associate with	vpr.	nyɐŋ’mɔhɛ	
(not) at all	adv.	mɐŋtsʰɐn	
at noon	adv.	tsɐŋʨiɐ	
at the beginning	vpr. adv.	jibɛigɐŋ	
at the doorway	adv.	mɛiʨʰiɔ	
at the end	adv.	wutsʰugɐŋ	
