Gloss	Bangru	Eastern Miji	Western Miji	Hruso	Proto-Hrusish	aconite	ant	awake	axe	bad	bamboo (big)	bark (tree)	bear	bee	big (thick, wide)	bird	bite	bitter	blanket	blood	blow	body	body hair, feather	boil (water)	bone	bow	breath	breast; milk	broom	burn	cane; rope	chicken	child	chin	cloth	cloud	coal	cook	cooking oil	copula	cow	cry	cut	day	dead body	deep	die	dig	dirty	do	door	dream	drink	eat	egg	eight	elder brother	elephant	empty	excrete, defecate	excrement	eye	far	fat (n)	fear	few	fight	finger	fire	fireplace	fish	five	flow	flower	friend	frog	fruit	four	full	garlic, onion	give	goat	grandfather	grandmother	grass	grind, crush	guts	hair	hard	hammer	hand, arm	have, exist	head	heart	heavy	horn	horse	house	how many	human	hundred	ill	insect	iron	itch	kick	kill	knife	know	laugh	leaf	leech	leg	lick	lift	light	liquor	listen, hear	live, grow up	liver/lungs	long	look, see	louse	make; do	man (male)	meat	medicine	melt	month	moon	mountain	mouth; language	mortar	mother	name	near	negative imperative	new	night	nine	nose	old	one	otter	paddy rice	penis	pestle	pig	pillow	pull	put	rain	red	revenge	ring	river	road	root	round	rub	run	sago palm	salt	sand	seed	sell	seven	sew	short	shoulder	sister (elder)	sit, stay	six	skin	sky	sleep	smell (v)	smoke (n)	snake	snow	soft, smooth	soil	speak	spear	spicy	spittle	split	stab, punch	stand	star	steal	storehouse, granary	straight	suck	sun	swallow	sweet	swell	(swidden) field	swim	tail	take	tell	ten	that	that (lower)	thigh	think	this	thread	three	thorn	thousand	tongue	tooth	tree	turquoise	two	uncooked rice	vegetable	vomit	walk	hot, warm	water	waterfall	weave	what	where	white	who	wind	window	wing	with	wood	woman	year	yesterday	younger sibling	1SG	2SG	3SG	1DU	1PL	2PL	3PL
nәpõː	–	nəpʰaŋ (SM)	–	*nə-paŋ
səɲiː	ɕəni	ʃiŋiŋ ~ siɲi	siɲi	*si-ni
piː	–	pʰrəu (SM)	pʰi (SA)	*pri
pərd͡ʑɛiŋ ~ purud͡ʑin	pə̆lə ~ pʰĕlu	bulu ~ blu	pʰod͡ʒe (SA)	*bə-ru(d͡ziŋ)
mənɛ̃ĩ(ŋ)	məni	məni ~ məɲi ~ aɲirə	mau	*mə-niŋ
baː	brau ~ brə	brau ~ bro ~ dʒiu	sə	*bra
gəpjaː	–	oupʰri̬ (SM)	ʃokʰu (SA)	*(g)o-prja
sət͡ɕõː	ʃitʃaŋ	ʃitʃaŋ ~ ʃi-staŋ; ʃut͡sang	ʃətʃo; sət͡so (SA)	*sə-t͡saŋ
maìʔ	miʔ ~ mai	miʔ ~ mei	mădʒəd̪u	*majk
mədua; məbjaː ~ məbɛː	mədəbu ~ mədo	mədo ~ ado ~ məhiŋ	djo; dɛu (SA)	*mə-doʔ
pәd͡ʑuː	bədʒi ~ pəɕə	bədʒə ~ budʒuʔ ~ bəzii; buzu̬ (SM)	musə	*bə-dow
toː	ta ~ taʔna	tʰai ~ tʰaʔ	tʰodʒo	*taʔ
kəkjoː	məkʰu	akʰu ~ məkʰu	kamʃo	*kam
kambol	kombolo	kombolo(u)	kombolo	–
jaː	medʒai ~ ʒi	ʒi ~ dʒai	ʃə; iʃə (SA)	*jaC
màìʔ	–	–	–	–
məd͡ʑòʔ	ʒai	zaʔ	ʔoso; əso (SA)	–
məməŋ	–	umu	(u/i)mu (SA)	*mə-muC
luː	dʒom ~ zəmna	dʒən ~ dʒrən; ʒiu (SM)	xuʃəʃe; lusu (SA)	*lu
