Chinese gloss	Gasu (Dayashao village)	Page number
爱(~小孩)	tɕɤ¹³	505
按(~住)	nɪ¹³	505
按(~照)	xa³¹	505
八	si⁵⁵	505
拔	ga³³	505
机(一~土)	ha³³	505
把(一~米)	qla⁵⁵	505
白	pʰlu³³	505
白天	nɪ³³lɯ¹³	505
百	ȵo̱³³	505
柏	pɯ³¹tʰa³¹tθi⁵⁵	505
饱	bu¹³	505
雹子	du̱³³klo³³	505
豹子	ŋlo³¹; no³¹	505
薄	po³¹	505
抱	te̱³³	505
绊(~脚)	kua̱³³	505
搬直	kua³³	505
帮助	tʰo³³lɯŋ¹³	505
板瓦	tsa⁵⁵pʰlo³¹	505
边(这~)	xi³³ba̱³³	505
边沿	ba̱³³	505
补充子	ba³³	505
兵	mo¹³	505
步	ŋu³³; a³³; ŋu³³a³³	505
比	dɯŋ³³dʑo³³	505
瞥(~脚)	gla¹³	505
梓(~猪食)	mɑ⁵⁵	505
鼻涕	tu⁵⁵ɣɪ³³	505
鼻子	tu⁵⁵	505
稗子	pla³³	505
草	ȵɯŋ³³	505
草房	ɣɪ³¹pɯe̱¹³	505
搓	vɑ¹³	505
吃	dðo³¹	505
春天	mɯŋ³¹le¹³so⁵⁵	505
裁缝	pʰla³³ʐe³³θa³³	505
次(一)	pʰe³¹	505
从、由	ɣo³³	505
柴	θi̱¹³	505
刺(名)	tsʰu̱³³	505
测量	dzɯ¹³	505
臭(烧焦)	ne³³	505
苍蝇	pɯ³¹	505
虫	pɯ³¹	505
拆(~房)	pʰlo⁵⁵	505
踩	ɢɑ¹³	506
村庄	lɯŋ³³	506
称(~东西)	dzo¹³	506
打(~草鞋)	mla⁵⁵	506
打(~人)	tɕʰɯ¹³	506
打(~铁)	ti³¹	506
点(~眼药)	da⁵⁵	506
点(~头)	ŋe¹³	506
点(~种)	tʰe⁵⁵	506
大	ka̱³¹	506
大麦	dɯŋ³¹	506
到(~达)	pla³³	506
端(~菜)	ʑa³³	506
朵(一~花)	pu³¹	506
斗争	tɪ̱³¹	506
地(好好~说)	a³³	506
地	so̱³³	506
都、全部	qe³³	506
第(~一)	u⁵⁵tʰu̱³³	506
多	mlo³¹	506
多少?	xi¹³tɪ³¹mlo³³	506
道歉	zo¹³ɣo³¹	506
毒蛇	vi³³no¹³le³³	506
短	lɯ³¹	506
低	ne̱³³	506
得(~到)	ɣo³¹	506
胆	kɪ³³	506
刀	tʰa³¹	506
蛋	qa³¹u³¹	506
二	nɪ¹³	506
二十	nɪ¹³tθi̱³³	506
儿子	ʔo³¹	506
儿媳	du³³mo³³	506
耳朵	nɪ³³	506
耳环	nɪ³³tsɑ¹³	506
饿	mɯe¹³	506
肥	tθʰu̱³³	506
肥壮	mo³¹tθʰu̱³³	506
罚	fa³¹	506
房子	pɯe̱¹³	506
孵	ɢa¹³	506
纺	va³³	506
父母	pʰo³³mo³³	506
父子	pʰo̱³¹ðo³³	506
饭	ȵo¹³	506
饭盒	dðo³³qo³¹mla³¹	506
分(东西)	bi³³	506
分(几分之几)	pe³³ni̱¹³	506
粪	qʰe³¹	506
浮	pu³³	507
缝	ʐe³¹	507
个(一~人)	sɯ⁵⁵	507
个(一~动物)	ma³³	507
个(一~扁形物)	pʰlo̱³¹	507
个(一~园形物)	to̱³¹	507
个(这~)	tsʰo¹³; xo¹³	507
狗	qʰli̱³¹	507
高	mɯŋ³³	507
给	ɢla¹³	507
盖	tɯ¹³	507
滚(~鞋口)	ba³³	507
滚(打~)	la¹³	507
鼓	gɪ³¹ðe¹³	507
钢	kʰa⁵⁵	507
姑嫂	nɪ³³mo³³mɪ⁵⁵mo³³	507
