#	Gloss	Chugpa (Duhumbi)	Lishpa (Khispi)	Sherdukpen (Rupa)	Sherdukpen (Shergaon)	Sartang (Rahung)	Sartang (Khoitam)	Sartang (Jerigaon)	Sartang (Khoina)	Bugun (Dikhyang)	Bugun (Singchung)	Bugun (Wangho)	Bugun (Bichom)	Bugun (Kaspi)	Bugun (Namphri)	Puroik (Bulu)	Puroik (Kojo Rojo)	Puroik (Rawa)	Puroik (Saria)	Puroik (Chayangtajo)	Puroik (Lasumpatte)	Puroik (ZMYYC 1991)	Puroik (Li Daqin 2004)
45	1SG	ga	ga	gu	gu	gu	gu	gu	gu	koː	go	ko	go ~ gu	gu	go	gu	go	go	go	go	go	goh⁵³	goh⁵⁵
100	2SG	naŋ	naŋ	naŋ	naŋ	naŋ	naŋ	naŋ	naŋ	nɔ̃	no	no	no	no	no	naː	naŋ	na	na	na	na	nah⁵³	na⁵⁵
38	3SG	wɔj	wuj	wa	wa	hɛ ~ ʔɛ	wa-ʥi	wa	laŋ-wa	ʔoɛ	oe	we	uwe	tʰe	oe	vɛː	wai	hoː	waː	wɛː	wɛː	væ³³	vaʳ⁵⁵
1	ant	kʰin- ʨʰɔk̚	kʰe- ʨʰɔk̚	san-gjuk ~ san-ʥɔk	san-ʥɔk	saŋ-ʥɔk	saŋ-ʥɔk	san-ʥɔk	ʂan-ʥɔk	ɕiɲiŋ	ʃiŋiŋ	ʃiŋiŋ	siiŋ	ʃiŋiŋ	ʃiŋiŋ	ʤamʤuʔ	gamgɹu	gaməgɹoː	gɹɛŋgɹo	gɹɛŋgɹo	gɹɛŋgɹo	gɹɛn³³gɹo⁵³	gran³¹koʳ⁵³
2	arm/hand	hut̚	hut̚	ʔik	ʔik	ʔik	ʔik	ʔik	ʔik	wat	wat	wat	wat	wat	wat	geʔ	geiʔ	get	geiʔ	geiʔ	geiʔ	geʈ³³	giᵗ⁵⁵
3	ash	ʨʰu-pʰak̚ ~ ʨʰu-bak̚	ʨʰu-pʰa	ʨʰa-pʰluː	ʨʰa-pʰuː	ʨʰa-pʰruː ~ ʨʰa-pʰluː	ʨʰa-pʰluː	ʨʰa-pʰluː ~ ʨʰa-fluː	ʥɐ-pʰluː	səpʰiə	spije	spije	spije	spije	spije	pʰa-rəp	bə-rəm	bai-rəp	bai-rəʔ	bɛɛ-rak	bɛɛ-rak	bæ³³ɣək³³	bæ³³ɣəh⁵³
5	big	ʔɔ-dɔk̚	ʔɔ-dɔk̚	ʔa-dɔk	ʔa-dɔk	ʔa-dɔk	ʔa-dɔk	ʔa-dɔk	ʔa-dɔk	əpõː	eboᵘ	eboᵘ	boᵘ	boᵘ	boᵘ	araː	arai	arai	toʔrɨɨ	kəlaː	kəlaː	a³³bua³³	a³¹bua⁵⁵
6	bird	hwa	hwa	hu	hu	hu	hu	hu	fu	fuə	fua	fua	fua	fo	fua	pəduː	pədoː	pədoː	pədoː	pədou	pədou	pə³³tu³³	pɯ³¹tu⁵⁵
7	bite	zjɛk̚	zɛk	zɛk	zɛk	zɛk	zɛk	zɛk		kʰrik	tʰokmage	kʰrik ~ nik	tʰokpʰa	ʧipʰa	tʰokpʰa	tɔʔ	tua	tua	tua	tua	tua	tua⁵³	tua⁵⁵
8	bitter	ʨʰak̚ba	ʨʰak̚ba	kʰjɔk ~ ʨʰɐk	ʔa-ʨʰak	ʨʰak	ʨʰak	ʨʰak	ʔa-ʨʰak	ʔəkʰoː	kʰoᵘ	ekʰoᵘ	kʰoᵘ	kʰoᵘ	ekʰoᵘ	aʧaʔ	aʧuaʔ	aʧaː	akjaː	aʧaː	aʧjaː	a³³bio⁵³	a³¹ʥiu⁵³
9	black	ʔu-ʨʰam	ʔu-ʨʰam	ʔa-kʰjɔ̃ː ~ ʔa-ʨʰũː	ʔa-ʨʰɔ̃ː	ʔa-ʨʰũː	ʔa-ʨʰũː	ʔa-ʨʰɔ̃ː ~ ʔa-ʨʰũː	ʔa-ʈ͡ʂʰũː	əsai	esaⁱ	esaⁱ	esaⁱ/soⁱ	soⁱ	esui	ahjɛN	ahjeĩ	ahjɛĩ	ahɛ̃	ahjɛN	ahjɛN	a³³ɦiɛ⁵³	a³³ɦam⁵⁵
10	blood	hɔj	hɔj	haː	haː	hɛː	hɛː	hɛː	xaː	əfuɛ	efua	efua	efua	nəfaⁱ	məfaⁱ	ahui	afui	fui	hue	hue	hue	hue⁵³	hui⁵³
12	bone	ɕa-kʰus	ɕa-kʰus	s-kik	s-kit	s-kik	sə-kik ~ s-kik	ʔi-hik	ʔa-xyk	əsɛŋ ~ əzɛŋ	ezeŋ	ezak	ezeŋ	nizeŋ	ezeŋ	azɛN	aʒan	azaʔ	azaiʔ	azaiʔ	aʤaiʔ	-	a³¹zai⁵⁵
13	breast	ɲu ~ nu	ɲu	ɲyŋ	ɲuŋ	nyŋ	nyŋ	nyŋ	nyŋ	ɲeoː ~ neoː	ɲeoː	ɲeoː	niw	dut	niw	anjɛː	anjei	njɛi	ɲɛː	anjɛː	anjɛː	a³³ niɛ¹¹	a³³niɛ¹¹
14	to burn (it.)	haj	haj	haː	haː	hɛː	hɛː	hɛː ~ hũŋ	haː	hõːe	ʃuⁱt	haᵘ	fũppʰa	ʤijopʰa	fupʰa	ham	ʤəu	ʤəu	ʤɨː	jɨː	ʤɨː	-	ɕi⁵⁵
15	to carry (on back)	bu	bu	byː	byː	byː	byː	byː	byː	hán	-	-	-	-	-	ʒeN	ɹan	bəu	eiʔ	eiʔ	ek	ɣəȶ³³	-
72	cloud	mukpa	tɔŋ-ti ~ tɔŋ-tej	ʦə-ty ~ s-ty	sin-ti ~ sin-ty	syn-ty	syŋ-ty	s-ty	ɕ-tỹ	səkʰamau	skəmoᵘ	skəmoᵘ	ʧakamaŋ sěkmoᵘ	ʧakamaŋ	ʧakamaŋ	sətɨː	kadəusə	toŋsəu	katɨːsɨː	katəː	katəː	kə³³tɯ³³	kə³¹tɯ⁵⁵
19	to cry/weep	kʰip	kʰip	kʰe	tʰe	ʨʰe	ʨʰe	ʨʰe	ʈ͡ʂʰe	ʨʰõ	ʧomage	ʧo	ʧoapʰa	ʧoapʰa	ʧo	ʧɛʔ	ʧap	ʧap	kjaʔ	ʧap	ʧjap	ciak⁵³	ciaᵏ⁵³
18	to die	ʔi	ʔi	ʔiː	ʔiː	ʔiː	ʔiː	ʔiː	ʔiː	ʔiː	ida	iⁱ	ipʰa	idən	idun	iː	iː	iː	iː	iː	iː	ji³³	ji⁵⁵
20	to do/make	le	li	ra	ra	rɛ ~ ra	rɛ	ra	ra	rjɛt	retmage	ret	reʔpʰa	reⁱpʰa	ɾappʰa	ʦaʔ	ʒou	kat	kaiʔ	kaiʔ	kaiʔ	kaʈ³³	kaᵗ⁵⁵
21	dog	wa-tʰi	wa-tʰi	bə-tʰaː	pʰ-tʰaː	pʰ-tʰɛː	pʰ-tʰɛː	pʰ-tʰɛː	bə-tʰaː	ʨɔi	ʧi	ʧaⁱ	ʧoⁱ	ʧoⁱ	ʧoⁱ	buː	buː	boː	boː	kajoː	kajoː	boh⁵³	boh⁵³
22	drink	ɲiŋ ~ ɲuŋ	ɲiŋ ~ ɲuŋ	liŋ	ʔiŋ	liŋ	liŋ	liŋ	lyŋ	naŋ	kʰoŋaŋ	naŋ	naŋpʰa	naŋpʰa	naŋ	in	in	in	riŋ	riŋ	riŋ	rin³³	ɣliŋ⁵⁵
89	dry	waʔar	ʔɔwal	ʔɔʔɔ̃ː	ʔɔʔɔ̃ː	ʔɔʔɔ̃ː	ʔyk̚ʔãː	ʔyk̚ʔãː	ʔɔʔɔ̃ː	əkou ~ əkau	egaᵘ	ekaᵘ	egaᵘ	goᵘ	nəgou	awɛN	awan	awan	awaiʔ	awaiʔ	awaiʔ	a³³vəʴʈ³³	a³¹vaʳᵗ⁵⁵
23	ear	kʰu-tʰuŋ	kʰu-tʰuŋ	gə-tʰyŋ	kʰə-tʰuŋ-lap	kʰ-tʰyŋ	kʰ-tʰyŋ	kʰ-tʰyŋ-lɛ	ga-tʰyŋ	kʰɔ̃	kʰõ	kʰõ	kʰõ	kʰõ	kʰõ	akuiN	akun	kot	kuiʔ	(a)kuiʔ	(a)kuiʔ	a³³kuʈ³³	mɯ³¹kui⁵³
