Gloss	Bugun (Wangho)	Bugun (Bichom)	Bugun (Singchung)	Bugun (Kaspi)	Bugun (Namphri)	Sherdukpen (Shergaon)	Sherdukpen (Rupa)	Sartang (Khoitam)	Sartang (Darbu)	Sartang (Darbu)	Sartang (Khoina)	Chug (Chug)	Lish (Lish)
sky	hamaŋ	hamaŋ	hamaŋ	hamaŋ	hamaŋ	nimituk	nymythik	nymy	nymy	nymy	namy	namduŋ	namtuŋ
sun	haneiŋ	hanai	hanai	hanai	hanai	nini	n̪ini	nimiʔ	nimi	nimi	n̪ani	nami	nami
moon	habije	habije	habije	habije	habije	namlu	namblu	namluʔ	nambru	nambru	namblu	atnamba	namba
star	satijoŋ	tadijaŋ	sadijoŋ	ladijaŋ	tadijaŋ	tʃudʒuk	zək	tʃydʒy	tʃynzək	tʃundʒək	dydʒy̆k	karma	karma
cloud	skəmou	tʃakamaŋ; sĕkmou	skəmou	tʃakamaŋ	tʃakamaŋ	ʃuiŋti	sti	ʃuiŋti	synty	synty	synty	mŭkpa	toŋti
rain	haphije	haphije	haphije	haphije	haphije	nimi	nymy	nytʃu	pə̆tʃuh̥	bətʃhuh̥	n̪atʃu	namu	namu
rainbow	pharaŋphakhuwak; saraŋmokhuwaŋ	saraŋmokhuwaŋ	pharamphakhuŋ	saraŋbakhuwaŋ	ʃirbakhuwaŋ	phaŋmenlu	phankluŋ	phaŋlu	phaŋɾuŋ	phaŋɾo	pahu	tholiŋ	thuŋliŋ
wind	hasam	aʃam	hasam	hasam	hasam	nosum	nosum	nysujam	phsăm	bosom	nămʃuŋ	nămʃuŋ	nămʃuŋ
lightning	halijaʔ	hakhəlam	halijaʔ	halijaʔ	haliwau	nimibatapa	nymybatapa	namtaʔbu	tʃhuŋba	nymybæh̥	bhaʔ	bruʔ	namkliŋ
thunder	haklam	haklam	haklam	haklam	hakhəlaŋ	nimibatapa	nymyhikpa	nymihikbu	nămtʃɾe	draŋdruŋ	namynatʃha	dirteʔ	namtuŋlimde
sea	tʃumoŋkhou; kharuwai	khobu; təpməkhən	stau	–	khamua	dʒamtʃutʃetmo	thozamtʃuʃinmu	laʔto	–	khokhaŋkheh̥	digiŋhu	tʃumkhuki	–
mountain	pham	phuŋ	pham	phaŋ	phaŋ	lu	lu	lu	ɾiwo	luh̥	lu	ʃaʔ	ligɔŋ
water	khou	khou	kho	khou	khou	kho	kho	khou	kho	kho	kho	khu	khau
river	khoɲoi	kaʃat	kho	kaʃat	khamua	kho	tuŋkhan	dʒankou	bədʒaŋkho	khujoʔ	gafũ	maŋkou	khuma
soil/ground	ɲijaʔ	suʔ	ɲijaʔ	ɲijaʔ	ɲijaʔ	atuŋ	so	soʔ	soːh̥	soh̥	sa	saʔ	sa
mud	khaʃoŋ; kalija	ɲijakləja	ɲijakhərə	kalija	khale	gotʃuŋ	gutʃuŋ	kutʃuŋ	kə̆tʃuŋ	kutʃuŋ	gatʃi	khatʃham	khatʃam
dust	ɲijaphəla	ɲijaphəla	ɲijaphəla	ɲijaphəla	ɲijaphəlap	tʃaphulu	saplutuiba	duipoʔ	dŭjpo	tʃhaphuɾuh̥	dʒaphulu	duipa	ɲogma
stone	labau	labau	labau	labau	lubu	luŋ	lyŋ	ruŋ	ɾ̆uiŋ	ɾyŋ	luŋ	luŋ	luŋ
sand	bali	bali	bali	bali	bali	betʃo	mukho	pho	khŭbo	khobo	gəpha	besa	betʃa
gold	san	san	san	san	san	sin	sin	ser	seɾ	ser	ser	ser	ser
silver	laman	laman	laman	laman	laman	niŋ	ɲiŋ	niŋ	niŋ	niŋ	niŋ	ŋui	ŋui
today	sto	sto	sto	sto	sto	thulu	thulu	tru	thŭɾu	thŭɾu	thalu	thala	thala
yesterday	dijo	dijo	dijo	thəmijaŋ	dijo	dijo	dijo	məʃaŋ	dʒŭoha	luŋne; khokniho	naru	duju	duju
tomorrow	thimijak	thimijaŋ	thimijaŋ	pəthou	thimijaŋ	masaŋ	basaŋ	luŋlu	phsaŋ	pə̆saŋ	lanʔlu	muŋkha	muŋkha
week	tamlija	tamlija	damlije	tamlija	tamlei	nufusit	niniʃik	–	nĭmisik	hăpt̪a	naniʃik	–	dunkhahin
month	habije	habije	habije	habije	habije	namlu	namblu	nambluaŋ	nambruwan	nambɾu	nambluhen	namlahin	namba
year	tau	dau	dau	tam	etam	tuŋ	tuŋ	tuaŋ	t̪uŋan	tuŋ	tuŋhen	tomhin	tom
day	nai	nai	nai	nai	nai	nini	nini	nimijan	nimi	nimi	nani	namka	nemi
