No.	Gloss	Ralte	Mizo	Tedim
1.	I	kei˩	kei˩˥	kei˩˥
2.	thou	naŋ˩	naŋ˩˥	naŋ˩˥
3.	he	a˩maʔ˥	a˥maʔ˩	a˥maʔ˩
4.	we	kei˩muʔ˥	kei˩nī˥˩	kou˥˩
5.	you	naŋ˩muʔ˥	naŋ˩nī˥˩	nou˥˩
6.	they	a˩muʔ˥	an˩nī˥˩	a˥māu˥˩
7.	this	hī˩hiʔ˥	hei˥˩hi˥	hiʔ˥
8.	that	tou˩˥hiʔ˩	kʰā˥˩kʰa˥	tuaʔ˥
9.	here	hi˩tou˥˩vaʔ˩	he˥taʔ˩	hiaʔ˥
10.	there	tou˥˩vaʔ˩	so˥taʔ˩	huaʔ˥
11.	who	kū˩˥hā˩˥	tu˩ŋē˥˩	kua˥˩
12.	what	ī˩˥hā˩˥	e˩ŋē˥˩	baŋ˥˩
13.	where	kʰoi˥˩aʔ˩hā˩˥	kʰoi˥˩aʔ˩ŋē˥˩	koi˩˥aʔ˩
14.	when	ī˩˥tik˩lāi˥˩	eŋ˩tik˩lāi˥	cik˩ciaŋ˥˩
15.	how	ī˩tin˥˩hā˩˥	eŋ˩tin˥ŋē˥˩	baŋ˥˩cī˩
16.	not	ou˥˩	lou˩	lou˥˩
17.	all	a˩rēŋ˩in˥˩	a˩vāi˩˥	a˩vek˥pī˩˥
18.	many	tam˩	tam˩˥	tam˩˥
19.	some	a˩kʰen˥˩	a˩ṭʰen˥	pōl˧xat˥
20.	few	tōm˥˩	tlēm˥	tōm˧
21.	other	daŋ˩	daŋ˩˥	daŋ˩˥
22.	one	pa˩kʰat˥	pa˩kʰat˩	xat˩
23.	two	pa˩niʔ˥	pa˩n̥niʔ˩	niʔ˩
24.	three	pa˩tʰum˥˩	pa˩tʰum˥	tʰum˧
25.	four	pa˩lī˥˩	pa˩lī˥	lī˧
26.	five	pa˩ŋā˥˩	pa˩ŋā˥	ŋā˧
27.	big	lian˩˥	lian˩	lian˥˩
28.	long	sāu˩	sei˥	sāu˩˥
29.	wide	zāu˥˩	zāu˥	zai˩˥
30.	thick	saʔ˩	cʰaʔ˩	saʔ˩
31.	heavy	hit˩	rit˩	ɡik˩
32.	small	nēu˩	tē˩˥	nēu˩˥
33.	short	tōi˩	tōi˩˥	tom˩˥
34.	narrow	zīm˥˩	zīm˥	toi˩˥
35.	thin	pan˥˩	pan˥	pā˩˥
36.	woman	mei˩˥sia˩	m̥mei˩cʰia˥˩	nu˩mei˩
37.	man	pa˩sal˩	mi˩pā˩	pa˩sal˩˥
38.	human	mi˩hiŋ˥˩	mi˩ɕiŋ˥	mi˥hiŋ˧
39.	child	nau˥˩paŋ˩	nau˥paŋ˩˥	nāu˧paŋ˩˥
40.	wife	zī˥˩	nu˩pui˩˥	zī˧
41.	husband	pa˩sal˩	pa˩sal˩˥	pa˩sal˩˥
42.	mother	nū˩	nū˥˩	nū˩˥
43.	father	pā˩	pā˥˩	pā˩˥
44.	animal	ham˥˩sā˩	ram˥sā˥˩	ɡam˧sā˩˥
45.	fish	sa˩ŋā˩	sa˩ŋ̊ŋā˥˩	ŋa˥sā˩˥
46.	bird	sa˩vā˩	sa˩vā˥˩	va˥sā˩˥
47.	dog	ui˩	ui˩˥	ui˩˥
48.	louse	hik˩	ɕik˩	hik˩
49.	snake	hūl˥˩	rūl˥	ɡūl˧
50.	worm	caŋ˥˩pāt˩	caŋ˥pāt˩˥	luŋ˩˥
51.	tree	tʰiŋ˩	tʰiŋ˩˥	siŋ˩˥
52.	forest	ham˥˩nuai˩	ram˥n̥nuai˩˥	ɡam˧lak˥
53.	stick	tiaŋ˩	tiaŋ˩˥	ciaŋ˩˥xut˩
54.	fruit	haʔ˥	raʔ˩	ɡaʔ˩
55.	seed	cī˩	tʰlāi˩cī˥˩	xāi˥˩cī˩˥
56.	leaf	naʔ˩	n̥naʔ˩	teʔ˩
57.	root	zuŋ˩	zuŋ˩˥	zuŋ˩˥
58.	bark	tʰiŋ˩hōŋ˥˩	tʰiŋ˩hōŋ˥	siŋ˩˥hōŋ˧
59.	flower	pāk˥˩	paŋ˩pār˥	pāk˧
60.	grass	kiak˩	l̥lo˥bet˩	lou˧pā˩˥, kiak˩˥
61.	rope	kʰāu˥˩	ɕui˩zēn˥	xāu˧
62.	skin	vun˩	vun˩˥	vun˩˥
63.	meat	sā˩	sā˥˩	sā˩˥
64.	blood	tʰī˩	tʰī˩˥	sī˩˥
65.	bone	huʔ˩	ruʔ˩	ɡuʔ˩
66.	fat	sa˩tʰāu˩˥	sa˩ɕiak˥˩	sa˥tʰāu˥˩
67.	egg	tui˥˩	tui˥	tūi˧
68.	horn	kī˩	kī˥˩	kī˩˥
