English gloss	Part of speech; notes	Proto-Bodo-Garo
above, up	pp.	*shak
accusative suffix		*-kho⁰
adjective prefix	(A)	*Gɯ⁰-
adjective prefix	(B)	*SV⁰-
agree	v.i.	*ma²-pak
aim a blow	v.t.	*heŋ¹
alive	v.i.	*thaŋ¹
animal, prefix for animal names		*m[a⁴-]
anoint	v.t. (A)	*phul¹
anoint, smear on	v.t. (B)	*[SVt]
areca nut	n.	*koi¹
arrange neatly, pile up	v.t.	*jap
arrive, reach	v.i.	*shok
ascend, go up	v.i	*tao¹
ashes	n.	*thap⁴-la
ask, question	v.t.	*sɯŋ²
ask, request	v.t. (A)	*ham²
ask, request	v.t. (B)	*Bi²
aunt, father's sister	n.	*nɯi¹
aunt, mother's elder sister	n.	*ma⁴-yoŋ
aunt, mother's younger sister	n.	*ma⁴-DV
avoid	v.t.	*ger¹
axe	n.	*ru¹-a
back	n.	*yaŋ⁴-Gul
bamboo	n.	*bwa²
bamboo reinforcement	n.	*khun⁴-di
bamboo shoot	n.	*me²-bwa
bamboo tube used for storage	n.	*shuŋ⁴
banana leaf	n.	*lai²
banana	n.	*the²-lɯ(k)
banana plant	n. (cf. 'tree' A)	*lai²-phaŋ
bark (of dogs)	v.i.	*shuŋ²
basket for measuring	n.	*ton¹
basket	n.	*khok
bat (animal)	n. (A) (cf. 'bird')	*tao²-pak
be, equatative verb	(A)	*[]oŋ²
be, equatative verb	(B)	*ca[ŋ]¹
bear (animal)	n.	*ma³-phur
bear fruit	v.i. (A) (cf. 'fruit' n.)	*thV[t]
bear fruit	v.i. (B)	*naŋ¹
beard, moustache	n. (cf. 'mouth'; 'hair, coarse body')	*khu²-su-maŋ
beat, (drum etc.)	v.t.	*tam²
before, early	pp.	*S[V]⁴-kaŋ
begin	v.i.	*ha²-ba coŋ¹
believe	v.t.	*[pɯ⁴-tai]
below	pp.	*[k]a²-ma
bend downward, droop	v.i.	*gom¹
bent, crooked	v.i.	*koŋ³-kai
big	v.i.	*DVr²
big, noun suffix		*-ma⁰
bird	n.	*tao²
bite	v.t.	*cik
bitter	v.i.	*kha²
black	v.i.	*Gɯ⁰-Sɯm⁴
block off	v.t.	*thek
block the way	v.t.	*beŋ²
blood	n.	*thɯi²
bloom	v.i.	*par¹
blow with mouth	v.i.	*shuk
blunt, of pointed things	v.i. (A)	*bwV⁴-[t]Vk
blunt, of pointed things	v.i. (B)	*thom⁴
boat	n.	*Ruŋ¹
body	n.	*han²
boil	v.i.	*Gɯ⁰-Du⁴
boil	v.t.	*rut
bone	n.	*kreŋ³
bounce off	v.i.	*thɯr²
bowl	n.	*khu⁴-rɯi
braid, twist, intertwine (as when making rope)	v.t.	*shak
brain	n.	*[thV⁴-lVŋ]
break	v.i.	*bai²/*bi²
break	v.t.	*phai²/*phi²
break, snap off	v.i.	*co[t]
breast	n.	*shok
bridge, bamboo	n.	*saŋ²-kV
bright	v.i.	*cɯŋ²
bring	v.t.	*la²-ba
bring	v.t.	*la²-ba
brood (chicks)	v.t.	*bam¹
brood, of same age	n.	*Sa³-roŋ
brother, elder	n.	*-da⁴
brother, younger	n.	*joŋ[¹]
