No.	Gloss	Proto-Ersuic
1	a while	*tɕʰu¹
2	above, on top of	*wutɕʰa
3	accustomed to, in the habit of	*tʰendzo
4	adult	*tsʰokʰwæ
5	age	*tsipʰrjo / tsʰipʰrjo²
6	air, breath, steam	*sẽ¹
7	alive	*dentsʰu¹
8	all / the whole	*kwɑ / kɑ²
9	allow	*tsʰwo¹
10	and	*læ¹
11	animal fat / oil	*zu¹
12	ant	*berA / burA
13	appear, come out	*hko¹
14	armpit	*legija¹
15	arrive	*præ¹
16	ashes	*li¹
17	ask / question	*meŋkʰje
18	aunt	*æniu¹
19	axe	*butsʰɑ¹
20	baby	*-zæzæ²
21	back	*gwEmæ²
22	bamboo	*hĩ²
23	bamboo steamer	*mpʰru
24	bark (of dog)	*lolo / lulu¹
25	barley	*mwEdzæ¹
26	barley (highland)	*ʃu²
27	basket (for straining)	*batʂi / batʂe
28	be (copula)	*ʑʷi¹
29	bean / soybean / pea	*tupri¹
30	beans / peas	*nopri¹
31	bear (fruit)	*sæ¹
32	bear (n.)	*xui / ŋui¹
33	beard / moustache	*stiumui²
34	beautiful	*mpʰjo
35	bed	*tʂʰɑ / tʂʰi²
36	bee, honey	*bi²
37	beggar	*hkwohkwosu¹
38	believe / trust	*ndʒelje¹
39	belly	*diupʰæ¹
40	big / large	*keke
41	bird, sparrow	*xwɑjo¹
42	give birth to (e.g. piglets)	*dzi¹
43	bite	*kri¹
44	bitter, salty	*dekʰra¹
45	black	*denwɑ¹
46	bladder	*biususu¹
47	blind	*(mja)ko²
48	feel bloated (stomach)	*debro¹
49	block (the wind)	*kʰetsʰɑ¹
50	blood	*ʂiu¹
51	blow (away)	*demwo¹
52	blow (one’s nose)	*kʰui¹
53	blow (the trumpet)	*ntʂʰɑ
54	blow (wind)	*li / le¹
55	boat	*gu¹
56	boatman	*guku¹
57	boil (of water)	*detsu¹
58	bolt (of cloth)	*pʰjo
59	bone	*riku / rikʰu¹
60	borrow (money)	*ɕʷiu¹
61	borrow (tools)	*hjẽ¹
62	bow (weapon)	*sjelje
63	bow / arrow	*mrɑ¹
64	bowl	*kʰo
65	bracelet	*letʂu¹
66	braid / plait	*tsjẽpʰrje¹
67	brains	*nwo¹
68	branch / twig	*sẽkæle¹
69	break open, broken	*nepʰɑ¹
70	breast, milk	*dʒaniu¹
71	breastfeed / suckle	*ku
72	bridge	*dzjẽ¹
73	bright	*bɑ²
74	broom	*ʂɑtsʰje
75	brother	*mopʰæ¹
76	bucket (of water)	*kezi¹
77	buckwheat	*ŋgi¹
78	burn	*debræ¹
79	burn, singe	*mpʰri¹
80	bury	*bugi¹
81	busy	*bibi¹
82	butter	*me¹
83	butterfly	*kɑlɑ / kælæ²
84	buy	*ɣui¹
85	calf (common)	*ŋuijo
86	calf (yak)	*ndojo¹
87	can, be able	*pʰæ¹
88	cane / vine	*brɑ¹
89	careful / cautious	*zæzæmu¹
90	carry load (pack animals)	*ŋgi¹
91	carry on the back	*debæ¹
92	carry with pole, lift up	*dentɕʰu
93	cat	*mutsi¹
94	catch	*mi¹
95	catch (in mouth)	*pja¹
96	catch / grab / hold	*htʃew¹
97	catch fire (a house)	*ɕʷu¹
98	cattle (common, female)	*ŋuimæ
99	cattle, cow	*ŋui²
100	catty (=1/2 kilogram)	*krɑ
101	cave / hole	*riwu¹
102	chaff / bran	*pʰrɑ²
103	charcoal	*mexui¹
104	chase after, drive out / expel	*tʃæ¹
105	cheek	*mbere²
106	chest	*kwo
107	chew	*htɑhtɑ²
108	chicken	*rwɑ¹
109	child	*jakrɑ
110	chin	*mehĩ²
111	Chinese (Han)	*ndzɑ²
112	chip (the rim)	*pi²
113	choke	*ntɕʰo
114	choose / pick	*ntsʰi¹
115	chop / hew	*dzẽ¹
116	chopsticks	*ndʒu
117	circular (planar), round	*wɑwɑ¹
118	circular (spherical)	*ljelje¹
119	classif. garments	*pʰja
120	classif. long items	*kæ
121	classif. one of pair (hand, eye)	*pʰwo
122	classif. rooms	*tsʰwɑ
123	classif. sheet / small object	*pʰɑ
124	classif. small round obj.	*pri
125	classif. trees / flat obj.	*pu
126	claw / talon	*dzidzi / dzɑdzɑ¹
127	clean	*ʃoʃo¹
128	clear (weather) / sunny	*mende
129	clever	*ntʂʰæntʂʰæ²
130	climb (a mountain)	*lwo
131	close	*tɑ
132	close (the mouth)	*muimui¹
133	cloth	*wurA / wærA¹
134	clothing / garment	*gæme¹
135	cloud, fog	*tɕe¹
136	coarse, rough, wide (in diameter)	*bje¹
137	coax / fool	*ndʑʷundʑʷu¹
138	cockscomb	*(rwa)ŋwoŋwo¹
139	cold (weather, water)	*dempʰje¹
140	collapse / fall down	*nedʒo¹
141	collect, harvest, put away	*tɕitæ¹
142	comb	*tsjẽʂi¹
143	comb (v.)	*ʂi²
144	come	*læ¹
145	connect / join	*kʰetsu
146	consult / discuss	*dedulæ²
147	cook / boil	*tʃew¹
148	cool (pleasantly)	*mbje
149	coral	*pjo
151	cough	*detsʰe²
152	count	*htje
153	count (numbers), calculate	*sundʒa²
154	cover / hide from view	*xe
155	crawl (of insects)	*ʒje¹
156	crawl, climb	*bebe¹
157	crazy person, lunatic	*rdumo²
158	cross (a river)	*gu
159	crow	*kwɑli¹
160	crow (of cocks)	*ŋo¹
161	cry, weep	*ŋu¹
162	cucumber	*tɕukʰwɑ²
163	curved / crooked / bent	*kʰokʰo¹
164	cut (meat)	*tʃʰi
165	cut (paper, cloth)	*pætɕe¹
166	cut up (vegetable)	*netɕʰo¹
167	dance	*tso
168	dance (n.)	*(rV)li¹
169	dare	*htʂew
171	dark, get	*meŋkʰwo
172	daughter, woman	*zjeji / zijo²
173	daughter-in-law	*lemæ
174	dawn (the day)	*tsʰo
175	day after tomorrow	*ngeso / ndʒiso¹
