Proto-Tibeto-Burman	Proto-Karenic	gloss
*a	*a	
*g/m/b-la-y	*ʔblaᴮ	‘arrow’
*g-pwa, *r-pwa, *r-wa	*hwaᴮ	‘bamboo’
*ka	*khaᴮ	‘bitter’
*s-ka ⪤ *m-ka-y	*kaᴮ	‘chin, jaw’
*ra	*braᴬ	‘person, people’
*ma-t	*maᴮ	‘lost, disappear’
*r/g-na, *s-na	*naᴮ	‘ear’
*r-gya	*g-rjaᴬ	‘hundred’
*pwa, *wa	*gwaᴬ	‘husband’
*tsa-t, *tsa	*chaᴬ	‘ill’
*m-twa	*thaᴬ	‘handspan’
*r/g-na	*hnaᴮ	‘listen to’
*pa	* phaᴬ	‘male, father’
*s/g-la	*ʔlaᴬ	‘moon, month’
*tsa	*saᴮ	‘salt’
*b-wa	*ʔbwaᴬ	‘white’
*ŋya	*hɲaᴮ	‘flesh, meat’
*m-twa, *twa	*thaᴬ	‘handspan’
		
*-N	*-N	
*d-wam	*thamᴬ	‘bear (animal)’
*ʔam	*ʔamᴮ	‘drink’
*r/s-maŋ	*maŋᴮ	‘dream’
*r-kaŋ	*khaŋᴮ	‘leg’
*kaŋ	*gaŋᴬ	‘spider’
*g-laŋ	*hlaŋᴬ/ᴮ	‘hawk, vulture’
*m-sin	*swɨnᴮ	‘liver’
*s-luŋ	*hloŋᴮ	‘maggot’
*mi:n	*minᴬ	‘name’
*s-min	*hminᴬ	‘ripe, cooked’
*dzyim	*chɨmᴬ	‘salty, sweet’
*m-nam	*(h)nɨmᴬ	‘smell’
*r-luŋ	*loŋᴮ	‘stone, rock’
*s-toŋ	*g-thɔNᴬ	‘thousand’
*g-sum	*səmᴬ	‘three’
*s-ni(:)ŋ	*hneŋᴮ	‘year’
		
*vd. C-	*Vl. C-/ *glottalised C-	
*d-wam	*tham	‘bear (animal)’
*dow	*thoᴮ	‘bird’
*mi	*hmɨᴮ	‘female, woman’
*mey	*hmeᴮ	‘fire’
*ba:r	*phɔᴬ	‘flower’
*lap	*hlaᴮ	‘leaf’
*r-na	*hnaᴮ	‘listen to’
*r-wa	*hwaᴮ	‘bamboo’
*dwəy	*ʔdejᴮ	‘egg’
*d-yuk	*t-khroʔᴰ	‘sambhar deer’
*dzyim	*chimᴬ	‘salty, sweet’
*b-wa	*ʔbwaᴬ	‘white’
*ga:p	*khaʔᴰ	‘shoot (v.)’
*gwa-n	*chwɛŋᴬ	‘wear (shoulder bag)’
*dzo:p	*cwiKᴰ	‘suck’
*g-nis	*k-hnejᴬ	‘two’
*g-laŋ	*hlaŋᴬ/ᴮ	‘hawk’
*d-ləy	*klejᴮ	‘crossbow’
		
*s-Vd. Sonorant	*vl. sonorant	
*s-min	*hminᴬ	‘ripe, cooked’
*s-ley	*hliᴮ	‘squirrel’
*s-ni(:)ŋ	*hneŋᴮ	‘year’
*s-luŋ	*hloŋᴮ	‘maggot’
*s-mwəy	*hmejᴬ	‘sleep’
*s-lay	*hlajᴮ	‘lick’
		
*vl. unasp. Stop	*vl. asp. Stop	
*tak	*thaᴮ	‘weave (cloth)’
*r-kaŋ	*khaŋᴮ	‘leg’
*pa	*phaᴬ	‘male, father’
*s-kew	*khwiᴬ	‘nine’
*d-kruk	*khrowᴬ	‘six’
*kroy	*khloᴮ	‘snail’
*s-toŋ	*g-thɔNᴬ	‘thousand’
*krəw-t	*chrowᴮ	‘wash (clothes)’
*pwa:y	*pheᴬ	‘bran, chaff’
		
*-r	*-∅	
*s(y)ar	*graᴮ	‘insect’
*swa:r	*chjaᴮ	‘sour’
*s-kar	*chaᴮ	‘star’
		
*-s	*-t	
*was	*kwatᴰ	‘bee (Apis cerana)’
*rus	*khrwitᴰ	‘bone’
*s-nis	*ʔnwetᴰ	‘seven’
		
*-stop	*-stop or *-ʔ	
*nuk	*nokᴰ	‘brain’
*b-r-gyat ⪤ *b-g-ryat	*khr/grɔtᴰ	‘eight’
*smik ⪤ *s-myak	*mɛʔᴰ	‘eye, face’
*l-tsyak	*thaʔᴰ	‘iron, needle’
*m-sak	*saʔᴰ	‘itchy’
*k-r-pwat	*s-waʔᴰ	‘land leech’
