No.	Gloss	Proto-Karenic (Luangthongkum 2019)	Proto-Karenic (Burling 1969)	Northern Pa-O	Southern Pa-O	Kayan	Kayah	Western Bwe	Kayaw	Northern Sgaw	Southern Sgaw	Northern Pwo	Southern Pwo	Page	Notes
1	all, all gone, whole	*loɁᴰ		loɁ⁴⁵	luɁ⁴⁵	lɔɁ³³	lɔ³³	-	lə³³	(khɛ³³)ləɁ²¹	lɔu¹¹	lauɁ²¹	lɔuɁ⁴⁵	xvi	
2	ant	*dəŋᴮ		təŋ⁵³	təŋ⁵⁵	tə¹¹	tɔ¹¹	do³³ (aw)	tə¹¹	tə¹¹ ̈	tə³¹	thã¹¹ ̈	thə̃ɨ̯³³	xvi	
3	arrive	*təᴮ	*thy³	tə⁵⁵	tə³³	təɨ̯¹¹	to¹¹	do³³	tə¹¹	tɨ³³	tɨ⁴⁵’	thɔ³³	tho³¹ ̈	xvi	N.Sgaw and S.Pwo have tone A instead of tone B. The two varieties of Pwo have irregular vowels.
4	arrow, dart	*blaᴮ	*phla¹	pla⁵⁵	pla³³	pla¹¹	pla¹¹	blɛ³³	ple¹¹	pla¹¹ ̈	pla³¹	pla¹¹ ̈	phla³³	xvi	Irregular vowels in Kayah (KH) and Kayaw (KW), i.e. they should be /e/ and /a/ in KH and KW, respectively. S.Karen (SK) tones suggest *bl-, while those in N.Karen (NK) indicate *pl-.
5	ascend, go up, rise	*thaŋᴮ	*thaŋ²	thaŋ⁵⁵	thaŋ³³	thaŋ¹¹	thɛ¹¹	tha³³	hɔ¹¹	thɔ³¹῀	thɔ⁴⁵’	thɛ̃³³	thɔ̃⁵⁵	xvi	
6	ashes, fireplace	*phaᴮ		pha⁵⁵	pha³³	pha¹¹	phe¹¹	-	pha¹¹	pha³¹῀	pha⁴⁵’	-	-	xvi	In some N.Sgaw varieties phla¹¹ ̈~pha¹¹ ̈ means ‘fireplace’.
7	astringent	*kjaɁᴰ	*khiɁ¹	khjaɁ²¹	-	khiɁ⁴⁵	khja⁵⁵	-	-	kiɁ⁴⁵	kaiɁ²¹	kaiɁ⁴⁵	kaiɁ³¹	xvi	
8	bamboo	*hwaᴮ	*wa²	wa⁵⁵	wa³³	hwa¹¹~hau¹¹	we¹¹	hʊ³³	-	wa³¹῀	wa⁴⁵’	wa³³	wa⁵⁵	xvii	
9	bamboo rat	*(jowᴮ)khanᴬ		(ju⁵⁵)khan³¹ ̈	-	ɟu¹¹khaŋ⁵³	-	khɛ⁵⁵	(ju¹¹)khɔ⁵⁵	khɔ³³	khɔ⁵⁵	khɛ̃³⁵	khɔ̃⁵³	xvii	
10	bamboo strip	*sraᴬ		sa³¹ ̈	sa³¹ ̈	θa⁵³	se³³	θrɛ⁵⁵~θə⁵⁵rɛ⁵⁵	sa⁵⁵	ɕɣa³³	ɕɣa⁵⁵	sja³⁵	θa⁵³	xvii	
