No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
1	sky (a)	天(天空)	*mo²di²ma³	n̩²¹di²¹ma³³	n̩²¹dɛ²¹	mə²¹		i⁵⁵sɛ⁵⁵mo³³	a³³mi²⁴mo³³	ŋ̩²¹kɤ̪²¹
1	sky (b)	天(天空)	*mo²daŋ¹				n̩²¹da²¹mo³³			
2	sun	太阳	*a¹mo²ɣi¹	a⁵⁵ŋ̪²¹ɣ̩ɨ⁵⁵ma³³		a⁵⁵mə²¹ji²⁴mɔ³³	a³⁵mv̩²¹hĩ⁴⁴mo³³	a⁵⁵mi⁵⁵	a³³mi²⁴	a⁵⁵m̩²¹tsʰa³³
3	sunshine	阳光	*a¹mo²tsʰa¹	a⁵⁵n̩²¹tsʰa⁵⁵	n̩²¹tsʰa²⁴	a⁵⁵mə²¹tsʰɔ⁵⁵	a³⁵mv̩²¹tsʰo³³	a⁵⁵mi⁵⁵kʰi⁵⁵pʰɛ³³	a²⁴tsʰo²⁴sɛ⁵⁵jo²¹	a⁵⁵m̩²¹tsʰa³³sai⁵⁵
4	moon	月亮	*xa³ba³	xa³³ba³³kʰɨ⁵⁵	xa³³ba³³kʰə³³	xa³³bɔ³³bɔ³³	a²¹bu²⁴ba³³mo³³	xo³³bo³³mo³³	xa⁵⁵bo³³	xa³³ba³³kʰɨ³³
5	star	星星	*kjɛ¹	kɨ⁵⁵	kɛ²⁴za²¹	kɛ˞⁵⁵	kɛ˞⁴⁴o³³	a⁵⁵kɛ⁵⁵kɛ⁵⁵	a²⁴ki⁵⁵jo³¹	kɛ˞³³
6	cloud	云	*a¹mo²ti¹	a⁵⁵n̩²¹ti⁵⁵	ti²⁴	ti⁵⁵tɕʰi³³	di⁵⁵dɛ˞³³	mi⁵⁵kɨ²¹	mə²⁴	mi⁵⁵kʰɔ̪³¹
7	wind	风	*a¹mo²hi¹	a⁵⁵m̩²¹ɕy⁵⁵	n̩²¹ɕi²⁴	mə²¹ɕi⁵⁵	a³⁵mv̩²¹hĩ²⁴	a⁵⁵mi²¹fi⁵⁵	a²⁴xi²⁴	mi²¹he³³
8	rain	雨	*a¹mo²ha¹	a⁵⁵ŋ̩²¹ha⁵⁵	a⁵⁵mu²¹hã³³	a⁵⁵mə²¹xɔ⁵⁵	a³⁵mv̩²¹hõ²⁴	a⁵⁵mi²¹xo⁵⁵	a²⁴xo²⁴	a⁵⁵m̩²¹ha³³
9	lightning	闪电	*a¹mo²bja̠ᶫ	a⁵⁵m̩²¹ba̠²¹	m̩²¹pɛ⁵³	a⁵⁵mə²¹biɛ⁴²	a³⁵mv̩²¹biɛ˞³³	a⁵⁵m̩²¹bæ²¹	a³⁵ba̠²¹	a⁵⁵m̩²¹bɛ˞⁴²
10	thunder	雷	*a¹mo²go²	a⁵⁵ŋ̩̩²¹ɣə²¹	a⁵⁵mv̩²¹ɣo²¹	mə²¹gə²¹ti²¹	a³⁵mv̩²¹gõ²¹	ŋ̩²¹gu²¹		m̩²¹go²¹
11	rainbow (a)	彩虹	*a¹mo²se¹ɣi¹daŋ¹		vu²⁴sa³³	a⁵⁵mə²¹sɛ⁵⁵ji³³dɔ³³	a³⁵mv̩²¹ʂɛ⁴⁴ɣɨ⁴⁴do³³	a⁵⁵sɛ⁵⁵ɣɨ³³	a²⁴fio⁵³ɣɨ²⁴	ɣɨ⁴⁵bɨ²¹ɕio⁵⁵lo⁴²
