Gloss	Proto-Luish
level	*pá
four	*prí
put	*péy
emerge	*pru
vagina	*pak
mosquito	*p-cík
horse	*sᴴ-pu-k
hatch	*puk
belly	*pɨ́k? < *pyúk?
palm	*tak-prár
bloom	*pár
flower	*pár
fly (v)	*pír
smooth	*pri-t
calf	*t-pók
left (hand)	*tᴴ-pay < *tᴴ-pway?
ashes	*k-but
ringworm	*kᴴ-bun
cheek	*n/l-baŋ
thin	*pha
shoulder (v)	*phé
jump	*phró-k
lizard	*k-phóy
full	*phríŋ
wear	*phun
tree/firewood	*phón < *phól
open (umbrella)	*phúw
snake	*k-phúw
kick	*phiy?
tree	*phón < *phól
door	*kᴴ-phaŋ
fish	*tᴴ-ŋa
turtle	*tᴴ-lip
bee	*tᴴ-Cún
stone	*tᴴ-luŋ
red ant	*tᴴ-hra < *tᴴ-khra
foot/leg	*ta
ankle	*ta-mík
elder sister	*a-té
leaf	*tap
listen	*tát/tít?
weave	*tak
lick	*á-tak
finger	*tak-sir?
nail	*tak-miŋ < *tak-min?
pot	*tik
knife	*k-taŋ
lips/mouth	*s-tún
insect	*kᴴ-tuŋ
grandchild	*s-túŋ
short	*ton
smell (vt)	*tɨ́m? < *tyúm?
sit	*túŋ ~ *thúŋ
hand	*t-hów < *t-khów < *tak-khów
language	*tu
knee	*t-húw < *t-khúw
nine	*t-húw < *t-khúw
thigh	*t-kíy?
right (hand)	*tᴴ-ha < *tᴴ-kha
bow	*tᴴ-li(t/k)?
strike/hit	*tán
big/great	*túŋ?
search/seek	*tam
pull	*tún
man	*Cᴴ-tik-(sa)
sweet	*ti
egg	*ti
penis	*tí
moon	*s-dá < *s-lá
neck	*kᴴ-duk
porcupine	*p/kᴴ-duw-k
cooked rice	*dá < *tá?
thick	*rᴴ-thay
dig	*thu
grind	*thuw
arrive	*thuk
spit (v)	*thók
village	*thiŋ
black	*thɨ́m? < *thyúm?
mortar	*thum
near	*tham
sun	*c-mík
burn/roast	*cu
chilly	*Cᴴ-cap
suck	*cúp
plant (v)	*cuk
milk	*cuk-si
long/tall	*cók
sister	*cán < *cál?
ask for	*ciŋ
-causative	*-cíŋ
far	*car
Cak/Sak	*cak
dub/strike	*cuw
hard/solid	*Cᴴ-cak
light (weight)	*ca < *r-ya
stand	*cap < *ryap
eight	*cat < *ryat
fear	*Cᴴ-cak < *gᴴ-rak?
salt	*cɨm? < *ryum?
deer	*kᴴ-juk
ten	*jí, *sí
bird	*u-jík-sa < *u-cík-sa?
cat	*hán-ji-k < *hál-ji-k? < *hál-ci-k?
mushroom	*k-mú
ear	*k-ná
tiger	*kᴴ-sa
back	*k-sáŋ
frog	*kᴴ-suk
root	*k-rat
monkey	*k-wóy
rat	*kᴴ-yuw-k
earth	*ka
hot	*ká
bridge	*t/r-ká?
dry	*r-ków
steal	*kuw-k
bathe	*krúw
wing	*Cɛ́n-kV́ ?
run/flee	*kat
want to do	*kak
warm oneself	*kup
wear bracelet	*kók
bite	*kán
pick up	*kun
old	*kaŋ
lame	*koŋ
long	*kréy
bamboo	*kro
six	*kruk
star	*s-kán-si < *s-kár-si?
firewood	*k-rók
bone	*ma(ŋ/k)-kV-k
beautiful	*Cᴴ-kam
two	*kíŋ
tail	*mV(ŋ/k)-kV́
shoot	*káp
dog	*kuy
elephant	*kúy
buffalo	*k-réy
mango	*krék-si
house	*kím
blind	*kre
-plural (+v)	*-kí ~ *-hí < *-khí
=nominalizer	*=k/gá
=future	*=k/gú
barking deer	*khí
shit/feces	*khyi-k
sell	*Cᴴ-khe
wash (clothes)	*khri
sour	*hrí < khrí
red	*khyá
climb/get on	*khye
shout	*khyák
tongue	*s-lí-k
nose	*sᴴ-na
tooth	*s-wá
daughter	*s-ik
son	*sa
fat	*sáw
blood	*se
husked rice	*sat
scatter	*sát/sít?
take a rest	*sak
breath	*sak
get down/descend	*sat
louse	*sik
cough	*suk
shrimp	*r-i-sɨ́k? < *r-i-syúk?
tear (v)	*sék
meat	*san
enter	*saŋ
onion	*sún
garlic	*sún-
sew	*sún
iron	*sen < *sel?
finish/end	*sum
three	*súm
wash	*sen? < *sel?
live	*séŋ? < *syáŋ?
rob	*sᴴ-nan
-diminutive	*-sa
search for	*sóp
feel sleepy	*ip-sɨm? < *ip-syum?
seven	*s-ni-ŋ
eat	*sa
tobacco	*sík
bear	*kᴴ-sap
green	*Cᴴ-seŋ? < *Cᴴ-syaŋ?
fruit	*si
younger brother	*nV́si
die	*sí
medicine	*si-k
comb	*Cᴴ-si-k
cold	*sim
liver	*Cᴴ-sen
heart	*Cᴴ-sen
ghost	*h-mán
walk/bring	*ha
raise/bring up	*hroy
cloud	*hráŋ
rain	*hráŋ wé
small chair	*hon
bitter	*ha < *kha
chin	*Cᴴ-ha < *Cᴴ-kha
crow	*u-há < *u-khá
branch/twig	*Cᴴ-ha-k < *Cᴴ-kha-k
burn	*hru < *khru
borrow	*hoy < *khoy
cry/weep	*hrap < *khrap
astringent	*hup < *khup
crab	*a/n-har < *a/n-khar
coffin	*hóŋ < *khóŋ
head	*hów < *khów
twenty	*hól < *khól?
CL:man	*hów < *khów
hair (head)	*hów < *khów
boat	*hó
husk of rice	*hók < *khók?
scratch	*hré-t < *khré-t
sharp	*h-ráŋ
potato	*h-ráŋ-hú?
buy	*m-rí
capsicum	*m-ruk?
good	*méy
water leech	*Cᴴ-mo
forget	*mat
extinguish	*mit
eye	*mík
cattle	*s-muk
thunder/sky	*Cᴴ-muk
under/below	*múk?
allot	*man
face	*mán < *mál?
dream (n)	*ip-maŋ
ripe	*míŋ < *mín?
bark/sound	*m-ríŋ
wind (n)	*mun
hair (body)	*mun
play a flute	*mut
mother	*a-me
laugh	*níy-k?
night	*nak
daughter-in-law	*nám
smell (v)	*nám
thou	*naŋ
you (pl)	*niŋ
year	*niŋ
heavy	*Cᴴ-ni(ŋ/k)
next/coming	*nap
bury	*Cᴴ-nup
push	*Cᴴ-no < *Cᴴ-nor?
new	*n-yár?
I	*ŋa
be/exist	*ŋa
say	*ŋáw
bend down	*Cᴴ-ŋuk
five	*ŋá
drive/chase	*rᴴ-ŋak
take	*la
cock	*u-la
=question	*=lé
get	*lu
skin	*lák
road	*lám
warm	*lím? < *lyúm?
many	*lóŋ
come	*li
creeper	*lu-k
white	*lV́ŋ
cord	*ri
shave	*rat/rit?
wake up	*réy-k?
father	*a-wá?
husband	*h-lówa
water	*wé
pig	*wak
wide	*wák
fire	*wan < *wal
smoke	*wan- < *wal-
cut	*wán
watch	*yu
fan (v)	*yap
fan (n)	*Cᴴ-yap
CL:day	*yak
cross (river)	*Cap
catch	*Cim
horn	*Cúŋ
=plural (+n)	*Cak
rot	*Cú
eggplant	*Cok
muddy/cloudy	*Cón
bubble	*Cót
broad	*Cák
put upon	*ɗaŋ?
cockroach	*s-Cíp?
wrap	*Cip
