Gloss	Proto-Naish
to win	*ŋga/*aC₁
strength	*Nka/*aC₁
bitter	*kʰa/*aC₁
to step across	*ŋga/*aC₁; *Nka/*aC₁
difficult	*Cka/*aC₁
knee	*ŋwa
bowl	*kʰwa
hoof	*kʰwa
a pair	*dza
to lock	*tsa
wheat	*dza
Naemorhedus goral	*sa
steel (for flint)	*tsa
salt	*tsʰa
nephew	*Cdza
to walk	*sa
to borrow	*ŋi/*a
fish	*ŋi/*a
span	*twa
tooth	*Swa
rain	*Swa
lake	*Swa
cow	*wa
to fall (rain)	*gra
meat	*ɕa
earth	*tra
axe	*(S)mba
to stumble	*(S)pa
Bai (ethnic group)	*Sla
linen	*(S)pʰa
knife	*tʰa
noble	*pʰa
soul	*l̥a
thin	*mba
snow	*Smba
village	*mba
to do	*Cba
tea	*la
moon	*Sla
ear	*l̥a
trousers	*Sla
female	*ma
ask for	*ma
butterfly	*la
rabbit	*la
this year	*Cba
who	*na
goat	*tsʰi
oat	*zi
south	*tɕʰi
grass	*zi
skin	*ri
yellow	*ɕi
to know	*si
to die	*rsi
to thread (beads)	*si
new	*ɕi
to tie	*tsi
morning	*si
girl	*mi
fire	*mi
to hear	*mi
to forget	*mi
lower side	*mi
name	*mi
star	*kri
gallbladder	*kri
medicine	*Swri
tight	*kri
liver	*siN
wood	*siN
to shave	*siN
hot	*tsʰiN
to plane down	*tʰi
water	*gi
to flow	*ji
tongue	*hi
two	*ŋi/*a
sweet	*kʰi
to sell	*tɕʰi
thorn	*tɕʰi
muntjac	*kʰi
saliva	*tɕi
saddle	*tɕi
small	*tɕi
to sleep	*ji
to walk	*ŋgi
to lose	*ni
cloud	*tɕi
urine	*mbi
pus	*priN
short	*rdiN
grain	*rliN
neck	*C-NkriN
resin	*C-ŋgriN
rope	*briN
guest	*briN
long	*ɕiN
hunt	*ɕiN
articulation	*rtsi
wash	*rtsʰi
medicine	*rtsʰi
waist	*rtsi
bright	*mbo
dike	*mbo
home	*o
younger sister	*go
winnowing fan	*mo
lunch	*Cro
cold (weather)	*ndro
this morning	*ɕo
to run away	*pʰo
head	*SNko
corpse	*mo
to spread	*kʰo
tomorrow	*so
pine	*tʰo
be ill	*ŋgo
mushroom	*mo
ring	*pru
comb	*pru
yak	*bru
white	*pʰru
to hoe up	*pru
vertical	*tsu
to sit	*ndzu
winter	*tsʰu
to hide	*tsu
bald	*bu
bug	*bu
to lay eggs	*bu
pan	*Cbu
maternal uncle	*Cgu
to sew	*C-ru
creased, wrinkled	*C-ru
to pass (time)	*gu
body	*gu
plow	*gu
to fix	*gu
nice	*gu
bent	*gu
owl	*hu
year	*kʰu
to steal	*kʰu
classifier (men)	*ku
Bai ethnic group	*bu
to bark	*lu
enough	*lu
to wind (thread)	*lu
larva	*lu
to graze	*lu
beard	*mu
to dig	*ndu
poison	*ndu
wing	*ndu
sickle	*Nku
to steam	*Npu
saddlecloth	*nu
thunder	*ŋgu
sinew	*ŋgu
nine	*ŋgu
to cry	*ŋu
silver	*ŋu
price	*pʰu
male	*pʰu
uncle’s uncle	*pʰu
bladder	*pu
amber	*pu
rock	*rtu
intestine	*Sbu
garlic	*Sku
kidneys	*Smbu
dry	*Spu
to go out	*tʰu
to contaminate	*tru
to plant	*Stu
straight	*Stu
thousand	*Stu
hole	*tu
sleeve	*qʰU
swallow	*NqU
cave	*qʰU
throat	*qU
horn	*qʰU
fly	*bu r
to hold	*rtsʰU
lungs	*rtsʰU
to cough	*rtsU
chest	*Nka/*aC₁
to fell (a tree)	*ndaC₁
drum	*ndaC₁
all	*taC₁
slanted	*laC₁ taC₁
how much	*kʰa/*aC₁
in front of	*daC₁
to cover	*ka/*aC₁
to weave	*daC₁
black	*naC₁
sharp	*tʰaC₁
to hit	*laC₁
wolf	*pʰaC₁
vat, wooden basin	*laC₂
to be ashamed	*saC₂
to lean against	*tʰaC₂
slope	*taC₂
to hug	*taC₂
gruel	*haC₂
to see	*daC₂
valley	*laC₂
to climb	*ndaC₂
to jump	*tsʰaC₂
needle	*NkaC₂
to study	*saC₂
to work	*laC₂
pig	*SbaC
hand	*laC₁/*laC₂
breath	*saC₁/*saC₂
thick	*laC₁/*laC₂
deep	*l̥aC₁/*l̥aC₂/*SnaC₁
to kill	*kʰaC₁/*aC₂
