English gloss	Chinese character	Proto-Southern Min 原始閩南語	Quánzhōu 泉州	Zhāngzhōu 漳州	Dàtián 大田	Jiēyáng 揭陽	Cháoyáng 潮陽	Léizhōu 雷州
abundant	豐	*hoŋ1	hɔŋ1	hɔŋ1	hoŋ1	hoŋ1	hoŋ1	hɔŋ1
accent	腔	*kʰiõ1	kʰiũ1	kʰiɔ̃1	kʰiŋ1	kʰiõ1	kʰiõ1	kʰiaŋ1
accompany	陪	*pue2	pue2	pue2	pue2	pue2	pʰue2	pʰui2
account	數	*siau5	siau5	siau5	su5	siau5	siau5	siau5
account book	簿	*pʰou4	pʰɔ4	pʰɔ6	pʰu4	pou4	pʰou4	pʰɛu4
accuse falsely	賴	*lua6	lua5	lua6	lua1	lua6	lua6	nua1
across	橫	*huẽ2	huĩ2	huã2	hua2̃	huẽ2	huẽ2	huɛ2
add fuel	燃	*hiã2	hiã2	hiã2		hiã2		hia2
affair	事	*tai6 ~ *sɿ6	tai5	tai6	tɛ1	sɯ6	su6	su7
after; behind	後	*au4	au4	au6	ɔ4	au4	au4	au4
age	歲	*huø5	hə5	hue5	hue5	hue5	hue5	huɛ5
all exterminated	絕	*tsøʔ8	tsəʔ8	tseʔ8	tsuaʔ8	tsoʔ8	tsoʔ8	tsiek8
alley	巷	*haŋ6	haŋ5	haŋ6	haŋ5	haŋ6	haŋ6	hɔ1
also	又	*iu6	iu5	iu6	iu1	iu4	iũ4	iu1
amaranth	莧	*hõi6	huĩ5	hian6	hiŋ5	hãi6	hõi6	hai1
ancestral temple	祠	*sɿ2	sɯ2	su2	sɤ2	sɯ2	su2	tsʰu2
answer (v.)(1)	應	*en5	in5	in5	eŋ5	eŋ5	eŋ5	iŋ5
answer (v.)(2)	答	*taʔ7 ~ *tap7	taʔ7	taʔ7	ta5	tap7	tap7	tap7
ant	蟻	*hia4	hia4	hia6	hia4	hia4	hia4	hia4
arrest	掠	*liaʔ8	liaʔ8	liaʔ8	lia4	liaʔ8	liaʔ8	lia4
arrive	遘	*kau5	kau5	kau5	kɔ5	kau5	kau5	kau5
artemisia[1]	艾	*ŋhiã6	hiã5	hiã6	hiã5	hiã6	hiã6	ŋai4
ask (v.)	問	*muĩ6	bŋ5	buĩ6	mŋ5	muŋ6	mɯŋ6	mui1
autumn	秋	*tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1
avoid	免	*mian3	bian3	bian3	biaŋ3	miaŋ3	miaŋ3	mieŋ3
axe	斧	*pou3	pɔ3	pʰu3	pu3	pou3	pou3	pɛu3
bamboo	竹	*tɯk7	tiak7	tik7	toʔ7	tek7	tek7	tip7
bamboo shoot	筍	*sun3	sun3	sun3	sueŋ3	suŋ3	suŋ3	suŋ3
bark	吠	*pui6	pui5	pui6	pui1	pui6	pui6	pui1
barley; wheat; corn	麥	*beʔ8	beʔ8	bɛʔ8	ba4	beʔ8	beʔ8	bɛ4
basket for mortar	箕	*ki1	ki1	ki1	ki1	ki1	ki1	ki1
bathe	浴	*ɯk8	iak8	ik8	zioʔ8	ek8	ek8	iak8
be	是	*si4	si4	si6	si4	si4	si4	si4
bead tree	楝	*nõi6	nuĩ5	liŋ6	liaŋ5	nai4	noi6	lieŋ7
beak	喙	*tsʰui5	tsʰui5	tsʰui5		tsʰui5	tsʰui5	tsʰui5
bean	豆	*tau6	tau5	tau6	tɔ1	tau6	tau6	tau1
bear	熊	*him2	him2	him2	heŋ2	him2	him2	hiɔŋ2
beard	鬚	*tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1
bed	眠床	*min2 tsʰõ2	tsʰŋ2	bin2 tsʰŋ2	beŋ2 tsʰŋ2	meŋ2 tsʰɯŋ2	mɯŋ2 tsʰɯŋ2	kɔi7tsʰɔ2
bee	蜂	*pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1
beg	乞	*kʰit7	kʰit7	kʰit7	kʰeʔ7	kʰek7	kʰik7	kʰiek7
beginning	初	*tsʰioi1	tsʰue1	tsʰe1	tsʰi1	tsʰiu1	tsʰiu1	tsʰɔi1
belly	肚	*tou3	tɔ3	tɔ3	tu3	tou3	tou3	tɛu3
belong	屬	*siok8	siɔk8	siɔk8	soʔ8	sok8	sok8	sɔk8
belt	帶	*tua5	tua5	tua5	tua5	tua5	tua5	
bend	拗	*a3 ~ *au3	au3	au3	a3	a3	a3	a3
bestow	賜	*sɿ5	sɯ5	su5	sɤ5	sɯ5	su5	su5
big	大	*tua6	tua5	tua6	tua1	tua6	tua6	tua1
bird	鳥	*tsiau3	tsiau3	tsiau3		tsiau3	tsiau3	tsiau3
bite	咬	*ka4	ka4	ka6	ka3	ka4	ka4	ka4
bitter	苦	*kʰou3	kʰɔ3	kʰɔ3	kʰu3	kʰou3	kʰou3	kʰɛu3
black	烏	*ou1	ɔ1	ɔ1	u1	ou1	ou1	ɛu1
