No.	Category no.	Semantic category	Gloss	Proto-Tibeto-Burman
5711	1.1.1	Body	flesh / animal / body / agentive nominalizer	*sya-n ~ *sin
34	1.1.1	Body	flesh / meat / game animal	*sya-n
318	1.1.1	Body	body / owner / agentive nominalizer	*sin
1	1.1.1	Body	body / back	*guŋ
2	1.1.1	Body	body / chest / thorax / corpse	*s-kəw
3	1.1.1	Body	body / belly	*pum
4	1.1.1	Body	body	*g-zuk
6	1.1.1	Body	body	*tyaŋ
8	1.1.1	Body	body	*t(s)ak
11	1.1.1	Body	body	*lu-s
13	1.1.1	Body	body / torso / corpse	*puŋ
1126	1.1.1	Body	body	*tsyi
1125	1.1.1	Body	body	*ti
10	1.1.1	Body	body	*k(y)am
7	1.1.1	Body	body	*(p/b)aŋ
14	1.1.1	Body	body	*du
1900	1.1.1	Body	body / animal	*nam
21	1.1.1	Body	body (upper)	*s-twat
22	1.1.1	Body	body	*s-pi ~ *pay
1902	1.1.1	Body	suffix (nominalizer; bulk-provider)	*-pu ~ *-pwa
5364	1.1.1	Body	body / trunk	*kwak
5633	1.1.1	Body	hair	*t(y)u
35	1.1.1.1	Flesh/Meat	flesh / meat	*s-nya-k ~ *hyak
39	1.1.1.1	Flesh/Meat	flesh / meat / game animal	*mey
1130	1.1.1.1	Flesh/Meat	flesh / meat	*ka-y
38	1.1.1.1	Flesh/Meat	flesh / meat	*m-dwaŋ
41	1.1.1.1	Flesh/Meat	flesh / meat	*kan
54	1.1.1.1	Flesh/Meat	flesh / meat / animal	*m(y/w)an ~ *min
47	1.1.1.1	Flesh/Meat	flesh / meat	*ta(m)-
1862	1.1.1.1	Flesh/Meat	animal	*ri-dak
1866	1.1.1.1	Flesh/Meat	flesh / meat / deer	*s/g-la
58	1.1.1.1	Flesh/Meat	cattle / livestock / domestic animal	*dzay ~ *tsaːy
49	1.1.1.2	Lean (Meat)	lean / thin	*gray
44	1.1.1.2	Lean (Meat)	lean (meat)	*s-na
1805	1.1.1.2	Lean (Meat)	lean (meat, person)	*m/s-kam
1806	1.1.1.2	Lean (Meat)	lean (meat, person)	*syi
1807	1.1.1.2	Lean (Meat)	lean	*m-dzyaŋ
43	1.1.1.2	Lean (Meat)	lean (meat)	*ni
45	1.1.1.2	Lean (Meat)	lean (meat)	*kruk ~ *s-gyuk
55	1.1.1.2	Lean (Meat)	lean (meat)	*(ŋ/k)wak
327	1.1.2	Life/Breathe/Exist	breed / bring up	*sryal
72	1.1.2.1	Life/Live/Alive	live / alive	*dat
81	1.1.2.1	Life/Live/Alive	life	*srwak
1819	1.1.2.1	Life/Live/Alive	live	*ta
80	1.1.2.1	Life/Live/Alive	live	*ts(y)ow
62	1.1.2.1	Life/Live/Alive	life / breath	*mwa-n/s
32	1.1.2.2	Breath/Breathe	breath(e) / life	*m-sak
67	1.1.2.2	Breath/Breathe	blow / breath(e) / life	*h(r)u
65	1.1.2.2	Breath/Breathe	breath(e) / life	*d-buk
77	1.1.2.2	Breath/Breathe	breath(e) / live	*g/m-swan
73	1.1.2.2	Breath/Breathe	breath(e) / live	*dwam
1814	1.1.2.2	Breath/Breathe	breathe	*ti
1810	1.1.2.2	Breath/Breathe	breathe / draw (breath)	*raŋ¹
1817	1.1.2.2	Breath/Breathe	gasp / pant	*g-haŋ
66	1.1.2.2	Breath/Breathe	breath / lung / spirit / voice / heart	*s(y)am-s
5640	1.1.2.2	Breath/Breathe	breathe	*waŋ
68	1.1.2.2	Breath/Breathe	breathe / pant	*r-ŋam
5788	1.1.2.2	Breath/Breathe	pant	*s-ləy
5789	1.1.2.2	Breath/Breathe	be / breathe	*duŋ ~ *duk
1821	1.1.2.3	Existence	be / copula / nominalizer / subordinator / god	*s/g-ray ~ *way
449	1.1.2.3	Existence	be / copula / nominalizer / subordinator	*g-ray
658	1.1.2.3	Existence	god / creator	*g-ray
450	1.1.2.3	Existence	be / copula / nominalizer / subordinator	*way
5495	1.1.2.3	Existence	pluralizer	*s-ray
84	1.1.2.3	Existence	stay / rest / dwell / be / live / alight / perch	*g-na-s
2608	1.1.2.3	Existence	be / exist / copula	*s-ri-t ~ *s-rut
4477	1.1.2.3	Existence	dwell / exist / live / stay	*ʔum
4565	1.1.2.3	Existence	stay / spend (time)	*tsam
5741	1.1.2.3	Existence	copula / be	*nay
5792	1.1.2.3	Existence	god / creator	*g-sa(ŋ)
99	1.1.3	Hungry	hungry / thirsty	*mwat ~ *ŋ(w)at
106	1.1.3	Hungry	hungry	*b-kri-n/s
104	1.1.3	Hungry	hungry	*nwaŋ
105	1.1.3	Hungry	hungry / thirsty	*kwa-k
113	1.1.3	Hungry	hungry	*wan
3550	1.1.3	Hungry	hungry	*ywaŋ-s
101	1.1.3.1	Thirsty	thirsty / hungry	*si(p)
3298	1.1.3.1	Thirsty	dried up / thirsty	*s-wi ~ *s-way
1826	1.1.3.1	Thirsty	thirsty	*s-pa(ŋ/k)
1825	1.1.3.1	Thirsty	thirsty / hungry	*g-ra(ŋ/k)
122	1.1.3.1	Thirsty	thirsty	*wat
3297	1.1.3.1	Thirsty	thirsty	*pu
103	1.1.3.1	Thirsty	tired / thirsty	*bal
116	1.1.3.1	Thirsty	thirsty / dried out	*k(w)am
119	1.1.3.1	Thirsty	roast / toast / dry / hot / burn / thirsty	*(k/g)a(ː)ŋ
1001	1.1.3.1	Thirsty	dry / dried out	*gru ~ *grwa
