No.	Gloss	Proto-Western Tibetan	Proto-Western Tibetan (notes)	Western Balti	Eastern Balti	Purik	Ladakhi	Page no.
1	body	*rgo / *zukspo		rgo	rgo	zukspo	zukspo	68
2	head	*mgo	(T)	go	go	go	go	68
3	hair	*skra- (?)	(T)	ral	ral	rjal	ʂa	68
4	face	*gdoŋ	(R23)	gdoŋ	rdoŋ	rdoŋ (B)	ldoŋ	68
5	eye	*mik		mik	mik	mik	mik	68
6	ear	*ʃna	(R18)	sna	sna	ʃna (B)	namtʃok	68
7	nose	*sna		snamsul	snamsul	sna (R)	nakun	68
8	mouth	*kʰa-		kʰabak	kʰa	kʰa	kʰa	68
9	tooth	*so		so	so	so	so	68
10	tongue	*ltʃe	(R27)	ɬtʃe	ɬtʃe	ɬtʃe	ltʃe	68
11	chest	*braŋ	(R21, R13)	blaŋ	braŋ	braŋ (B)	taŋ	68
12	belly	*krotpa	(T)(R13)	ɬtoa	ɬtoa	totpa	totpa	68
13	arm	*prakpa	(R21)	plakpa (O)	prakpa			68
13	arm	*lakpa				lakpa (R)	lakpa	68
14	elbow	*krimʔoŋs	(R13-R14, R9)	trimoŋ / tʂimok (O)	krioŋ	krimoŋs	temaʒoŋ	68
15	palm	*laktʰil		laktʰil	laktʰil	laktʰil	laktʰil	68
16	finger	*dzugu		senmo	zogu	dzigu	dzugu	68
17	fingernail	*senmo (?)		zermoŋ	senmero	senmo	senmo	68
18	leg	*rkaŋ-	(R17, R18)	kaŋma	kaŋma	ʃkaŋ	skaŋ	68
19	skin	*pakspa	(R30, R34)	baxspa	bakspa	pakspa	pakspa	68
20	bone	*ruspa		ruspa	ruspa	ruspa	ruspa	68
21	heart	*sniŋ		sniŋ	sniŋ	sniŋ (R, B)	sniŋ	68
22	blood	*kʰrak	(R13, R14)	tʂak	kʰrak	tʰak	tʰak	68
23	urine	*xtʃin	(R23)	xtʃin	ɬtʃin	ɬtʃin (B)	ltʃin	68
24	feces	*rkjakpa	(R17, R18)	kjakpa	rkjakpa		skjakpa	68
25	village	*groŋ-	(R13, R14)	dʐoŋ	groŋ		ʈoŋpa (H)	68
25	village	*jul				jul		68
26	house	*kʰaŋba	(R29)	naŋ	naŋ	kʰaŋba	kʰaŋpa	68
27	roof	*-tʰok-		tʰok (O)	tʰoksa	katʰok	katʰok	68
28	door	*zgo		zgo	zgo	zgo	zgo	68
29	firewood	*ʃiŋ		ʃiŋ	ʃiŋ	ʃiŋ	ʃiŋ	68
30	broom	*pʰjaxma (?)		pʰjaxma	pʰjaxma	bumo	olmo	68
31	mortar	*?tVn- (?)		ɬtanus	ɬʈanus		stunni	68
32	pestle			ɬtanusi bu	ɬʈanusi bu		stunʃiŋ	68
33	hammer	*tʰVʤuŋ (?)			martol	todʒuŋ	tʰuʒuŋ	68
34	knife	*gri	(R13, R14)	dʐi	gri	gri	ti	68
35	axe	*stare		stare	stare	stare	stari	68
36	rope	*tʰakpa		tʰakpa	tʰakba	tʰakpa	tʰakpa	68
37	thread	*skutpa		skutpa	skutpa	skutpa	skutpa	68
38	needle	*kʰap		kʰap	kʰap	kʰap	kʰap	68
39	cloth	*ras		snambu	ras	ras	ras	68
40	ring	*xsVrdups	(R1, R9, R12)	xsurup	surup	serdups	serdup	68
41	sun	*ɲima		ɲima (O)	ɲima	ɲima	ɲima	68
42	moon	*lzawa- (?)		lzot	lzot	lzormo	lzawa	68
43	sky	*xnam	(R2)	xnam	xnam	nam	nam	68
44	star	*skarma		skarma	skarma	skarma	skarma	68
45	rain	*tʃʰarpa		tʃʰarpa	tʃʰarpa	tʃʰarpa	tʃʰarpa	68
46	water	*tʃʰu		tʃʰu	tʃʰu	tʃʰu	tʃʰu	68
47	river	*rgjamtso	(R7)	rgjamtso	rgjamtso	rgjamtso	gjamso	69
48	cloud	*sprin	(R5)	psil	psil	sprin	rsin	69
49	lightning	*xlok	(R26)	ɬok	ɬok	ɬok (B)	skamlak	69
50	rainbow	*?gza / *?ʃutuŋs (?)		paragza	rza	tʃutuŋs	za ʃutuŋs	69
51	wind	*xluŋ	(R2, R26)	xɬuŋ	xɬuŋ	hɬuŋ	hluŋspo	69
52	stone	*rdoa	(R23)	rdoa	rdoa	rdoa	ldoa	69
53	path	*lam		lam	lam	lam	lam	69
54	sand	*bjema	(R28, R24)	bjaŋa	bjaŋa	bjama	pema	69
55	fire	*me		me	me	me	me	69
56	smoke	*tutpa		tutpa	tutpa	tutpa	tutpa	69
57	ash, dust	*tʰalba		tʰaltʃit	tʰaltsir	tʰalba	tʰalba	69
58	mud	*kalak		kalak (S)	kalak	kalak	kalak	69
59	dirt	*trima	(R13b, R24)	triŋa	triŋa	trima (B) / ʈima (K)	ʈima (H)	69
60	gold	*xser	(R1)	xser	ser	ser	ser	69
61	tree	*ltʃaŋma	(R27)			ɬtʃaŋma	ltʃaŋma	69
61	tree	*stakʒi		stakʒi	stakʒi			69
62	leaf	*loma	(R24)	loŋa	loŋa	loma	loma	69
63	root	*rampa / *paʔak		rampa	rampa	paʈak	paʈak	69
64	thorn	*tserma (?)		tsʰok	riŋa	tserma	tserma	69
65	flower	*mendok	(R29)	mendok	mendok	mendok	mentok	69
66	fruit	*kʰazes (?)		pʰlaxmul	mewa	kʰazes	kʰazes	69
69	wheat	*kro	(R13, R14)	tʂo	kro	tro	tro	69
70	millet	*tʃʰa (?)		tʃʰa	tʃʰa			69
71	rice	*bras	(R21, R13)	blas	bras	bras	das	69
72	potato	*alu		alu	alu	alu	alu	69
75	chili	*sɲerma	(R10)	sɲerma	sɲerma	sɲerma (R)	ɲerma	69
76	turmeric	*juŋ-		juŋ	juŋ	juŋ	juŋpo	69
77	garlic	*zgokpa		zgokpa	zgokpa	zgokpa	zgokpa	69
78	onion	*tsoŋ		tsoŋ	tsoŋ	tsoŋ	tsoŋ	69
80	tomato			paɣan	paɣan		tamatar	69
81	cabbage	*karam (?)		karam	karam			69
82	oil	*mar-		mar	mar	mar	marnak	69
83	salt	*tsʰa		paju	paju	tsʰa	tsʰa	69
