Gloss	Mey of Shergaon	Mey of Rupa	Sartang of Jergaon	Sartang of Rahung	Khispi	Duhumbi	Bugun	Comment
ankle				le kʰrok pu				
arm	ìkʰ	ik	ìk	èík	hu	hut	wa ʧyo	
back	ɲàkúŋ	likeʰ	nə̀zɛ̀ŋ	snagǔŋ	lispo	ʤʸap	haduŋ	
backbone			nàgúŋ					
beard	màŋrá	suŋk(ə)ra	ʤàŋrá	máù			man	
belly	ʃrìŋ	sliŋ	srìŋ	sriŋ	hiɲiŋ	hiliŋ	lui sio	
blood	hà	ha(a)	hɛ̀	ha	hoi	hoi	əfoy	
body	lì	ki, li	ásò	ɭey	lis mamu	lus mama	syaw	
bone	skìk	skik	àhík	skik	ʃukuʃ	ʃukuʃ	əzɛŋ	
brain	àɲì	əɲi	kʰrúk ánì				mzaw	
breast	ɲùŋ	yiŋ	nǐŋ	nǐŋ			niɔŋ	
breath	bùk lùá	bik	bɯ̌k	ʨɔ lu bɔ			msʨya	
buttocks	yà klìŋ	bəteŋ		la ʃu brə̌				
calf	là ʧì			la ʧɔ̌ [?]				
cheek					duŋpa	koptaŋ		
chest	màw	miaw	mùwɔ́	muwuu			lu tɔ̀ɔ́	
chin	gàmdè	gamde	mì	gàmtì	hiŋkur	kamduŋ	ʧam skaw	
ear	kʰtùŋ	gtʰiŋ	gtʰìŋ	ktèíŋ	kʰutuŋ	kʰutuŋ	kʰɔ̃ɔ̃	
elbow	ìkhìlì	ik li	ìk ʧə́rì	ik ɭey	huʤulu	ʧiʔ	wa ʤuŋ	
entrails		ala		alɛ̌			lui syaw	
eye	kìbì	kivi	kábì	kabə̀ɯ́	kʰumu	kʰum	ɲɛp	
eye-brow		kibi ʧaŋ						
eyelid		kibi skuk						
face	dòŋpù	bo	mi	zə̀í	doʔ	doŋpa	mzia	
faeces	yǎ	ya	yɛ̀	yɛ̌			ẽĩ	
fat	àyɔ̀ɔ́	oyo	ʧàk	àyùú	ayo	ʧakpa	eyòó	
finger	ìkʰ tàbɔ́	ik ʧi	ígádù	ik amúŋ	hu sada	brama		
finger, index		ik mini					wa tsɛn	
finger, fore	ìkʰ mɔ̀	ik mo						
finger, middle	ìkʰ sàrí	ik ʧuŋ						
finger, ring	ìkʰ l.lù							
foot	là kʰì			lè par	lei	lai		
forehead	mkòw	bəkaw	mòkò	mkèɯ́			kùáŋ	
goitre		draw						
gum		siɲi		ʃiněŋ				
hair	gzàŋ	gəzaŋ	gzáŋ	gzǎŋ	kʰsaŋ	kʰuʃaŋ	ka ʤyɔm	
hand see arm	ìkʰ kyàpàl		ìk	ik brɔn			wa tian	
head	kʰrùk	kʰrǔk	kʰrǔk	kʰrǔ	kʰolo	kʰloʔ	kʰruk	
heart	s.lùŋ	zli			luŋtʰaʔ	luŋtʰaʔ	ɛliŋ	
heel		la ki						
intestines	yàspát							
jaw								
kidney	kràbì	sliŋ kravi		krabə̀ɯ́				
knee	kʰlɔ̀pù			la fìkǒm	ley klopa	kolokpa	lɔk myɛk	
lap		dẽ	lɛ̌					
leg	là	la	lɛ̌	lě	lei	lai	loai pĩã	?
lip	ʧàw skùk	bəʧaw skuk	sèkóp	ʧakěy				
liver	àkʰɛ̃̀ɛ̃̀	aʧẽẽ		aʧĩ̌			əʧiŋ	
lungs	slùŋ ʃrùk	sliŋ sruk					ɾii	
marrow	tààŋ			anìí			ihyuŋ	
mole		zik						
mouth	ʧàw	nəʧaw	so	ʨʨǒ	hoʧok	kʰoʧu	ʧyam	
nail	kyìŋ		ìk ʧíŋ		hut ʧʰiŋ	hut ʧʰuŋ		
navel	bùtìmɔ̀	zliŋbra					ɾii	
neck	òrtóŋ	ortoŋ	drɔ̀	ktǔŋ	hiŋtʰoŋ	hendoŋ	yùŋá	
neck, back of	tàkʰrá							
nipple	ɲùŋ kʰrùk			nǐŋ brɔn				
nose	nfùŋ	nəfuŋ	nfùŋ	mapǔn	hempoŋ	heŋpʰoŋ	əfuŋ	
palm		ik ʧapar	ìk tʰɔ́	ik par	hu pʰala	hut pʰara		
penis	lǎk	lok					lo	
pubic hair		smi					la man	
pupil		kibi aram						
pus	ànɔ̀ɔ́	anɔ						
rib	hèrèŋ	hereʰ		hrẽ̀ĩ́			izɛŋ	
saliva	tàà	taa		tɛɛ			ʨan	
scalp	kàplìŋ	kapliŋ	kuk					
scrotum								
shoulder	ɲìpà	ləpaʰ	fàníŋ	pnǐŋ			habɨm	
skin	skùk	skuk	skuk	skuk	ʃakʰo	ʃakʰo	ʃaw kuŋ	
spleen	ʃlè	sle		sùsùrù			əsiŋ lyɔŋ	
stomach (internal)	àlà	karbu	ʧàk	phriŋ	hiɲiŋ	hiliŋ	lui	
sweat		?	àʧíŋ	ku ʧik bu	namliŋ	nam ʧʰanami	haɲu wa	
tear	kìbì nìhɔ́	kibi ənɔ	nìnìkɔ́	kabɯ mɔhɔ̃			mkʰo	
thigh	lfù	ləpu	là pʰlù	là fǔ			la fɔ	
thumb		ikbo					wa nua	
toe	là tàbɔ̀			le brɔn			loai psɛn	
tongue	là	lapon	lɛ̌	lɛ̌	loi	loi	ɾii	
tooth	ntùŋ	tokʧe	mísìŋ	ptə̀íŋ	ʃiŋtuŋ	hintuŋ	sɲɛn	
urine	yì	zi	zì	ʥǐ			kaʧe	
vagina	tǎw	ʧopi					tabe	
vein	hátìŋ	ha tok		hɛ tùún			ɾɾɛŋ	
waist	mù kʰàk tùn	mo kʰap kʰiŋ		lɛ̀ tɔ̀tɔ̀k bǒ				
wrist	ìʧì			iʧé			wa tɔŋ	
adult		ʤuɲu						
ancestor	ásù	asu						
bachelor	ʤìɲɔ́						mlea flea	
aunt	átùŋ	atiŋ	ʧìá				ga mno	
bastard	tùflɔ́	dafla						
boy	ʤùhù	ʤuhu	ʤhǔ				ba fuə	
brother		biki	aʥɛ̌				ga fuə	
brother-in-law	árà	ara	arě				ga baw	but also husband, people of other tribes
child	nùnù	nini	anǐ				anǐ	
children	nùnù tàt							
clan	rǔŋ	ruŋ						
corpse								
co-wife, first	ʧènù							
co-wife, second	ʧùŋnù							
daughter	dìmì	dimi	dəmǐ		ʤumu	damu	ga dmi	
elder brother	ábù				ada	ada		
elder sister	ánɔ̀				ʔawu	aʷ		
enemy	mrɔ̀							
family	kòŋ kùán	pʰudu mudu						
father	ákì	aʧi					afuə	(high caste)
father	ápɔ̀	apɔ, abɔ	abòò		aba	apa		(low caste)
father and son		pʰudu						
father and sons		pʰudu ta						
father-in-law	àgàŋ	azaŋ	kʰèyá				ga kən	
fathers and sons		pʰudukʰĩĩ						
friend	rǒk, mítɔ̀, nààŋ	rok	gɔ knuŋ		loʔ	loʔ	ga gyaŋ	
girl	ʤìmì	ʤimi	ʤimǐ				dmi	
grandfather	mèmè, àsù	asu	asǔ				ga ʧin	
grandmother		ebi					ga moy	(high caste)
grandmother	ày	ayo	ayǒ					(low caste)
grandson	ʃídù	ʧidu	ʧidǔ				ga ʧaw	
grand-daughter	ʃídù màt	afuə					ga ʧaw	
husband	àyá							
man		ʤiriŋ			bǔḓǔn	pədəŋ		
married man								
married woman								
mother	ámɔ̀	emi	amùù		ama	ama	amuə	
mother and daughter		mudu						
mother and daughters		muduta						
mother-in-law	áɲì	aɲi	siŋyǎ				ga moy	
mothers and daughters		mudukʰĩĩ						
neighbour	kórpù	korpo	kɔrpǔ				ga hɔs po	
old man	ʤìmàn	ʤiman	àzɛ́ʔ àsɔ́				priɔŋ	
old woman	ʤòhòmát	ʤohomat	ʤhòóm				mriɔŋ	
orphan	nìkát, bùlá							
parent		pʰamɔ						
person					budihin	maŋma		
person specifier		-du suffix						(vocative)
relatives	rɔ́ʤì	ɲi ʧan						
sister		məriŋ	anɛ̌				ga mi nuə	
sister-in-law	ázù	azu	azǔ				ga fìí	
son	dù	du	adǔ		kuʧʰi	ʧaʔla	ka ti fuə	
uncle	átà	aʧe					ga fnu	
village chief	tʰùk àbɔ̀	tʰik abɔ						
village informer		kaʧuŋpɔ						
villager	tʰùk pù	tʰikpɔ						
villager	tʰùk ʤìrìŋ							
widow	mórèŋ	mureŋ					msyuŋ	
widower	pʰórèŋ	pʰureŋ						
wife	áyù	əyu	ayǔ		uya	uya		
woman					esma	dʰudma		
you children		ninidu						
young girl	ʤònʤì	ʤonʤi	ʤəmzi				mlea	
young man	ʤìɲɔ̀	ʤiɲu	ʤinǐ				flea	
younger brother	ánù				anuŋ	kʰuʧi		
younger sister	ánùmàt				ʔonuma	ʤumu		
youth								
altar	ràpsà	rapsa						
animal stable	tòblòŋ	tobloŋ						
ceiling below grain-store	zǒ	zǒ						
apex of two wooden posts		yǎm sǒŋ						
post, vertical		dǐŋ pǒŋ						
centre-post		dǐŋ mǔ						
bamboo planks		grali						
bamboo straight		yǎm rɔ́						
door	kǎw	kǎw	kǒ	ko	kutʰuŋ	kotam		
eaves	yàm ʤà	yǎm za						
fence	gɔ̀r, ʤàŋrɔ̀	kʰyiŋ gɔr	à	ghuŋ				
firewood house		kɔstɛ lǒŋ kǐŋ						
floor	ʧìmpàŋ	sɔŋ kɛʔ	tà					
granary	zò	yǔk  gɔ́						
ground floor	yàm kù	lɔ̌ŋ kǐŋ		tempaŋ				
guest place	ʤìn yàm, kʰròpù	kʰrǔk						
hearth	b.rǒp	brop	brə̌ʔ	brob				
house	yàm	[bɔŋ kʰi] yam	yɛ̀n	yɛ̀n	wam	wam		
kitchen		ʧoko						
ladder to ceiling	lɛ̀tɛ̃̀	zo lətə̃̌						
latrine	ʃìkàŋ	hùmblóŋ	yɛ̀skàŋ	yásíkáŋ				
middle floor		yam əlǐŋ						
partition		bɛ̀rʧɛ́						
plank		pʰaŋtʰiŋ						
plank, vertical wood		buk sǐŋ						
post	kàʧì	kǒ						
post, centre		diŋ mǔ kǒ						
poultry yard	ʧày yàm	ʧay yǎm						
rafter		loŋ bu ʧe						
rafter, crossways		dǒk sǐŋ						
roof		yǎmbá	yɛ̀mbì					
roof of bamboo		tám pə̀lá		nambwitsu				
room	bèrʧè	kǎm tǐŋ	bàrgàŋ					
steps outside house	dóstàŋ	dostoŋ						
stone & mud base		mǒŋ						
top floor		zǒ						
tray over hearth	ʧàntàk	ba kʰyə̌						
veranda	ʤòkʰìŋ	dzuŋ						
village		tʰik			luŋpa	tʰʸup		
wall above ceiling of bamboo		yǎm tǔ			ʧikpa	ʧikpa		
window	pàŋtùŋ	kǎw du			ɲalo	koʧuŋ		
window		yǎm cluŋ			ɲalo	koʧuŋ		
wooden planks above stone and mud base		wǒwǒ						
alcohol jar		tikəli						
bamboo container	ròò	grǔŋ						
bamboo jar	pàláŋ	plaŋ						
basket, general	yùŋ							
basket for rice		duŋ te [?]						
basket type	mèb zùŋ							
basket type	kʰì yùŋ							
basket for vegetables	pò zùŋ	po zǔŋ						
basket for vegetables		duŋ yǔŋ	yǔŋ	yuŋ chuh				
basket for produce		duŋ keŋ						
basket for firewood		ok dǔŋ						
firewood basket		hiŋ yuŋ [?]						
bed, wooden frame		tsoŋgo	kə̀rí	khri				
bed	tòskòm	tõskǒm						
bedding	yòhàŋ	yoham						
blanket					neloʔ	neloʔ		
book		peʧa						
bottle, leather		kanda					< Hindi	
bottle, glass	ʧìsɔ́ʔ	sisa					?	
bottle, leather for spirits		tsǔŋ zǔŋ						
bowl, brass for water	dìk	dǐk						
bowl, bronze		mdǐr						
box, wooden	gàm	gǎm					< Tsangla	
box		tǐŋ						
brass vessel	tàw	taw						
broom					ʧanʧəri	ʧʰamʧʰaraŋ		
candle					boʧua	boʧua		
clay pot	tìklìŋ	tiklǐŋ						
comb	nɔ̌	nũ̌						
cooking pot	házá	haza daŋza	hàyàŋ	za				
curry spoon		daŋzari						
dish								
distilling vessel								
frying pan		kʰyǎ						
gourd jar for soya beans		ruwɔ						< Assamese
kettle		dǎmbé						
lamp	bàlàmpù	ʧaki						< Assamese
mat		tõ						
matchbox		bǎsáp	mìkʧɔ̀	mikʧɔ				
mattress		tõ̌						
needle					psi	psi		
paper					ʃigu	ʃigu		
pillow	s.kòm	skǒm	sàkn	saŋkhom	kʰumu	kʰukʰum		
plate	s.kàm	skàm						
rice spoon		hazari						
rice-pounder	ʧɔ̀m ʧànké	sǔm tsɔ̌nkɛ́						
root of pine for torch		ba bìʧí						
shelf		prě						
sieve	kʰáptì	kapʨi						
spoon	ʧkɔ̀	ʧkǒ			ʧʰobi	ʧʰoi		
woven strainer for beer	kʰtɔ̀k	tǒʔ						
cloth for strainer		bruŋ su						
beer-filter		broŋ su						
strainer, part		kozɛr						
tea-glass		kaptoŋ						
thread					hwaŋ	haʷŋ		
trivet	ʧìzì	brup zizi						
winnowing tray	kʰǎw	kàú						
bangle	t.rìŋ	t.riŋ						
belt		mukɔp						
buckle	ʧ.kʰɔ̀							
cap	g.tʰùŋ	gtuŋ						
helmet, cap	k.ʧè k.tʰùŋ	gurdum						
clothing, cloth					wad	tutʰuŋ, wad		
dress	ʧòyɔ̀	zdik						
ear-ring	tòŋ kʰì							
helmet		zeŋ gtʰuŋ [?]						
head-dress		ɲiŋ zaŋtok						
hide jacket								
male dress		sapeʰ						
men’s outer coat								
necklace	nàn kòr	cik naŋ kor						
raincoat	ʧàrkàp							
ring	ìstòp	ik stop			ʧaydʔ	ʧedum		
shoe	lɔ̀lɔ̀	llu						
silver		ɲiŋ						
silver belt								
silver cup		ɲiŋ tnɔ						
silver dao		ʧoŋtap						
women’s coat								
women’s gown		siŋku						
arrow	mìk	mik			miʔ	miʔ		
axe	pʰlû	pʰlǔ	pʰlù	phlu	pʰa	pʰa		
bow	lì	li			li	li		
broom		ʧan ʧiriŋ	lɛ̀sàkà	ʧanʧirĩ				
bullet	gùlí	guli						< Hindi गोली goli
dao	hándù	hǎndǔ	hàŋgù	handu				
dao, small		hǎndùdù						
granary		hayu	ʧùŋyɛ́n	ʧhuyam				
gun	mìʧín	mcɛ̌						
gunpowder		hoto gǎní						
hammer					toŋ			
hoe		gɔ̌r		braksiŋ				
[[]]?		breksǐŋ						
[[]]?		ʧə̀gìí						
[[]]?		tsóŋ logodǒ						
knife	brà	bra			bali	baɾi		
knife, cutting		bra vtǔŋ						
plough		gòóŋgá						
quiver	ʤì							
scythe		tsǎm pǒ						
seed, seedling		ali						
shield								
sickle		bra ʧok						
spade								
spear	gyòŋ	zoŋ			tiŋkaŋ			
stick		kʰo	kʰà					
weeder		bra vʤǒ						
weave			ràkkèn	rak khan				
agriculture		rek						
cutting jungle								
fallow land								
field								
jhum/swidden		lurek						
jungle		ʤaŋse						
kitchen-garden		kĩ		ʧɔr				
land								
sowing								
wetland cultivation		kʰoo rek						
water channel		kʰoo roŋdi						
banana		msuŋ	mùsùŋ	ʃugun ayuŋ	lisi	leysi	səŋ	
barley		pʰlu						
bean		sokpi	sɔ̀ŋbɛ̀	ambɛ́			mawey	
cucumber	m.bùŋ	bubuŋ	mábùŋ	mavùgún			bsiə	
chili pepper		moŋ ɔɔ̃		mɔ̀ɔ́ŋ	solo	solu	ʧalyaw	
eggplant	bàntɔ̀	mantɔ	mtɔ̀	ptòò	bantʰu	bandu	mantòò	
fruit			àyɔ̀ŋ	ɔhɔ agúŋ			mlyaŋ	
fruit sp. (wild)		mlaŋ	mlàŋ					
garlic		moŋ siŋ		moŋ ʧìì	maŋ	ɾəʃu	muaŋ	
ginger		moŋ ʧu	máʧù	moŋ ʤǔ				
gourd	làw	law		kʧùgún			krɔ̃̌	
laisag greens		pʰeza		daŋsòò			marɛrɛ	
lemon		mkẽ						
lime		cin						
maize	pèntʰàŋ	pʰentʰaŋ	mìsìŋ	pʧĩ̀ĩ́			ʃpɔŋ	
mango		am						< Hindi आम ā:m
millet	kʧàm	gʧam	kʧɛ̀m	kʧǎm			ʨɔ̃̀ɔ̃́	
millet				ʤmùú				
millet				kanʨǐŋ				
onion		ʧooŋ		ʤòóŋ	ʧoŋ	ʧoŋ	mɔŋ sʸo	
orange		ʧalup		ʧali				
paddy	nsè[ʔ]	nse	ʨùù	ʨùù	niʃik	niʃəliaʔ		
peanut					maŋkʰa	badam		
potato		ʤu		ʤùú	ʤatumplu	ʧəktaŋ	bomaʤiə	
pumpkin	b.rùm sɔ̀	buŋgla		maʔplùú			abùúŋ	
rice	n.dòp	ndop	ʨùù	ʨùù sě	nimdi	nimdi	ɲɛn	
rice, cooked			hɛ̌ (=’food’)		hoi	ʧʰawa	ɲɛn ʧo	
soya bean		siyuk		su			mawe man	
sugar-cane		mʧi	míʧísɔ̀	pʧi	ʧulamiʤu	məʤu	nìrá	
sweet potato		iŋ ʧaga doŋ	bìsìʤù	ʨuʤùú				
taro				ʨàʔ			ʨʸɔ	
tomato	bìlàhì	bilati		bɛ̀làhì			bìlàhì	< Assamese
walnut		mku		mkùú			mangòó	
wheat	b.kù	buku		mkuu	pʰoskar	pʰoʔ	ʨu kaw	
wild fruit		mlaŋ ha						
beef			wù sù	wɔ su				
bread		pʰem		pěm				
butter		mo		mɔɔ			suwani	
cheese		ʧro		ʨʨuu			praŋ	
dry meat		su ɔɔ̃	sù àʔà	su ɔ̀ɔ̃̀			ipiye kaw	
egg		bʧayuŋ	àyúŋ	ʧayu	ʔogoŋ	huʤoŋ	ʧɛri	
fish		ɲu	nù	ŋùú	ŋa	ŋa	ũã	
flour	n.fàʰ	nfaʰ		nɛhɛ̀ɛ́				
food		ha	hɛ̌					
meat		su	sù	sǔ	ʃaʔ	ʃya	ipiyə	
milk					ɲyu	nuʔ		
oil		too		tòó	num	num	tòó	
salt		hũ	hũ̀	hũ	ha	ha	sruwə	
soup			ákɔ̀	akɔ				
sugar		sini					ʧini	< Hindi
dinner			nìyɔ̀hɛ̀					
lunch			hàtàhɛ̀					
beer, wine		pʰak	fàg	pʰak	pʰak	pʰaʔ	pʰuak	? < Tibetan
rice beer	bàŋ ʧùŋ		mìʧì fàg					
betel leaf		pan alap						< Hindi
betel nut		sali				goy		
opium		kani					kanǐ	
spirits	arɔ́	pʰǒt kʰo		arɔ́			àrá	arɔ́ < Assamese
tobacco		tanti		takèɯ́			makaw	
blindness		tri						
boil		koŋkoŋ						
chickenpox								
cold, to have		nkʰo tanba						
deaf and dumb								
deafness		beŋɔ						
disease		numba	kùnùú	kunuŋ				
dislocated, to become		kʰri dipa						
disordered brain, to have		kʰruk goza rapa						
dysentery, to have		yahepa						
epidemic		rimʧak						
fever, to have		dawba						
feverish, shivering		ziŋziŋ						
fractured, to be		gʰa dipa						
goitre			ʤù ròkèn	durɔ rɔkhan				
influenza								
leprosy								
medicine		man			pen	man		
medicines		man tikʰpo						
mixture		man						
ointment		man						
pain, to be in		numba						
pill		man						
pimple								
ringworm								
scabies		konku						
smallpox								
tapeworm								
vomiting								
worm		groŋbi						
wound			ásè	asiŋ				
wounded		acaw						
fish-trap			nùròkén					
ashes		ba mi	sǎ	ʧa fǔ	ʧukpʰak	ʧuba		
boulder								
cave		kʰe	ʧě	ʧě			wo	
clay		dehek	kʰʧũ̌	sɔ aʧǔŋ			ɲasǎy	
cliff		ʧop		ʧǎp			sɔ̌p	
cloud			stĩ̀	sintìí	toŋti	mukpa	ska maŋ	
coal		ba kʰɔ̃						
cold		aʧan	àʧén					
current								
darkness		cf. night						
day			nìnì [=sun]					
dust					ɲogma	duipa		
earth			sà		sa	saʔ		
fire		ba(a)	bɛ̀ɛ̀	bɛ̌ʔ	bei	bei	boay	
flame								
