No.	English gloss	Mru	Page number
1	one	lək¹	88
2	two	prɛ²	88
3	three	tsʰom²	88
4	four	tă⁴li¹	88
5	five	tă⁴ŋɑ¹	88
6	six	tăro¹	88
7	seven	răniᶦt³	88
8	eight	rĭyɑːt³	88
9	nine	tăku¹	88
10	ten	hămuət³	88
11	eleven	hălɑi⁴lək²	88
12	twelve	hălɑi⁴prɛ²	88
13	seventeen	hălɑi⁴răniᶦt³	88
14	eighteen	hălɑi⁴rĭyɑːt³	88
15	twenty	piːr¹mi²	88
16	twenty-one	piːr¹mlɑi⁴lək¹	88
17	twenty-two	piːr¹mlɑi⁴prɛ²	88
18	thirty	tsʰɤŋ⁴kɔm²	88
19	forty	li¹kɔm¹,³	88
20	fifty	ŋɑ¹kɔm¹,³	88
21	sixty	tăro¹kɔm¹,³	88
22	seventy	răniᶦt³kɔm¹,³	88
23	eighty	rĭyɑːt³kɔm¹,³	88
24	ninety	tăku¹kɔm¹	88
25	ninety-nine	tăku¹kɔm⁴klɑ⁴tăku³	88
26	one hundred	pă⁴kɔ̆m²	88
27	two hundred	prɛ⁴kɔ̆m²	88
28	one thousand	pă⁴tʰɑuŋ²	88
29	ten men	hămuət³yɑ²,¹	88
30	one goat	taruɑ²,¹pom²	88
31	ear	rɑm²	88
32	mouth (of men or animals)	nɔr²	88
33	cheek	ɔm²	88
34	teeth	yəŋ¹	88
35	palate	krɑŋ¹	88
36	forehead	tăkɑu¹,³	88
37	horns	ănɑŋ¹	88
38	breath	tsʰɑk²	88
39	sound, noise	ă¹tən³	88
40	nape of neck	tăŋɔ¹	88
41	shoulder	pɑŋ²kɔᵊt⁴	88
42	armpit	dɑk⁻dɔ⁴	88
43	breasts	yɔn¹	88
44	heart	ă⁴tsʰɑk⁻	88
45	side of body	biɛt²mɑ⁴	88
46	back	kom¹	88
47	stomach	mu¹	88
48	liver	ăplɔŋ³	88
49	spleen	ăpɑiʔ³	88
50	waist	kɛ⁴	88
51	penis	niɑ⁴,¹	88
52	vulva	...kɑi²	88
53	thigh, leg	tʰoŋ⁴,¹	88
54	leg, foot	kləŋ¹	88
55	shin	kləŋ¹tsʰɤŋ⁴	88
56	knee	tăkoŋ²	88
57	kneecap	sɑŋ¹klɪŋ²hut⁻	88
58	houghs	tŭwən¹	88
59	foot	kʰɔʔ⁻...	88
60	elbow	rə̆nui¹	88
61	fingers, toes	rot¹/kʰɔʔ³ tsɑuʔ⁻	88
62	nails, claws	...mĩ¹	88
63	joints	a¹mɪŋ⁴	88
64	cubit	pămu²	88
65	handful (from below)	dɔm³mɑʔ⁻	88
66	double handful	hwɑ³	88
67	flesh	ŋɑ³	88
68	skin	pei⁴,²	88
69	blood	wi²	88
70	sweat	wɑ¹tsʰɑʔ⁻	88
71	dung	ki¹	88
72	pus	ăyo¹	88
73	placenta, afterbirth	a⁴bɑi²	88
74	I	ɑŋ²	88
75	thou	ɛn²	88
76	mother	ă⁴ʔu²	88
77	woman	mĭtsʰɑʔ¹tsʰɑ³	88
78	male (of persons)	kə̆tsʰɑk⁻	88
79	female, wife	mĭʃi²	88
80	children (any age or sex)	tsɔi²	88
81	man (Homo)	măru²	88
82	Mru	măru²tsʰɑ¹	88
83	husband	huwɑ²	88
84	elder sibling	i²	88
85	eldest child	tsɔi²yuk¹	88
86	youngest child	tsɔi²tsʰəm¹	88
87	son-in-law	mɔk⁴tsʰɑ³	88
88	daughter-in-law	yɑu¹tsʰɑ¹	88
89	young man	klɑŋ¹uɑ⁴	88
90	young woman	mălɑu¹uɑ⁴	88
91	widowed	...ma⁴mɑi¹	88
92	K'umi	wăkoŋ²	88
93	Arakanese	ran¹mɑ⁴	88
94	Sak	tsɑk³mɑ⁴	88
95	slave	nɑr¹	88
96	spirit, 'nat'	tsʰəŋ¹nɑm⁴	88
97	fish	dɑm⁴	88
98	python	pyɑŋ¹mɑn⁴	88
99	cobra	ruɑ¹mɤm² (= snake)	88
100	worms	ră⁴tɑ²	88
101	crab	tărəp³, tsʰəŋ⁴rəp³	88
102	crab pincers	ă¹prəm¹	88
103	prawn	tătsʰɑuŋ¹,³	89
104	shellfish	tyɛm¹,³	89
105	cowry	preɑu¹	89
106	bivalve	koŋ²	89
107	tiger	tăpri¹	89
108	bear	tă¹tɔm⁴	89
109	pig	tă⁴pɑk⁻	89
110	monkey	tăyoʔ¹	89
111	dog	tăkui¹	89
112	wild dog	tătsʰui⁴	89
113	jackal (?)	mrin⁴kʰwi²	89
114	cat	tămin²	89
115	squirrel	rămɔm¹	89
116	rat	tă⁴ʔut¹	89
117	porcupine	tă⁴ʃi²	89
118	otter	tăklui²	89
119	tortoise	tă¹lep³	89
120	frog	tă¹pur¹	89
121	cattle	tsiyɑ⁴	89
122	water buffalo	nɑ²	89
123	elephant	ŋăsʰɑi²	89
124	horse	kɔ̆r⁴ŋɑ¹	89
125	wild goat	ŋă⁴yɑʔ³	89
126	spider	tɔm¹păkrɑ¹	89
127	land leech	tălɤm¹	89
128	water leech (2 kinds)	pɑŋ¹pɑl⁴; nur¹sʰăpi²	89
129	ants	laŋ¹tjəriən²,⁴	89
130	white ants; termites	kʰɑm¹bɔr²	89
131	dung beetle	ki¹təŋ²	89
132	housefly	tăwiŋ¹	89
133	gadfly	tă¹yɔr¹	89
134	sandfly	tsɑŋ¹iᶦt⁴,³	89
135	mosquito bites	tătsɑŋ¹mɑk²	89
136	cricket	toŋ³kiɛr²	89
137	head louse	tsʰur²	89
138	grasshopper	tăplɑu²	89
139	bird, fowl	wɑ̆⁵biɛr¹; tăwa²	89
140	nest	wăbiɛr¹bɑi⁴	89
141	cock	wɑ̆⁴klɑŋ²	89
142	spurs (of cock)	tăwɑ¹nuət¹	89
143	crest (of bird)	ă⁴kɯ²	89
144	egg	ă¹dui⁴	89
145	sparrow	kim¹kɑp⁴wɑʔ⁻	89
146	paroquet	tăkɛk⁻	89
147	quail	wămou¹	89
148	partridge	ɑŋ¹wɑ⁴	89
