Gloss	Puroik (Bulu)	Puroik (Kojo-Rojo)	Puroik (Chayangtajo)	Proto-Puroik	1SG (I)	2SG (you, sg.)	3SG (he, she)	1PL (we)	2PL (you, pl.)	1DU (we two)	imperfective suffix	pretemporal	one	two	three	four	five	six	seven	eight	nine	ten	above	alive	ant	awaken (intr.)	bamboo (edible)	before	belly (exterior)	belly (interior)	bird	bite	bitter	black	blow	blue	blood	bone	bow	branch	breast (female)	breathe	bridge (not hanging)	brother (younger)	burn (transitive)	can	cane	cave	chicken	child	cloth	crazy	cry	cut (hit with dao)	cut (without leaving the blade)	day	die	dig	do/make	door	down	dream	drink	dry	ear	eat	extinguish (intr.)	existential copula	eye	fall (from a height)	fart	far	fat/grease	female/mother	fingernail	fire	firewood	fish	flow	flower	food	frog	fruit	full	full/satiated	garlic (Allium hookeri)	ghost	give	green	guts	hair (on body)	hair (on head)	hand/arm	head	heart	hold in mouth	husband	ill/sick	itch	kill	knife (machete)	know	leaf	leech	left side	leg	lick	light	listen	liver	long	louse (head)	male/father	man	marrow	meat	monkey (macaque)	mortar	mouth	mushroom	mute/stupid	name	near	neck	negation	new (of things)	night/dark	nose	old (of things)	path	penis	person	pig	pillow	Puroik	pull	quiver	ripe	rot	run	sago flour	sago club (tool)	sago pick (front part)	scratch	sew	shade	shelf (over fireplace)	shoulder	shy	sit	skin	sky	sleep	sleepy	smell	smoke	son-in-law	stand	star	stone	sun	sweet	swell	taro	tasty/savory	that	thick (book)	thin (book)	this	tongue	tooth	thorn	up	Urtica fibres	vomit	war	warm	water	weave (on loom)	wet	what	white	wife	wing	woman
guu	goo	goo	*goo
naa	(naŋ)	naa	*naŋ (?)
vɛɛ	wai	wɛɛ	*vai
(g-rii)	gə-nii	g-rei	*gə-ńei (?)
(na-rii)	na-nii	na-rei	*na-ńei (?)
gə-se-niʔ/(gə-he-niʔ)	gə-se-nii	gə-sɛ-nii	*gə-se-niʔ (?)
-na	-na	-na	*-na
-ryila	-ruila	-ruila	*-ruila
[tyi]	[kjuu]	[hui]	*?
niʔ	(nii)	nii	*niʔ
ɨm	ɻɨm	ɯk	*ɨm̄ (?)
vii	wɻei	wɻei	*vɻei
wuu	woo	wuu	*woo (?)
rəʔ	rəʔ	rək	*rək
mə-ljɛɛ	jei	ljɛɛ	*mə-ljai
mə-ljao	jau	(laa)	*mə-ljaa
duNgii	duŋgɻee	doŋgɻɛɛ	*doŋ-gjee (?)
suɛN	ʃuan	suaik	*suan̄ (?)
a-tʃaN	a-tʃjaŋ	a-tʃuaŋ	*a-tʃuaŋ (?)
a-seN	a-sən	a-sik	*a-sen̄
(dʒamdʒuʔ)	gamgɻuʔ	gɻɛŋgɻo	*gjamgjoʔ
ʒao	ʒau	jaa	*jaa
ma-bjao	mə-bɻau	mə-bɻaa	*ma-bjaa
bui	bui	bue	*bui
a-ɬyi-buN	hui-buŋ	a-ɬue-buk	*a-ɬui-buŋ̄
a-ɬyi	a-hui	a-ɬue	*a-ɬui
pə-duu	pə-doo	pə-dou	*pə-dou (?)
tɔɔ	tua	tua	*tua
a-tʃaʔ	a-tʃuaʔ	a-tʃjaa	*a-tʃuaʔ (?)
a-hjɛN	a-hjeĩ	a-hjɛ̃	*a-hjaĩ
fuu	fuu	(fuk)	*fuu
a-pii	a-pii	a-pii	*a-pii
a-hui	a-fui	a-hue	*a-hui (?)
a-zɛN	a-zan	a-zaik	*a-zan̄
lɨɨ	lei	lei	*lei (?)
a-kjɛɛ	hɻɨn-kɻei	hɻeŋ-kɻɛɛ	*kjai
a-njɛɛ	a-njei	a-njɛɛ	*a-njai
ʒuu	ʒuu	joo	*joo
ka-tyiN	ka-tun	ka-tuik	*ka-tun̄
a-nɔɔ	a-nua	anua	*a-nua
rii	rii	rii	*rii
muɛN	muan	muaiŋ	*muan
rii	rei	rei	*rei
wuʔ	uʔ	oo	*woʔ
[tʃaʔ]	[takjuu]	[səkuu]	
a-dəə	a-doo	a-dou	*a-dou (?)
ɛʔ	aiʔ	aik (Rawa at)	*at
a-bjao	a-bɻaa	bɻaa-bo	*abjaa
(tʃɛʔ)	tʃap	tʃjap	*tʃjap (?)
pɛN	pan	paik	*pan̄
iʔ	iʔ	ii	*iʔ
a-nii	a-nii	a-rii	*a-ńii
ii	ii	ii	*ii
tʃuʔ	tʃuʔ	tʃoo	*tʃoʔ
[tsaʔ]	[ʒou]	[kaik]	
haN-wuiN	ha-wun	tʃuk-wuik	*HOUSE-wun̄
buu	buu	buu	*buu
baN	baŋ	bak	*baŋ̄
in	in	[riŋ]	*in
a-wuɛN	a-wuan	a-wuaik	*awuan̄
a-kuiN	a-kun	a-kuik	*a-kun̄
tʃii	tʃii	tʃii	*tʃii
[gɛʔ]	biʔ	bik (Rawa bit)	*bit
[wɛɛ]	[wai]	wɛɛ	
a-kəm	a-kəm	a-kək	*a-kəm̄
ɬuʔ	huʔ (ɬuʔ)	ɬjok-lo	*ɬuk (?)
waiʔ	wai	wɛɛ	*waiʔ
a-tʃoi	a-tʃai	a-tʃjɛɛ	*a-tʃuai (?)
a-ʒɔɔ	a-zjaa	a-zua	*azua (?)
a-mɔɔ	a-mua	a-mua	*a-mua
(ageʔ gə-sɨn)	gei-sin	geisik	*ge-sin̄
bɛɛ	bai	bɛɛ	*bai
ʃiN	hɻɨn	hɻeŋ	*sjen (?)
[tʃɨi]	[tʃui]	[kahuaŋ]	
nyɛ	nuai	ruɛ	*ńuai
a-buɛN	hɻɨn-buan	mə-buaik	*buan̄
mə-luɛN	mə-luan	mə-luaik	*mə-luan̄
rəʔ	rəʔ	rəə	*rəʔ
ʃiN-wɛɛ	hɻɨn-wai	roŋ-wɛɛ	*wai
ljɛɛ	jei	ljɛɛ	*ljai
mɨŋ	moŋ	moŋ	*moŋ
daN	daŋ	dak	*daŋ̄
mə-ɬao	mə-hau (mə-ɬau)	mə-ɬaa	*mə-ɬaa
taN	taŋ	taŋ	*taŋ
a-rjɛɛ	a-rjei	a-rjɛɛ	*a-rjai
a-ɬyi-rin	a-hui-rin	a-ɬue-riŋ	*a-ɬui-rin
a-mɨn	a-mən	a-muiŋ	*a-mun
kə-zaN	(kə-zjaŋ)	kə-zak	*kə-zaŋ̄
a-geʔ	a-geiʔ	a-geik (Rawa gət)	*a-gət
a-kuN	a-kuŋ-bəə	a-kok-bəə	*akoŋ̄
a-luN-bəə	a-luŋ-bəə	a-lok-bəə	*a-loŋ̄-bəə
mom	?	mom	*mom
a-wui	a-wui	a-wue	*a-wui
naN	naŋ	raŋ	*ńaŋ
ɔɔ	a-wua	a-wua	*a-wua
[wɛʔ]	aiʔ	aik (Rawa at)	*at
tʃii	tʃee	tʃee	*tʃee (?)
dɛN	dan	daik	*dan̄
a-ləp	(hɻɨn-jəp)	a-lək	*ljəp
[pa-]wɛʔ	[pə-]waiʔ	ka-waik (Rawa pəwat)	*ka-wat
pa-fii	pua-fii	pua-fee	*puafee (?)
a-lɛɛ	a-lai	a-lɛɛ	*lai
ljaʔ	jaa	vjaa	*?
a-tɔɔ	a-tua	a-tua	*a-tua
nɨŋ	nuŋ	roŋ	*ńoŋ
a-pjiN	a-pjin	a-pjik	*a-pjin̄
a-pjaN	a-pɻaŋ	a-pɻaŋ	*a-pjaŋ
