No.	English	Raute	Settled Raute	Forest Raji	Khirdwari Raji	Naukule Raji	Bandale Raji	Purbia Raji
	Collection location:	Western Nepal	Dadeldhura, Nepal	Pithoragarh, India	Champawat, India	Kailali, Nepal	Kanchanpur, Nepal	Surkhet, Nepal
	Fieldnotes by:	Fortier	Fortier, Reinhard	Fortier	Reinhöl, Krishan	Sah, Reinhard	Fortier, Sah, Reinhard	Reinhard
1	I	nå	nå	nå	ne	ŋa	ŋa, nå	ŋa
2	you	na	na, naŋ	naŋ~naŋ	nàni	nâŋ, naŋ	nàŋ	ŋaŋ
3	we	nã, nåi, nå-shi-nǻ (excl)	nåni	nåni	nåni (incl), nåni ja là(excl)	ŋâi, ŋài	nã, nài	ŋài
4	this	´i, yi, i, ´it	i, wai	´i, yi, i, ´it	ài	in, nà̃i	in, yîn	yìn
5	that	waya, hey	aiy, hwaiy, hwe	hwai	χuai	hoi, ´ii	hun	hun
6	who	tsu, ṣu, chu	xu, gaho, sxu	hu, xu	χu	ɡoi *, hoi’ *	ɡun	gun
7	what	xã-	håŋ-hi, han, hã	xãŋ-	ài	aŋ, goi’ lei’	aŋ	aŋ
8	not	hå, tå, wå, ai	wå, tå, hå	hå, wå	hã	dama, ma’	dåma, ma’hu’	mã’hũ, nài
9	all	diki, tokaya, hwari, kuna, ǰamma *	ǰamalå *	ǰama-lå *	jàmmàl *	sâbâ *, sàbàl *	ǰamma *	sàblà *, jàmàlai *
10	many	diki, bho	dhikala	dzikale	dzhikkàl	bârdzu, hiã’	bardzu	tsho’
11	one	dã; yìka	dha, ḍår, dã	dãã~dha	ḍa(h)	da	da	da
12	two	hnih	hnih, ni	hnih	nhı̃	n̤i, nĩ	ni(-tou); n̤i	nī
13	big	ghå-re	banna, baina	bayna	bàina	bâraŋ, baràŋ	bwaraŋ	bàreŋ
14	long	lång	langge	lång	langê	lamijo *, lamtio *	lambya *	lamo *
15	small	tsi, dzo	tat, tuha	dzo, itu, itushiya, tuha, twiy-chey	cuĩca	tsʰutsu, tshiuri *	aitchyaŋ	aĩtshuŋ
16	woman	mütya, umakala	motiya, mala, matiya	motiya	màṭhya	ketila *, keti•la’ mhĩ’	mitsa	màtsa mantshe’
17	man	murka, mokya, bå?	bah, bala, ba	bah	poila	mântsʰe *, dhãthe•la’ mhĩ’	yora, wora’	yera màntshe’
18	person	shêlå, swiy-ta, kwi, , tou	mãtshe *, tou	shêyår, mãcha *, tou	màñcà *	mantshe *, ´ii´	mantshe *	màntshe’ *
19	fish	´ngyich (as prey), ŋgå (scaly); gåt (general); bora (things that swim)	bora	bora	bura	ŋa, ŋhã’	hã’	ŋã’
20	bird	b’wåh	b’wa	b’wa	bos	tsʰri, bʰwa, tsàri	bwå, bʰwa’	bwa’
21	dog	kuiy	kuiy	kuiy	kui	kui, kwi’	kwi	kwi’
22	louse	sirow	sir	sirow	sirà	sir, shir’	sir	shir’
23	tree	siŋ	siŋ	siŋ	siŋ	siŋ, shiŋ	rukaŋ *	rukhã *
24	seed	ruw	biye *	ruw	biye *	bjar *, biaŋ *	biyaŋ *	biaŋ *
25	leaf	hwã’, hwoli	wåh´, wha	hwã’	χua	wa, wa’	hwã	wa’
26	root	ǰara *	ǰarao *	ǰyaråo *, lwå	ǰadao *	ǰârjau *, ǰàriã’ *	ǰaryao *	ǰàrhiã’ *
27	bark	sing kala, thapã	bakoriya *, kartia	bakwor *	bhukk *	kartia, khàpetau’	boklao *, phik, khapetau’	bàklau’ *
28	skin	k’ritiya	kàrtya, khale	khale *	khàllà *	bâklâu *, tshhalao’	pʰiku, charlaŋ *	tshhala *
29	flesh (meat)	yå’, syå	shyå	syå	sya	sja, shia’	sya’	shia’
30	blood	shwuiy, kwan	kxwuiy, phwi	phwuiy(u)	χui	râktâ *, ràgàtau’	swiy	sĩ’
31	bone	hareŋ *	hadaŋ *	hadå *	hadàŋ *	hadâu *, hadao’ *	hadduŋ *	harao’ *
32	grease	wasaha (dairy), sau	bahå *	bosa *	bàχɛ *	sau’	sahũ	sàwu’
33	egg	ãrre *, g’row	ãrre-wa *	ããre *	àṇḍa *	dri, dàni	dri	gliũ’
34	horn	shiŋha *	shigaŋ *	shiŋha *	sioàŋ *	siŋ *, shiŋghao’	siŋ *, siŋ-ɡah *	shĩghao’ *
35	tail	mhuuta	puchher *	bå-tuwa	puchɛra *	pâtsʰjaũ *, pàtshiaũ *	putcho *, bela	putshiũ’ *
36	feather	rowhã	rowhã	p(h)åkå *	pàkha *	mulu, pàkheniaũ *	mul	bhutlao’ *
37	hair	hyem, håmu, syaw, g’na (of head), snu (of body)	håmu	ham	hamu	tsʰam(ũ)	tsham, cham	bhutlao’ *, balu
38	head	garå	gaḍå, gera, gara	gåra	gaḍa	ɡʰârau, ghrau’	ɡʰâjau, kopriŋ *	kaplà *
39	ear	günå	kunhe, guna	günå	guna	gra, gàna	grã, g’rã	gla’
40	eye	mik	mhĩke, mike	mik	mhike	mik	mikhà	mik
41	nose	shina, ṣina	sínåh, shina	sina, ṣina	sina	sinja, shinĩa	sre'a, srå	slia’
42	mouth	hmu(m), maw (mouth/inner lips), kuw (inside)	khåbero, khabêro, mang	hmu	khàbɛ-ru *	ɡa(ŋ)	ɡaŋ, gã	ga
43	tooth	s’wå, m’yũ, bhåka	tshyåx, dar	suwa, daro	daro	swa	swa	swa
44	tongue	låley	ǰibero *	låley	ǰibɛro *	lâju, lai	lai	lài
45	fingernail	hlim, hliŋ (nail/cuticle); dzyên (nail,claw)	nihaŋ *, nhiheng *	nihãŋ *, timh, tihm (nail, claw)	nihàŋ *	bâdzi, bàǰik	dzin (nail, claw)	dzìn (nail/claw)
46	foot	mbå	mbå	mbå	bha	bha, ba’	bha	khutta *
47	knee	phuch	puhe	puh	puhɛ	pus	pus	pus
48	hand	(h)åk	hake	håk	hakɛ	yak, yêk	yak	yɛk
49	belly (stomach)	lådõ, duŋ(wiya)	lådo	lådo, gu-dung, buk	lado	dâŋ, g’daŋ	daŋ	daŋ
50	neck	màn *, ghãtu *	gidha, geynu (nape)	geydada	giddà	ghĩetsh	tuku	gardhàn *
51	breast	chuwch (breast/milk)	tsutsao	chowchow, dudhåŋ *	cucca	dudu(ŋ) *	dudhåŋ *	dudã’ *
52	heart	påtti, dil	bhåtti	bhåtte	mànɛ *	mutuŋ, tshatti	mutuŋ, tshatti	tshatti
53	liver	koto	kaljo *, karande	khalejo *	mulya *	kâledza *, hinu, hìn	kaljao *	kàlejau’ *
54	drink	tuŋ, hàm, dzyå (eat/drink)	ti-dzå, tuŋ	dzyå’	tuŋ	tuŋ	tuŋ	tuŋ
55	eat	dzyå’	dzå	dzyå’	ǰå	dza, dzam	dza	ǰam
56	bite	ka	tikai-hĩ, kay	ka	takɛ *	kai, kiam	kay	kài’niaŋ
57	see	dabbu, dzyey, kày, bìgay	dabbu	dabbu, chyey	dàbb	mu, mum	mu	mum
58	hear	gun	kun	gunå	kun	krã, k’ne	krã	klãniaŋ
59	know	des (n.), lå (v.)	cha-koy-ko, daho	dåho (knowledge)	dàhàu	gãto, dama’dasku	des	dasniaŋ
60	sleep	shẽy	se, she’	shẽy	ise	isâ, yis	mai, mâi	niŋniaŋ
61	die	shyiy	siya	shyiy	sive	si, shikà’	si	shiniaŋ
62	kill	såt, håt	håte	såt	hatà	sât(di), sathenaŋ	sât	satniaŋ
63	swim	buwa, baw	baw	buwa, byaw, råp	rapê	reu, reohenaŋ	rehuwa	reoniaŋ
64	fly	par-	uḍyåwra *, odawe *	udla *	bhukày	brai, bàraikà	udai *	uṟeniaŋ *
65	walk	phwà, hwå, khwå-ko	khwå, hwå, phwa	hàko, xrro̅kå	take	swa, swakà	swa, tsʰe, glo(niaŋ)	duleniaŋ
66	come	biy, piy, lå	laũ, piye	biy, piy, lå	la	waŋ, woŋniaŋ	waŋ	woŋniaŋ
67	lie (down)	i´sey, lãtuwa *	pharakyo, dimmihi (lay down smthg)	taw	tha	ɡâdil, dimmihi, yis	mai	pàltiɛm
68	sit	shwiy, pha, dzây-na, guni	hwõy, hwe	hwi’, hwày, pha, ŋaŋ	hõĩ	dzʰoy, ǰhũwày	dray, dʰway	này-
69	stand	phyuw, zay	phyawng-ni, hai	phyuw, phyawng, hày-ni	ṭaḍo	rjapi, thàde’	tåde(tu)	shepi’
70	give	bay´	ba´a, be	bay´, bey	be	bai, bai’	bay	bài’
71	say	khå, nâ	kha, ha, ne	khå	nɛko	kʰâi, ne, ŋar	ɡarr, tʰâm	gar
72	sun	Berr, dåmuw	diho	dixo	dihu	dinâ, bela	bela	dinà’
73	moon	bayrra, ǰanna	thiyo, tiox, ǰanna, ǰunna	dzilå, ǰunda, thiyo	junnà	dzona, tsonà	dzunna	jonha
74	star	twi-twi (stars, milky way); kar- (north star); berr-ko to-ka (evening star)	dara *, tara *	taRa *	tara *	tara *, tsàkar	trâihja	tṟẽiyã’
75	water	tiy	ti(-hi)	tiy	ti	ti	ti	ti
76	rain	s’gya, tsiy	ti(-hi), ti-lagwa	tsiiy	ti	deu, sàgài ruaka	deora, deu	deuruaka
77	stone	doliy, rako, kawba, gorrba, ´ânkanaba, ´ânaya	dhunge *	dzuga *, doliy	-	dʰuŋ *, dhungà *	dʰuŋi *	dhungà *
78	sand	buliya *	balya *	hluu	bàllya *	bâlja *, bàllhia’ *	bâlya *	bàlia’ *
79	earth, ground	dzey	dharti *	matiya *	deχà	pritʰâbi *	dharti *	dhàrti, disa’ *
80	cloud	dewa	deho	dexo	deχu	badlâ *, badàl	budal *	balhà’ *
81	smoke	dhuka *	oba, dhuka *	thuha *	-	dʰwa *	dʰumaŋ *	dhumã’ *
82	fire	hmüy	hmüy, mwi	hmüy	mhɛ̃	m̤âi, mài’	mhai’	mwĩ’
83	ash	duri *	dhuli *	boho’yogo	dhuli *	bʰubâri	blaka, bluak	khàrani *
84	burn	ul, hmut	ǰal *, mute	hmut	luŋ	bʰubâri, ǰhum	blok, ǰorr *	ghanku’
85	path	yoŋ	yoŋ, iyuŋ	yong	yoŋ	dzikik, iyom	yom, iyom	iyɛm
86	mountain	khâre, yêkha	bhitta * (precipice)	ghata *, bhitta *	bhitta *	pârbtâ *	himale *	pàrbàt *
87	red	kosha, kamay, twi	tolåyriya, tohleriya	tolåriya	Tolhɛriya	haŋ	tchui, tchwi	tshwĩ’
88	green	hwã’, må-hŋuw, gågina	wah	hwã’	hàriyo *	hârijo *	håriyao *	hàriàũ *
89	yellow	hwiy-pelo, pielo *	pero	peru *	pero *	hâl-dijalo, pàlaŋ	lâdi-(lwa), tswĩ’	piãlo *
90	white	ndow-rya	doware, dhauria	dow	dhàurya	pâlaŋ, plaŋ	p’laŋ	plaŋ
91	black	tokwanya	tokanya, toknaha	tuknaha	TokEnya	kwoŋ, kwaŋ	kwaŋ	kwaŋ
92	night	gadzyira, thepe-pa	gay, thepe	gay	gayàre	jak, ratrâ *	dziri	jhìri’
93	hot	chuhnu, ghühnuw	ghöhnow	guhnu	ḍaha	tatâu *, tappàkà	tatau *	tato *
94	cold	dzuŋ	kalse *, dzuŋ	dzuŋ	dzũ(-ghài)	tsur(kà)	dzuŋ-ka, tsur	tshur
95	full	dz(y)e, dwi, iwãp	puro *	da, bharóh *	bhàràtà *	bʰâriŋ *, purau’	bʰaraita *	pura *
96	new	hnu	hnung	nhuu	noŋ	nâwoi *, nawǝ̃ĩ *	naula *	nawàĩ *
97	good	hnik	niko, baria *	hnik, bariya *	nhikko	mâdza, màdza	nok-nâŋ	màja
98	round	gur-	batulo *	gur-	baṭulo *	ɡolâu *	ɡol-hwã *	golho *
99	dry	karow, patuwa	karau	kar	karàu	poktì, pokà	poka, pokta	pokiaŋ
100	name	miŋ, mrĩŋ	nåmu *	miiŋ	nam *	mriŋ, mrriŋ	m(i)riŋ	brriŋ
