No.	Gloss	Monpa (Tawang Monastery)	Monpa (Zimithang)	Monpa (Changprong)	Monpa (Kalaktang)	Monpa (Balemu)	Monpa (Tomko)	Monpa (Namsu)	Monpa (Tembang)	Monpa (Dirang Dum)	Monpa (Sangti)	Monpa (Dirang)
1	sky	nə̆mt̪ŭŋ	namduŋ	ŋam; namduŋ	ŋamt̪uŋ	ŋam	ŋam	ŋam	ŋam	ŋamthuŋ	ŋam	ŋam
2	sun	plaŋ	plaŋ	ŋam; plaŋ	ŋam	ŋam	ŋamziɾ	ŋam	ŋam	ŋam	ŋam	ŋam
3	moon	lei	lei	laɲi; lei	laniŋ	laɲiŋ	laɲi	laɲi	laɲi	laɲi	laŋi	laiŋam
4	star	karma	karma	dydʒy̆k; karma	karma	karma	karma	dətʃuŋ; karma	karma	karma	karma	karma
5	cloud	saja	saja	saja	mŭkpa	mŭkpa	mŭkpa	məmə; mŭkpa	mŭkpa	mŭkpa	mŭkpa	mŭkpa
6	rain	nam	nam	nam	ŋamsu	ŋamsu	ŋamsu	ŋamsu	ŋamsu	ŋamsu	ŋamsu	ŋamsu
7	rainbow	ŋah̥	ɲah	ɲia	mudiɾeŋma	mud̪jaŋba	mud̪jaŋba	mud̪jaŋba	mud̪jaŋba	mŭdʒamba	mud̪eŋma	mud̪jaŋba
8	wind	ʃot	ʃot	hrut	ɾidi	ɾidi	ɾidi	ɾidi	ɾidi	ɾidi	ɾidi	ɾidi
9	lightning	ɲălap	bruʔ	lo	waŋmoŋ	t̪aŋhepka	t̪aŋhempan	taŋlem	taŋlemkhen	mivolaʔ	muŋtaŋ	t̪amlept̪am
10	thunder	bɾu	bɾu	bɾu	druk; muŋphoka	mut̪irka	muŋdirpan	muŋdir	muŋdirkhen	d̪uŋd̪uŋmala	t̪aŋlepkan	muŋt̪aŋ
11	sea	gjatʃo	kjamtʃo	tʃo	tʃo	tʃuməlit̪i	ɾitaŋpu	dʒamtʃo	tʃo	tʃo	ɾitaŋpu	tʃo
12	mountain	lah̥	lah̥	lah̥	zoɾ	bəɾaʔ	zoɾ	ɾiwo	ɾju	ɾju	ɾju	ɾju
13	water	tʃi	tʃi	tʃi	ɾi	ɾi	ɾi	ɾi	ɾi	ɾi	ɾi	ɾi
14	river	roŋ	ɲjamtsan	roŋ	ɾijama	ɾijama	druŋ	goŋɾi	ɾi	ɾi	ɾigoŋɾi	goŋɾi
15	soil/ground	sah̥	sah̥	satʃa	sa	sah̥	sah̥	saʔ	saʔ	sa	sah̥	sah̥
16	mud	ʃimzaŋ	dʒinsan	sintʃaŋ	juŋtʃaŋ	iŋsaŋ	dʒinsan	sintʃaŋ	ziŋtʃan	dʒiŋzaŋ	dʒiŋzaŋ	dʒiŋzaŋ
17	dust	bla	bla	bla	purtʃi	blasa; purtʃi	blasa	duipa	duipa	duipa	duipa	duipa
18	stone	gor	gor	gor	luŋ	luŋ	luŋ	luŋ	luŋ	luŋ	luŋ	luŋ
19	sand	betʃa	betʃa	betʃa	betʃa	betʃa	petʃa	bali	betʃa	betʃa	betʃa	betʃa
20	gold	ser	ser	ser	ser	ser	ser	ser	ser	ser	ser	ser
21	silver	ŋui	ŋui	ŋui	ŋui	ŋoi	ŋoi	ŋoi	ŋoi	ŋoi	ŋoi	ŋoi
22	today	d̪eʃ	t̪eis	d̪eʃ	tenoŋ	thĭnuŋ	thĭnuŋ	d̪eʃ; thĭnuŋ	thĭnuŋ	thĭnuŋ	t̪inuŋ	thĭnuŋ
23	yesterday	d̪aŋ	d̪aŋ	d̪aŋ	iɲiŋ	iniŋ	iniŋ	ɲiŋam	iŋam	iŋom	ŋamtʃa	iŋom
24	tomorrow	nokor	nokor	nokor	namtʃaŋ	ŋamtʃa	iŋɾoŋ	ŋamtʃa	ŋamtsi	ŋamtʃha	imnuŋ	ŋamtʃha
25	week	ʒa	tʃei	hăpt̪a	hopt̪a	d̪untsi	inaŋzum	duntʃi	binazuŋ	binazuŋ	boinamzuŋ	benamzum; ŋamzum
26	month	leʔ	leʔ	leʔ	lanithur	laɲi	lani	laɲi	laɲi	lanithur	laŋi	laji
27	year	tumreh	tumreh	tomrit	ɲiŋ	ɲiŋ	niŋthuɾ	ɲiŋ	ɲiŋ	niŋthuɾ	ɲeŋt̪hur	ɲiŋ
28	day	plaŋ	d̪eʃ	ɲent	ŋamthur	ŋam	ŋam	ŋam	ŋam	t̪inuŋamthur	ŋam	ŋam
29	morning	naleŋ	naleŋ	naileiaŋ	betpuk	namniŋ	namniŋ	namniŋ	namniŋ	namniŋ	namneŋ	namniŋ
30	noon	guŋzi	guŋzi	tʃorən	jenaŋam	jenaŋam	jenaŋ	jenaŋ	jenaŋ	jenaŋ	jenaŋ	jenaŋ
31	evening	num	nopt̪	nuptæk	ɲiɾi	ɲiɾi	ɲiɾi	ɲiɾi	ɲiɾi	ɲiɾi	ŋeɾi	ɲiɾi
